module	matched_panel_gene	random_gene
random_matched_010	TSHR	NDFIP1
random_matched_011	DIO1	TTC31
random_matched_011	FOXE1	NUBP2
random_matched_011	NKX2-1	ERP29
random_matched_011	PAX8	KRTCAP2
random_matched_011	SLC5A5	FILIP1
random_matched_011	TG	COX6A1
random_matched_011	TPO	TSPO
random_matched_011	TSHR	PTBP1
random_matched_012	DIO1	PROCR
random_matched_012	FOXE1	PABPN1
random_matched_012	NKX2-1	EIF4G1
random_matched_012	PAX8	PARK7
random_matched_012	SLC5A5	AC008014.1
random_matched_012	TG	CXCL14
random_matched_012	TPO	EEF1B2
random_matched_012	TSHR	HLA-DQB1
random_matched_013	DIO1	DDX58
random_matched_013	FOXE1	ILVBL
random_matched_013	NKX2-1	IFITM2
random_matched_013	PAX8	ZFP36L2
random_matched_013	SLC5A5	PON3
random_matched_013	TG	NDUFB7
random_matched_013	TPO	TSTD1
random_matched_013	TSHR	HIGD2A
random_matched_014	DIO1	FAM171A1
random_matched_014	FOXE1	LEPROT
random_matched_014	NKX2-1	PSMB7
random_matched_014	PAX8	CSDE1
random_matched_014	SLC5A5	MTMR7
random_matched_014	TG	LGALS3
random_matched_014	TPO	CST6
random_matched_014	TSHR	ATP6AP2
random_matched_015	DIO1	FMNL1
random_matched_015	FOXE1	SH3GLB1
random_matched_015	NKX2-1	ZFP36
random_matched_015	PAX8	WDR83OS
random_matched_015	SLC5A5	TOB1-AS1
random_matched_015	TG	ITM2B
random_matched_015	TPO	GABARAP
random_matched_015	TSHR	SNX5
random_matched_016	DIO1	TTPAL
random_matched_016	FOXE1	OBSL1
random_matched_016	NKX2-1	PTP4A2
random_matched_016	PAX8	CLTA
random_matched_016	SLC5A5	SLC6A20
random_matched_016	TG	TSC22D1
random_matched_016	TPO	AP2S1
random_matched_016	TSHR	CTSA
random_matched_017	DIO1	CCL4L2
random_matched_017	FOXE1	CERS4
random_matched_017	NKX2-1	GNB1
random_matched_017	PAX8	C9orf16
random_matched_017	SLC5A5	RGS11
random_matched_017	TG	SNRPD2
random_matched_017	TPO	SDC2
random_matched_017	TSHR	NHP2
random_matched_018	DIO1	LY96
random_matched_018	FOXE1	ERCC1
random_matched_018	NKX2-1	NHP2
random_matched_018	PAX8	TXN
random_matched_018	SLC5A5	FAAP24
random_matched_018	TG	MTCH1
random_matched_018	TPO	ATP5IF1
random_matched_018	TSHR	LAMTOR5
random_matched_019	DIO1	NLRC5
random_matched_019	FOXE1	RAB25
random_matched_019	NKX2-1	RCN1
random_matched_019	PAX8	C9orf16
random_matched_019	SLC5A5	NAV3
random_matched_019	TG	CD74
random_matched_019	TPO	COL1A1
random_matched_019	TSHR	METTL7A
random_matched_020	DIO1	ZFP64
random_matched_020	FOXE1	PML
random_matched_020	NKX2-1	SIVA1
random_matched_020	PAX8	SNHG5
random_matched_020	SLC5A5	GPR157
random_matched_020	TG	TXN
random_matched_020	TPO	ATP1B1
random_matched_020	TSHR	NDFIP1
random_matched_021	DIO1	VSIG4
random_matched_021	FOXE1	ATP13A3
random_matched_021	NKX2-1	RNF181
random_matched_021	PAX8	TRMT112
random_matched_021	SLC5A5	AC008966.1
random_matched_021	TG	CLDN3
random_matched_021	TPO	SEC61B
random_matched_021	TSHR	OCIAD2
random_matched_022	DIO1	B3GNT5
random_matched_022	FOXE1	TSTA3
random_matched_022	NKX2-1	METTL7A
random_matched_022	PAX8	SELENOH
random_matched_022	SLC5A5	MEMO1
random_matched_022	TG	GLUL
random_matched_022	TPO	SLC34A2
random_matched_022	TSHR	WDR1
random_matched_023	DIO1	OAS3
random_matched_023	FOXE1	CZIB
random_matched_023	NKX2-1	PSMD2
random_matched_023	PAX8	HNRNPK
random_matched_023	SLC5A5	PTPRN
random_matched_023	TG	PEBP1
random_matched_023	TPO	COX7A2
random_matched_023	TSHR	PSMD8
random_matched_024	DIO1	SLC35A1
random_matched_024	FOXE1	IER3IP1
random_matched_024	NKX2-1	NDUFB10
random_matched_024	PAX8	MAGED2
random_matched_024	SLC5A5	SP140
random_matched_024	TG	SAT1
random_matched_024	TPO	COX8A
random_matched_024	TSHR	HLA-DPB1
random_matched_025	DIO1	ZCCHC7
random_matched_025	FOXE1	ITGA9
random_matched_025	NKX2-1	TMEM14C
random_matched_025	PAX8	HMGB1
random_matched_025	SLC5A5	MEMO1
random_matched_025	TG	S100A4
random_matched_025	TPO	BANF1
random_matched_025	TSHR	PSMA1
random_matched_026	DIO1	OAS1
random_matched_026	FOXE1	MRPS15
random_matched_026	NKX2-1	RPN1
random_matched_026	PAX8	PLD3
random_matched_026	SLC5A5	SLC14A1
random_matched_026	TG	CHCHD2
random_matched_026	TPO	ATP5MG
random_matched_026	TSHR	MORF4L2
random_matched_027	DIO1	TUBB2A
random_matched_027	FOXE1	DCAF11
random_matched_027	NKX2-1	PPA1
random_matched_027	PAX8	SELENOH
random_matched_027	SLC5A5	AC020909.2
random_matched_027	TG	ASAH1
random_matched_027	TPO	ITGA3
random_matched_027	TSHR	NHP2
random_matched_028	DIO1	CWF19L1
random_matched_028	FOXE1	MRPS23
random_matched_028	NKX2-1	NME3
random_matched_028	PAX8	CALM1
random_matched_028	SLC5A5	AC073611.1
random_matched_028	TG	SLC34A2
random_matched_028	TPO	SQSTM1
random_matched_028	TSHR	DAP
random_matched_029	DIO1	CRACR2B
random_matched_029	FOXE1	IK
random_matched_029	NKX2-1	ARHGDIB
random_matched_029	PAX8	ITGA3
random_matched_029	SLC5A5	CATIP
random_matched_029	TG	SNHG5
random_matched_029	TPO	SKP1
random_matched_029	TSHR	NHP2
random_matched_030	DIO1	MPP1
random_matched_030	FOXE1	SLC17A5
random_matched_030	NKX2-1	CRTAP
random_matched_030	PAX8	AP2M1
random_matched_030	SLC5A5	SNX20
random_matched_030	TG	SNHG5
random_matched_030	TPO	KRT19
random_matched_030	TSHR	PRKAR1A
random_matched_031	DIO1	NGFR
random_matched_031	FOXE1	SUN2
random_matched_031	NKX2-1	PSMB7
random_matched_031	PAX8	HNRNPC
random_matched_031	SLC5A5	PCYOX1L
random_matched_031	TG	COL6A2
random_matched_031	TPO	TUBB
random_matched_031	TSHR	EIF4G1
random_matched_032	DIO1	CCL4L2
random_matched_032	FOXE1	GPR108
random_matched_032	NKX2-1	NME3
random_matched_032	PAX8	NPM1
random_matched_032	SLC5A5	ADORA3
random_matched_032	TG	ITGA3
random_matched_032	TPO	RHOA
random_matched_032	TSHR	ATP6V1G1
random_matched_033	DIO1	NLK
random_matched_033	FOXE1	MARCH6
random_matched_033	NKX2-1	LMAN2
random_matched_033	PAX8	CLIC3
random_matched_033	SLC5A5	BX664727.3
random_matched_033	TG	TMBIM6
random_matched_033	TPO	LGALS3
random_matched_033	TSHR	EIF4H
random_matched_034	DIO1	NGFR
random_matched_034	FOXE1	DDAH1
random_matched_034	NKX2-1	MRFAP1
random_matched_034	PAX8	SNRPG
random_matched_034	SLC5A5	AC009065.4
random_matched_034	TG	COX4I1
random_matched_034	TPO	TSC22D1
random_matched_034	TSHR	RNF181
random_matched_035	DIO1	TUBB2A
random_matched_035	FOXE1	MBTPS1
random_matched_035	NKX2-1	STUB1
random_matched_035	PAX8	HMGA1
random_matched_035	SLC5A5	ETV2
random_matched_035	TG	ATP5MF
random_matched_035	TPO	HNRNPC
random_matched_035	TSHR	NDUFA6
random_matched_036	DIO1	HAPLN3
random_matched_036	FOXE1	DNAJB6
random_matched_036	NKX2-1	PTOV1
random_matched_036	PAX8	SELENOM
random_matched_036	SLC5A5	AL356417.2
random_matched_036	TG	HLA-C
random_matched_036	TPO	EIF4A1
random_matched_036	TSHR	ATP6V1F
random_matched_037	DIO1	CDC23
random_matched_037	FOXE1	SSB
random_matched_037	NKX2-1	FUS
random_matched_037	PAX8	MDK
random_matched_037	SLC5A5	AC092171.5
random_matched_037	TG	UQCRB
random_matched_037	TPO	CTSH
random_matched_037	TSHR	TUFM
random_matched_038	DIO1	LY96
random_matched_038	FOXE1	DYNC1LI2
random_matched_038	NKX2-1	TMED4
random_matched_038	PAX8	ATP5F1B
random_matched_038	SLC5A5	PLCL1
random_matched_038	TG	NDUFB7
random_matched_038	TPO	NEDD8
random_matched_038	TSHR	TACSTD2
random_matched_039	DIO1	EPG5
random_matched_039	FOXE1	EFNA1
random_matched_039	NKX2-1	PGK1
random_matched_039	PAX8	JUND
random_matched_039	SLC5A5	USP27X
random_matched_039	TG	MYH9
random_matched_039	TPO	FOS
random_matched_039	TSHR	SNRPB
random_matched_040	DIO1	PARVB
random_matched_040	FOXE1	EFNA1
random_matched_040	NKX2-1	DAP
random_matched_040	PAX8	C9orf16
random_matched_040	SLC5A5	WFDC3
random_matched_040	TG	ATP5ME
random_matched_040	TPO	MYL12A
random_matched_040	TSHR	ZFP36
random_matched_041	DIO1	COLEC12
random_matched_041	FOXE1	CREB3L2
random_matched_041	NKX2-1	CAPZB
random_matched_041	PAX8	PPDPF
random_matched_041	SLC5A5	PIWIL1
random_matched_041	TG	LDHB
random_matched_041	TPO	HOPX
random_matched_041	TSHR	CCT4
random_matched_042	DIO1	CLIC5
random_matched_042	FOXE1	PML
random_matched_042	NKX2-1	KLF6
random_matched_042	PAX8	BRI3
random_matched_042	SLC5A5	MID2
random_matched_042	TG	EIF1
random_matched_042	TPO	DYNLL1
random_matched_042	TSHR	MRPL41
random_matched_043	DIO1	SLC12A6
random_matched_043	FOXE1	CERS4
random_matched_043	NKX2-1	CLDN1
random_matched_043	PAX8	CCNI
random_matched_043	SLC5A5	PNMA6A
random_matched_043	TG	IFI27
random_matched_043	TPO	COL6A2
random_matched_043	TSHR	HNRNPDL
random_matched_044	DIO1	HSPB8
random_matched_044	FOXE1	LPCAT2
random_matched_044	NKX2-1	STAT1
random_matched_044	PAX8	UQCR10
random_matched_044	SLC5A5	AC015912.3
random_matched_044	TG	RNASEK
random_matched_044	TPO	CALM2
random_matched_044	TSHR	UBE2V1
random_matched_045	DIO1	CBFA2T2
random_matched_045	FOXE1	MARCH6
random_matched_045	NKX2-1	MARCKSL1
random_matched_045	PAX8	LDHA
random_matched_045	SLC5A5	ZNF738
random_matched_045	TG	GSTP1
random_matched_045	TPO	CLDN3
random_matched_045	TSHR	ATP6AP2
random_matched_046	DIO1	NYNRIN
random_matched_046	FOXE1	VASP
random_matched_046	NKX2-1	SELENOP
random_matched_046	PAX8	HNRNPC
random_matched_046	SLC5A5	ZSWIM3
random_matched_046	TG	SDC4
random_matched_046	TPO	HSP90AA1
random_matched_046	TSHR	ATP6V1G1
random_matched_047	DIO1	NCEH1
random_matched_047	FOXE1	AZIN1
random_matched_047	NKX2-1	PGK1
random_matched_047	PAX8	LDHB
random_matched_047	SLC5A5	AC008014.1
random_matched_047	TG	FOS
random_matched_047	TPO	CRIP1
random_matched_047	TSHR	RPN1
random_matched_048	DIO1	RDH5
random_matched_048	FOXE1	NFIA
random_matched_048	NKX2-1	CDH1
random_matched_048	PAX8	SDC2
random_matched_048	SLC5A5	AL031058.1
random_matched_048	TG	MXRA7
random_matched_048	TPO	TLE5
random_matched_048	TSHR	PRKCSH
random_matched_049	DIO1	PROCR
random_matched_049	FOXE1	STK24
random_matched_049	NKX2-1	TMEM123
random_matched_049	PAX8	NDUFB1
random_matched_049	SLC5A5	ZNF396
random_matched_049	TG	DUSP1
random_matched_049	TPO	PLXNB2
random_matched_049	TSHR	CTNNA1
random_matched_050	DIO1	TMEM19
random_matched_050	FOXE1	ERCC1
random_matched_050	NKX2-1	EIF3I
random_matched_050	PAX8	SQSTM1
random_matched_050	SLC5A5	CXCL13
random_matched_050	TG	FOS
random_matched_050	TPO	FIS1
random_matched_050	TSHR	FAAP20
random_matched_051	DIO1	TRAM2
random_matched_051	FOXE1	TJP2
random_matched_051	NKX2-1	SNX5
random_matched_051	PAX8	UQCRH
random_matched_051	SLC5A5	AC016405.3
random_matched_051	TG	DDX5
random_matched_051	TPO	TXNIP
random_matched_051	TSHR	SNRPE
random_matched_052	DIO1	PLK1
random_matched_052	FOXE1	ANP32A
random_matched_052	NKX2-1	SF3B2
random_matched_052	PAX8	C9orf16
random_matched_052	SLC5A5	THSD1
random_matched_052	TG	GUK1
random_matched_052	TPO	HLA-E
random_matched_052	TSHR	SNRPD3
random_matched_053	DIO1	RAPGEF5
random_matched_053	FOXE1	UBTF
random_matched_053	NKX2-1	PTP4A2
random_matched_053	PAX8	DYNLL1
random_matched_053	SLC5A5	TOB1-AS1
random_matched_053	TG	RHOC
random_matched_053	TPO	SSR3
random_matched_053	TSHR	PGK1
random_matched_054	DIO1	HAUS7
random_matched_054	FOXE1	IER3IP1
random_matched_054	NKX2-1	KLF6
random_matched_054	PAX8	DUSP1
random_matched_054	SLC5A5	SCN3B
random_matched_054	TG	PFDN5
random_matched_054	TPO	NDUFB11
random_matched_054	TSHR	H2AFJ
random_matched_055	DIO1	TBL1X
random_matched_055	FOXE1	LAP3
random_matched_055	NKX2-1	ARPC4
random_matched_055	PAX8	TRMT112
random_matched_055	SLC5A5	CLCN2
random_matched_055	TG	MTCH1
random_matched_055	TPO	C19orf33
random_matched_055	TSHR	CFD
random_matched_056	DIO1	EGR2
random_matched_056	FOXE1	MRPS18C
random_matched_056	NKX2-1	CIB1
random_matched_056	PAX8	DSTN
random_matched_056	SLC5A5	ACRBP
random_matched_056	TG	SLC25A3
random_matched_056	TPO	SRP14
random_matched_056	TSHR	PPA1
random_matched_057	DIO1	CDK12
random_matched_057	FOXE1	MED15
random_matched_057	NKX2-1	CCT7
random_matched_057	PAX8	DRAP1
random_matched_057	SLC5A5	ZNF354B
random_matched_057	TG	GLUL
random_matched_057	TPO	AP2M1
random_matched_057	TSHR	SELENOF
random_matched_058	DIO1	TMEM163
random_matched_058	FOXE1	MEAF6
random_matched_058	NKX2-1	CIB1
random_matched_058	PAX8	GLUL
random_matched_058	SLC5A5	C7orf31
random_matched_058	TG	IGFBP6
random_matched_058	TPO	CRIP1
random_matched_058	TSHR	ATP6AP2
random_matched_059	DIO1	SMPDL3A
random_matched_059	FOXE1	GPR108
random_matched_059	NKX2-1	RHBDD2
random_matched_059	PAX8	CLTA
random_matched_059	SLC5A5	RNFT2
random_matched_059	TG	AP2M1
random_matched_059	TPO	BSG
random_matched_059	TSHR	NPNT
random_matched_060	DIO1	SPATA2
random_matched_060	FOXE1	AKAP13
random_matched_060	NKX2-1	CIB1
random_matched_060	PAX8	GNG5
random_matched_060	SLC5A5	AC006449.6
random_matched_060	TG	MZT2B
random_matched_060	TPO	NDUFA3
random_matched_060	TSHR	CTNNA1
random_matched_061	DIO1	MYL4
random_matched_061	FOXE1	TPCN1
random_matched_061	NKX2-1	SRSF9
random_matched_061	PAX8	COMMD6
random_matched_061	SLC5A5	COL11A1
random_matched_061	TG	NACA
random_matched_061	TPO	WDR83OS
random_matched_061	TSHR	ATP5PD
random_matched_062	DIO1	TRAPPC11
random_matched_062	FOXE1	PML
random_matched_062	NKX2-1	PRELID1
random_matched_062	PAX8	ATP5PF
random_matched_062	SLC5A5	LINC02352
random_matched_062	TG	TUBA1B
random_matched_062	TPO	SDC4
random_matched_062	TSHR	FXYD5
random_matched_063	DIO1	H2AFY2
random_matched_063	FOXE1	SRSF10
random_matched_063	NKX2-1	TMEM14C
random_matched_063	PAX8	DRAP1
random_matched_063	SLC5A5	PLXNA4
random_matched_063	TG	PRDX1
random_matched_063	TPO	DHRS3
random_matched_063	TSHR	POLR2I
random_matched_064	DIO1	DSC2
random_matched_064	FOXE1	ANTKMT
random_matched_064	NKX2-1	SNRPD3
random_matched_064	PAX8	NDUFB1
random_matched_064	SLC5A5	ZNF354B
random_matched_064	TG	EDF1
random_matched_064	TPO	GUK1
random_matched_064	TSHR	SF3B6
random_matched_065	DIO1	CCL4L2
random_matched_065	FOXE1	HOMER3
random_matched_065	NKX2-1	TXNDC17
random_matched_065	PAX8	NDUFC2
random_matched_065	SLC5A5	AC009065.4
random_matched_065	TG	HSPB1
random_matched_065	TPO	SUMO2
random_matched_065	TSHR	MCL1
random_matched_066	DIO1	SMPDL3A
random_matched_066	FOXE1	GPBP1L1
random_matched_066	NKX2-1	DAZAP2
random_matched_066	PAX8	PARK7
random_matched_066	SLC5A5	ANKRD36
random_matched_066	TG	GPX3
random_matched_066	TPO	RNASEK
random_matched_066	TSHR	CTTN
random_matched_067	DIO1	ANGPTL2
random_matched_067	FOXE1	DDAH1
random_matched_067	NKX2-1	SRSF9
random_matched_067	PAX8	HMGB1
random_matched_067	SLC5A5	SLC6A20
random_matched_067	TG	CANX
random_matched_067	TPO	TMA7
random_matched_067	TSHR	ARPC2
random_matched_068	DIO1	POLA2
random_matched_068	FOXE1	TCEAL9
random_matched_068	NKX2-1	S100A14
random_matched_068	PAX8	SNHG8
random_matched_068	SLC5A5	AP001062.1
random_matched_068	TG	TIMP1
random_matched_068	TPO	COX6B1
random_matched_068	TSHR	LAMTOR5
random_matched_069	DIO1	RDH5
random_matched_069	FOXE1	RTCB
random_matched_069	NKX2-1	TRAPPC1
random_matched_069	PAX8	RHOA
random_matched_069	SLC5A5	SEMA6D
random_matched_069	TG	UQCRB
random_matched_069	TPO	YWHAZ
random_matched_069	TSHR	SRSF9
random_matched_070	DIO1	AC008397.1
random_matched_070	FOXE1	TJP2
random_matched_070	NKX2-1	C4orf3
random_matched_070	PAX8	SERPINH1
random_matched_070	SLC5A5	ZSWIM3
random_matched_070	TG	CTSD
random_matched_070	TPO	COX6B1
random_matched_070	TSHR	NDUFAF3
random_matched_071	DIO1	OAS1
random_matched_071	FOXE1	SNX2
random_matched_071	NKX2-1	PSMA6
random_matched_071	PAX8	LGALS3
random_matched_071	SLC5A5	PWP2
random_matched_071	TG	TOMM7
random_matched_071	TPO	LAPTM4A
random_matched_071	TSHR	SLC25A5
random_matched_072	DIO1	PROSER2
random_matched_072	FOXE1	DNPH1
random_matched_072	NKX2-1	ECE1
random_matched_072	PAX8	EIF4G2
random_matched_072	SLC5A5	TBC1D31
random_matched_072	TG	CYBA
random_matched_072	TPO	ATP5IF1
random_matched_072	TSHR	DCBLD2
random_matched_073	DIO1	KCNMA1
random_matched_073	FOXE1	FMC1
random_matched_073	NKX2-1	NIBAN2
random_matched_073	PAX8	ARPC3
random_matched_073	SLC5A5	IL21R
random_matched_073	TG	CUTA
random_matched_073	TPO	IFI27
random_matched_073	TSHR	CTNNA1
random_matched_074	DIO1	CDK12
random_matched_074	FOXE1	FKBP3
random_matched_074	NKX2-1	SARS
random_matched_074	PAX8	SUB1
random_matched_074	SLC5A5	ZNF343
random_matched_074	TG	GABARAP
random_matched_074	TPO	SERPINH1
random_matched_074	TSHR	SLC38A2
random_matched_075	DIO1	AUH
random_matched_075	FOXE1	TPMT
random_matched_075	NKX2-1	UBE2V1
random_matched_075	PAX8	HMGB1
random_matched_075	SLC5A5	PCDHB5
random_matched_075	TG	NDUFC2
random_matched_075	TPO	SOD1
random_matched_075	TSHR	CIAO2B
random_matched_076	DIO1	TIE1
random_matched_076	FOXE1	NUTF2
random_matched_076	NKX2-1	SRSF9
random_matched_076	PAX8	HSPA5
random_matched_076	SLC5A5	CCL22
random_matched_076	TG	ECRG4
random_matched_076	TPO	ATP5MG
random_matched_076	TSHR	MRFAP1
random_matched_077	DIO1	OAS1
random_matched_077	FOXE1	RGS10
random_matched_077	NKX2-1	CTTN
random_matched_077	PAX8	TBCA
random_matched_077	SLC5A5	AC091271.1
random_matched_077	TG	DDX5
random_matched_077	TPO	HOPX
random_matched_077	TSHR	COX17
random_matched_078	DIO1	YRDC
random_matched_078	FOXE1	AKR7A2
random_matched_078	NKX2-1	S100A14
random_matched_078	PAX8	NAA38
random_matched_078	SLC5A5	CCDC102B
random_matched_078	TG	CALM2
random_matched_078	TPO	AP2M1
random_matched_078	TSHR	PTTG1IP
random_matched_079	DIO1	SCD
random_matched_079	FOXE1	PCMT1
random_matched_079	NKX2-1	SLC25A29
random_matched_079	PAX8	HOPX
random_matched_079	SLC5A5	KLF15
random_matched_079	TG	UBC
random_matched_079	TPO	MZT2B
random_matched_079	TSHR	RNF187
random_matched_080	DIO1	AC007009.1
random_matched_080	FOXE1	TSTA3
random_matched_080	NKX2-1	CD55
random_matched_080	PAX8	PSME1
random_matched_080	SLC5A5	CDC7
random_matched_080	TG	PEBP1
random_matched_080	TPO	ATP5MPL
random_matched_080	TSHR	TMEM123
random_matched_081	DIO1	SMPDL3A
random_matched_081	FOXE1	PTRHD1
random_matched_081	NKX2-1	CDH1
random_matched_081	PAX8	KRT19
random_matched_081	SLC5A5	CCL22
random_matched_081	TG	SPARC
random_matched_081	TPO	HLA-E
random_matched_081	TSHR	OCIAD2
random_matched_082	DIO1	CHAMP1
random_matched_082	FOXE1	NCOR1
random_matched_082	NKX2-1	EMP3
random_matched_082	PAX8	CLTA
random_matched_082	SLC5A5	ZNF365
random_matched_082	TG	PKM
random_matched_082	TPO	HNRNPK
random_matched_082	TSHR	GRINA
random_matched_083	DIO1	UTP25
random_matched_083	FOXE1	RIC8A
random_matched_083	NKX2-1	LSM7
random_matched_083	PAX8	HOPX
random_matched_083	SLC5A5	PPP3CB-AS1
random_matched_083	TG	OST4
random_matched_083	TPO	SERPINE1
random_matched_083	TSHR	CLDN7
random_matched_084	DIO1	UBE2T
random_matched_084	FOXE1	GPR108
random_matched_084	NKX2-1	PTBP1
random_matched_084	PAX8	CTSC
random_matched_084	SLC5A5	PID1
random_matched_084	TG	CLIC3
random_matched_084	TPO	ATP5IF1
random_matched_084	TSHR	NDUFB8
random_matched_085	DIO1	HCG18
random_matched_085	FOXE1	TOP2B
random_matched_085	NKX2-1	GNB1
random_matched_085	PAX8	COX7A2
random_matched_085	SLC5A5	KLF15
random_matched_085	TG	PPIA
random_matched_085	TPO	ADIRF
random_matched_085	TSHR	MRPL52
random_matched_086	DIO1	ATG2B
random_matched_086	FOXE1	NUTF2
random_matched_086	NKX2-1	UBE2D3
random_matched_086	PAX8	H2AFZ
random_matched_086	SLC5A5	EFNA5
random_matched_086	TG	SLC25A3
random_matched_086	TPO	HSBP1
random_matched_086	TSHR	CNN3
random_matched_087	DIO1	CAPN5
random_matched_087	FOXE1	CENPX
random_matched_087	NKX2-1	COX14
random_matched_087	PAX8	CD151
random_matched_087	SLC5A5	AC099518.5
random_matched_087	TG	CIRBP
random_matched_087	TPO	NDUFB2
random_matched_087	TSHR	RNF181
random_matched_088	DIO1	VSIG4
random_matched_088	FOXE1	EMC6
random_matched_088	NKX2-1	PSMB7
random_matched_088	PAX8	MAGED2
random_matched_088	SLC5A5	LINC00884
random_matched_088	TG	PFN1
random_matched_088	TPO	SUB1
random_matched_088	TSHR	MRPS21
random_matched_089	DIO1	DPT
random_matched_089	FOXE1	POLR2H
random_matched_089	NKX2-1	EIF4G1
random_matched_089	PAX8	NEDD8
random_matched_089	SLC5A5	ARHGAP33
random_matched_089	TG	YWHAZ
random_matched_089	TPO	MYH9
random_matched_089	TSHR	CD164
random_matched_090	DIO1	SLC16A4
random_matched_090	FOXE1	PKP4
random_matched_090	NKX2-1	VMP1
random_matched_090	PAX8	WFDC2
random_matched_090	SLC5A5	FLG-AS1
random_matched_090	TG	PCBP2
random_matched_090	TPO	COL1A2
random_matched_090	TSHR	GRINA
random_matched_091	DIO1	AC008124.1
random_matched_091	FOXE1	TAF1D
random_matched_091	NKX2-1	HSPD1
random_matched_091	PAX8	TMEM59
random_matched_091	SLC5A5	AL353622.1
random_matched_091	TG	CAPNS1
random_matched_091	TPO	BANF1
random_matched_091	TSHR	MRPL41
random_matched_092	DIO1	TMEM163
random_matched_092	FOXE1	TMX2
random_matched_092	NKX2-1	TUFM
random_matched_092	PAX8	ID1
random_matched_092	SLC5A5	PROX1
random_matched_092	TG	EDF1
random_matched_092	TPO	EPCAM
random_matched_092	TSHR	TSPAN1
random_matched_093	DIO1	ITCH
random_matched_093	FOXE1	SNRPA
random_matched_093	NKX2-1	SEPTIN2
random_matched_093	PAX8	IGLC2
random_matched_093	SLC5A5	DENND1C
random_matched_093	TG	AP2M1
random_matched_093	TPO	S100A4
random_matched_093	TSHR	IMPDH2
random_matched_094	DIO1	IFIT5
random_matched_094	FOXE1	TSTA3
random_matched_094	NKX2-1	PGK1
random_matched_094	PAX8	CHCHD10
random_matched_094	SLC5A5	SKA3
random_matched_094	TG	ATP5MD
random_matched_094	TPO	H3F3B
random_matched_094	TSHR	STAT1
random_matched_095	DIO1	PARVB
random_matched_095	FOXE1	MMP15
random_matched_095	NKX2-1	PTBP1
random_matched_095	PAX8	LDHA
random_matched_095	SLC5A5	WFDC3
random_matched_095	TG	ANXA1
random_matched_095	TPO	WFDC2
random_matched_095	TSHR	NDUFAB1
random_matched_096	DIO1	SLC1A4
random_matched_096	FOXE1	NCOR2
random_matched_096	NKX2-1	SNRPE
random_matched_096	PAX8	CTNNB1
random_matched_096	SLC5A5	LRP2BP
random_matched_096	TG	PPP1R14B
random_matched_096	TPO	SNRPG
