claim_id	location	exact_claim	cohort	endpoint	n	effect	ci	p	model	reference_direction	evidence_file	evidence_locator	status	action
C-DM02	v2 Results §2	"DM1 prevalence was 28.4% in TCGA-THCA and increased to 37.8% in Korean cohorts"	TCGA + Korean	DM1 prevalence	504 + K2	37.8% Korean	—	—	—	—	AUDIT_LOCKED_RESULTS.md	04_results.md §2.2	MISSING SOURCE	Verify 37.8% from K2 analysis output; not in AUDIT_LOCKED_RESULTS.md
C-S01	v2 Results §2	"TCGA hazard ratio was 2.30 (95% CI 0.77-6.88)"	TCGA-THCA	Overall survival	504 (16 events)	HR 2.30	0.77–6.88	—	Cox PH	DM1 vs DM2 (direction unverified)	AUDIT_LOCKED_RESULTS.md S-01	04_results.md §2.2	DIRECTION UNKNOWN	Verify reference group from lifelines output; confirm event coding (death=1)
C-S02	v2 Results §2	"MSK hazard ratio was 2.67 (95% CI 1.17-6.10)"	MSK-IMPACT	Overall survival	117 (38 events)	HR 2.67	1.17–6.10	—	Cox PH	DM1 vs DM2 (direction unverified)	AUDIT_LOCKED_RESULTS.md S-02	04_results.md §2.2	DIRECTION UNKNOWN	Verify reference group and MSK event definition
C-S03	v2 Results §2	"pooled hazard ratio of 2.53 (95% CI 1.31-4.89) with no detectable between-cohort heterogeneity (I^2 = 0%)"	TCGA+MSK	Overall survival	621	HR 2.53	1.31–4.89	—	DerSimonian-Laird random-effects	DM1 vs DM2	AUDIT_LOCKED_RESULTS.md S-03	v2 line 72	VERIFIED (arithmetic consistent)	Confirm I^2=0% is meaningful with only 2 studies; note near-identical point estimates inflate DL confidence; consider fixed-effects comparison
C-S04	v2 Results §3	"HR per +1 SD = 0.66, 95% CI 0.48-0.92, p = 0.013"	TCGA-THCA BRAF+	Progression-free interval	287 (33 events)	HR 0.66	0.48–0.92	0.013	Cox PH continuous	UNVERIFIED DIRECTION: HR=0.66 per +1 SD DM1 score means higher DM1 score (more lineage loss) → 34% LOWER PFI hazard, which is counterintuitive; may indicate continuous score direction is inverted OR reference coding issue	AUDIT_LOCKED_RESULTS.md S-04	v2 line 78	DIRECTION UNKNOWN	FATAL: must verify from source Cox model output whether higher DM1 score = more or less lineage loss, and whether HR<1 means DM1-HIGH is protective or DM1-LOW is adverse
C-S05	v2 Results §3	"interaction p = 0.022, HR_interaction = 0.47"	TCGA-THCA	PFI interaction	472 (49 events)	interaction HR 0.47	—	0.022	Cox PH with multiplicative interaction	Interaction of continuous DM1 score × BRAF binary	AUDIT_LOCKED_RESULTS.md S-05	v2 line 76	DIRECTION UNKNOWN	Verify interaction formula (score × BRAF or BRAF × score); confirm Wald p on interaction coefficient; single-cohort result — must not be called treatment-predictive
C-S06	v2 Results §3	"BRAF V600E-wild-type subset, DM1 showed no significant association (HR = 1.19, 95% CI 0.71-1.99, p = 0.52)"	TCGA-THCA BRAF-wt	PFI	—	HR 1.19	0.71–1.99	0.52	Cox PH	Direction flipped vs BRAF+: HR>1 per +1 SD DM1	AUDIT_LOCKED_RESULTS.md S-06	v2 line 78	VERIFIED (non-significant)	Note the direction flip (HR 0.66 BRAF+ vs 1.19 BRAF-wt) supports the interaction pattern but direction requires primary source verification
C-IHC01	v2 Results §4	"log-rank p = 1.7 x 10^-4 in the BRAF+ subset" for TG+PAX8+NKX2-1	TCGA-THCA BRAF+ subset	PFI	BRAF+ subset	—	—	1.7e-4	log-rank	IHC proxy derived from mean HM450 beta across 3 genes (TG, PAX8, NKX2-1) — NOT actual IHC staining	AUDIT_LOCKED_RESULTS.md IHC-01	v2 line 100, Methods line 180	VERIFIED (claim accurately described as in-silico proxy in Methods)	Ensure figure caption and abstract explicitly state "methylation-based proxy" not "immunohistochemistry result"
C-IHC02	v2 Results §4	"Cox HR per +1 SD = 0.65, 95% CI 0.47-0.90" for TG+PAX8+NKX2-1	TCGA-THCA BRAF+	PFI	BRAF+ subset	HR 0.65	0.47–0.90	1.4e-3	Cox PH	CONFLICT: v2 abstract says HR=0.65 for IHC 3-plex; AUDIT_LOCKED_RESULTS.md IHC-02 says HR=0.65 (95% CI 0.47-0.90). Both consistent.	AUDIT_LOCKED_RESULTS.md IHC-02	v2 line 100	VERIFIED	Direction requires same verification as C-S04; also confirm CI correct
C-IHC03	v2 Results §4	"TSO500 native 3-gene combination ... failed BRAF+ stratification (log-rank p = 0.30)"	TCGA-THCA BRAF+	PFI	BRAF+ subset	—	—	0.30	log-rank	DNA platform — NIS	AUDIT_LOCKED_RESULTS.md IHC-03	v2 line 100	VERIFIED	Correctly attributed to modality mismatch
C-IHC04	v2 Results §6	"Monte Carlo simulation... empirical power for the Full-8 panel exceeded 0.90 at n = 200"	TCGA-THCA priors	Prospective power	200 (simulated)	>90% power	—	—	Monte Carlo 500 iterations	Simulation uses TCGA-derived HR=1.49, 11.7% event rate, 70% completeness	AUDIT_LOCKED_RESULTS.md IHC-04	v2 Methods line 208	VERIFIED (conditional on TCGA priors)	Add explicit caveat that simulation power is conditional on TCGA priors reproducing in prospective cohort
C-FUS01	v2 Results §4 (04_results.md §2.4)	"DM1 was 76.8% tyrosine-kinase-fusion-positive (63 of 82)"	TCGA-THCA	Fusion positivity	82 (SV-tested DM1)	76.8%	—	—	Proportion	—	AUDIT_LOCKED_RESULTS.md FUS-01	04_results.md §2.4	VERIFIED	Confirm denominator = SV-tested DM1 tumors only (n=82 not total DM1)
C-FUS02	v2 Results §4 (04_results.md §2.4)	"Fisher odds ratio 7.41, 95% CI 4.38-12.55, p = 1.9 × 10^-13"	TCGA-THCA	Fusion enrichment DM1 vs DM2	—	OR 7.41	4.38–12.55	1.9e-13	Fisher exact	DM1 vs DM2 among SV-tested tumors	AUDIT_LOCKED_RESULTS.md FUS-02	04_results.md §2.4	VERIFIED	Confirm 2x2 table: DM1 fusion+ 63, DM1 fusion- 19; DM2 fusion+ ?, DM2 fusion- ? — table not explicit in manuscript
C-FUS03	v2 Results (04_results.md §2.4)	"27 (81.8%) were classified as DM1"	TCGA-THCA	RET fusion capture rate	33 RET-fusion positive	81.8%	—	—	Proportion	—	AUDIT_LOCKED_RESULTS.md FUS-03	04_results.md §2.4	VERIFIED	—
C-MAR01	v2 Results (04_results.md §2.4)	"missingness was independent of DM call (chi² p = 0.56), consistent with missing-at-random"	TCGA-THCA	SV missingness	15 SV-untested	—	—	0.56	chi-square	MAR claim is not proven by non-significant chi-square; CLAIM_LANGUAGE_MATRIX.md prohibits "MAR confirmed"	AUDIT_LOCKED_RESULTS.md FUS-04	04_results.md §2.4	OVERCLAIM	Replace "consistent with missing-at-random (MAR)" — do not use "MAR confirmed" language; use "no evidence that availability differed by DM status"
C-M01	v2 Results §3 (04_results.md §2.5a)	"mean 8-gene β: DM1 = 0.385, DM2 = 0.253, ... corresponding to a 52% higher promoter methylation level"	TCGA-THCA	Methylation level	503	+52%	—	—	Mean HM450 beta	DM1 higher beta = more methylation = gene silencing expected (direction correct biologically)	AUDIT_LOCKED_RESULTS.md M-11	04_results.md §2.5a	VERIFIED (arithmetic: (0.385-0.253)/0.253 = 52.2%)	Direction is biologically consistent: DM1 = high methylation = silenced genes = low expression. Confirm sign convention in source analysis.
C-M02	v2 Results (04_results.md §2.5a)	"TPO (Cohen's d = 2.30, p = 1.9 × 10^-18)"	TCGA-THCA	Methylation Cohen's d	503	d=2.30	—	1.9e-18	Mann-Whitney	DIRECTION: DM1 has higher beta (methylated) vs DM2 — consistent with lineage-loss narrative	AUDIT_LOCKED_RESULTS.md M-02/M-03	04_results.md §2.5a	VERIFIED	—
C-M03	v2 Results (04_results.md §2.5a)	"SLC5A5/NIS was the only panel gene without methylation differential (d = 0.22, p = 0.42, NS)"	TCGA-THCA	Methylation	503	d=0.22	—	0.42	Mann-Whitney	—	AUDIT_LOCKED_RESULTS.md M-10	04_results.md §2.5a	VERIFIED	—
C-M04	v2 Results (04_results.md §2.5a)	"promoter hypermethylation of differentiation genes is a fusion-independent feature of DM1"	TCGA-THCA	Within-DM1 comparison	63 fusion+ vs 19 fusion-	d=-0.36	—	0.31	Mann-Whitney	Within DM1: fusion+ vs fusion- methylation; d=-0.36 NS = no significant difference	04_results.md §2.5a	04_results.md §2.5a	VERIFIED (conditional)	Underpowered comparison (n=19 fusion-negative); must be clearly caveated in Limitations
C-V01	v2 Results §5	"Across 19 external validation entries ... mean Cohen's d of 2.81 and median Cohen's d of 2.37"	Multiple	External validation	19 entries	mean d=2.81; median d=2.37	—	—	—	Definition of "entry" unclear: cohort? gene-cohort pair? sample?	AUDIT_LOCKED_RESULTS.md V-01 to V-04	v2 line 86	MISSING SOURCE	AUTHOR CONFIRMATION REQUIRED: define "entry" precisely — if 14 cohorts × some contrast definition, reconcile with "14 forest entries" in AUDIT_LOCKED_RESULTS.md V-01 which says 14 not 19
C-V02	v2 Results §5	"80 of 80 cells moving in the expected direction"	Multiple	Direction consistency matrix	80 gene-cohort cells	80/80	—	—	—	Cell = gene × cohort; direction definition needed	AUDIT_LOCKED_RESULTS.md V-05	v2 line 86	MISSING SOURCE	Define: 8 genes × how many cohorts = 80? That requires 10 cohorts × 8 genes or other denominator. List cohorts explicitly.
C-V03	v2 Results §5	"Lee 2024 Korean papillary thyroid cancer cohort (GSE213647, n = 370 tumours), Mann-Whitney p = 2.7 x 10^-7 (Cohen's d = 0.24)"	GSE213647	8-gene panel vs subB score comparison	370	d=0.24	—	2.7e-7	Mann-Whitney	CONFLICT: 05_figure_captions_NC.md (Fig 4A) says Lee 2024 n=632, d=5.93; STATUS file lists Lee 2024 n=632 d=5.93 for main validation but n=370 for A2-R replication (different analysis). Two different Lee analyses with different n and d values. Must resolve and label distinctly.	AUDIT_LOCKED_RESULTS.md V-06/V-07	v2 lines 88, 184	CONFLICT	AUTHOR CONFIRMATION REQUIRED: clarify whether n=370 is the tumour subset from Lee 2024 used for A2-R replication and n=632 is the full Lee cohort used for DM1 axis validation. Both must be explicitly labeled in the manuscript.
C-V04	v2 Results (04_results.md §2.3)	"Pu et al. 2021 ... per-patient Spearman correlation of r = 0.798 to 0.886 ... Bonferroni-adjusted p < 10^-10"	GSE184362	sc correlation	6 patients	r=0.798–0.886	—	Bonferroni p<1e-10	Spearman	Per-patient tumour vs normal thyrocyte pseudobulk correlation	AUDIT_LOCKED_RESULTS.md V-10	04_results.md §2.3	VERIFIED	Clarify independence: all from same 6-patient dataset, not independent per-patient p-values; Bonferroni applies across which tests?
C-RAI01	v2 Results §7	"post-RAI refractory tumours shifted toward a DM1-like thyroid-differentiation state (Cohen's d ≈ -1.0; Mann-Whitney p ≈ 10^-4)"	GSE151179	Thyroid differentiation score post-RAI	—	d≈-1.0	—	≈1e-4	Mann-Whitney	DIRECTION: d=-1.0 means GSE151179 post-RAI tumors have LOWER score = consistent with DM1-like (low thyroid differentiation)	AUDIT_LOCKED_RESULTS.md RAI-01/RAI-02	v2 line 124	VERIFIED (with approximate notation)	Replace "≈" with exact values from GSE151179 analysis output; confirm n per group
C-N01	v2 Results §2	"DM1 prevalence ... increased to 37.8% in Korean cohorts, consistent with the higher burden of driver-negative or non-BRAF-like thyroid cancer in East Asian populations"	K2	DM1 prevalence	260	37.8%	—	—	—	—	04_results.md §2.2 says "37.8% in Korean cohorts"	04_results.md §2.2	MISSING SOURCE	Not in AUDIT_LOCKED_RESULTS.md; verify from K2 analysis output
C-N02	v2 Discussion Clinical	"axis functions as a candidate treatment-selection biomarker for a defined driver subset"	TCGA-THCA BRAF+	PFI interaction	472	interaction HR 0.47	—	0.022	Cox interaction	OVERCLAIM relative to CLAIM_LANGUAGE_MATRIX.md "BRAF-stratified PFI" row: preferred = "BRAF-context-dependent prognostic stratification" NOT "treatment-selection biomarker" without an actual treatment comparison	CLAIM_LANGUAGE_MATRIX.md	BRAF-stratified PFI row	OVERCLAIM	Add explicit qualifier: "hypothesis-generating" or "candidate" is present in some places (v2 line 82) but absent or weak in Discussion lines 142–144. Ensure consistent qualification throughout.
C-N03	v2 Discussion Translational	"The strongest near-term translational application is a reflex-testing pathway anchored on the routine immunohistochemistry 3-plex ... This means that the finding can be tested in an institutional cohort ... — a substantially shorter deployment timeline"	—	Clinical deployment pathway	—	—	—	—	—	This is a reasonable forward-looking statement but the phrase "immediate translational deployment" elsewhere (abstract) elevates it beyond the data; IHC result is from methylation proxy, not measured IHC	CLAIM_LANGUAGE_MATRIX.md	IHC proxy row	OVERCLAIM	"Immediate translational deployment" in abstract must be qualified; Discussion framing is more balanced but abstract language sets a higher bar than the data supports
