sample_id	dataset	condition	n_spots	mean_RAI_8_score_raw_all	mean_RAI_8_score_raw_epi50	mean_RAI_8_score_raw_epi25	mean_DM1_like_score_raw_all	mean_DM1_like_score_raw_epi50	mean_DM1_like_score_raw_epi25	mean_TDS_overlap_score_raw_all	mean_Epithelial_score_raw_all	mean_Proliferation_score_raw_all	mean_THYROID_NONOVERLAP_score_raw_all	mean_THYROID_NONOVERLAP_score_resid_epi25	mean_DM1_like_score_resid_epi25	available_normalizations	notes
GSM7980870_LPTC-3	GSE250521	LPTC	3336	-8.667916667400031e-09	0.21211691353458031	0.18592061824664266	8.667916667400031e-09	-0.21211691353458031	-0.18592061824664266	4.333546013109343e-09	1.5154760198686343e-08	5.2461690419494204e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980871_LPTC-4	GSE250521	LPTC	4707	5.598400255288993e-09	0.18680481158132115	0.18160515822438403	-5.598400255288993e-09	-0.18680481158132115	-0.18160515822438403	-1.3100925218166071e-08	7.700871149619711e-08	4.748359251576893e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980872_ATC-1	GSE250521	ATC	4715	3.898831173215973e-09	0.003391377832255724	0.0015977557956395234	-3.898831173215973e-09	-0.003391377832255724	-0.0015977557956395234	4.365961822401081e-09	-2.7884105831250027e-08	2.2737657260777166e-08				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980873_ATC-2	GSE250521	ATC	2354	1.8326253170524734e-09	0.016268707429906545	0.03442790325297113	-1.8326253170524734e-09	-0.016268707429906545	-0.03442790325297113	2.5841121501651954e-09	-6.0093372981412385e-09	-7.1194052522475226e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980874_ATC-3	GSE250521	ATC	1621	-4.929056041931781e-10	-0.0010431356757089913	0.0022536693152709407	4.929056041931781e-10	0.0010431356757089913	-0.0022536693152709407	3.2819247411569633e-09	-7.338408389422073e-09	-3.718703639681658e-08				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7980875_ATC-4	GSE250521	ATC	2586	-1.1336670530915758e-08	0.028508367573936582	-0.03926279726584234	1.1336670530915758e-08	-0.028508367573936582	0.03926279726584234	-8.736505415472594e-09	-1.9989176341144843e-08	-7.136395974289843e-09				raw_within_sample_z; sample-level depth-corrected residual via depth_corrected_trend.py (epi-only, score-level)	Cancer progression cohort; depth-corrected per-gene residualization not in original scoring run; refer to depth_corrected_trend.csv for sample-mean resid trend
GSM7221915_P1	GSE230424	PTC_HT	3566	2.206451486304301e-08	0.3670549267130847	0.4796970143377018	-2.206451486304301e-08	-0.3670549267130847	-0.4796970143377018	2.493031408034424e-08	-3.072728547829892e-08	-3.936090853014913e-09	-2.772887268511592e-08	0.1904792698533961	-0.2940545275888461	raw_within_sample_z + per-gene depth-residualized z	PTC + Hashimoto-overlap; per-patient HT vs PTC+HT split unavailable in GEO metadata; user spec=all PTC+HT
GSM7221916_P2	GSE230424	PTC_HT	3005	4.333552079608425e-08	0.2464704214703259	0.2692194738589096	-4.333552079608425e-08	-0.2464704214703259	-0.2692194738589096	4.7472752076149617e-08	6.4902851941783695e-09	-8.414808645632649e-09	-1.2189098174502582e-08	0.0684526499825262	-0.1020870777170757	raw_within_sample_z + per-gene depth-residualized z	PTC + Hashimoto-overlap; per-patient HT vs PTC+HT split unavailable in GEO metadata; user spec=all PTC+HT
GSM7221917_P3	GSE230424	PTC_HT	2961	1.3911503982100136e-08	0.2798939110287644	0.3755527770995142	-1.3911503982100136e-08	-0.2798939110287644	-0.3755527770995142	5.505856129904826e-09	1.3434012159441826e-08	5.268655851798192e-09	1.2212850385316821e-08	0.1690232515427343	-0.159789967128888	raw_within_sample_z + per-gene depth-residualized z	PTC + Hashimoto-overlap; per-patient HT vs PTC+HT split unavailable in GEO metadata; user spec=all PTC+HT
GSM7221918_P4	GSE230424	PTC_HT	4601	4.475131493253624e-08	0.1820694837730986	0.1964268512337967	-4.475131493253624e-08	-0.1820694837730986	-0.1964268512337967	5.0235068462336796e-08	2.9581703110495432e-08	-1.5781568271283107e-10	1.0873501846414618e-08	0.0735588774075002	-0.0716282940858711	raw_within_sample_z + per-gene depth-residualized z	PTC + Hashimoto-overlap; per-patient HT vs PTC+HT split unavailable in GEO metadata; user spec=all PTC+HT
GSM7908359_C1	GSE248205	CONTROL	1064	-2.8334144736395334e-08	0.1903283989381015	0.2312468666593985	2.8334144736395334e-08	-0.1903283989381015	-0.2312468666593985	-4.531231202868229e-08	-8.466560154717304e-09	-1.133270675714369e-08	-4.907128759141304e-08	0.0335344707503057	-0.0532194501910339	raw_within_sample_z + per-gene depth-residualized z	Autoimmune thyroid (no cancer); CONTROL/HT/GD; PMID 39003267
GSM7908360_C2	GSE248205	CONTROL	1744	-5.75588130735864e-08	0.1071817042277867	0.108531214128211	5.75588130735864e-08	-0.1071817042277867	-0.108531214128211	-8.320704415333902e-08	-1.0134495402666464e-08	1.2500000030979703e-09	-4.530177743636874e-09	-0.0044323076130172	-0.0049628588569265	raw_within_sample_z + per-gene depth-residualized z	Autoimmune thyroid (no cancer); CONTROL/HT/GD; PMID 39003267
GSM7908361_HT1	GSE248205	HT	1927	4.0078142246439584e-09	0.3317991512843361	0.6577239333952283	-4.0078142246439584e-09	-0.3317991512843361	-0.6577239333952283	-1.511996887008646e-08	2.1407924228582423e-08	-1.1039880626348737e-08	-2.400546964207989e-08	0.4012794939987963	-0.5424896249416963	raw_within_sample_z + per-gene depth-residualized z	Autoimmune thyroid (no cancer); CONTROL/HT/GD; PMID 39003267
GSM7908362_HT2	GSE248205	HT	2595	-5.783217726757892e-09	0.2421326537266563	0.3051069827489985	5.783217726757892e-09	-0.2421326537266563	-0.3051069827489985	-3.5941641657739302e-09	-3.3132154133162504e-08	-4.616418887835997e-09	-1.1087976879449598e-08	0.1071479674769101	-0.1336556603825108	raw_within_sample_z + per-gene depth-residualized z	Autoimmune thyroid (no cancer); CONTROL/HT/GD; PMID 39003267
GSM7908363_HT3	GSE248205	HT	1980	1.1541313131229572e-08	0.310642688684303	0.5218531662619393	-1.1541313131229572e-08	-0.310642688684303	-0.5218531662619393	2.3240742425046374e-08	1.3865848481070588e-08	-1.1112643933672368e-08	7.578044950698275e-09	0.3485261735134457	-0.4325771257840491	raw_within_sample_z + per-gene depth-residualized z	Autoimmune thyroid (no cancer); CONTROL/HT/GD; PMID 39003267
GSM7908364_GD1	GSE248205	GD	2266	-6.420303221457915e-08	0.1229925211849549	0.1184361372185608	6.420303221457915e-08	-0.1229925211849549	-0.1184361372185608	-1.0776063547776657e-07	2.6524779350487665e-08	-4.71932479170103e-09	-6.368411297572642e-08	0.0137744465911999	-0.0547861555946178	raw_within_sample_z + per-gene depth-residualized z	Autoimmune thyroid (no cancer); CONTROL/HT/GD; PMID 39003267
GSM7908365_GD2	GSE248205	GD	2005	4.5833321694773875e-08	0.2027062477902392	0.2333665271108765	-4.5833321694773875e-08	-0.2027062477902392	-0.2333665271108765	5.903840897942809e-08	-3.218960597369351e-08	-9.034413956871171e-09	6.878563582509138e-09	0.0435046342914171	-0.0544677269745065	raw_within_sample_z + per-gene depth-residualized z	Autoimmune thyroid (no cancer); CONTROL/HT/GD; PMID 39003267
GSM7908366_GD3	GSE248205	GD	1969	1.4057516504950232e-08	0.1776149553616243	0.1828454675462474	-1.4057516504950232e-08	-0.1776149553616243	-0.1828454675462474	1.5918547486434713e-08	-2.050136108820773e-08	5.952260049329511e-09	1.647476739354076e-08	0.0406433570491596	-0.0863723453001549	raw_within_sample_z + per-gene depth-residualized z	Autoimmune thyroid (no cancer); CONTROL/HT/GD; PMID 39003267
