class	method	wave	category	no_overlap_AUROC	no_overlap_AUPRC	no_overlap_n	no_overlap_n_pos	in_master_AUROC	combined_AUROC	use	caveat	training_data_summary	training_data_source	training_overlap_risk	paper_disposition	provenance_confidence	training_data_note	source_urls	strict_no_tcr_self_AUROC	strict_no_tcr_self_AUPRC	strict_n	strict_n_pos
MHC-I	VQC	wave2/10	quantum	0.597343295973433	0.4284924125231237	106.0	33.0	0.6007943512797882	0.5985213757634201	negative/supp	no advantage	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; quantum/VQC or quantum-kernel models using PCA/structure-derived local features; some runs trained on capped train subsets for speed.	local wave2/wave7 scripts	low/medium: known local train pool; internal tuning/model-selection risk	quantum branch candidate / not primary claim yet	local_verified	keep as active branch; requires locked external validation before paper claim	local: wave2/train_vqc.py; wave2/train_quantum_kernel_svm.py; wave7/train_w7.py				
MHC-I	GP_quantum	wave2/10	quantum	0.5828144458281445	0.4394291000241095	106.0	33.0	0.587819947043248	0.5869897139183542	negative/supp	no advantage	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; quantum/VQC or quantum-kernel models using PCA/structure-derived local features; some runs trained on capped train subsets for speed.	local wave2/wave7 scripts	low/medium: known local train pool; internal tuning/model-selection risk	quantum branch candidate / not primary claim yet	local_verified	keep as active branch; requires locked external validation before paper claim	local: wave2/train_vqc.py; wave2/train_quantum_kernel_svm.py; wave7/train_w7.py				
MHC-I	DeepImmuno	wave3/10	public pretrained	0.5790784557907845	0.4131526440540058	106.0	33.0	0.8025595763459842	0.7019045323047252	caveated comparator	training corpus unresolved; inflated on in-master	DeepImmuno-CNN public immunogenicity model; >9,000 IEDB T-cell assay records filtered to 8,971 peptide-HLA instances from IEDB as of 2020-08-13; evaluated on TESLA/COVID independent sets	DeepImmuno Briefings in Bioinformatics paper	unresolved/high: IEDB/TESLA-style immunogenicity training/evaluation; local in-master inflation	caveated comparator	paper_reported	not clean external; inflation gap makes it supplement-only	https://academic.oup.com/bib/article/22/6/bbab160/6261914				
MHC-I	PRIME	wave3/9/10	public pretrained	0.572436695724367	0.3569985346429762	106.0	33.0	0.5638570167696382	0.5673015107682416	caveated comparator	flat but modest; public-training caveat	PRIME public immunogenicity predictor; reported curated 4,958 peptide dataset with pathogen/cancer-testis and cancer mutation immunogenicity labels, plus antigen-presentation/TCR-recognition features	PRIME Cell Reports Medicine paper	unresolved/high: direct immunogenicity public training; benchmark overlap cannot be excluded without row-level audit	caveated comparator	paper_reported	flat but modest locally; keep as public immunogenicity comparator	https://pubmed.ncbi.nlm.nih.gov/33665637/; https://pmc.ncbi.nlm.nih.gov/articles/PMC7897774/	0.5686274509803921	0.3029491629024763	89.0	21.0
MHC-I	W7A_full	wave7	synthesis	0.5649647156496472	0.3551138398452228	106.0	33.0	0.8502206531332746	0.7622950819672131	negative/supp	combination hurts	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; quantum/VQC or quantum-kernel models using PCA/structure-derived local features; some runs trained on capped train subsets for speed.	local wave2/wave7 scripts	low/medium: known local train pool; internal tuning/model-selection risk	quantum branch candidate / not primary claim yet	local_verified	keep as active branch; requires locked external validation before paper claim	local: wave2/train_vqc.py; wave2/train_quantum_kernel_svm.py; wave7/train_w7.py				
MHC-I	TransPHLA	wave3/9/10	public pretrained	0.5550020755500208	0.3462126210337717	106.0	33.0	0.5831996434937612	0.5797004654928152	caveated comparator	training corpus unresolved	TransPHLA public pHLA binding transformer; positive pHLA binders from Anthem plus IEDB, EPIMHC, MHCBN, SYFPEITHI, MS HLA ligands, and training sets of other pHLA tools; negatives sampled from IEDB immunopeptidome source proteins	TransPHLA Nature Machine Intelligence paper	unresolved/high: broad public binder/MS-ligand training; binding endpoint only	caveated binder comparator	paper_reported	not direct immunogenicity; weak no-overlap here	https://www.nature.com/articles/s42256-022-00459-7; https://xlab.sjtu.edu.cn/pdf/2022-NMI-TransMut.pdf				
MHC-I	W7B_stacked	wave7	synthesis	0.5512660855126609	0.3408863218677792	106.0	33.0	0.8975286849073257	0.8019929283188685	negative/supp	good combined; weak no-overlap	local stack/ensemble over existing model predictions; local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; some variants explicitly fit on ITSNdb in-master rows.	local wave4c/wave7 ensemble artifacts	high: stacking inflates in-master and is not fair as a primary external method	negative/supplement	local_verified	use to demonstrate why naive ensembling is unsafe	local: wave4c/ensemble_predictions.tsv; wave7/predictions_combined.tsv				
MHC-I	NetMHCpan_4.1	wave3/9/10	public pretrained binder	0.5502283105022832	0.3456829447347427	106.0	33.0	0.5709179170344219	0.5668796207007393	caveated comparator	binding-only; public-training caveat	NetMHCpan 4.1 public ANN; >850,000 quantitative binding-affinity and MS-eluted-ligand peptides across MHC-I molecules	DTU NetMHCpan 4.1 service docs	unresolved/high: public BA/EL training; not immunogenicity-specific; overlap with IEDB-like benchmark cannot be excluded without train data audit	caveated binder comparator	official_doc	binding/presentation proxy, not immunogenicity model	https://services.healthtech.dtu.dk/services/NetMHCpan-4.1/	0.5427170868347339	0.2876618201330079	89.0	21.0
MHC-I	MHCnuggets_2	wave9	public pretrained	0.5205479452054794	0.3608166862351802	106.0	33.0	0.7097209720972097	0.6474186444825054	negative/supp	near chance on no-overlap	public MHC class I/II binding predictor; paper describes IEDB-curated binding data and allele-specific transfer learning	MHCnuggets paper / IEDB-derived training	unresolved/high: IEDB-derived training; endpoint is binding, not direct immunogenicity	negative/supplement	paper_reported	near chance on no-overlap in this benchmark	https://www.cs.jhu.edu/~rohit/research/mhcnuggets_paper.pdf				
MHC-I	TENT	wave4b	test-time adaptation	0.4859154929577465	0.3158346363731981	103.0	32.0	0.8742115027829314	0.750531236719082	negative/supp	below chance/no-overlap	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; surrogate ESM2 head plus test-time entropy minimization on ITSNdb test rows.	local wave4b m6_tent.py	high: adaptation directly on test distribution; no-overlap below chance	negative/supplement	local_verified	not paper-primary	local: wave4b/m6_tent.py				
MHC-I	MultiTask_full	wave5b	local deep multitask	0.4793133802816901	0.3121089208680854	103.0	32.0	0.910204081632653	0.7744581385465363	ablation	small lift but below chance/no-overlap	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local deep multitask variants built from ESM/peptide-HLA features and auxiliary supervision.	local wave5b scripts	medium/high: strong in-master performance, below-chance no-overlap; likely dataset/source shortcut	negative ablation	local_verified	do not headline; useful as failure mode	local: wave5b/train_multitask.py				
MHC-I	MultiTask_AD	wave5b	local deep multitask	0.474031690140845	0.3262497441018574	103.0	32.0	0.9264378478664194	0.7925201869953251	ablation	below chance/no-overlap	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local deep multitask variants built from ESM/peptide-HLA features and auxiliary supervision.	local wave5b scripts	medium/high: strong in-master performance, below-chance no-overlap; likely dataset/source shortcut	negative ablation	local_verified	do not headline; useful as failure mode	local: wave5b/train_multitask.py				
MHC-I	MultiTask_AC	wave5b	local deep multitask	0.4727112676056338	0.3070613342155925	103.0	32.0	0.9204081632653062	0.7873778155546111	ablation	below chance/no-overlap	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local deep multitask variants built from ESM/peptide-HLA features and auxiliary supervision.	local wave5b scripts	medium/high: strong in-master performance, below-chance no-overlap; likely dataset/source shortcut	negative ablation	local_verified	do not headline; useful as failure mode	local: wave5b/train_multitask.py				
MHC-I	MultiTask_AB	wave5b	local deep multitask	0.4630281690140845	0.304920770225303	103.0	32.0	0.9252319109461966	0.7903527411814705	ablation	below chance/no-overlap	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local deep multitask variants built from ESM/peptide-HLA features and auxiliary supervision.	local wave5b scripts	medium/high: strong in-master performance, below-chance no-overlap; likely dataset/source shortcut	negative ablation	local_verified	do not headline; useful as failure mode	local: wave5b/train_multitask.py				
MHC-I	NetMHCstabpan	wave9	public pretrained stability	0.4578663345786633	0.303353154985761	106.0	33.0	0.533936451897617	0.5093619414979106	negative/supp	wrong biology step; below chance	NetMHCstabpan public ANN; >25,000 quantitative peptide-MHC-I stability measurements covering 75 HLA molecules	DTU NetMHCstabpan service docs	medium/high: public stability training; biological endpoint mismatched to immunogenicity	negative/supplement	official_doc	below chance on no-overlap; keep as endpoint-mismatch control	https://services.healthtech.dtu.dk/services/NetMHCstabpan-1.0/				
MHC-I	MultiTask_A_only	wave5b	local deep single-task	0.4480633802816902	0.315678005120548	103.0	32.0	0.9387755102040816	0.8058648533786655	negative/supp	below chance/no-overlap	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local deep multitask variants built from ESM/peptide-HLA features and auxiliary supervision.	local wave5b scripts	medium/high: strong in-master performance, below-chance no-overlap; likely dataset/source shortcut	negative ablation	local_verified	do not headline; useful as failure mode	local: wave5b/train_multitask.py				
MHC-I	kNN	wave4b	retrieval	0.4250726442507264	0.3214697562904275	106.0	33.0	0.92171226831421	0.7854588556734168	negative/supp	memorizes/inflates in-master	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; retrieval over local ESM2 peptide embeddings, per-HLA train buckets with global fallback.	local wave4b m5_knn.py	high: retrieval/memorization behavior; in-master inflated	negative/supplement	local_verified	use to show retrieval without leakage control is unsafe	local: wave4b/m5_knn.py				
MHC-I	RF_biophys	wave11	local RF baseline	0.423412204234122	0.2718651545401681	106.0	33.0	0.8984995586937334	0.7531340405014465	negative/supp	collapses external after overlap audit	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local random forest/biophysical baseline from prior robustness audit.	local wave11 / robustness audit	medium/high: in-master inflation and external collapse after overlap audit	negative/supplement	local_verified	do not use as clean primary baseline	local: wave11 artifacts				
MHC-I	ESM2_Bayesian	wave1/10	local deep Bayesian	0.4106514084507042	0.2738878834649987	103.0	32.0	0.9384972170686456	0.7840628984275395	negative headline	canonical leakage-failure baseline	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; ESM2-150M frozen peptide/HLA-pseudo embeddings plus Bayesian MLP/deep ensemble trained on bundle train split.	local wave1 train_bayesian_neo.py	medium/high: huge in-master AUROC but no-overlap collapse; source/overlap shortcut baseline	negative headline baseline	local_verified	canonical failure baseline for leakage/generalization story	local: train_bayesian_neo.py	0.4642857142857143	0.2393167573955422	89.0	21.0
MHC-II	NetMHCIIpan / class-II peptide predictors	not run	would require HLA-DR/DQ/DP peptide benchmark							not evaluated	No class-II peptide immunogenicity endpoint/scoring output exists in p_neo_bayesian.	not run locally for peptide immunogenicity endpoint; NetMHCIIpan 4.3 itself is trained on >650,000 BA/EL measurements across HLA-DR/DQ/DP, H-2, BoLA-DRB3	local class-II status + DTU NetMHCIIpan docs	not comparable to current ITSNdb MHC-I endpoint	not evaluated	official_doc	requires separate class-II benchmark	https://services.healthtech.dtu.dk/services/NetMHCIIpan-4.3/				
MHC-II	HLA-DRA/DRB/DQA/DQB/DP expression/genotype analyses	other HLA/Paper2 dirs	HLA biology, not peptide predictor benchmark							not comparable	Search finds class-II HLA expression/reference-panel outputs, but they are not comparable to ITSNdb peptide AUROC.	not run locally for peptide immunogenicity endpoint; NetMHCIIpan 4.3 itself is trained on >650,000 BA/EL measurements across HLA-DR/DQ/DP, H-2, BoLA-DRB3	local class-II status + DTU NetMHCIIpan docs	not comparable to current ITSNdb MHC-I endpoint	not evaluated	official_doc	requires separate class-II benchmark	https://services.healthtech.dtu.dk/services/NetMHCIIpan-4.3/				
