histology	gene	hotspot	thca_tcga__n_mut	thca_tcga__n_test	thca_tcga__prev	thca_tcga_pan_can_atlas_2018__n_mut	thca_tcga_pan_can_atlas_2018__n_test	thca_tcga_pan_can_atlas_2018__prev	thca_tcga_pub__n_mut	thca_tcga_pub__n_test	thca_tcga_pub__prev	thpa_tcga_gdc__n_mut	thpa_tcga_gdc__n_test	thpa_tcga_gdc__prev	thyroid_gatci_2024__n_mut	thyroid_gatci_2024__n_test	thyroid_gatci_2024__prev	thyroid_mskcc_2016__n_mut	thyroid_mskcc_2016__n_test	thyroid_mskcc_2016__prev	pooled_n_mut	pooled_n_test	pooled_prevalence
Anaplatic Thyroid Cancer	NRAS	NRAS_codon13													2	190	0.010526315789473684				2	190	0.010526315789473684
Anaplatic Thyroid Cancer	NRAS	NRAS_codon61													17	190	0.08947368421052632				17	190	0.08947368421052632
Anaplatic Thyroid Cancer	NRAS	NRAS_other													0	190	0.0				0	190	0.0
Anaplatic Thyroid Cancer	TERT	C228T													0	190	0.0				0	190	0.0
Anaplatic Thyroid Cancer	TERT	C250T													0	190	0.0				0	190	0.0
Anaplatic Thyroid Cancer	TERT	TERT_any													0	190	0.0				0	190	0.0
Anaplatic Thyroid Cancer	TERT	TERT_promoter_other													0	190	0.0				0	190	0.0
Anaplatic Thyroid Cancer	TP53	TP53_any													55	190	0.2894736842105263				55	190	0.2894736842105263
Follicular Thyroid Cancer	BRAF	BRAF_any	18	86	0.20930232558139536																18	86	0.20930232558139536
Follicular Thyroid Cancer	BRAF	BRAF_other	4	86	0.046511627906976744																4	86	0.046511627906976744
Follicular Thyroid Cancer	BRAF	V600E	14	86	0.16279069767441862																14	86	0.16279069767441862
Follicular Thyroid Cancer	HRAS	HRAS_any	8	86	0.09302325581395349																8	86	0.09302325581395349
Follicular Thyroid Cancer	HRAS	HRAS_codon12	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	HRAS	HRAS_codon13	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	HRAS	HRAS_codon61	8	86	0.09302325581395349																8	86	0.09302325581395349
Follicular Thyroid Cancer	HRAS	HRAS_other	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	KRAS	KRAS_any	2	86	0.023255813953488372																2	86	0.023255813953488372
Follicular Thyroid Cancer	KRAS	KRAS_codon12	1	86	0.011627906976744186																1	86	0.011627906976744186
Follicular Thyroid Cancer	KRAS	KRAS_codon13	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	KRAS	KRAS_codon61	1	86	0.011627906976744186																1	86	0.011627906976744186
Follicular Thyroid Cancer	KRAS	KRAS_other	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	NRAS	NRAS_any	20	86	0.23255813953488372																20	86	0.23255813953488372
Follicular Thyroid Cancer	NRAS	NRAS_codon12	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	NRAS	NRAS_codon13	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	NRAS	NRAS_codon61	20	86	0.23255813953488372																20	86	0.23255813953488372
Follicular Thyroid Cancer	NRAS	NRAS_other	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	TERT	C228T	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	TERT	C250T	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	TERT	TERT_any	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	TERT	TERT_promoter_other	0	86	0.0																0	86	0.0
Follicular Thyroid Cancer	TP53	TP53_any	1	86	0.011627906976744186																1	86	0.011627906976744186
Papillary Thyroid Cancer	BRAF	BRAF_any	222	315	0.7047619047619048	287	490	0.5857142857142857	240	496	0.4838709677419355	293	496	0.5907258064516129							1042	1797	0.5798553144129104
Papillary Thyroid Cancer	BRAF	BRAF_other	1	315	0.0031746031746031746	3	490	0.006122448979591836	5	496	0.010080645161290322	4	496	0.008064516129032258							13	1797	0.007234279354479688
Papillary Thyroid Cancer	BRAF	V600E	221	315	0.7015873015873015	284	490	0.5795918367346938	235	496	0.4737903225806452	289	496	0.5826612903225806							1029	1797	0.5726210350584308
Papillary Thyroid Cancer	HRAS	HRAS_any	6	315	0.01904761904761905	16	490	0.0326530612244898	14	496	0.028225806451612902	17	496	0.034274193548387094							53	1797	0.02949360044518642
Papillary Thyroid Cancer	HRAS	HRAS_codon12	0	315	0.0	0	490	0.0	0	496	0.0	0	496	0.0							0	1797	0.0
Papillary Thyroid Cancer	HRAS	HRAS_codon13	0	315	0.0	0	490	0.0	0	496	0.0	0	496	0.0							0	1797	0.0
Papillary Thyroid Cancer	HRAS	HRAS_codon61	6	315	0.01904761904761905	16	490	0.0326530612244898	14	496	0.028225806451612902	17	496	0.034274193548387094							53	1797	0.02949360044518642
Papillary Thyroid Cancer	HRAS	HRAS_other	0	315	0.0	0	490	0.0	0	496	0.0	0	496	0.0							0	1797	0.0
Papillary Thyroid Cancer	KRAS	KRAS_any	2	315	0.006349206349206349	4	490	0.00816326530612245	4	496	0.008064516129032258	4	496	0.008064516129032258							14	1797	0.0077907623817473565
Papillary Thyroid Cancer	KRAS	KRAS_codon12	0	315	0.0	1	490	0.0020408163265306124	1	496	0.0020161290322580645	1	496	0.0020161290322580645							3	1797	0.001669449081803005
Papillary Thyroid Cancer	KRAS	KRAS_codon13	0	315	0.0	0	490	0.0	0	496	0.0	0	496	0.0							0	1797	0.0
Papillary Thyroid Cancer	KRAS	KRAS_codon61	2	315	0.006349206349206349	3	490	0.006122448979591836	3	496	0.006048387096774193	3	496	0.006048387096774193							11	1797	0.006121313299944352
Papillary Thyroid Cancer	KRAS	KRAS_other	0	315	0.0	0	490	0.0	0	496	0.0	0	496	0.0							0	1797	0.0
Papillary Thyroid Cancer	NRAS	NRAS_any	14	315	0.044444444444444446	39	490	0.07959183673469387	34	496	0.06854838709677419	39	496	0.07862903225806452							126	1797	0.07011686143572621
Papillary Thyroid Cancer	NRAS	NRAS_codon12	0	315	0.0	0	490	0.0	0	496	0.0	0	496	0.0							0	1797	0.0
Papillary Thyroid Cancer	NRAS	NRAS_codon13	0	315	0.0	0	490	0.0	0	496	0.0	0	496	0.0							0	1797	0.0
Papillary Thyroid Cancer	NRAS	NRAS_codon61	14	315	0.044444444444444446	39	490	0.07959183673469387	34	496	0.06854838709677419	39	496	0.07862903225806452							126	1797	0.07011686143572621
Papillary Thyroid Cancer	NRAS	NRAS_other	0	315	0.0	0	490	0.0	0	496	0.0	0	496	0.0							0	1797	0.0
Papillary Thyroid Cancer	TERT	C228T	0	315	0.0	0	490	0.0	28	496	0.056451612903225805	0	496	0.0							28	1797	0.015581524763494713
Papillary Thyroid Cancer	TERT	C250T	0	315	0.0	0	490	0.0	8	496	0.016129032258064516	0	496	0.0							8	1797	0.004451864218141347
Papillary Thyroid Cancer	TERT	TERT_any	0	315	0.0	0	490	0.0	36	496	0.07258064516129033	0	496	0.0							36	1797	0.02003338898163606
Papillary Thyroid Cancer	TERT	TERT_promoter_other	0	315	0.0	0	490	0.0	0	496	0.0	0	496	0.0							0	1797	0.0
Papillary Thyroid Cancer	TP53	TP53_any	2	315	0.006349206349206349	2	490	0.004081632653061225	3	496	0.006048387096774193	3	496	0.006048387096774193							10	1797	0.005564830272676683
Poorly Differentiated Thyroid Carcinoma	BRAF	BRAF_any																28	84	0.3333333333333333	28	84	0.3333333333333333
Poorly Differentiated Thyroid Carcinoma	BRAF	BRAF_other																0	84	0.0	0	84	0.0
Poorly Differentiated Thyroid Carcinoma	BRAF	V600E																28	84	0.3333333333333333	28	84	0.3333333333333333
Poorly Differentiated Thyroid Carcinoma	HRAS	HRAS_any																4	84	0.047619047619047616	4	84	0.047619047619047616
Poorly Differentiated Thyroid Carcinoma	HRAS	HRAS_codon12																0	84	0.0	0	84	0.0
Poorly Differentiated Thyroid Carcinoma	HRAS	HRAS_codon13																0	84	0.0	0	84	0.0
Poorly Differentiated Thyroid Carcinoma	HRAS	HRAS_codon61																4	84	0.047619047619047616	4	84	0.047619047619047616
Poorly Differentiated Thyroid Carcinoma	HRAS	HRAS_other																0	84	0.0	0	84	0.0
Poorly Differentiated Thyroid Carcinoma	KRAS	KRAS_any																2	84	0.023809523809523808	2	84	0.023809523809523808
Poorly Differentiated Thyroid Carcinoma	KRAS	KRAS_codon12																0	84	0.0	0	84	0.0
Poorly Differentiated Thyroid Carcinoma	KRAS	KRAS_codon13																0	84	0.0	0	84	0.0
Poorly Differentiated Thyroid Carcinoma	KRAS	KRAS_codon61																2	84	0.023809523809523808	2	84	0.023809523809523808
Poorly Differentiated Thyroid Carcinoma	KRAS	KRAS_other																0	84	0.0	0	84	0.0
Poorly Differentiated Thyroid Carcinoma	NRAS	NRAS_any																19	84	0.2261904761904762	19	84	0.2261904761904762
Poorly Differentiated Thyroid Carcinoma	NRAS	NRAS_codon12																0	84	0.0	0	84	0.0
Poorly Differentiated Thyroid Carcinoma	NRAS	NRAS_codon13																0	84	0.0	0	84	0.0
Poorly Differentiated Thyroid Carcinoma	NRAS	NRAS_codon61																19	84	0.2261904761904762	19	84	0.2261904761904762
Poorly Differentiated Thyroid Carcinoma	NRAS	NRAS_other																0	84	0.0	0	84	0.0
Poorly Differentiated Thyroid Carcinoma	TERT	C228T																28	84	0.3333333333333333	28	84	0.3333333333333333
Poorly Differentiated Thyroid Carcinoma	TERT	C250T																7	84	0.08333333333333333	7	84	0.08333333333333333
Poorly Differentiated Thyroid Carcinoma	TERT	TERT_any																34	84	0.40476190476190477	34	84	0.40476190476190477
Poorly Differentiated Thyroid Carcinoma	TERT	TERT_promoter_other																0	84	0.0	0	84	0.0
Poorly Differentiated Thyroid Carcinoma	TP53	TP53_any																7	84	0.08333333333333333	7	84	0.08333333333333333
Thyroid Cancer, NOS	BRAF	BRAF_any	2	4	0.5																2	4	0.5
Thyroid Cancer, NOS	BRAF	BRAF_other	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	BRAF	V600E	2	4	0.5																2	4	0.5
Thyroid Cancer, NOS	HRAS	HRAS_any	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	HRAS	HRAS_codon12	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	HRAS	HRAS_codon13	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	HRAS	HRAS_codon61	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	HRAS	HRAS_other	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	KRAS	KRAS_any	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	KRAS	KRAS_codon12	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	KRAS	KRAS_codon13	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	KRAS	KRAS_codon61	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	KRAS	KRAS_other	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	NRAS	NRAS_any	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	NRAS	NRAS_codon12	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	NRAS	NRAS_codon13	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	NRAS	NRAS_codon61	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	NRAS	NRAS_other	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	TERT	C228T	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	TERT	C250T	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	TERT	TERT_any	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	TERT	TERT_promoter_other	0	4	0.0																0	4	0.0
Thyroid Cancer, NOS	TP53	TP53_any	0	4	0.0																0	4	0.0
