cluster_1,,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell
CGA,TSHR,,,,,,,,,
VEGFA,FLT1,0.998,1.0,1.0,0.54,0.0,0.962,1.0,1.0,1.0
PLAUR,PLAU,0.96,0.2,0.978,1.0,0.022,1.0,0.884,0.002,0.862
OSM,LIFR,0.022,0.164,0.116,,,,0.006,0.0,0.026
VEGFA,KDR,,1.0,1.0,,0.0,0.862,,1.0,1.0
KDR,VEGFA,,,,1.0,0.0,1.0,1.0,0.862,1.0
HLA-G,CD160,,,,,,,,,
EDN1,EDNRB,,0.106,0.234,,0.25,0.592,,0.304,0.478
LAMA4,ITGA6,0.282,0.026,0.254,0.96,0.982,1.0,0.066,0.0,0.018
VWF,GP9,,,,,,,,,
VEGFD,FLT4,0.012,0.0,0.01,,,,0.208,0.03,0.578
CCL2,CCR4,,,,,,,,,
TG,TPO,1.0,1.0,1.0,0.03,0.0,0.0,1.0,1.0,1.0
HLA-G,KLRC1,,,,,,,,,
MMP9,LRP1,,,,0.0,1.0,0.0,0.0,1.0,0.0
MMRN2,CD93,0.13,0.97,0.0,0.026,1.0,0.0,0.046,0.98,0.0
TSPAN1,ITGA6,,,,0.486,0.0,0.556,1.0,1.0,1.0
MMRN2,CLEC14A,0.946,0.822,0.944,0.854,0.034,0.858,0.912,0.728,0.9
SAA1,CD36,0.0,0.034,0.0,0.026,1.0,0.0,0.0,0.0,0.0
LY6H,CD36,,,,,,,0.006,0.072,0.0
CCL11,ACKR1,0.0,0.018,0.0,,,,0.0,1.0,0.0
CCL13,ACKR1,0.0,0.982,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCL14,ACKR1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCL17,ACKR1,0.0,0.212,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCL2,ACKR1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCL5,ACKR1,0.0,0.002,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CXCL8,ACKR1,0.0,0.768,0.0,0.0,1.0,0.0,0.0,1.0,0.0
PPBP,ACKR1,,,,0.0,1.0,0.0,,,
CXCL1,ACKR1,,,,0.0,1.0,0.0,,,
CXCL2,ACKR1,,,,0.0,1.0,0.0,0.0,0.288,0.0
CXCL13,ACKR4,,0.24,0.154,,0.796,0.16,,0.362,0.206
CCL5,CCR4,,,,,,,,,
DEFB1,CCR6,,,,,,,,,
CCL23,FPR2,,,,,,,0.07,,
DCN,KDR,,0.0,0.0,,1.0,1.0,,0.0,0.0
GREM1,KDR,,0.584,0.954,,0.264,0.99,,0.014,0.38
APOE,LDLR,0.43,0.298,0.344,0.948,1.0,0.906,0.0,0.0,0.0
MDK,LRP1,0.0,0.638,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DLK1,NOTCH3,,,,,,,,,
DLL4,NOTCH3,0.03,0.77,0.054,0.012,0.992,0.014,,,
DLL1,NOTCH4,,,,0.476,0.144,0.902,0.438,0.204,0.82
JAG1,NOTCH4,0.272,0.194,0.348,0.504,0.57,0.922,0.388,0.292,0.588
DLK1,NOTCH4,,,,,,,,,
TNFSF14,TNFRSF6B,0.176,0.168,0.054,,,,0.106,0.01,0.012
SCT,RAMP2,,,,0.232,0.992,0.01,0.212,0.376,0.01
SCT,RAMP3,,,,0.002,1.0,0.0,0.0,0.596,0.0
SCT,TSHR,,,,1.0,0.0,1.0,1.0,0.018,1.0
COMP,CD36,0.0,0.0,0.0,0.194,1.0,0.002,0.0,0.0,0.0
CCL2,ACKR4,,0.0,0.0,,1.0,1.0,,0.0,0.0
CCL13,ACKR4,,0.866,0.8,,1.0,0.932,,0.0,0.0
CXCL6,ACKR1,,,,,,,,,
CEACAM6,STAB1,,,,0.0,1.0,0.0,0.068,1.0,0.0
THBS1,ITGA6,0.0,0.0,0.0,0.996,1.0,1.0,0.0,0.0,0.0
THBS1,CD36,0.0,0.0,0.0,0.122,1.0,0.0,0.0,0.0,0.0
VWF,SCARA5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FGF7,FGFR4,,,,,,,,,
PTH2,TSHR,,,,,,,,,
TFF2,MUC6,,,,,,,,,
TFF1,MUC5AC,,,,,,,,,
S100A1,RYR2,,,,,,,,,
SCGB3A1,MARCO,,,,0.29,0.54,0.646,0.234,0.196,0.474
ANGPTL4,GPIHBP1,,,,,,,,,
ANGPTL4,TIE1,0.116,0.146,0.148,0.296,0.806,0.524,0.284,0.398,0.424
IGF1,INSR,0.0,0.0,0.0,0.998,1.0,1.0,0.0,0.0,0.0
PCSK9,LDLR,,,,,,,,,
CXCL11,ACKR1,,,,0.0,1.0,0.0,,,
ANGPT2,TIE1,0.512,0.772,0.746,0.3,0.896,0.52,0.068,0.012,0.074
CALCA,TSHR,,,,,,,,,
THBS2,NOTCH4,0.0,0.0,0.0,0.854,1.0,0.998,0.0,0.0,0.0
THBS2,ITGA6,0.006,0.0,0.0,0.994,1.0,1.0,0.0,0.0,0.0
THBS2,CD36,0.0,0.0,0.0,0.066,1.0,0.0,0.0,0.0,0.0
S100A8,CD36,0.018,0.534,0.0,0.014,1.0,0.0,0.002,0.034,0.0
S100A12,CD36,,,,,,,,,
S100A9,CD36,0.08,0.608,0.002,0.024,1.0,0.0,0.0,0.0,0.0
CALCB,TSHR,,,,,,,,,
MDK,ITGA6,0.498,0.186,0.504,0.974,1.0,1.0,0.0,0.0,0.0
ADM,TSHR,1.0,0.994,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CGA,RAMP3,,,,,,,,,
CXCL8,CD79A,0.278,0.526,0.304,0.056,0.11,0.016,0.916,1.0,0.976
PTH2,RAMP3,,,,,,,,,
APOE,LRP1,0.0,0.596,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PCSK9,LRP1,,,,,,,,,
THBS1,LRP1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VWF,LRP1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CGA,RAMP2,,,,,,,,,
CCL11,ACKR4,,0.0,0.0,,,,,0.068,0.044
CCL7,ACKR4,,,,,,,,,
CCL8,ACKR4,,0.094,0.068,,,,,0.25,0.12
S100A9,CD68,0.168,0.738,0.0,0.128,1.0,0.0,0.002,0.0,0.0
S100A8,CD68,0.098,0.794,0.0,0.112,1.0,0.0,0.034,0.19,0.0
PTH2,RAMP2,,,,,,,,,
TNF,FLT4,,,,,,,,,
THBS2,NOTCH3,0.0,0.0,0.0,0.038,1.0,0.08,0.0,0.0,0.0
SCGB3A1,NOTCH3,,,,0.014,1.0,0.02,0.008,0.744,0.014
CXCL8,KDR,,0.482,0.812,,0.0,0.98,,0.994,1.0
CXCL9,FCGR2A,,,,0.302,0.988,0.002,0.258,0.354,0.0
VEGFD,FLT1,0.142,0.0,0.374,,,,0.608,0.02,0.982
TNF,ICOS,,,,,,,,,
IL6,F3,0.002,0.0,0.0,0.224,1.0,0.002,0.0,0.0,0.0
CXCL12,CCR4,,,,,,,,,
CCL3,CCR4,,,,,,,,,
PTN,PTPRB,0.938,0.63,0.448,0.948,0.644,0.26,0.8,0.14,0.112
CCL8,ACKR1,0.0,0.812,0.0,,,,0.0,1.0,0.0
EDN1,ADGRL4,0.056,0.134,0.156,0.126,0.88,0.376,0.11,0.404,0.344
MDK,TSPAN1,,0.056,1.0,,0.0,1.0,,0.0,1.0
CCL1,ACKR1,,,,,,,,,
IGF1,ITGA6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
CCL18,ACKR1,0.0,0.934,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CXCL3,ACKR1,,,,0.0,1.0,0.0,,,
CXCL5,ACKR1,,,,0.0,1.0,0.0,,,
CXCL9,ACKR1,,,,0.0,1.0,0.0,0.0,0.648,0.0
CXCL10,ACKR1,0.0,0.988,0.0,0.0,1.0,0.0,0.0,0.822,0.0
CXCL13,ACKR1,0.0,0.79,0.0,0.0,1.0,0.0,0.0,0.998,0.0
CCL7,ACKR1,,,,,,,,,
SPP1,ITGB6,,0.852,1.0,,0.0,1.0,,0.844,1.0
ANGPTL4,CDH5,0.254,0.148,0.12,0.752,0.808,0.312,0.586,0.394,0.302
ANGPTL4,CDH11,0.004,0.18,0.026,0.006,0.998,0.008,0.004,0.478,0.03
SLC1A2,GRIA1,,,,,,,,,
SLC1A6,GRIA1,,,,,,,,,
APOE,TYROBP,0.118,0.456,0.0,0.148,1.0,0.0,0.0,0.0,0.0
CCL20,ACKR4,,,,,0.02,0.094,,0.982,0.894
FAM3D,FPR2,,,,,,,,,
HLA-G,KLRD1,,,,,,,,,
FGFR4,MCAM,,,,,,,,,
LAIR2,FGFR4,,,,,,,,,
IL2,DLK1,,,,,,,,,
TNFSF9,FCRL1,,,,,,,,,
DCN,LRP1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IFNG,MPL,,,,,,,,,
TPO,MPL,,,,,,,,,
HAPLN1,IL1RL1,,,,,,,,,
SEMA3G,FCGR2A,0.334,0.654,0.002,0.304,0.992,0.002,,,
VCAM1,VCAM1,0.012,0.012,0.0,0.012,1.0,0.0,0.0,0.0,0.0
CCL5,ACKR4,,0.0,0.0,,1.0,0.984,,0.0,0.0
FLT4,FCRL1,,,,,,,,,
CRLF1,LIFR,0.0,0.0,0.0,0.094,1.0,0.678,0.0,0.0,0.0
PCSK9,CD36,,,,,,,,,
THBS1,GP9,,,,,,,,,
EFNB2,FCRL1,,,,,,,,,
VCAN,LDLR,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
CEACAM5,CEACAM6,,,,,,,,,
CEACAM6,CEACAM5,,,,,,,,,
CCN1,ITGA6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
CCL3L1,CCR4,,,,,,,,,
CTSG,CXCL12,0.0,1.0,0.0,,,,0.0,0.192,0.0
KDR,FLT1,,,,0.67,0.0,0.998,0.904,0.98,1.0
KDR,CDH5,,,,0.692,0.102,0.2,0.916,0.99,0.74
CXCL8,MMP9,,0.498,0.648,,0.002,0.75,,0.998,0.998
CCL22,CCR7,,0.578,0.342,,0.986,0.098,,0.014,0.004
FLT4,KDR,,0.298,0.756,,0.012,0.988,,0.764,0.986
KDR,FLT4,,,,0.298,0.012,0.764,0.756,0.988,0.986
THBS1,MMP2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NPPA,MME,,,,,,,,,
THBS1,MMP9,,0.0,0.0,,1.0,1.0,,0.0,0.0
SFTPA1,SFTPA2,1.0,1.0,,0.882,0.0,,1.0,1.0,
KDR,PLCG2,,,,0.016,0.374,0.03,0.198,0.992,0.668
IFNG,TNF,,,,,,,,,
PRSS3,F2RL3,,,,,,,,,
CSF1,TNF,,,,,,,,,
KDR,HSP90AA1,,,,0.744,0.004,0.99,0.844,0.946,0.992
THBS1,ELANE,,,,,,,,,
AREG,MMP9,,0.188,0.364,,0.996,0.92,,0.0,0.002
IL1RN,IL2RA,0.012,0.934,0.03,0.0,1.0,0.0,0.002,0.756,0.0
CCL1,ACKR4,,,,,,,,,
CTSG,F2RL3,0.828,0.06,0.422,,,,0.438,0.0,0.052
PRSS2,F2RL3,,,,,,,,,
PRSS1,F2RL3,,,,,,,,,
THBS4,CD36,0.0,0.0,0.0,0.034,1.0,0.0,0.0,0.0,0.0
MDK,PTPRB,0.422,0.208,0.154,0.998,1.0,0.612,0.0,0.0,0.0
CSF2,CSF2,,,,,0.018,,,,
IFNG,IFNG,,,,,,,,,
IL13,IL13,,,,,,,,,
IL1A,IL1B,,,,,,,,,
IL1B,IL1B,,,,,,,,,
IL1RN,IL1B,,,,,,,,,
IL2,IL2,,,,,,,,,
IL22,IL22,,,,,,,,,
IL6,IL6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CLU,TYROBP,0.92,1.0,0.0,0.048,1.0,0.0,0.928,1.0,0.0
ICOS,CD40LG,,,,,,,,,
CCL26,CXCR6,,,,,,,,0.154,0.002
VEGFA,MMP9,,1.0,1.0,,0.0,0.426,,1.0,1.0
OSM,CXCL10,0.554,0.124,0.106,,,,0.42,0.0,0.026
THBS1,VCAM1,0.0,0.0,0.0,0.248,1.0,0.206,0.0,0.0,0.0
IFNG,TYMS,,,,,,,,,
CSF1,VEGFA,0.832,0.0,0.594,1.0,0.004,1.0,0.988,0.0,0.99
VEGFA,CSF1,0.832,1.0,0.988,0.0,0.004,0.0,0.594,1.0,0.99
CSF2,FLT1,,,,0.684,0.0,0.998,,,
IFNG,CD74,,,,,,,,,
CCL1,CCR7,,,,,,,,,
IL6,IL17A,,,,,,,,,
IL10,PTGS2,,,,,,,0.0,0.0,0.192
CXCL1,CXCR6,,,,,0.702,0.002,,,
VWF,THBS1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
XCL2,CCR7,,,,,,,,,
XCL1,CCR4,,,,,,,,,
CSF2,PLAU,,,,0.998,0.0,1.0,,,
STC1,TNF,,,,,,,,,
CSF2,CD1A,,,,0.312,0.01,,,,
CSF2,MMP9,,,,,0.008,0.798,,,
IFNG,PTGS2,,,,,,,,,
CXCL8,CCR6,0.186,0.568,0.09,0.034,0.688,0.0,0.696,1.0,0.48
CTSG,THBD,0.0,0.386,0.0,,,,0.0,0.0,0.0
CCL2,TNF,,,,,,,,,
IL13,CXCL12,,,,,,,,,
IL10,VEGFA,,,,,,,1.0,0.0,1.0
PPBP,CCR4,,,,,,,,,
CXCL2,CXCR6,,,,,0.948,0.002,,0.03,0.004
CXCL13,CCR6,0.056,0.294,0.008,0.044,1.0,0.0,0.046,0.534,0.0
IL2,CXCL12,,,,,,,,,
IL6,VEGFA,0.978,0.0,0.962,1.0,0.068,1.0,0.876,0.0,0.63
CCL8,CCR4,,,,,,,,,
CD40LG,C3,,,,,,,,,
CXCL14,CCR7,,0.0,0.0,,1.0,1.0,,0.0,0.0
CXCL11,CCR6,,,,0.038,0.994,0.0,,,
CXCL11,CXCR6,,,,,0.676,0.002,,,
CXCL12,CCR6,0.0,0.0,0.0,0.662,1.0,0.258,0.0,0.0,0.0
CXCL9,CCR4,,,,,,,,,
IL2,IDO1,,,,,,,,,
CCL1,CXCR6,,,,,,,,,
CCL11,PIK3C2G,,,,,,,,,
IL1B,PLAUR,,,,,,,,,
CCL7,CCR7,,,,,,,,,
XCL1,CCR7,,0.026,0.012,,,,,,
CSF3,MMP9,,0.01,0.216,,,,,0.0,0.186
IL1B,CSF1,,,,,,,,,
CSF2,CDH11,,,,0.004,0.998,0.006,,,
ADIPOQ,TNF,,,,,,,,,
TNF,CDK6,,,,,,,,,
CCL4,CCR7,,0.082,0.04,,1.0,0.314,,0.0,0.0
CXCL1,CCR7,,,,,0.362,0.064,,,
CCL13,CCR6,0.5,0.904,0.338,0.12,1.0,0.006,0.0,0.0,0.0
CXCL8,CCR7,,0.52,0.34,,0.048,0.038,,1.0,0.96
IFNG,PIGR,,,,,,,,,
CALCA,CDH11,,,,,,,,,
CCL15,CCR6,,,,,,,,,
CSF3,TNF,,,,,,,,,
CXCL2,CCR7,,,,,0.878,0.08,,0.028,0.01
CXCL12,MMP13,,,,,,,,,
CXCL12,CXCR6,,0.0,0.0,,1.0,0.968,,0.0,0.0
PPBP,CXCR6,,,,,0.804,0.004,,,
IL22,MMP1,,,,,,,,,
CD40LG,PTGS2,,,,,,,,,
CCL5,MMP9,,0.0,0.0,,1.0,0.998,,0.0,0.0
RELN,ITGB6,,0.012,1.0,,,,,0.0,1.0
IFNG,CTSL,,,,,,,,,
CCL17,CCR6,0.066,0.132,0.026,0.114,1.0,0.0,0.0,0.0,0.0
IFNG,CTSK,,,,,,,,,
CCL13,CXCR6,,0.882,0.558,,1.0,0.056,,0.0,0.0
IFNG,CD40LG,,,,,,,,,
TNF,PTGS2,,,,,,,,,
IL1A,ITGA6,,,,,,,,,
IL6,NOTCH3,0.0,0.0,0.0,0.022,1.0,0.032,0.0,0.0,0.0
IL1B,PTGS2,,,,,,,,,
IFNG,TPO,,,,,,,,,
IGF1,HMOX1,0.0,0.0,0.0,0.438,1.0,0.0,0.0,0.0,0.0
SAA1,MMP9,,0.016,0.05,,1.0,0.966,,0.0,0.0
CXCL11,CCR7,,,,,0.302,0.06,,,
CCL4,CXCR6,,0.08,0.012,,1.0,0.026,,0.0,0.0
CCL2,CXCR6,,0.0,0.0,,1.0,0.818,,0.0,0.0
COMP,ITGA6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
CXCL3,CXCR6,,,,,0.922,0.002,,,
CCL20,CXCR6,,,,,0.254,0.002,,0.988,0.344
CCL18,CCR6,0.402,0.784,0.28,0.098,1.0,0.0,0.0,0.0,0.0
IFNG,KLRD1,,,,,,,,,
FLT4,FLT1,0.576,0.28,0.92,0.688,0.01,0.998,0.814,0.728,0.998
CCL3,CXCR6,,0.338,0.052,,1.0,0.004,,0.0,0.0
CXCL2,CCR6,,,,0.046,1.0,0.0,0.01,0.042,0.0
CSF2,CEACAM5,,,,,,,,,
FGF7,SFTPA1,0.962,0.0,0.972,1.0,0.04,1.0,0.844,0.0,0.8
VEGFA,PDGFRB,0.29,1.0,0.012,0.0,1.0,0.0,0.072,1.0,0.0
CCL1,CCR4,,,,,,,,,
IL1B,MMP9,,,,,,,,,
CCL3L1,CCR6,,,,,,,0.012,0.052,0.0
CCL14,CCR6,0.0,0.0,0.0,0.204,1.0,0.006,0.0,0.0,0.0
CCL2,VEGFA,0.0,0.0,0.0,1.0,1.0,1.0,0.002,0.0,0.0
XCL1,CXCR6,,0.032,0.002,,,,,,
XCL2,CCR4,,,,,,,,,
IL17A,TNF,,,,,,,,,
CCL18,CXCR6,,0.77,0.466,,1.0,0.012,,0.0,0.0
TPSAB1,MMP2,,,,,,,0.0,1.0,0.0
CCL13,CCR7,,0.862,0.718,,1.0,0.474,,0.0,0.0
IFNG,LOX,,,,,,,,,
IL17A,MMP9,,,,,,,,,
CXCL10,CXCR6,,0.804,0.384,,0.878,0.002,,0.326,0.028
CCL20,CCR4,,,,,,,,,
CCL7,CXCR6,,,,,,,,,
CD40LG,VEGFA,,,,,,,,,
CSF3,BIRC3,,0.008,0.458,,,,,0.0,0.454
XCL2,CXCR6,,,,,,,,,
IL20,PTGS2,,,,,,,,,
IL6,MMP9,,0.0,0.0,,1.0,0.986,,0.0,0.0
CCL8,CXCR6,,0.112,0.008,,,,,0.284,0.002
CCL21,CCR4,,,,,,,,,
IL12B,CXCL9,,,,,,,,,
NPPA,TNF,,,,,,,,,
IL1B,MMP3,,,,,,,,,
CCL7,CCR4,,,,,,,,,
CCL14,CCR7,,0.0,0.0,,1.0,0.9,,0.0,0.0
PPBP,CCR6,,,,0.04,0.998,0.0,,,
TNF,CXCL10,,,,,,,,,
IL6,HMOX1,0.008,0.002,0.0,0.13,1.0,0.0,0.0,0.0,0.0
CCL22,CCR6,0.184,0.62,0.066,0.048,1.0,0.0,0.008,0.02,0.0
CCL2,F3,0.0,0.0,0.0,0.456,1.0,0.108,0.0,0.0,0.0
MDK,VEGFA,0.972,0.144,0.924,1.0,0.734,1.0,0.316,0.0,0.032
IL2,FCER2,,,,,,,,,
LEP,FLT1,,,,,,,,,
CXCL14,CCR6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
SPARC,MMP14,0.0,0.0,0.0,0.968,1.0,0.01,0.0,0.0,0.0
IL10,CD14,,,,,,,0.0,0.912,0.0
IL1A,CSF1,,,,,,,,,
IL2,HSP90AA1,,,,,,,,,
CCL5,CCR6,0.0,0.0,0.0,0.134,1.0,0.006,0.0,0.0,0.0
CCL2,CCR6,0.0,0.0,0.0,0.486,1.0,0.134,0.0,0.0,0.0
CSF2,MMP14,,,,0.738,0.996,0.0,,,
PI3,TNF,,,,,,,,,
OSM,PTGS2,0.0,0.158,0.436,,,,0.0,0.004,0.24
FGF7,PDGFRA,0.0,0.002,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCL13,CCR4,,,,,,,,,
COL6A3,ITGA6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
CCL3,CCR7,,0.326,0.152,,0.998,0.102,,0.0,0.0
COMP,ITGB6,,0.0,0.0,,1.0,1.0,,0.0,0.0
IGFBP2,CD24,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
IL6,PTGS2,0.0,0.0,0.01,0.0,1.0,0.888,0.0,0.0,0.0
IFNG,CXCL9,,,,,,,,,
CSF3,CXCL12,0.0,1.0,0.0,,,,0.0,1.0,0.0
IGF1,FLT4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
IL1B,PTGDS,,,,,,,,,
FGFR4,MMP9,,,,,,,,,
CXCL9,CCR7,,,,,0.436,0.06,,0.25,0.12
IGF1,PDGFRB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
S100B,BIRC3,,0.93,0.98,,0.33,0.906,,0.008,0.154
VEGFA,PDGFRA,0.038,1.0,0.168,0.0,1.0,0.0,0.0,1.0,0.0
IL17A,CXCL12,,,,,,,,,
COL6A3,ITGB6,,0.0,0.0,,1.0,1.0,,0.0,0.0
OLR1,MMP3,,,,0.004,,0.002,0.028,,0.178
CD160,KLRD1,,,,,,,,,
CCL22,CXCR6,,0.586,0.17,,0.99,0.004,,0.014,0.002
CXCL1,CCR4,,,,,,,,,
LAMA3,ITGB6,,,,,0.0,1.0,,0.018,1.0
IL2,TNFRSF9,,,,,,,,,
TNF,INSR,,,,,,,,,
IL6,TSHR,0.996,0.0,0.99,1.0,0.018,1.0,0.976,0.0,0.814
CXCL6,CXCR6,,,,,,,,,
LEP,F3,,,,,,,,,
CCL1,CCR6,,,,,,,,,
CCL2,CCR7,,0.0,0.0,,1.0,1.0,,0.0,0.0
CCL26,CCR4,,,,,,,,,
CXCL9,CCR6,,,,0.042,0.962,0.0,0.034,0.29,0.002
CCL8,CCR7,,0.094,0.038,,,,,0.254,0.046
CD40LG,F3,,,,,,,,,
CXCL10,CCR7,,0.802,0.586,,0.72,0.07,,0.312,0.114
FGF7,PDGFRB,0.0,0.002,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCL17,CXCR6,,0.13,0.056,,1.0,0.034,,0.0,0.0
CXCL12,MMP9,,0.0,0.0,,1.0,1.0,,0.0,0.0
CXCL3,CCR4,,,,,,,,,
IGF1,FLT1,0.0,0.0,0.0,0.992,1.0,1.0,0.0,0.0,0.0
IL13,MUC5AC,,,,,,,,,
CXCL14,CCR4,,,,,,,,,
OSM,F3,0.094,0.214,0.0,,,,0.052,0.004,0.0
CCL4,CCR6,0.022,0.094,0.004,0.104,1.0,0.0,0.0,0.0,0.0
HLA-G,KLRC2,,,,,,,,,
CSF2,TNF,,,,,,,,,
IGF1,FGFR2,0.0,0.0,,1.0,1.0,,0.0,0.0,
CCL3,CCR6,0.072,0.386,0.014,0.046,1.0,0.0,0.004,0.006,0.0
IFNG,CCR6,,,,,,,,,
CXCL6,CCR7,,,,,,,,,
CCL4,CCR4,,,,,,,,,
CCL23,CCR6,,,,,,,0.034,0.346,0.0
CCL14,CCR4,,,,,,,,,
OSM,ADAMTS4,0.0,0.28,0.0,,,,0.0,0.02,0.0
ADM,HMOX1,0.888,1.0,0.002,0.058,1.0,0.0,0.976,1.0,0.0
CCL8,CCR6,0.018,0.122,0.0,,,,0.034,0.392,0.0
IL6,INSR,0.354,0.0,0.428,0.966,0.976,1.0,0.068,0.0,0.026
CCL3L1,CCR7,,,,,,,,0.024,0.008
DKK1,LRP1,,,,,,,,,
IGF1,KDR,,0.0,0.0,,1.0,1.0,,0.0,0.0
CXCL6,CCR4,,,,,,,,,
CCL21,CXCL10,0.0,0.0,0.0,1.0,1.0,0.992,0.0,0.0,0.0
CCL26,CCR6,,,,,,,0.034,0.264,0.0
CCL7,CCR6,,,,,,,,,
IL10,CSF1,,,,,,,0.0,0.0,0.0
