method_name	method_family	method_role	uses_public_pretraining	training_overlap_audit_status	training_overlap_audited_row_level	row_level_audit_files_detected	public_tool_training_overlap_any	candidate_overlap_rows	candidate_overlap_fraction	clean_comparator_allowed_after_audit	reviewer_disposition	caveat	overlap_detail	training_data_summary	training_overlap_risk	provenance_confidence	audit_source_file	source_urls
B_rank_normalization_hla_supertype_train_only	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
C_source_balanced_training	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
D_positive_class_reweighting	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
ESM2_Bayesian	bayesian_uncertainty	uncertainty_only	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	ranking not promoted; uncertainty/OOD branch	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; ESM2-150M frozen peptide/HLA-pseudo embeddings plus Bayesian MLP/deep ensemble trained on bundle train split.	medium/high: huge in-master AUROC but no-overlap collapse; source/overlap shortcut baseline	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: train_bayesian_neo.py
ESMFold_3D_CV_score	structure_proxy	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	structure proxy	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
E_pu_style_conservative_ranker	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
F_topk_diversification_hla_cluster	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
GP_quantum	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; quantum/VQC or quantum-kernel models using PCA/structure-derived local features; some runs trained on capped train subsets for speed.	low/medium: known local train pool; internal tuning/model-selection risk	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave2/train_vqc.py; wave2/train_quantum_kernel_svm.py; wave7/train_w7.py
G_abstention_extreme_ood	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; surrogate ESM2 head plus test-time entropy minimization on ITSNdb test rows.	high: adaptation directly on test distribution; no-overlap below chance	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave4b/m6_tent.py
H_anchor_rf_plus_qk_compact_w0.5	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
MultiTask_AB	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local deep multitask variants built from ESM/peptide-HLA features and auxiliary supervision.	medium/high: strong in-master performance, below-chance no-overlap; likely dataset/source shortcut	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave5b/train_multitask.py
MultiTask_AC	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local deep multitask variants built from ESM/peptide-HLA features and auxiliary supervision.	medium/high: strong in-master performance, below-chance no-overlap; likely dataset/source shortcut	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave5b/train_multitask.py
MultiTask_AD	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local deep multitask variants built from ESM/peptide-HLA features and auxiliary supervision.	medium/high: strong in-master performance, below-chance no-overlap; likely dataset/source shortcut	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave5b/train_multitask.py
MultiTask_A_only	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local deep multitask variants built from ESM/peptide-HLA features and auxiliary supervision.	medium/high: strong in-master performance, below-chance no-overlap; likely dataset/source shortcut	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave5b/train_multitask.py
MultiTask_full	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local deep multitask variants built from ESM/peptide-HLA features and auxiliary supervision.	medium/high: strong in-master performance, below-chance no-overlap; likely dataset/source shortcut	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave5b/train_multitask.py
RF_biophys	internal_baseline	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal model	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local random forest/biophysical baseline from prior robustness audit.	medium/high: in-master inflation and external collapse after overlap audit	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave11 artifacts
Stack_LR_OOF_E3b	ensemble_or_fusion	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal fusion/ensemble	Not a public pretrained tool under current token rules.	local stack/ensemble over existing model predictions; local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; some variants explicitly fit on ITSNdb in-master rows.	high: stacking inflates in-master and is not fair as a primary external method	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave4c/ensemble_predictions.tsv; wave7/predictions_combined.tsv
Stack_LR_inmaster_E3a	ensemble_or_fusion	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal fusion/ensemble	Not a public pretrained tool under current token rules.	local stack/ensemble over existing model predictions; local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; some variants explicitly fit on ITSNdb in-master rows.	very high: stacking inflates in-master and is not fair as a primary external method	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave4c/ensemble_predictions.tsv; wave7/predictions_combined.tsv
Stack_mean_E1	ensemble_or_fusion	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal fusion/ensemble	Not a public pretrained tool under current token rules.	local stack/ensemble over existing model predictions; local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; some variants explicitly fit on ITSNdb in-master rows.	high: stacking inflates in-master and is not fair as a primary external method	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave4c/ensemble_predictions.tsv; wave7/predictions_combined.tsv
Stack_median_E2	ensemble_or_fusion	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal fusion/ensemble	Not a public pretrained tool under current token rules.	local stack/ensemble over existing model predictions; local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; some variants explicitly fit on ITSNdb in-master rows.	high: stacking inflates in-master and is not fair as a primary external method	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave4c/ensemble_predictions.tsv; wave7/predictions_combined.tsv
Structure_LR	structure_proxy	anchor	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	current honest local anchor	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local logistic regression on CPU biophysical proxies: HLA-specific anchor PWM from train positives, BLOSUM similarity to train binders, hydrophobicity/charge/helix/sheet/length/aromatic features.	low/medium: known local training split; still trained on public CEDAR/TESLA/NEPdb labels but no hidden pretrained corpus	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave2/compute_structure_features.py
TENT	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; surrogate ESM2 head plus test-time entropy minimization on ITSNdb test rows.	high: adaptation directly on test distribution; no-overlap below chance	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave4b/m6_tent.py
VQC	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; quantum/VQC or quantum-kernel models using PCA/structure-derived local features; some runs trained on capped train subsets for speed.	low/medium: known local train pool; internal tuning/model-selection risk	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave2/train_vqc.py; wave2/train_quantum_kernel_svm.py; wave7/train_w7.py
W7A_QK_only	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; quantum/VQC or quantum-kernel models using PCA/structure-derived local features; some runs trained on capped train subsets for speed.	low/medium: known local train pool; internal tuning/model-selection risk	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave2/train_vqc.py; wave2/train_quantum_kernel_svm.py; wave7/train_w7.py
W7A_full	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; quantum/VQC or quantum-kernel models using PCA/structure-derived local features; some runs trained on capped train subsets for speed.	low/medium: known local train pool; internal tuning/model-selection risk	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave2/train_vqc.py; wave2/train_quantum_kernel_svm.py; wave7/train_w7.py
W7B_stacked	ensemble_or_fusion	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal fusion/ensemble	Not a public pretrained tool under current token rules.	local stack/ensemble over existing model predictions; local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; some variants explicitly fit on ITSNdb in-master rows.	high: stacking inflates in-master and is not fair as a primary external method	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave4c/ensemble_predictions.tsv; wave7/predictions_combined.tsv
Wave8_SelfSim_full	tcr_aware	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	reference sensitivity requires audit	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on UniProt human SwissProt self-similarity features.	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py
Wave8_SelfSim_no_exact	tcr_aware	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	reference sensitivity requires audit	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on UniProt human SwissProt self-similarity features.	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py
Wave8_TCR_SelfSim_full	tcr_aware	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	reference sensitivity requires audit	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on Wave8 features. Features use VDJdb + McPAS-TCR reference peptide-HLA sets and UniProt human SwissProt self-similarity.	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py
Wave8_TCR_SelfSim_no_exact	tcr_aware	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	reference sensitivity requires audit	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on Wave8 features. Features use VDJdb + McPAS-TCR reference peptide-HLA sets and UniProt human SwissProt self-similarity.	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py
Wave8_TCR_motif_only	tcr_aware	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	reference sensitivity requires audit	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on TCR-reference features from local VDJdb + McPAS-TCR peptide-HLA reference sets.	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py
Wave8_TCR_only	tcr_aware	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	reference sensitivity requires audit	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on TCR-reference features from local VDJdb + McPAS-TCR peptide-HLA reference sets.	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py
anchor_lr	internal_baseline	anchor	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal model	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
anchor_rf	internal_baseline	anchor	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal model	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
anchor_rf_retrained_cf	internal_baseline	anchor	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal model	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
bagging_pu_rf	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
calibrated_linear_svm	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
decoy_focal_positive_pattern	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
elastic_net_lr	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
interface_contacts_10A	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
interface_contacts_8A	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
