module	matched_panel_gene	random_gene
random_matched_009	TG	CIRBP
random_matched_009	TPO	TLE5
random_matched_009	TSHR	ZFAS1
random_matched_010	DIO1	PRSS8
random_matched_010	FOXE1	PIEZO1
random_matched_010	NKX2-1	B4GALT1
random_matched_010	PAX8	ATP5MPL
random_matched_010	SLC5A5	AC133552.5
random_matched_010	TG	CANX
random_matched_010	TPO	S100A6
random_matched_010	TSHR	LAMTOR1
random_matched_011	DIO1	COMTD1
random_matched_011	FOXE1	HIGD1A
random_matched_011	NKX2-1	GAA
random_matched_011	PAX8	KRT8
random_matched_011	SLC5A5	METTL15
random_matched_011	TG	ATP5F1E
random_matched_011	TPO	GPX3
random_matched_011	TSHR	NORAD
random_matched_012	DIO1	DARS
random_matched_012	FOXE1	MRPS12
random_matched_012	NKX2-1	SRSF6
random_matched_012	PAX8	DDX5
random_matched_012	SLC5A5	DPH5
random_matched_012	TG	APLP2
random_matched_012	TPO	CHCHD10
random_matched_012	TSHR	MARCKSL1
random_matched_013	DIO1	AL136038.5
random_matched_013	FOXE1	BMP7
random_matched_013	NKX2-1	DDX24
random_matched_013	PAX8	HLA-DPA1
random_matched_013	SLC5A5	PKNOX2
random_matched_013	TG	JUND
random_matched_013	TPO	C16orf89
random_matched_013	TSHR	MICOS10
random_matched_014	DIO1	SH3BGRL2
random_matched_014	FOXE1	MUC1
random_matched_014	NKX2-1	DDX24
random_matched_014	PAX8	NOP53
random_matched_014	SLC5A5	KATNA1
random_matched_014	TG	COX4I1
random_matched_014	TPO	IGFBP7
random_matched_014	TSHR	RALY
random_matched_015	DIO1	IFT57
random_matched_015	FOXE1	NBEAL2
random_matched_015	NKX2-1	TNXB
random_matched_015	PAX8	SARAF
random_matched_015	SLC5A5	TRMT44
random_matched_015	TG	TLE5
random_matched_015	TPO	CCN2
random_matched_015	TSHR	EIF3L
random_matched_016	DIO1	SAE1
random_matched_016	FOXE1	NASP
random_matched_016	NKX2-1	TMED3
random_matched_016	PAX8	KRT8
random_matched_016	SLC5A5	KLHL2
random_matched_016	TG	ATP5MC2
random_matched_016	TPO	FOS
random_matched_016	TSHR	UBE2D3
random_matched_017	DIO1	DARS
random_matched_017	FOXE1	NEDD9
random_matched_017	NKX2-1	ARL2
random_matched_017	PAX8	ASAH1
random_matched_017	SLC5A5	TMEM104
random_matched_017	TG	TAPBP
random_matched_017	TPO	CLIC1
random_matched_017	TSHR	PSMB9
random_matched_018	DIO1	PLTP
random_matched_018	FOXE1	PDGFRB
random_matched_018	NKX2-1	BCL7C
random_matched_018	PAX8	MT1E
random_matched_018	SLC5A5	ZBTB42
random_matched_018	TG	NR4A1
random_matched_018	TPO	PCBP2
random_matched_018	TSHR	SSR3
random_matched_019	DIO1	RAB18
random_matched_019	FOXE1	D2HGDH
random_matched_019	NKX2-1	IRF9
random_matched_019	PAX8	SNHG29
random_matched_019	SLC5A5	VAV3
random_matched_019	TG	LAPTM5
random_matched_019	TPO	TAGLN2
random_matched_019	TSHR	ARPC3
random_matched_020	DIO1	PSMA5
random_matched_020	FOXE1	LSM8
random_matched_020	NKX2-1	UFC1
random_matched_020	PAX8	TRIR
random_matched_020	SLC5A5	CNOT4
random_matched_020	TG	SNRPN
random_matched_020	TPO	ID4
random_matched_020	TSHR	CNBP
random_matched_021	DIO1	IL2RG
random_matched_021	FOXE1	KIF1C
random_matched_021	NKX2-1	PCNP
random_matched_021	PAX8	YWHAZ
random_matched_021	SLC5A5	INIP
random_matched_021	TG	HSPA8
random_matched_021	TPO	NEAT1
random_matched_021	TSHR	VEGFA
random_matched_022	DIO1	AKNA
random_matched_022	FOXE1	EMC6
random_matched_022	NKX2-1	PSMA6
random_matched_022	PAX8	BTF3
random_matched_022	SLC5A5	ITCH
random_matched_022	TG	DCN
random_matched_022	TPO	TUBA1B
random_matched_022	TSHR	LTBP4
random_matched_023	DIO1	PLEKHA2
random_matched_023	FOXE1	PRSS23
random_matched_023	NKX2-1	NAP1L4
random_matched_023	PAX8	NDUFB11
random_matched_023	SLC5A5	ZNF827
random_matched_023	TG	COPS9
random_matched_023	TPO	CD52
random_matched_023	TSHR	HLA-DQA1
random_matched_024	DIO1	CAB39
random_matched_024	FOXE1	NBEAL2
random_matched_024	NKX2-1	MSRB2
random_matched_024	PAX8	XBP1
random_matched_024	SLC5A5	FBXL8
random_matched_024	TG	BTF3
random_matched_024	TPO	ID4
random_matched_024	TSHR	FKBP1A
random_matched_025	DIO1	RHPN1
random_matched_025	FOXE1	GLB1
random_matched_025	NKX2-1	TMEM9
random_matched_025	PAX8	TMEM59
random_matched_025	SLC5A5	RNF207
random_matched_025	TG	COX7C
random_matched_025	TPO	IFITM3
random_matched_025	TSHR	PRDX2
random_matched_026	DIO1	SMS
random_matched_026	FOXE1	MRPS16
random_matched_026	NKX2-1	SLC44A2
random_matched_026	PAX8	SRRM2
random_matched_026	SLC5A5	IDUA
random_matched_026	TG	TIMP1
random_matched_026	TPO	EIF4A1
random_matched_026	TSHR	SNHG6
random_matched_027	DIO1	UTRN
random_matched_027	FOXE1	KIF1C
random_matched_027	NKX2-1	PNISR
random_matched_027	PAX8	SNHG5
random_matched_027	SLC5A5	BAG4
random_matched_027	TG	CST3
random_matched_027	TPO	SERF2
random_matched_027	TSHR	DDT
random_matched_028	DIO1	DEPP1
random_matched_028	FOXE1	CNPPD1
random_matched_028	NKX2-1	UBA7
random_matched_028	PAX8	SNHG8
random_matched_028	SLC5A5	TM6SF1
random_matched_028	TG	PSAP
random_matched_028	TPO	UBC
random_matched_028	TSHR	FHL1
random_matched_029	DIO1	DEF6
random_matched_029	FOXE1	RNF5
random_matched_029	NKX2-1	HSPD1
random_matched_029	PAX8	HNRNPK
random_matched_029	SLC5A5	LRRC8C
random_matched_029	TG	GABARAP
random_matched_029	TPO	FIS1
random_matched_029	TSHR	GADD45GIP1
random_matched_030	DIO1	TOLLIP
random_matched_030	FOXE1	ANKRD11
random_matched_030	NKX2-1	EFNA1
random_matched_030	PAX8	PDIA3
random_matched_030	SLC5A5	ZDHHC1
random_matched_030	TG	GAPDH
random_matched_030	TPO	ATP5IF1
random_matched_030	TSHR	KLF6
random_matched_031	DIO1	PSMA5
random_matched_031	FOXE1	DCTN1
random_matched_031	NKX2-1	ZBED2
random_matched_031	PAX8	H3F3A
random_matched_031	SLC5A5	ZNF691
random_matched_031	TG	UQCR11
random_matched_031	TPO	POLR2L
random_matched_031	TSHR	LTBP4
random_matched_032	DIO1	LMO3
random_matched_032	FOXE1	RNF5
random_matched_032	NKX2-1	MAN2C1
random_matched_032	PAX8	SRRM2
random_matched_032	SLC5A5	TMEM44-AS1
random_matched_032	TG	IGHA2
random_matched_032	TPO	ADIRF
random_matched_032	TSHR	ZFP36L1
random_matched_033	DIO1	CCDC167
random_matched_033	FOXE1	ARHGEF12
random_matched_033	NKX2-1	MOB1A
random_matched_033	PAX8	SEC61B
random_matched_033	SLC5A5	MMRN1
random_matched_033	TG	NME2
random_matched_033	TPO	BTF3
random_matched_033	TSHR	NDUFB8
random_matched_034	DIO1	EMB
random_matched_034	FOXE1	DDX39A
random_matched_034	NKX2-1	NCF1
random_matched_034	PAX8	PSME2
random_matched_034	SLC5A5	FAM241A
random_matched_034	TG	TAGLN2
random_matched_034	TPO	PPIB
random_matched_034	TSHR	TRBC2
random_matched_035	DIO1	FDX1
random_matched_035	FOXE1	FAM177A1
random_matched_035	NKX2-1	NT5C
random_matched_035	PAX8	HSP90B1
random_matched_035	SLC5A5	MAGI3
random_matched_035	TG	OAZ1
random_matched_035	TPO	PSAP
random_matched_035	TSHR	EIF4A2
random_matched_036	DIO1	YIPF2
random_matched_036	FOXE1	SEPTIN1
random_matched_036	NKX2-1	MAP1LC3B
random_matched_036	PAX8	C19orf53
random_matched_036	SLC5A5	PTGER4
random_matched_036	TG	TFF3
random_matched_036	TPO	KRT8
random_matched_036	TSHR	SAP18
random_matched_037	DIO1	GTF2H5
random_matched_037	FOXE1	RAB6A
random_matched_037	NKX2-1	GPI
random_matched_037	PAX8	CCL19
random_matched_037	SLC5A5	FAM241A
random_matched_037	TG	DDX5
random_matched_037	TPO	GSN
random_matched_037	TSHR	SEPTIN2
random_matched_038	DIO1	MRFAP1L1
random_matched_038	FOXE1	RFTN1
random_matched_038	NKX2-1	SEPTIN7
random_matched_038	PAX8	TMBIM6
random_matched_038	SLC5A5	BTRC
random_matched_038	TG	HMGN2
random_matched_038	TPO	NDUFA3
random_matched_038	TSHR	SAP18
random_matched_039	DIO1	BCR
random_matched_039	FOXE1	SHC1
random_matched_039	NKX2-1	PHB
random_matched_039	PAX8	SEC61G
random_matched_039	SLC5A5	ECM2
random_matched_039	TG	PPIA
random_matched_039	TPO	DCN
random_matched_039	TSHR	HLA-DMB
random_matched_040	DIO1	LINC01089
random_matched_040	FOXE1	SMARCA2
random_matched_040	NKX2-1	PAPOLA
random_matched_040	PAX8	MZT2A
random_matched_040	SLC5A5	LRRC42
random_matched_040	TG	COPS9
random_matched_040	TPO	ATP5ME
random_matched_040	TSHR	COX7B
random_matched_041	DIO1	MIR4458HG
random_matched_041	FOXE1	YY1
random_matched_041	NKX2-1	PSMB5
random_matched_041	PAX8	ATP5MF
random_matched_041	SLC5A5	NPR3
random_matched_041	TG	FIS1
random_matched_041	TPO	SRP14
random_matched_041	TSHR	LSM7
random_matched_042	DIO1	FOXP1
random_matched_042	FOXE1	HECTD1
random_matched_042	NKX2-1	MMP24OS
random_matched_042	PAX8	NDUFA11
random_matched_042	SLC5A5	YEATS4
random_matched_042	TG	COX7C
random_matched_042	TPO	ID1
random_matched_042	TSHR	COX5A
random_matched_043	DIO1	MPC1
random_matched_043	FOXE1	POLE4
random_matched_043	NKX2-1	COTL1
random_matched_043	PAX8	HERPUD1
random_matched_043	SLC5A5	HMBOX1
random_matched_043	TG	PLPP3
random_matched_043	TPO	TPI1
random_matched_043	TSHR	COPE
random_matched_044	DIO1	PODXL
random_matched_044	FOXE1	ZFYVE21
random_matched_044	NKX2-1	INTS11
random_matched_044	PAX8	SRRM2
random_matched_044	SLC5A5	BTBD3
random_matched_044	TG	MT1G
random_matched_044	TPO	KRT8
random_matched_044	TSHR	RBM39
random_matched_045	DIO1	COPB1
random_matched_045	FOXE1	FGL2
random_matched_045	NKX2-1	DANCR
random_matched_045	PAX8	CCN2
random_matched_045	SLC5A5	ZNF800
random_matched_045	TG	SLC25A6
random_matched_045	TPO	CST3
random_matched_045	TSHR	RHOC
random_matched_046	DIO1	CCL4L2
random_matched_046	FOXE1	RBM25
random_matched_046	NKX2-1	ABHD17A
random_matched_046	PAX8	HLA-DPB1
random_matched_046	SLC5A5	FBXL19
random_matched_046	TG	HSP90B1
random_matched_046	TPO	CALM2
random_matched_046	TSHR	NDUFC1
random_matched_047	DIO1	GOLGA4
random_matched_047	FOXE1	ANTKMT
random_matched_047	NKX2-1	NME4
random_matched_047	PAX8	ATP5MC2
random_matched_047	SLC5A5	RTEL1
random_matched_047	TG	NDUFB7
random_matched_047	TPO	A2M
random_matched_047	TSHR	HLA-F
random_matched_048	DIO1	PARP6
random_matched_048	FOXE1	ZNF664
random_matched_048	NKX2-1	ACTR2
random_matched_048	PAX8	COX7A2
random_matched_048	SLC5A5	TATDN3
random_matched_048	TG	BTF3
random_matched_048	TPO	S100A11
random_matched_048	TSHR	RNASE1
random_matched_049	DIO1	DIAPH1
random_matched_049	FOXE1	PTGES2
random_matched_049	NKX2-1	NDRG1
random_matched_049	PAX8	S100A4
random_matched_049	SLC5A5	DCAKD
random_matched_049	TG	UBA52
random_matched_049	TPO	PKM
random_matched_049	TSHR	NDUFB4
random_matched_050	DIO1	PDK4
random_matched_050	FOXE1	SNRPA
random_matched_050	NKX2-1	ADD1
random_matched_050	PAX8	CRYAB
random_matched_050	SLC5A5	ZC3H12C
random_matched_050	TG	OST4
random_matched_050	TPO	SLC26A4-AS1
random_matched_050	TSHR	VPS28
random_matched_051	DIO1	LTA4H
random_matched_051	FOXE1	NASP
random_matched_051	NKX2-1	NGRN
random_matched_051	PAX8	RNASEK
random_matched_051	SLC5A5	DCAKD
random_matched_051	TG	UBA52
random_matched_051	TPO	UQCRQ
random_matched_051	TSHR	MCL1
random_matched_052	DIO1	ENOSF1
random_matched_052	FOXE1	PLOD1
random_matched_052	NKX2-1	ECE1
random_matched_052	PAX8	TMEM59
random_matched_052	SLC5A5	N4BP2
random_matched_052	TG	UBC
random_matched_052	TPO	MT1G
random_matched_052	TSHR	XIST
random_matched_053	DIO1	STARD10
random_matched_053	FOXE1	BOLA3
random_matched_053	NKX2-1	RHBDD2
random_matched_053	PAX8	SEC61G
random_matched_053	SLC5A5	SULT1A2
random_matched_053	TG	HLA-DRA
random_matched_053	TPO	ATP5IF1
random_matched_053	TSHR	ATP6V0C
random_matched_054	DIO1	COMMD3
random_matched_054	FOXE1	POLR1D
random_matched_054	NKX2-1	HP1BP3
random_matched_054	PAX8	WDR83OS
random_matched_054	SLC5A5	STXBP5
random_matched_054	TG	S100A11
random_matched_054	TPO	LMNA
random_matched_054	TSHR	CAPZB
random_matched_055	DIO1	IDH2
random_matched_055	FOXE1	MRPS33
random_matched_055	NKX2-1	PRNP
random_matched_055	PAX8	PRDX1
random_matched_055	SLC5A5	WDR75
random_matched_055	TG	GABARAP
random_matched_055	TPO	POLR2L
random_matched_055	TSHR	ARHGDIB
random_matched_056	DIO1	CDC16
random_matched_056	FOXE1	NBEAL2
random_matched_056	NKX2-1	MSRB2
random_matched_056	PAX8	ATP5ME
random_matched_056	SLC5A5	P2RY10
random_matched_056	TG	SQSTM1
random_matched_056	TPO	NR4A1
random_matched_056	TSHR	SELENOK
random_matched_057	DIO1	MMP9
random_matched_057	FOXE1	IMP3
random_matched_057	NKX2-1	CTDNEP1
random_matched_057	PAX8	CRYAB
random_matched_057	SLC5A5	PIGB
random_matched_057	TG	SLC25A6
random_matched_057	TPO	SNRPN
random_matched_057	TSHR	KRTCAP2
random_matched_058	DIO1	PARP1
random_matched_058	FOXE1	SESN3
random_matched_058	NKX2-1	PLPP1
random_matched_058	PAX8	HNRNPK
random_matched_058	SLC5A5	SLC43A1
random_matched_058	TG	GLUL
random_matched_058	TPO	EDF1
random_matched_058	TSHR	ENG
random_matched_059	DIO1	ETHE1
random_matched_059	FOXE1	NDUFS2
random_matched_059	NKX2-1	FKBP11
random_matched_059	PAX8	WARS
random_matched_059	SLC5A5	FBXO4
random_matched_059	TG	MYL6
random_matched_059	TPO	CLIC3
random_matched_059	TSHR	RHOC
random_matched_060	DIO1	OCLN
random_matched_060	FOXE1	MRPS18B
random_matched_060	NKX2-1	GYPC
random_matched_060	PAX8	MZB1
random_matched_060	SLC5A5	ECM2
random_matched_060	TG	HERPUD1
random_matched_060	TPO	S100A11
random_matched_060	TSHR	SNU13
random_matched_061	DIO1	YWHAH
random_matched_061	FOXE1	IVNS1ABP
random_matched_061	NKX2-1	MCRIP1
random_matched_061	PAX8	RHOA
random_matched_061	SLC5A5	AC010329.1
random_matched_061	TG	CRYAB
random_matched_061	TPO	PRDX1
random_matched_061	TSHR	IFITM1
random_matched_062	DIO1	KLHDC3
random_matched_062	FOXE1	SCRN2
random_matched_062	NKX2-1	MEA1
random_matched_062	PAX8	PSME2
random_matched_062	SLC5A5	ZNF691
random_matched_062	TG	HNRNPA1
random_matched_062	TPO	BSG
random_matched_062	TSHR	ZFP36L1
random_matched_063	DIO1	SCO2
random_matched_063	FOXE1	ARHGEF12
random_matched_063	NKX2-1	MRPS34
random_matched_063	PAX8	EEF2
random_matched_063	SLC5A5	N4BP2
random_matched_063	TG	ATP5MF
random_matched_063	TPO	ATP1B1
random_matched_063	TSHR	APP
random_matched_064	DIO1	RHOQ
random_matched_064	FOXE1	PHYH
random_matched_064	NKX2-1	RNPS1
random_matched_064	PAX8	NPM1
random_matched_064	SLC5A5	C17orf75
random_matched_064	TG	UBB
random_matched_064	TPO	ATP5MD
random_matched_064	TSHR	ATP5MC3
random_matched_065	DIO1	RNF130
random_matched_065	FOXE1	UPF3A
random_matched_065	NKX2-1	CTBP1
random_matched_065	PAX8	PABPC1
random_matched_065	SLC5A5	C9orf116
random_matched_065	TG	KRT18
random_matched_065	TPO	APOE
random_matched_065	TSHR	GRINA
random_matched_066	DIO1	ALKBH5
random_matched_066	FOXE1	CAPS
random_matched_066	NKX2-1	TMEM147
random_matched_066	PAX8	TAGLN
random_matched_066	SLC5A5	POMC
random_matched_066	TG	FIS1
random_matched_066	TPO	HSPA8
random_matched_066	TSHR	PTGDS
random_matched_067	DIO1	TRIM2
random_matched_067	FOXE1	NCSTN
random_matched_067	NKX2-1	CHD4
random_matched_067	PAX8	WDR83OS
random_matched_067	SLC5A5	SPOPL
random_matched_067	TG	HNRNPK
random_matched_067	TPO	ID1
random_matched_067	TSHR	FUS
random_matched_068	DIO1	IGBP1
random_matched_068	FOXE1	RANBP2
random_matched_068	NKX2-1	MOB1A
random_matched_068	PAX8	MZB1
random_matched_068	SLC5A5	ITCH
random_matched_068	TG	FN1
random_matched_068	TPO	ID3
random_matched_068	TSHR	ATP5PD
random_matched_069	DIO1	RHPN1
random_matched_069	FOXE1	CCNDBP1
random_matched_069	NKX2-1	SRSF6
random_matched_069	PAX8	ROMO1
random_matched_069	SLC5A5	CCNYL1
random_matched_069	TG	HSPA5
random_matched_069	TPO	DDX17
random_matched_069	TSHR	H2AFZ
random_matched_070	DIO1	IFNAR1
random_matched_070	FOXE1	ABCA3
random_matched_070	NKX2-1	KTN1
random_matched_070	PAX8	SELENOP
random_matched_070	SLC5A5	TMEM44-AS1
random_matched_070	TG	POLR2L
random_matched_070	TPO	MT1F
random_matched_070	TSHR	GSTK1
random_matched_071	DIO1	PKD1
random_matched_071	FOXE1	HLA-DRB5
random_matched_071	NKX2-1	SYPL1
random_matched_071	PAX8	TAGLN2
random_matched_071	SLC5A5	MOB3B
random_matched_071	TG	WDR83OS
random_matched_071	TPO	EDF1
random_matched_071	TSHR	SEC61A1
random_matched_072	DIO1	STARD10
random_matched_072	FOXE1	DNAJC19
random_matched_072	NKX2-1	PARM1
random_matched_072	PAX8	SERPING1
random_matched_072	SLC5A5	C17orf75
random_matched_072	TG	PDIA3
random_matched_072	TPO	MZB1
random_matched_072	TSHR	EIF3K
random_matched_073	DIO1	SUMF2
random_matched_073	FOXE1	ANTKMT
random_matched_073	NKX2-1	CCND2
random_matched_073	PAX8	S100A13
random_matched_073	SLC5A5	LEPR
random_matched_073	TG	SQSTM1
random_matched_073	TPO	MZB1
random_matched_073	TSHR	PLAAT4
random_matched_074	DIO1	SLC25A23
random_matched_074	FOXE1	HIGD1A
random_matched_074	NKX2-1	TMEM179B
random_matched_074	PAX8	CD9
random_matched_074	SLC5A5	HAUS1
random_matched_074	TG	EIF4G2
random_matched_074	TPO	HLA-DPA1
random_matched_074	TSHR	NDUFC1
random_matched_075	DIO1	CD48
random_matched_075	FOXE1	GLB1
random_matched_075	NKX2-1	MOB1A
random_matched_075	PAX8	SELENOW
random_matched_075	SLC5A5	ANTXR2
random_matched_075	TG	COX4I1
random_matched_075	TPO	PPIB
random_matched_075	TSHR	TOMM6
random_matched_076	DIO1	SCO2
random_matched_076	FOXE1	PTGES2
random_matched_076	NKX2-1	PSMD2
random_matched_076	PAX8	VMP1
random_matched_076	SLC5A5	AC133552.5
random_matched_076	TG	COX4I1
random_matched_076	TPO	ID3
random_matched_076	TSHR	ATP6V0C
random_matched_077	DIO1	CCM2
random_matched_077	FOXE1	CCNDBP1
random_matched_077	NKX2-1	DCTN3
random_matched_077	PAX8	CLDN3
random_matched_077	SLC5A5	BTRC
random_matched_077	TG	DUSP1
random_matched_077	TPO	JCHAIN
random_matched_077	TSHR	TMEM123
random_matched_078	DIO1	THEMIS2
random_matched_078	FOXE1	PCM1
random_matched_078	NKX2-1	PRDX3
random_matched_078	PAX8	S100A13
random_matched_078	SLC5A5	PPM1L
random_matched_078	TG	EEF2
random_matched_078	TPO	CD63
random_matched_078	TSHR	EIF3K
random_matched_079	DIO1	AC127526.5
random_matched_079	FOXE1	LSM8
random_matched_079	NKX2-1	TRAPPC1
random_matched_079	PAX8	COX6C
random_matched_079	SLC5A5	PIGX
random_matched_079	TG	BTF3
random_matched_079	TPO	CFD
random_matched_079	TSHR	NDUFA2
random_matched_080	DIO1	ETHE1
random_matched_080	FOXE1	HCP5
random_matched_080	NKX2-1	ESD
random_matched_080	PAX8	SNHG5
random_matched_080	SLC5A5	FBXO4
random_matched_080	TG	GPX4
random_matched_080	TPO	NDUFA11
random_matched_080	TSHR	SPCS1
random_matched_081	DIO1	FAM120AOS
random_matched_081	FOXE1	ZMIZ1
random_matched_081	NKX2-1	STARD7
random_matched_081	PAX8	NOP53
random_matched_081	SLC5A5	ZDHHC14
random_matched_081	TG	COX6A1
random_matched_081	TPO	TIMP1
random_matched_081	TSHR	MICOS10
random_matched_082	DIO1	NPEPL1
random_matched_082	FOXE1	SEPTIN1
random_matched_082	NKX2-1	SRSF11
random_matched_082	PAX8	PPIB
random_matched_082	SLC5A5	POGLUT1
random_matched_082	TG	CTSD
random_matched_082	TPO	EDF1
random_matched_082	TSHR	EIF4B
random_matched_083	DIO1	RASD1
random_matched_083	FOXE1	APOL1
random_matched_083	NKX2-1	COTL1
random_matched_083	PAX8	HNRNPA1
random_matched_083	SLC5A5	MAGI3
random_matched_083	TG	EEF2
random_matched_083	TPO	HLA-C
random_matched_083	TSHR	HNRNPC
random_matched_084	DIO1	GBP4
random_matched_084	FOXE1	SDHC
random_matched_084	NKX2-1	PLS3
random_matched_084	PAX8	HERPUD1
random_matched_084	SLC5A5	KATNB1
random_matched_084	TG	CLDN4
random_matched_084	TPO	PABPC1
random_matched_084	TSHR	ARF1
random_matched_085	DIO1	SCO2
random_matched_085	FOXE1	THY1
random_matched_085	NKX2-1	ANP32B
random_matched_085	PAX8	KRT18
random_matched_085	SLC5A5	ANAPC10
random_matched_085	TG	CLDN3
random_matched_085	TPO	COX4I1
random_matched_085	TSHR	TBCA
random_matched_086	DIO1	GLRX
random_matched_086	FOXE1	LAMB1
random_matched_086	NKX2-1	SURF4
random_matched_086	PAX8	FCGBP
random_matched_086	SLC5A5	ALG6
random_matched_086	TG	UBB
random_matched_086	TPO	HNRNPA2B1
random_matched_086	TSHR	ATP6V0C
random_matched_087	DIO1	COPB1
random_matched_087	FOXE1	LSM10
random_matched_087	NKX2-1	NDUFAB1
random_matched_087	PAX8	APLP2
random_matched_087	SLC5A5	PCNX3
random_matched_087	TG	DSTN
random_matched_087	TPO	SNRPD2
random_matched_087	TSHR	COX14
random_matched_088	DIO1	NAA20
random_matched_088	FOXE1	MRPS36
random_matched_088	NKX2-1	PIN4
random_matched_088	PAX8	HNRNPA2B1
random_matched_088	SLC5A5	BTNL9
random_matched_088	TG	PFDN5
random_matched_088	TPO	C16orf89
random_matched_088	TSHR	MORF4L1
random_matched_089	DIO1	ITGAL
random_matched_089	FOXE1	POLR1D
random_matched_089	NKX2-1	CCT3
random_matched_089	PAX8	JUNB
random_matched_089	SLC5A5	TM6SF1
random_matched_089	TG	PABPC1
random_matched_089	TPO	SLC26A4-AS1
random_matched_089	TSHR	GADD45B
random_matched_090	DIO1	MRPS11
random_matched_090	FOXE1	ERCC1
random_matched_090	NKX2-1	PNISR
random_matched_090	PAX8	CD9
random_matched_090	SLC5A5	TMEM268
random_matched_090	TG	CCL21
random_matched_090	TPO	PRDX1
random_matched_090	TSHR	DDX3X
random_matched_091	DIO1	MMP9
random_matched_091	FOXE1	PIGQ
random_matched_091	NKX2-1	SZRD1
random_matched_091	PAX8	NDUFS5
random_matched_091	SLC5A5	KMT5C
random_matched_091	TG	SELENOM
random_matched_091	TPO	POLR2L
random_matched_091	TSHR	CSTB
random_matched_092	DIO1	AC004687.1
random_matched_092	FOXE1	HES1
random_matched_092	NKX2-1	ESAM
random_matched_092	PAX8	DSTN
random_matched_092	SLC5A5	TMPRSS3
random_matched_092	TG	TIMP1
random_matched_092	TPO	CFD
random_matched_092	TSHR	DDT
random_matched_093	DIO1	MIR4458HG
random_matched_093	FOXE1	SYMPK
random_matched_093	NKX2-1	ADD1
random_matched_093	PAX8	PHPT1
random_matched_093	SLC5A5	FOXJ2
random_matched_093	TG	TMSB4X
random_matched_093	TPO	MT2A
random_matched_093	TSHR	DRAP1
random_matched_094	DIO1	RAB4A
random_matched_094	FOXE1	PTPRA
random_matched_094	NKX2-1	WASHC1
random_matched_094	PAX8	CHCHD2
random_matched_094	SLC5A5	CCNYL1
random_matched_094	TG	HSPB1
random_matched_094	TPO	ID4
random_matched_094	TSHR	LRPAP1
random_matched_095	DIO1	TRIM69
random_matched_095	FOXE1	AGTRAP
random_matched_095	NKX2-1	ECE1
random_matched_095	PAX8	PHPT1
random_matched_095	SLC5A5	ADAMDEC1
random_matched_095	TG	GAPDH
random_matched_095	TPO	TSTD1
random_matched_095	TSHR	GNG5
random_matched_096	DIO1	PPP5C
random_matched_096	FOXE1	ARFRP1
random_matched_096	NKX2-1	ZBED2
random_matched_096	PAX8	APLP2
random_matched_096	SLC5A5	STAU2
random_matched_096	TG	CLDN3
random_matched_096	TPO	ID4
random_matched_096	TSHR	ATP5PO
random_matched_097	DIO1	DEF6
