primitive_type	primitive	n_methods
preprocessing_primitives	allele_stratified_split	1
preprocessing_primitives	architecture_tokenization	1
preprocessing_primitives	assay_type_filter	1
preprocessing_primitives	beta_binomial_response_confidence	1
preprocessing_primitives	biochemical_descriptor_generation	1
preprocessing_primitives	child_model_training_budget	1
preprocessing_primitives	class_I_filter	1
preprocessing_primitives	expression_filter	1
preprocessing_primitives	fitness_cache	1
preprocessing_primitives	full_HLA_resolution_filter	1
preprocessing_primitives	low_confidence_label_filter	1
preprocessing_primitives	matched_WES_RNA_harmonization	1
preprocessing_primitives	neoantigen_viral_self_other_taxonomy	1
preprocessing_primitives	neoepitope_label_harmonization	1
preprocessing_primitives	pMHC_structure_standardization	1
preprocessing_primitives	patient_cohort_split	1
preprocessing_primitives	peptide_HLA_pairing	1
preprocessing_primitives	peptide_length_windows	1
preprocessing_primitives	population_initialization	1
preprocessing_primitives	presentation_rank_features	1
preprocessing_primitives	primitive_operation_library	1
preprocessing_primitives	program_safety_checks	1
preprocessing_primitives	reward_normalization	1
preprocessing_primitives	symbolic_program_extraction	1
preprocessing_primitives	task_suite_curriculum	1
preprocessing_primitives	task_trace_generation	1
risk_guard	HLA_A02_bias_check	1
risk_guard	TCR_sparse_proxy_guard	1
risk_guard	allele_coverage_check	1
risk_guard	assay_context_stratification	1
risk_guard	cohort_generalization_split	1
risk_guard	complexity_penalty	1
risk_guard	compute_budget_cap	1
risk_guard	early_stop_fidelity_check	1
risk_guard	equivalence_test	1
risk_guard	invalid_program_rejection	1
risk_guard	label_context_check	1
risk_guard	non_tumor_training_boundary	1
risk_guard	overcompression_failure_check	1
risk_guard	patient_level_leakage_guard	1
risk_guard	presentation_not_immunogenicity_boundary	1
risk_guard	public_tool_dependency_boundary	1
risk_guard	publication_overlap_audit	1
risk_guard	random_search_baseline	1
risk_guard	search_cost_reporting	1
risk_guard	small_data_overfit_check	1
risk_guard	structure_availability_bias	1
risk_guard	threshold_sensitivity_audit	1
risk_guard	training_overlap_audit	1
risk_guard	validation_overfit_guard	1
search_gene	AA_property_channel	1
search_gene	BA_EL_dual_score	1
search_gene	OOD_reward	1
search_gene	RL_controller_action	1
search_gene	TCR_expert_branch	1
search_gene	TCR_facing_position_mask	1
search_gene	TCR_missingness_policy	1
search_gene	TCR_propensity_branch	1
search_gene	aging_selection	1
search_gene	antigen_subtype_gate	1
search_gene	assay_confidence_weight	1
search_gene	binding_promiscuity_feature	1
search_gene	biochemistry_branch	1
search_gene	confidence_weighted_label	1
search_gene	distill_to_interpretable_rule	1
search_gene	diversity_preserving_mutation	1
search_gene	ensemble_diversity_weight	1
search_gene	expression_gate	1
search_gene	fitness_cache_reuse	1
search_gene	hotspot_feature	1
search_gene	immunoediting_prior	1
search_gene	label_provenance_node	1
search_gene	late_fusion_attention	1
search_gene	loss_function_gene	1
search_gene	motif_deconvolution_prior	1
search_gene	mutation_policy_learning	1
search_gene	oncogenicity_prior	1
search_gene	optimizer_gene	1
search_gene	pairing_affinity_gate	1
search_gene	posthoc_code_simplification	1
search_gene	presentation_gate	1
search_gene	program_tree_gene	1
search_gene	public_prior_score	1
search_gene	regularizer_gene	1
search_gene	reward_shaping	1
search_gene	small_CNN_branch	1
search_gene	structure_branch	1
search_gene	structure_uncertainty_gate	1
search_gene	top_k_reward	1
search_gene	two_stage_EL_to_IM_transfer	1
