task	feature_set	model	y	p_pre	p_post
V1	TierA67_clean_no_MAPK	LogReg_l2	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.0193;0.0739;0.0366;0.0318;0.0048;0.0590;0.0723;0.1372;0.0933;0.0919;0.1305;0.2659;0.0729;0.4758;0.3694;0.8051;0.6148;0.5327;0.7540;0.6571;0.7051;0.8734;0.8206;0.9382;0.7242;0.2899;0.6860;0.5982;0.8323;0.7365;0.3830;0.6581;0.2098;0.7344;0.2044;0.4713;0.6648;0.3677;0.7593;0.8169;0.9495	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;1.0000;0.5484;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.0000;1.0000;1.0000;1.0000;1.0000;0.0000;1.0000;0.0000;1.0000;0.0000;0.0000;1.0000;0.0000;1.0000;1.0000;1.0000
V1	TierA67_clean_no_MAPK	LogReg_elasticnet	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.0000;0.0001;0.0001;0.0000;0.0000;0.0000;0.0001;0.0001;0.0001;0.0001;0.0001;0.0003;0.0001;0.0008;0.0006;0.0026;0.0012;0.0010;0.0031;0.0015;0.0015;0.0048;0.0037;0.0110;0.0021;0.0004;0.0023;0.0012;0.0037;0.0022;0.0007;0.0022;0.0006;0.0022;0.0003;0.0009;0.0015;0.0006;0.0032;0.0003;0.0063	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
V1	TierA67_clean_no_MAPK	RandomForest	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.4475;0.4575;0.4575;0.4275;0.4575;0.4525;0.4250;0.4300;0.4550;0.4475;0.5000;0.4550;0.4675;0.5100;0.4900;0.4875;0.4850;0.4975;0.4875;0.4625;0.4575;0.4725;0.5300;0.5100;0.5225;0.5050;0.5275;0.4850;0.5275;0.4975;0.4800;0.5350;0.4700;0.4975;0.4625;0.4650;0.4850;0.4625;0.5225;0.5350;0.4900	0.3591;0.3812;0.3812;0.3149;0.3812;0.3702;0.3094;0.3204;0.3757;0.3591;0.4751;0.3757;0.4033;0.4972;0.4530;0.4475;0.4420;0.4696;0.4475;0.3923;0.3812;0.4144;0.5414;0.4972;0.5249;0.4862;0.5359;0.4420;0.5359;0.4696;0.4309;0.5525;0.4088;0.4696;0.3923;0.3978;0.4420;0.3923;0.5249;0.5525;0.4530
V1	TierA67_clean_no_MAPK	GradientBoosting	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.1034;0.0958;0.1034;0.0038;0.0958;0.0958;0.0114;0.0114;0.1034;0.1034;0.3546;0.0134;0.3355;0.3355;0.3355;0.3355;0.3355;0.3355;0.1366;0.3355;0.3546;0.3355;0.7621;0.7619;0.4298;0.3355;0.8990;0.3355;0.7621;0.3355;0.3355;0.7621;0.0958;0.3355;0.3355;0.0958;0.3355;0.3355;0.4298;0.4021;0.0958	0.1033;0.0957;0.1033;0.0038;0.0957;0.0957;0.0114;0.0114;0.1033;0.1033;0.3545;0.0134;0.3355;0.3355;0.3355;0.3355;0.3355;0.3355;0.1365;0.3355;0.3545;0.3355;0.7621;0.7620;0.4297;0.3355;0.8990;0.3355;0.7621;0.3355;0.3355;0.7621;0.0957;0.3355;0.3355;0.0957;0.3355;0.3355;0.4297;0.4020;0.0957
V1	TierA67_clean_no_MAPK	XGBoost	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.0605;0.1046;0.1046;0.0605;0.0996;0.0996;0.0622;0.0622;0.0996;0.0996;0.1022;0.0655;0.1022;0.1075;0.1075;0.1075;0.1075;0.1075;0.1894;0.1075;0.1075;0.1075;0.4869;0.4869;0.1967;0.1075;0.6125;0.1075;0.5445;0.1075;0.1075;0.4869;0.1046;0.1075;0.1075;0.1046;0.1075;0.1075;0.1910;0.5747;0.1464	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0876;0.0000;0.0000;0.0000;0.4612;0.4612;0.0968;0.0000;0.6189;0.0000;0.5335;0.0000;0.0000;0.4612;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0896;0.5715;0.0336
V1	BRS71_original	LogReg_l2	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.8483;0.8787;0.8418;0.7110;0.7478;0.7933;0.8004;0.8391;0.6781;0.8212;0.9754;0.9306;0.7436;0.9918;0.9950;0.9912;0.9947;0.9962;0.9972;0.9925;0.9972;0.9955;0.9980;0.9981;0.9978;0.9930;0.9988;0.9963;0.9992;0.9938;0.9975;0.9981;0.9970;0.9991;0.9948;0.9958;0.9984;0.9963;0.9983;0.9995;0.9977	1.0000;1.0000;1.0000;0.8959;0.9997;1.0000;1.0000;1.0000;0.8034;1.0000;1.0000;1.0000;0.9879;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
V1	BRS71_original	LogReg_elasticnet	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.4336;0.5614;0.3807;0.2967;0.2563;0.3207;0.3869;0.5652;0.4332;0.4319;0.8269;0.5071;0.4980;0.9326;0.9550;0.9685;0.9523;0.9622;0.9677;0.9865;0.9711;0.9797;0.9746;0.9808;0.9685;0.9675;0.9707;0.9599;0.9895;0.9687;0.9687;0.9741;0.9596;0.9893;0.9518;0.9519;0.9869;0.9603;0.9756;0.9658;0.9489	0.0000;0.2508;0.0000;0.0000;0.0000;0.0000;0.0000;0.2865;0.0000;0.0000;1.0000;0.0000;0.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
V1	BRS71_original	RandomForest	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.4075;0.4100;0.4050;0.4075;0.4075;0.4150;0.4175;0.4225;0.4125;0.4150;0.3975;0.4150;0.4200;0.4450;0.4500;0.4575;0.4600;0.4550;0.4625;0.4600;0.4350;0.4525;0.4725;0.4600;0.4675;0.4575;0.4650;0.4575;0.4775;0.4675;0.4600;0.4725;0.4875;0.4775;0.4475;0.4350;0.4700;0.4450;0.4725;0.4275;0.4350	0.2547;0.2609;0.2484;0.2547;0.2547;0.2733;0.2795;0.2919;0.2671;0.2733;0.2298;0.2733;0.2857;0.3478;0.3602;0.3789;0.3851;0.3727;0.3913;0.3851;0.3230;0.3665;0.4161;0.3851;0.4037;0.3789;0.3975;0.3789;0.4286;0.4037;0.3851;0.4161;0.4534;0.4286;0.3540;0.3230;0.4099;0.3478;0.4161;0.3043;0.3230
V1	BRS71_original	GradientBoosting	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.0017;0.0025;0.0022;0.0017;0.0058;0.0031;0.0057;0.0035;0.0035;0.0058;0.0022;0.0034;0.0124;0.0094;0.0296;0.0250;0.0250;0.0250;0.0296;0.0133;0.0079;0.0250;0.0244;0.0244;0.0304;0.0250;0.0304;0.0296;0.0393;0.0244;0.0250;0.0296;0.0296;0.0250;0.0077;0.0053;0.0332;0.0304;0.0112;0.0013;0.0049	0.0017;0.0025;0.0021;0.0017;0.0058;0.0031;0.0057;0.0035;0.0035;0.0058;0.0021;0.0034;0.0124;0.0094;0.0296;0.0250;0.0250;0.0250;0.0296;0.0133;0.0079;0.0250;0.0244;0.0244;0.0304;0.0250;0.0304;0.0296;0.0392;0.0244;0.0250;0.0296;0.0296;0.0250;0.0077;0.0053;0.0332;0.0304;0.0112;0.0013;0.0049
V1	BRS71_original	XGBoost	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.6727;0.6727;0.6727;0.6727;0.6727;0.6727;0.6727;0.5179;0.5179;0.6727;0.6727;0.5179;0.8311;0.5179;0.7296;0.7342;0.7342;0.7342;0.7342;0.7342;0.5179;0.7342;0.7342;0.7342;0.7342;0.7342;0.7342;0.7296;0.7342;0.7342;0.7342;0.7342;0.7342;0.7342;0.5179;0.7296;0.7342;0.7342;0.7342;0.7342;0.7342	0.7315;0.7315;0.7315;0.7315;0.7315;0.7315;0.7315;0.5013;0.5013;0.7315;0.7315;0.5013;0.9669;0.5013;0.8160;0.8229;0.8229;0.8229;0.8229;0.8229;0.5013;0.8229;0.8229;0.8229;0.8229;0.8229;0.8229;0.8160;0.8229;0.8229;0.8229;0.8229;0.8229;0.8229;0.5013;0.8160;0.8229;0.8229;0.8229;0.8229;0.8229
V1	v3_panel_compact	LogReg_l2	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.9885;0.9854;0.9942;0.9896;0.9906;0.9866;0.9838;0.9936;0.9897;0.9906;0.9964;0.9956;0.9870;0.9980;0.9970;0.9989;0.9983;0.9982;0.9987;0.9995;0.9991;0.9992;0.9987;0.9993;0.9987;0.9966;0.9972;0.9978;0.9982;0.9985;0.9984;0.9989;0.9962;0.9990;0.9977;0.9973;0.9989;0.9965;0.9992;0.9999;0.9993	1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
V1	v3_panel_compact	LogReg_elasticnet	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.9937;0.9924;0.9977;0.9951;0.9953;0.9932;0.9920;0.9967;0.9956;0.9952;0.9981;0.9976;0.9945;0.9989;0.9987;0.9994;0.9991;0.9990;0.9993;0.9997;0.9995;0.9996;0.9993;0.9996;0.9994;0.9982;0.9986;0.9989;0.9991;0.9992;0.9992;0.9994;0.9982;0.9994;0.9989;0.9986;0.9994;0.9982;0.9995;0.9999;0.9995	1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
V1	v3_panel_compact	RandomForest	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.5350;0.5450;0.5425;0.5350;0.5475;0.5500;0.5550;0.5575;0.5600;0.5300;0.5700;0.5850;0.6000;0.7000;0.6650;0.6575;0.6375;0.6850;0.6775;0.6900;0.6500;0.6700;0.6825;0.6825;0.7125;0.6625;0.6650;0.6650;0.6775;0.6700;0.6550;0.6875;0.6575;0.6800;0.6600;0.6425;0.6700;0.6625;0.6875;0.6075;0.6025	0.6875;0.7125;0.7062;0.6875;0.7188;0.7250;0.7375;0.7437;0.7500;0.6750;0.7750;0.8125;0.8500;1.0000;1.0000;0.9937;0.9437;1.0000;1.0000;1.0000;0.9750;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9875;1.0000;0.9937;1.0000;1.0000;0.9562;1.0000;1.0000;1.0000;0.8688;0.8563
V1	v3_panel_compact	GradientBoosting	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
V1	v3_panel_compact	XGBoost	0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023;0.2023	0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040;0.1040
