disease	short_form	snp	chr	pos	region	pvalue	or_value	beta	ancestry_initial	pubmed	first_author	year	title	mhc	asian_ancestry
Type1_diabetes	MONDO_0005147	rs10509540-?	10	88263276.0	10q23.31	1e-28	1.33		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs4763879-A	12	9757568.0	12p13.31	2e-11	1.09		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs1465788-?	14	68796882.0	14q24.1	2e-12	1.16		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs4900384-G	14	98032614.0	14q32.2	4e-09	1.09		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs4788084-G	16	28528527.0	16p11.2	3.0000000000000003e-13	1.09		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs7202877-G	16	75213347.0	16q23.1	3.0000000000000002e-15	1.28		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2290400-?	17	39909987.0	17q21.1	6.000000000000001e-13	1.15		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs7221109-?	17	40614034.0	17q21.2	1e-09	1.05		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs425105-?	19	46705224.0	19q13.32	3e-11	1.16		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2281808-?	20	1629905.0	20p13	1e-11	1.11		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs5753037-T	22	30185733.0	22q12.2	3e-16	1.1		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2664170-G	X	154717327.0	Xq28	8e-09	1.16		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2269241-G	1	63643100.0	1p31.3	4e-07	1.1		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs1534422-G	2	12500615.0	2p24.3	2e-06	1.08		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs12444268-A	16	20331250.0	16p12.3	2e-07	1.1		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs16956936-?	17	7730374.0	17p13.1	5e-07	1.09		European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs9268645-?	6	32440750.0	6p21.32	1e-100			European	19430480	Barrett JC	2009	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	True	False
Type1_diabetes	MONDO_0005147	rs1701704-C	12	56018703.0	12q13.2	9e-10	1.25		European	18198356	Hakonarson H	2008	A novel susceptibility locus for type 1 diabetes on Chr12q13 identified by a genome-wide association study.	False	False
Type1_diabetes	MONDO_0005147	rs12708716-G	16	11086016.0	16p13.13	5e-14	1.2		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs1990760-C	2	162267541.0	2q24.2	2e-14	1.2		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs2872507-A	17	39884510.0	17q21.1	2e-06	1.1		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs12722495-A	10	6055320.0	10p15.1	1e-38	1.61		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs2542151-G	18	12779948.0	18p11.21	4e-13	1.3		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs2292239-T	12	56088396.0	12q13.2	3e-27	1.3		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs763361-C	18	69864406.0	18q22.2	1e-09	1.12		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs3788013-A	21	42421219.0	21q22.3	1e-07	1.1		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs7171171-G	15	38614840.0	15q14	2e-07			European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs3087243-A	2	203874196.0	2q33.2	2e-17	1.2		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs2069762-A	4	122456825.0	4q27	5e-07	1.12		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs4788084-C	16	28528527.0	16p11.2	1e-08	1.15		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs2476601-A	1	113834946.0	1p13.2	2e-111	2.0		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs3184504-T	12	111446804.0	12q24.12	2e-38	1.3		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs11755527-G	6	90248512.0	6q15	3.0000000000000004e-08	1.1		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs17388568-A	4	122408207.0	4q27	6e-06	1.1		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs1004446-G	11	2148913.0	11p15.5	3e-23	1.4		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs1701704-T	12	56018703.0	12q13.2	5e-18	1.25		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs2304256-?	19	10364976.0	19p13.2	1e-10			European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs743777-G	22	37155567.0	22q12.3	2e-06	1.1		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs3024505-G	1	206766559.0	1q32.1	5e-10	1.2		European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs689-A	11	2160994.0	11p15.5	5e-196			European	21829393	Plagnol V	2011	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	False	False
Type1_diabetes	MONDO_0005147	rs61839660-?	10	6052734.0	10p15.1	5e-09	1.6		European	22293688	Huang J	2012	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	False	False
Type1_diabetes	MONDO_0005147	rs1265564-?	12	111270654.0	12q24.11	1e-16	1.45		European	22293688	Huang J	2012	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	False	False
Type1_diabetes	MONDO_0005147	rs539514-?	13	75752146.0	13q22.2	6e-11	1.43		European	21980299	Bradfield JP	2011	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	False	False
Type1_diabetes	MONDO_0005147	rs478222-?	2	25078886.0	2p23.3	4e-09	1.22		European	21980299	Bradfield JP	2011	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	False	False
Type1_diabetes	MONDO_0005147	rs924043-?	6	170063801.0	6q27	8e-09	1.35		European	21980299	Bradfield JP	2011	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	False	False
Type1_diabetes	MONDO_0005147	rs550448-?	7	28189423.0	7p15.1	5e-07	1.32		European	21980299	Bradfield JP	2011	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	False	False
Type1_diabetes	MONDO_0005147	rs12679857-?	8	118965098.0	8q24.12	4e-07	1.2		European	21980299	Bradfield JP	2011	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	False	False
Type1_diabetes	MONDO_0005147	rs6547853-?	2	28423934.0	2p23.2	8e-07	1.19		European	21980299	Bradfield JP	2011	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	False	False
Type1_diabetes	MONDO_0005147	rs4084127-?	11	69781755.0	11q13.3	3e-06	1.11		European	21980299	Bradfield JP	2011	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	False	False
Type1_diabetes	MONDO_0005147	rs10786436-T	10	98540425.0	10q24.2	8e-07	1.1		European	21980299	Bradfield JP	2011	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	False	False
Type1_diabetes	MONDO_0005147	rs10137082-?	14	23370824.0	14q11.2	6e-06	1.1		European	21980299	Bradfield JP	2011	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	False	False
Type1_diabetes	MONDO_0005147	rs2304256-C	19	10364976.0	19p13.2	4e-09	1.16		European	19966805	Wallace C	2009	The imprinted DLK1-MEG3 gene region on chromosome 14q32.2 alters susceptibility to type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs941576-A	14	100839708.0	14q32.2	1e-10	1.11		European	19966805	Wallace C	2009	The imprinted DLK1-MEG3 gene region on chromosome 14q32.2 alters susceptibility to type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs6534347-A	4	122277280.0	4q27	2e-06	1.3		European	17554300	Wellcome Trust Case Control Consortium	2007	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	False	False
Type1_diabetes	MONDO_0005147	rs3764021-C	12	9681032.0	12p13.31	5e-08	1.57		European	17554300	Wellcome Trust Case Control Consortium	2007	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	False	False
Type1_diabetes	MONDO_0005147	rs17166496-G	5	133293192.0	5q31.1	4.9999999999999996e-06	1.3		European	17554300	Wellcome Trust Case Control Consortium	2007	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	False	False
Type1_diabetes	MONDO_0005147	rs6679677-A	1	113761186.0	1p13.2	5e-26	1.82		European	17554300	Wellcome Trust Case Control Consortium	2007	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	False	False
Type1_diabetes	MONDO_0005147	rs9272346-G	6	32636595.0	6p21.32	5e-134	5.49		European	17554300	Wellcome Trust Case Control Consortium	2007	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	True	False
Type1_diabetes	MONDO_0005147	rs11171739-C	12	56076841.0	12q13.2	1e-11	1.34		European	17554300	Wellcome Trust Case Control Consortium	2007	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	False	False
Type1_diabetes	MONDO_0005147	rs17696736-G	12	112049014.0	12q24.13	2e-14	1.34		European	17554300	Wellcome Trust Case Control Consortium	2007	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	False	False
Type1_diabetes	MONDO_0005147	rs12708716-A	16	11086016.0	16p13.13	5e-07	1.19		European	17554300	Wellcome Trust Case Control Consortium	2007	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	False	False
Type1_diabetes	MONDO_0005147	rs11052552-G	12	9703362.0	12p13.31	7e-07	1.49		European	17554300	Wellcome Trust Case Control Consortium	2007	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	False	False
Type1_diabetes	MONDO_0005147	rs17388568-A	4	122408207.0	4q27	3e-06	1.26		European	17554300	Wellcome Trust Case Control Consortium	2007	Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.	False	False
Type1_diabetes	MONDO_0005147	rs11725853-A	4	174721548.0	4q34.1	8e-07		0.11	European	24595857	Sandholm N	2014	Genome-wide association study of urinary albumin excretion rate in patients with type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2410601-G	8	19065067.0	8p22	4e-06		0.08	European	24595857	Sandholm N	2014	Genome-wide association study of urinary albumin excretion rate in patients with type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2523989-A	6	30110498.0	6p22.1	2e-08	1.7499		European	25936594	Tomer Y	2015	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	True	False
Type1_diabetes	MONDO_0005147	rs886424-A	6	30814225.0	6p21.33	3e-14	2.2107		European	25936594	Tomer Y	2015	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	True	False
Type1_diabetes	MONDO_0005147	rs2251396-T	6	31396930.0	6p21.33	1e-22	2.2132		European	25936594	Tomer Y	2015	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	True	False
Type1_diabetes	MONDO_0005147	rs2857595-T	6	31600692.0	6p21.33	2e-23	2.3765		European	25936594	Tomer Y	2015	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	True	False
Type1_diabetes	MONDO_0005147	rs1270942-C	6	31951083.0	6p21.33	5.0000000000000005e-25	3.0494		European	25936594	Tomer Y	2015	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	True	False
Type1_diabetes	MONDO_0005147	rs1980493-G	6	32395438.0	6p21.32	2e-20	2.5034		European	25936594	Tomer Y	2015	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	True	False
Type1_diabetes	MONDO_0005147	rs1015166-T	6	32830954.0	6p21.32	4e-22	2.1428		European	25936594	Tomer Y	2015	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	True	False
Type1_diabetes	MONDO_0005147	rs2476601-A	1	113834946.0	1p13.2	7e-20	2.7073		European	25936594	Tomer Y	2015	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs2358994-A	1	113886839.0	1p13.2	2e-11	1.8688		European	25936594	Tomer Y	2015	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	False	False
Type1_diabetes	MONDO_0005147	rs7679475-A	4	121392885.0	4q27	4e-10	1.6198		European	25936594	Tomer Y	2015	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	False	False
