track	group	task_code	task	priority_score	task_id	status	dependency	claim_boundary	why_it_matters	lane	priority_bucket
reviewer	control-board	t13-28	lock the assay list for the next cross-neo packet	0.8315	ULT-BCB1BCF0	ready	v10-v12 reviewer packets	reviewer / claim-safe	increases granularity	review	high
reviewer	claim-safety	t13-29	mirror the readout list for the next cross-neo packet	0.826	ULT-9CCD8142	ready	v10-v12 reviewer packets	reviewer / claim-safe	increases granularity	review	high
reviewer	mosaic-visual	t13-30	compress the figure caption set for the next cross-neo packet	0.8205	ULT-48E0C013	ready	v10-v12 reviewer packets	reviewer / claim-safe	increases granularity	review	high
next	prospective-pilot	t13-31	isolate the supplement caption set for the next cross-neo packet	0.815	ULT-44A54DED	ready	v10-v12 reviewer packets	next-step / claim-safe	increases granularity	backlog	high
next	qa-checklist	t13-32	prioritize the deck caption set for the next cross-neo packet	0.8095	ULT-15098358	ready	v10-v12 reviewer packets	next-step / claim-safe	increases granularity	backlog	high
next	dependency-crosswalk	t13-33	surface the objection response set for the next cross-neo packet	0.804	ULT-6C608928	ready	v10-v12 reviewer packets	next-step / claim-safe	increases granularity	backlog	high
next	do-not-overcall	t13-34	package the failure action set for the next cross-neo packet	0.7985	ULT-598B631A	ready	v10-v12 reviewer packets	next-step / claim-safe	increases granularity	backlog	important
analysis	external-validation	t13-35	split the control manifest for the next cross-neo packet	0.7929999999999999	ULT-B8E1F888	ready	v10-v12 reviewer packets	analysis / claim-safe	connects retrospective signal to future prospective work	analysis	important
analysis	figure-caption	t13-36	expand the claim ledger for the next cross-neo packet	0.7875	ULT-234E29DB	ready	v10-v12 reviewer packets	analysis / claim-safe	increases granularity	analysis	important
analysis	reviewer-rebuttal	t13-37	crosswalk the task dependency graph for the next cross-neo packet	0.782	ULT-43A6016B	ready	v7-v9 visuals	analysis / claim-safe	reduces response latency	analysis	important
analysis	claim-boundary	t13-38	bundle the task owner map for the next cross-neo packet	0.7765	ULT-65D784CB	ready	v7-v9 visuals	analysis / claim-safe	increases granularity	analysis	important
analysis	failure-registry	t13-39	map the task deliverable map for the next cross-neo packet	0.771	ULT-51B6821C	ready	v7-v9 visuals	analysis / claim-safe	increases granularity	analysis	important
execution	bench-printout	t13-40	queue the bench printout for the next cross-neo packet	0.7655	ULT-E4F75408	ready	v7-v9 visuals	execution / claim-safe	improves execution traceability	bench	important
execution	result-entry	t13-41	draft the result-entry template for the next cross-neo packet	0.76	ULT-46FF2A3A	ready	v7-v9 visuals	execution / claim-safe	increases granularity	bench	important
execution	control-sequence	t13-42	prepare the well-level map for the next cross-neo packet	0.7545	ULT-234FA09C	ready	v7-v9 visuals	execution / claim-safe	increases granularity	bench	important
execution	handoff-packaging	t13-43	index the reagent list for the next cross-neo packet	0.749	ULT-A4460669	ready	v7-v9 visuals	execution / claim-safe	increases granularity	bench	important
reviewer	objection-response	t13-44	tag the one-page checklist for the next cross-neo packet	0.7435	ULT-71B0B4A5	ready	v7-v9 visuals	reviewer / claim-safe	increases granularity	review	important
reviewer	control-board	t13-45	lock the what-is-not-claimed list for the next cross-neo packet	0.738	ULT-98DFF694	ready	v7-v9 visuals	reviewer / claim-safe	increases granularity	review	important
reviewer	claim-safety	t13-46	mirror the what-is-claimed-now list for the next cross-neo packet	0.7324999999999999	ULT-F59BD970	ready	v7-v9 visuals	reviewer / claim-safe	increases granularity	review	important
reviewer	mosaic-visual	t13-47	compress the file-anchor table for the next cross-neo packet	0.727	ULT-12E6D71A	ready	v7-v9 visuals	reviewer / claim-safe	increases granularity	review	important
next	prospective-pilot	t13-48	isolate the scoreboard comparison for the next cross-neo packet	0.7215	ULT-803B896D	ready	v7-v9 visuals	next-step / claim-safe	increases granularity	backlog	important
next	qa-checklist	t13-49	prioritize the timeline chart for the next cross-neo packet	0.716	ULT-7818F8A5	ready	v7-v9 visuals	next-step / claim-safe	increases granularity	backlog	important
next	dependency-crosswalk	t13-50	surface the mosaic page for the next cross-neo packet	0.7105	ULT-C1533C2C	ready	v7-v9 visuals	next-step / claim-safe	increases granularity	backlog	important
next	do-not-overcall	t13-51	package the cohort list for the next cross-neo packet	0.7050000000000001	ULT-CE23ABEF	ready	v7-v9 visuals	next-step / claim-safe	increases granularity	backlog	important
analysis	external-validation	t13-52	split the sample list for the next cross-neo packet	0.6995	ULT-ED0CED27	ready	v7-v9 visuals	analysis / claim-safe	connects retrospective signal to future prospective work	analysis	reserve
analysis	figure-caption	t13-53	expand the assay list for the next cross-neo packet	0.694	ULT-F262B8F3	ready	v7-v9 visuals	analysis / claim-safe	increases granularity	analysis	reserve
analysis	reviewer-rebuttal	t13-54	crosswalk the readout list for the next cross-neo packet	0.6885	ULT-DB1D6C7C	ready	v7-v9 visuals	analysis / claim-safe	reduces response latency	analysis	reserve
analysis	claim-boundary	t13-55	bundle the figure caption set for the next cross-neo packet	0.683	ULT-C280034E	ready	v7-v12 artifacts	analysis / claim-safe	increases granularity	analysis	reserve
analysis	failure-registry	t13-56	map the supplement caption set for the next cross-neo packet	0.6775	ULT-C1B57178	ready	v7-v12 artifacts	analysis / claim-safe	increases granularity	analysis	reserve
execution	bench-printout	t13-57	queue the deck caption set for the next cross-neo packet	0.6719999999999999	ULT-DDD705F7	ready	v7-v12 artifacts	execution / claim-safe	improves execution traceability	bench	reserve
execution	result-entry	t13-58	draft the objection response set for the next cross-neo packet	0.6665	ULT-2BCBF4DA	ready	v7-v12 artifacts	execution / claim-safe	increases granularity	bench	reserve
execution	control-sequence	t13-59	prepare the failure action set for the next cross-neo packet	0.661	ULT-68FB342C	ready	v7-v12 artifacts	execution / claim-safe	increases granularity	bench	reserve
execution	handoff-packaging	t13-60	index the control manifest for the next cross-neo packet	0.6555	ULT-2BCD5AE2	ready	v7-v12 artifacts	execution / claim-safe	increases granularity	bench	reserve
reviewer	objection-response	t13-61	tag the claim ledger for the next cross-neo packet	0.65	ULT-5EAC1AB9	ready	v7-v12 artifacts	reviewer / claim-safe	increases granularity	review	reserve
reviewer	control-board	t13-62	lock the task dependency graph for the next cross-neo packet	0.6445000000000001	ULT-D32A506D	ready	v7-v12 artifacts	reviewer / claim-safe	increases granularity	review	reserve
reviewer	claim-safety	t13-63	mirror the task owner map for the next cross-neo packet	0.639	ULT-3A8ED108	ready	v7-v12 artifacts	reviewer / claim-safe	increases granularity	review	reserve
reviewer	mosaic-visual	t13-64	compress the task deliverable map for the next cross-neo packet	0.6335	ULT-213E1F8D	ready	v7-v12 artifacts	reviewer / claim-safe	increases granularity	review	reserve
next	prospective-pilot	t13-65	isolate the bench printout for the next cross-neo packet	0.628	ULT-ED12A74C	ready	v7-v12 artifacts	next-step / claim-safe	increases granularity	backlog	reserve
next	qa-checklist	t13-66	prioritize the result-entry template for the next cross-neo packet	0.6225	ULT-9E983732	ready	v7-v12 artifacts	next-step / claim-safe	increases granularity	backlog	reserve
next	dependency-crosswalk	t13-67	surface the well-level map for the next cross-neo packet	0.617	ULT-9AB3BDDF	ready	v7-v12 artifacts	next-step / claim-safe	increases granularity	backlog	reserve
next	do-not-overcall	t13-68	package the reagent list for the next cross-neo packet	0.6114999999999999	ULT-D3586D20	ready	v7-v12 artifacts	next-step / claim-safe	increases granularity	backlog	reserve
analysis	external-validation	t13-69	split the one-page checklist for the next cross-neo packet	0.606	ULT-946012A3	ready	v7-v12 artifacts	analysis / claim-safe	connects retrospective signal to future prospective work	analysis	reserve
analysis	figure-caption	t13-70	expand the what-is-not-claimed list for the next cross-neo packet	0.6005	ULT-6EB2B65F	ready	v7-v12 artifacts	analysis / claim-safe	increases granularity	analysis	reserve
analysis	reviewer-rebuttal	t13-71	crosswalk the what-is-claimed-now list for the next cross-neo packet	0.595	ULT-1A50B0E1	ready	v7-v12 artifacts	analysis / claim-safe	reduces response latency	analysis	reserve
analysis	claim-boundary	t13-72	bundle the file-anchor table for the next cross-neo packet	0.5895	ULT-8DDA606F	ready	v7-v12 artifacts	analysis / claim-safe	increases granularity	analysis	reserve
analysis	failure-registry	t13-73	map the scoreboard comparison for the next cross-neo packet	0.5840000000000001	ULT-E6F2207B	ready	v7-v12 artifacts	analysis / claim-safe	increases granularity	analysis	reserve
execution	bench-printout	t13-74	queue the timeline chart for the next cross-neo packet	0.5785	ULT-48DABA68	ready	v7-v12 artifacts	execution / claim-safe	improves execution traceability	bench	reserve
execution	result-entry	t13-75	draft the mosaic page for the next cross-neo packet	0.573	ULT-4D290351	ready	v7-v12 artifacts	execution / claim-safe	increases granularity	bench	reserve
execution	control-sequence	t13-76	prepare the cohort list for the next cross-neo packet	0.5675	ULT-624B85BC	ready	v7-v12 artifacts	execution / claim-safe	increases granularity	bench	reserve
execution	handoff-packaging	t13-77	index the sample list for the next cross-neo packet	0.562	ULT-AF580ADB	ready	v7-v12 artifacts	execution / claim-safe	increases granularity	bench	reserve
reviewer	objection-response	t13-78	tag the assay list for the next cross-neo packet	0.5565	ULT-F0D8113C	ready	v7-v12 artifacts	reviewer / claim-safe	increases granularity	review	reserve
reviewer	control-board	t13-79	lock the readout list for the next cross-neo packet	0.5509999999999999	ULT-1172EA36	ready	v7-v12 artifacts	reviewer / claim-safe	increases granularity	review	reserve
reviewer	claim-safety	t13-80	mirror the figure caption set for the next cross-neo packet	0.5455	ULT-30C2A8A8	ready	v7-v12 artifacts	reviewer / claim-safe	increases granularity	review	reserve
reviewer	mosaic-visual	t13-81	compress the supplement caption set for the next cross-neo packet	0.54	ULT-40F5378B	ready	v7-v12 artifacts	reviewer / claim-safe	increases granularity	review	reserve
next	prospective-pilot	t13-82	isolate the deck caption set for the next cross-neo packet	0.5345	ULT-102D8181	ready	v7-v12 artifacts	next-step / claim-safe	increases granularity	backlog	reserve
next	qa-checklist	t13-83	prioritize the objection response set for the next cross-neo packet	0.529	ULT-1CFA4CB9	ready	v7-v12 artifacts	next-step / claim-safe	increases granularity	backlog	reserve
next	dependency-crosswalk	t13-84	surface the failure action set for the next cross-neo packet	0.5235000000000001	ULT-BD039492	ready	v7-v12 artifacts	next-step / claim-safe	increases granularity	backlog	reserve
next	do-not-overcall	t13-85	package the control manifest for the next cross-neo packet	0.518	ULT-F5D4CF64	ready	v7-v12 artifacts	next-step / claim-safe	increases granularity	backlog	reserve
analysis	external-validation	t13-86	split the claim ledger for the next cross-neo packet	0.5125	ULT-C11A9F0A	ready	v7-v12 artifacts	analysis / claim-safe	connects retrospective signal to future prospective work	analysis	reserve
analysis	figure-caption	t13-87	expand the task dependency graph for the next cross-neo packet	0.507	ULT-EA8DA3EC	ready	v7-v12 artifacts	analysis / claim-safe	increases granularity	analysis	reserve
analysis	reviewer-rebuttal	t13-88	crosswalk the task owner map for the next cross-neo packet	0.5015000000000001	ULT-76839528	ready	v7-v12 artifacts	analysis / claim-safe	reduces response latency	analysis	reserve
analysis	claim-boundary	t13-89	bundle the task deliverable map for the next cross-neo packet	0.496	ULT-8857BA06	ready	v7-v12 artifacts	analysis / claim-safe	increases granularity	analysis	reserve
analysis	failure-registry	t13-90	map the bench printout for the next cross-neo packet	0.4905	ULT-955D3E29	ready	v7-v12 artifacts	analysis / claim-safe	increases granularity	analysis	reserve
