figure_id	png_path	exists	title	what_it_shows_kr	source_data	where_to_use	claim_boundary
fig_md12_evidence_score_components	figures/fig_md12_evidence_score_components.png	True	MD evidence score components	MD score 구성요소별 기여도.	md_evidence_scores.tsv	Evidence scoring	prioritization/structural audit evidence; not immunogenicity proof
fig_md13_visual_summary_dashboard	figures/fig_md13_visual_summary_dashboard.png	True	MD visual dashboard	MD status, RMSD, contacts, evidence label dashboard.	md_status_summary.tsv; md_evidence_scores.tsv	Summary dashboard	prioritization/structural audit evidence; not immunogenicity proof
fig_md14_ultra_priority_ranking	figures/fig_md14_ultra_priority_ranking.png	True	Ultra priority ranking	DL/TCR/MD 통합 우선순위 ranking.	ultra_priority/ultra_wetlab_priority_candidates.tsv	Wetlab prioritization	prioritization/structural audit evidence; not immunogenicity proof
fig_md15_ultra_priority_evidence_blocks	figures/fig_md15_ultra_priority_evidence_blocks.png	True	Ultra priority evidence blocks	대표 후보별 evidence block.	ultra_priority/*.tsv	Candidate evidence	prioritization/structural audit evidence; not immunogenicity proof
fig_md16_small_dataset_uncertainty_funnel	figures/fig_md16_small_dataset_uncertainty_funnel.png	True	Small-dataset uncertainty funnel	Bayesian/dropout uncertainty gate 결과.	small_dataset_uncertainty/*.tsv	Uncertainty gate	prioritization/structural audit evidence; not immunogenicity proof
fig_md17_bayesian_dropout_uncertainty	figures/fig_md17_bayesian_dropout_uncertainty.png	True	Bayesian/dropout uncertainty	posterior interval과 perturbation sensitivity.	small_dataset_uncertainty/*.tsv	Uncertainty diagnostics	prioritization/structural audit evidence; not immunogenicity proof
fig_md18_dl_first_candidate_funnel	figures/fig_md18_dl_first_candidate_funnel.png	True	DL-first candidate funnel	cheap model gate부터 TCR/MD escalation까지 후보 감소.	dl_first_funnel/*.tsv	Main funnel	prioritization/structural audit evidence; not immunogenicity proof
fig_md19_dl_tcr_rescue_uncertainty	figures/fig_md19_dl_tcr_rescue_uncertainty.png	True	DL/TCR rescue uncertainty	main DL 약하지만 TCR evidence가 살리는 후보를 설명.	dl_first_funnel/*.tsv	TCR rescue	prioritization/structural audit evidence; not immunogenicity proof
fig_md20_baker_rosetta_fallback_scores	figures/fig_md20_baker_rosetta_fallback_scores.png	True	Baker/Rosetta fallback scores	Rosetta 미설치 상황에서 static contact fallback filter.	baker_rosetta_filter/*.tsv	Cheap structural filter	prioritization/structural audit evidence; not immunogenicity proof
fig_md21_baker_contact_triage_map	figures/fig_md21_baker_contact_triage_map.png	True	Baker contact triage map	pMHC/TCR contact 기반 cheap triage map.	baker_rosetta_filter/*.tsv	Structure triage	prioritization/structural audit evidence; not immunogenicity proof
fig_md22_threshold_precision_recall_frontier	figures/fig_md22_threshold_precision_recall_frontier.png	True	Threshold precision-recall frontier	slider threshold preset의 precision/recall tradeoff.	dl_threshold_optimization/*.tsv	Operating point	prioritization/structural audit evidence; not immunogenicity proof
fig_md23_threshold_preset_confusion	figures/fig_md23_threshold_preset_confusion.png	True	Threshold preset confusion	preset별 TP/TN/FP/FN/called count.	dl_threshold_optimization/*.tsv	Operating point	prioritization/structural audit evidence; not immunogenicity proof
fig_md24_story_overview_flow	figures/fig_md24_story_overview_flow.png	True	Story overview flow	전체 후보가 어떤 gate를 거쳐 대표 후보로 좁혀지는지.	decision_storyboard/*.tsv	Opening overview	prioritization/structural audit evidence; not immunogenicity proof
fig_md25_data_usage_matrix	figures/fig_md25_data_usage_matrix.png	True	Data usage matrix	어떤 데이터가 DL/uncertainty/TCR/structure/MD/UI에 쓰이는지.	decision_storyboard/data_usage_manifest.tsv	Data provenance	prioritization/structural audit evidence; not immunogenicity proof
fig_md26_representative_candidate_board	figures/fig_md26_representative_candidate_board.png	True	Representative candidate board	GADGVGKSAL/HMTEVVRHC 대표 후보별 evidence panel.	decision_storyboard/representative_candidate_evidence_table.tsv	Candidate board	prioritization/structural audit evidence; not immunogenicity proof
fig_md27_no_fp_top13_candidate_evidence	figures/fig_md27_no_fp_top13_candidate_evidence.png	True	Top-13 no-FP candidate evidence	strict current-label preset으로 남은 Top-13 후보 evidence heatmap.	high_impact_decision_package/no_false_positive_top13_candidates.tsv	High-impact wetlab triage	prioritization/structural audit evidence; not immunogenicity proof
fig_md28_source_stratified_preset_performance	figures/fig_md28_source_stratified_preset_performance.png	True	Source-stratified preset performance	추천 preset이 source별로 어떤 TP/FP/FN behavior를 보이는지.	high_impact_decision_package/preset_source_stratified_performance.tsv	Reviewer robustness	prioritization/structural audit evidence; not immunogenicity proof
fig_md29_claim_ladder	figures/fig_md29_claim_ladder.png	True	Claim ladder	지금 가능한 claim, wetlab 후 가능한 claim, 금지 claim을 분리.	high_impact_decision_package/claim_ladder.tsv	Reviewer defense	prioritization/structural audit evidence; not immunogenicity proof
fig_md30_wetlab_validation_workflow	figures/fig_md30_wetlab_validation_workflow.png	True	Wetlab validation workflow	peptide-HLA binding부터 WT/decoy-controlled assay까지의 go/no-go 흐름.	high_impact_decision_package/wetlab_validation_plate_plan.tsv	Validation plan	prioritization/structural audit evidence; not immunogenicity proof
fig_md31_immunogenicity_simulation_ladder	figures/fig_md31_immunogenicity_simulation_ladder.png	True	Immunogenicity simulation ladder	immunogenicity assay 전 어떤 simulation layer를 추가할지 단계화.	immunogenicity_simulation_escalation/immunogenicity_simulation_matrix.tsv	Simulation escalation	prioritization/structural audit evidence; not immunogenicity proof
fig_md32_candidate_simulation_budget	figures/fig_md32_candidate_simulation_budget.png	True	Candidate simulation budget	Top 후보별 요청 short-MD ns와 GPU-hour budget.	immunogenicity_simulation_escalation/candidate_simulation_budget.tsv	Resource planning	prioritization/structural audit evidence; not immunogenicity proof
fig_md33_assay_to_simulation_bridge	figures/fig_md33_assay_to_simulation_bridge.png	True	Assay-to-simulation bridge	wetlab readout과 simulation evidence가 각각 무엇을 support하는지 연결.	immunogenicity_simulation_escalation/wetlab_assay_simulation_bridge.tsv	Assay interpretation	prioritization/structural audit evidence; not immunogenicity proof
fig_md34_immunogenicity_simulation_readiness	figures/fig_md34_immunogenicity_simulation_readiness.png	True	Immunogenicity simulation readiness	ready/queued/blocked/hold module 상태.	immunogenicity_simulation_escalation/immunogenicity_simulation_matrix.tsv	Execution dashboard	prioritization/structural audit evidence; not immunogenicity proof
fig_md35_two_lead_evidence_moat	figures/fig_md35_two_lead_evidence_moat.png	True	Two-lead evidence moat	GADGVGKSAL/HMTEVVRHC 두 flagship 후보의 external/TCR/MD/control/actionability moat.	two_lead_impact_package/two_lead_external_evidence.tsv	Flagship lead case	prioritization/structural audit evidence; not immunogenicity proof
fig_md36_specificity_lock_matrix	figures/fig_md36_specificity_lock_matrix.png	True	Specificity lock matrix	mutation/HLA/structure/MD/WT/decoy/assay lock 상태.	two_lead_impact_package/two_lead_specificity_locks.tsv	Specificity defense	prioritization/structural audit evidence; not immunogenicity proof
fig_md37_impact_upgrade_flow	figures/fig_md37_impact_upgrade_flow.png	True	Impact upgrade flow	ranking에서 controlled immunogenicity test plan으로 넘어가는 흐름.	two_lead_impact_package/two_lead_wetlab_order.tsv	Impact framing	prioritization/structural audit evidence; not immunogenicity proof
fig_md38_reagent_order_sheet	figures/fig_md38_reagent_order_sheet.png	True	Reagent order sheet	mutant/WT/decoy/pHLA reagent order row를 lead별로 정리.	assay_ready_translation_package/assay_reagent_order_sheet.tsv	Assay-ready execution	prioritization/structural audit evidence; not immunogenicity proof
fig_md39_control_coverage	figures/fig_md39_control_coverage.png	True	Control coverage	flagship lead마다 어떤 control이 명시되어 있는지.	assay_ready_translation_package/assay_reviewer_defense_moat.tsv	Assay control defense	prioritization/structural audit evidence; not immunogenicity proof
fig_md40_assay_go_no_go_ladder	figures/fig_md40_assay_go_no_go_ladder.png	True	Assay go/no-go ladder	presentation, multimer, activation, killing gate 순서와 stop rule.	assay_ready_translation_package/assay_go_no_go_thresholds.tsv	Wetlab decision ladder	prioritization/structural audit evidence; not immunogenicity proof
fig_md41_reviewer_defense_moat	figures/fig_md41_reviewer_defense_moat.png	True	Reviewer defense moat	reviewer objection별 대응 asset을 연결.	assay_ready_translation_package/assay_reviewer_defense_moat.tsv	Reviewer defense	prioritization/structural audit evidence; not immunogenicity proof
fig_md42_preclinical_readiness_scorecard	figures/fig_md42_preclinical_readiness_scorecard.png	True	Preclinical readiness scorecard	lead 후보별 preclinical readiness를 gate별로 점수화.	preclinical_validation_protocol/preclinical_readiness_scorecard.tsv	Preclinical validation	prioritization/structural audit evidence; not immunogenicity proof
fig_md43_preclinical_validation_gates	figures/fig_md43_preclinical_validation_gates.png	True	Preclinical validation gates	preclinical validation gate와 go/no-go 조건.	preclinical_validation_protocol/preclinical_validation_gates.tsv	Preclinical validation	prioritization/structural audit evidence; not immunogenicity proof
fig_md44_failure_mode_action_map	figures/fig_md44_failure_mode_action_map.png	True	Failure-mode action map	실패 모드별 다음 action을 정리.	preclinical_validation_protocol/preclinical_failure_mode_actions.tsv	Risk/action map	prioritization/structural audit evidence; not immunogenicity proof
fig_md45_preclinical_translation_flow	figures/fig_md45_preclinical_translation_flow.png	True	Preclinical translation flow	assay-ready 패키지에서 preclinical validation으로 넘어가는 흐름.	preclinical_validation_protocol/preclinical_validation_plan.tsv	Translation flow	prioritization/structural audit evidence; not immunogenicity proof
fig_md46_evidence_to_claim_matrix	figures/fig_md46_evidence_to_claim_matrix.png	True	Evidence-to-claim matrix	각 evidence layer가 어떤 claim을 support하고 어떤 overclaim을 막는지.	high_impact_decision_package/evidence_to_claim_matrix.tsv	Reviewer claim boundary	prioritization/structural audit evidence; not immunogenicity proof
fig_md47_claim_upgrade_milestone_map	figures/fig_md47_claim_upgrade_milestone_map.png	True	Claim upgrade milestones	강한 claim으로 올라가기 위해 통과해야 하는 milestone.	impact_acceleration_package/claim_upgrade_milestones.tsv	Impact acceleration	prioritization/structural audit evidence; not immunogenicity proof
fig_md48_reviewer_attack_defense_heatmap	figures/fig_md48_reviewer_attack_defense_heatmap.png	True	Reviewer attack-defense heatmap	reviewer 공격 포인트별 방어 asset coverage.	impact_acceleration_package/editor_reviewer_positioning.tsv	Reviewer defense	prioritization/structural audit evidence; not immunogenicity proof
fig_md49_external_validation_benchmark_design	figures/fig_md49_external_validation_benchmark_design.png	True	External validation benchmark design	retrospective audit에서 external validation으로 가는 benchmark 축.	impact_acceleration_package/external_validation_benchmark_plan.tsv	External validation	prioritization/structural audit evidence; not immunogenicity proof
fig_md50_next_72h_action_board	figures/fig_md50_next_72h_action_board.png	True	Next 72h action board	가장 빠르게 임팩트를 올릴 action board.	impact_acceleration_package/next_72h_action_board.tsv	Action board	prioritization/structural audit evidence; not immunogenicity proof
fig_md51_cross_neo_i_architecture	figures/fig_md51_cross_neo_i_architecture.png	True	CROSS-Neo-I architecture	presentation/foreignness/TCR/MD/context/calibration으로 이루어진 면역원성 예측 구조.	immunogenicity_prediction_upgrade/immunogenicity_model_layers.tsv	Immunogenicity prediction	prioritization/structural audit evidence; not immunogenicity proof
fig_md52_label_feature_contract	figures/fig_md52_label_feature_contract.png	True	Label-feature contract	어떤 label이 어떤 model layer를 학습시키는지.	immunogenicity_prediction_upgrade/immunogenicity_label_contract.tsv	Model contract	prioritization/structural audit evidence; not immunogenicity proof
fig_md53_cross_neo_i_readiness_ranking	figures/fig_md53_cross_neo_i_readiness_ranking.png	True	CROSS-Neo-I readiness ranking	Top 후보별 면역원성 label-generation readiness.	immunogenicity_prediction_upgrade/cross_neo_i_candidate_readiness.tsv	Candidate readiness	prioritization/structural audit evidence; not immunogenicity proof
fig_md54_immunogenicity_benchmark_ladder	figures/fig_md54_immunogenicity_benchmark_ladder.png	True	Immunogenicity benchmark ladder	면역원성 예측 claim을 위해 필요한 heldout/prospective benchmark 단계.	immunogenicity_prediction_upgrade/immunogenicity_benchmark_contract.tsv	Benchmark contract	prioritization/structural audit evidence; not immunogenicity proof
fig_md55_immunogenicity_risk_control_board	figures/fig_md55_immunogenicity_risk_control_board.png	True	Immunogenicity risk-control board	leakage/source-shift/claim-risk control board.	immunogenicity_prediction_upgrade/immunogenicity_benchmark_contract.tsv	Risk control	prioritization/structural audit evidence; not immunogenicity proof
