item	share_level	path
Board packet	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_BOARD_PACKET.md
SOW scaffold	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_SOW_SCAFFOLD.md
Compliance checklist	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_COMPLIANCE_CHECKLIST.md
Exec decision memo	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_EXEC_DECISION_MEMO.md
Investment committee brief	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_INVESTMENT_COMMITTEE_BRIEF.md
Data room index	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_DATA_ROOM_INDEX.md
Platform guardrails	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_PLATFORM_GUARDRAILS.md
Executive Q&A	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_EXEC_QA.md
Stakeholder map	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_STAKEHOLDER_MAP.md
Sign-off memo	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_SIGNOFF_MEMO.md
Talking points	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_TALKING_POINTS.md
Launch deck outline	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_LAUNCH_DECK_OUTLINE.md
Board summary	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_BOARD_SUMMARY.md
Deal terms snapshot	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_DEAL_TERMS_SNAPSHOT.md
Risk mitigation	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_RISK_MITIGATION_ONE_PAGER.md
Appendix index	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_APPENDIX_INDEX.md
CEO brief	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_CEO_BRIEF.md
Deal snapshot	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_DEAL_SNAPSHOT.md
FAQ index	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_FAQ_INDEX.md
Sign-off tracker	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_SIGNOFF_TRACKER.md
Executive cover	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_EXECUTIVE_COVER.md
Value calculation	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_VALUE_CALCULATION.md
Fast-path plan	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_FAST_PATH_PLAN.md
Call script	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_CALL_SCRIPT.md
First meeting agenda	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_FIRST_MEETING_AGENDA.md
Due diligence questions	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_DD_QUESTIONS.md
Follow-up email	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_FOLLOWUP_EMAIL.md
FAQ / objection sheet	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_FAQ_OBJECTION_SHEET.md
One-page pitch	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_ONE_PAGE_PITCH.md
NDA checklist	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_NDA_CHECKLIST.md
Meeting notes template	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_MEETING_NOTES_TEMPLATE.md
Risk register	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_RISK_REGISTER.md
Contact tracker	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_CONTACT_TRACKER.md
Reply matrix	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_REPLY_HANDLING_MATRIX.md
Internal handoff	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_INTERNAL_HANDOFF_CHECKLIST.md
NDA ask template	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_NDA_ASK_TEMPLATE.md
Blinded data request	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_BLINDED_DATA_REQUEST.md
Score lock procedure	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_SCORE_LOCK_PROCEDURE.md
Post-NDA protocol	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_POST_NDA_PROTOCOL.md
Slide outline	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_SLIDE_OUTLINE.md
Internal review memo	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_INTERNAL_REVIEW_MEMO.md
Go/no-go criteria	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_GO_NO_GO_CRITERIA.md
Answer bank	NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_ANSWER_BANK.md
Deal memo	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_DEAL_MEMO.md
Value thesis	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_VALUE_THESIS.md
KPI scorecard	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_KPI_SCORECARD.md
Decision tree	pre-NDA	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_partner_pack_2026_05_11/MODERNA_PARTNER_DECISION_TREE.md
Contact routes	routing only	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_moderna_bd_package_2026_05_11/moderna_contact_routes.tsv
Executive brief	internal/shareable summary	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_exec_brief_2026_05_11/CROSS_NEO_EXEC_BRIEF_KR.md
Latest SOTA watchlist	internal/shareable summary	/home/seungho/personal/THCA_data_analysis/project/results/cross_neo_latest_sota_watchlist_2026_05_11/latest_literature_sota_watchlist.tsv
