dataset_id	source	disease	histology	n_samples	data_type	treatment	ICI_agent	response_available	RNAseq_available	scRNA_available	HLA_available	TMB_available	PDL1_available	neoantigen_available	access_type	download_priority	paper3_use	claim_level	blocker	citation_or_url
Spartalizumab_ATC	ClinicalTrials_NCT02404441	thyroid_cancer	ATC	42 enrolled	clinical+IHC_PD_L1	spartalizumab_PDR001_anti_PD_1	spartalizumab	yes_ORR_PFS_OS_by_PD_L1	no_raw_RNAseq_public	no	no	supplementary_table	yes_PD_L1_TPS_predefined_cutoff	no	metadata_only	2	clinical_evidence_PD1_blockade_ATC_benchmark	evidence_citation_only	raw_RNAseq_unavailable	Capdevila 2020 J Clin Oncol 38(23):2620-2627; NCT02404441
Atezo_matched_TT_ATC	ClinicalTrials	thyroid_cancer	ATC_with_actionable_mutations	to_verify_n	clinical+mutation+IHC	atezolizumab_plus_matched_TT_chemo	atezolizumab_anti_PD_L1+combos	yes_ORR_per_arm	no_raw_RNAseq_public	no	no	yes_mutation_panel	yes_PD_L1	no	metadata_only	2	clinical_evidence_combination_PD_L1_anchor	evidence_citation_only	raw_RNAseq_unavailable	Cabanillas 2024 Lancet Diabetes Endocrinol or trial reports; NCT03181100
PRJEB11591	ENA	thyroid_cancer	Korean_PTC	260	bulk_RNAseq	naive	none	no	yes	no	yes_arcasHLA_already_done	no	no	no	internal_read_only	1	HLA_frequency_anchor_Korean	readiness_only	cross_paper_boundary_paper2_4	v17_arcasHLA_korean_k2 memory; PRJEB11591
PRJKA210106	NCBI	thyroid_cancer	Korean_PTC	282	bulk_RNAseq	naive	none	no	yes	no	inferable_arcasHLA	no	no	no	public	2	Korean_HLA_typing_reference_only	readiness_only	cross_paper_boundary_paper1_2	PRJKA210106
GSE250521	GEO	thyroid_cancer	PTC+DM1_spatial	internal_processed_already	spatial_Visium	naive	none	no	yes_spatial_pseudobulk	no	no	no	no	no	internal_read_only	2	spatial_TLS_CXCL13_overlay_only	readiness_only	cross_paper_boundary_paper1_2	v17 Paper1/2 supplement
IMvigor210	IMvigor210CoreBiologies_R_package	urothelial_carcinoma	UC	~298	bulk_RNAseq+clinical	atezolizumab_post_platinum	atezolizumab_anti_PD_L1	yes_RECIST	yes_processed	no	no	yes_partial	yes_TPS	no	public_R_package	1	DIAL_anchor_pancancer_response_modeling	response_modeling_OK_pancancer_only	none_for_processed_RNA	Mariathasan 2018 Nature 554:544-548; IMvigor210CoreBiologies R drop
GSE78220_Hugo	GEO	melanoma	cutaneous_melanoma	28 pre	bulk_RNAseq+clinical	anti_PD_1	pembrolizumab	yes_RECIST	yes	no	no	no	no	calculable_from_WES_link	public	1	DIAL_anchor_pancancer_response_modeling	response_modeling_OK_pancancer_only	none	Hugo 2016 Cell 165(1):35-44; GSE78220
GSE91061_Riaz	GEO	melanoma	cutaneous_melanoma	~109 pre+on	bulk_RNAseq+clinical+WES	anti_PD_1	nivolumab	yes_RECIST	yes	no	no	yes_via_WES	no	calculable	public	1	DIAL_anchor_pancancer_response_modeling	response_modeling_OK_pancancer_only	none	Riaz 2017 Cell 171(4):934-949; GSE91061
PRJEB23709_Gide	ENA	melanoma	cutaneous_melanoma	~73	bulk_RNAseq+clinical	anti_PD_1+/-anti_CTLA_4	nivo+/-ipi or pembro+/-ipi	yes_RECIST	yes	no	no	partial	no	no	public	2	DIAL_anchor_pancancer	response_modeling_OK_pancancer_only	none	Gide 2019 Cancer Cell 35(2):238-255; PRJEB23709
phs000452_Liu	dbGaP	melanoma	cutaneous_melanoma	~121	bulk_RNAseq+WES+clinical	anti_PD_1	nivolumab/pembrolizumab	yes_RECIST	yes	no	no	yes_via_WES	no	calculable	controlled	2	DIAL_anchor_pancancer	response_modeling_OK_pancancer_only	dbGaP_application_required	Liu 2019 Nat Med 25:1916-1927; phs000452
PRJEB25780_Kim_GC	ENA	gastric_cancer	GC	~45	bulk_RNAseq+clinical	pembrolizumab	pembrolizumab_anti_PD_1	yes_RECIST	yes	no	no	no	no	no	public	3	DIAL_extension_pancancer_breadth	response_modeling_OK_pancancer_only	none	Kim 2018 Nat Med 24:1449-1458; PRJEB25780
Cho_NSCLC_ICI	to_verify	NSCLC	NSCLC	varies	bulk_RNAseq+clinical	anti_PD_1_or_anti_PD_L1	varies	yes_RECIST	yes	no	no	yes_partial	yes_partial	no	to_verify	3	DIAL_extension_pancancer_breadth	response_modeling_OK_pancancer_only	accession_to_pin_at_kickoff	Cho et al; accession TBD
