track	group	task_code	task	priority_score	task_id	status	lane	claim_boundary	dependency	priority_bucket	why_it_matters
next	summary pack	t14-038	route the task graph for the max-impact packet	0.847	MAX-1B1CD290	ready	backlog	next / claim-safe	v12-v13 boards	important	increases granularity
next	version timeline	t14-039	catalog the owner map for the max-impact packet	0.843	MAX-C59E20CE	ready	backlog	next / claim-safe	v12-v13 boards	important	increases granularity
next	owner map	t14-040	annotate the deliverable map for the max-impact packet	0.839	MAX-43D4E9F8	ready	backlog	next / claim-safe	v12-v13 boards	important	increases granularity
analysis	external validation	t14-041	split the bench printout for the max-impact packet	0.835	MAX-3EE39C60	ready	analysis	analysis / claim-safe	v10-v13 reviewer packets	important	bridges to prospective work
analysis	figure caption	t14-042	expand the result-entry template for the max-impact packet	0.831	MAX-AE6AE62B	ready	analysis	analysis / claim-safe	v10-v13 reviewer packets	important	increases granularity
analysis	rebuttal	t14-043	crosswalk the well map for the max-impact packet	0.827	MAX-F1A558B9	ready	analysis	analysis / claim-safe	v10-v13 reviewer packets	important	increases granularity
analysis	claim boundary	t14-044	bundle the reagent list for the max-impact packet	0.823	MAX-AE246F60	ready	analysis	analysis / claim-safe	v10-v13 reviewer packets	important	increases granularity
analysis	failure registry	t14-045	map the one-page checklist for the max-impact packet	0.819	MAX-C6E11822	ready	analysis	analysis / claim-safe	v10-v13 reviewer packets	important	increases granularity
execution	bench printout	t14-046	queue the what-is-not-claimed list for the max-impact packet	0.815	MAX-815A9E6B	ready	bench	execution / claim-safe	v10-v13 reviewer packets	important	improves operational traceability
execution	result entry	t14-047	draft the what-is-claimed-now list for the max-impact packet	0.811	MAX-2A15CFB0	ready	bench	execution / claim-safe	v10-v13 reviewer packets	important	increases granularity
execution	control sequence	t14-048	prepare the file-anchor table for the max-impact packet	0.807	MAX-3BAFEA24	ready	bench	execution / claim-safe	v10-v13 reviewer packets	important	increases granularity
execution	handoff packaging	t14-049	index the scoreboard comparison for the max-impact packet	0.803	MAX-7CB37856	ready	bench	execution / claim-safe	v10-v13 reviewer packets	important	increases granularity
reviewer	objection response	t14-050	tag the timeline chart for the max-impact packet	0.799	MAX-C8BEE8ED	ready	review	reviewer / claim-safe	v10-v13 reviewer packets	important	increases granularity
reviewer	control board	t14-051	lock the mosaic page for the max-impact packet	0.795	MAX-C2706653	ready	review	reviewer / claim-safe	v10-v13 reviewer packets	important	increases granularity
reviewer	claim safety	t14-052	mirror the priority lanes for the max-impact packet	0.791	MAX-5EC48D5C	ready	review	reviewer / claim-safe	v10-v13 reviewer packets	important	increases granularity
reviewer	mosaic visual	t14-053	compress the cohort list for the max-impact packet	0.787	MAX-493932E8	ready	review	reviewer / claim-safe	v10-v13 reviewer packets	important	increases granularity
next	prospective pilot	t14-054	isolate the sample list for the max-impact packet	0.783	MAX-133E953D	ready	backlog	next / claim-safe	v10-v13 reviewer packets	important	increases granularity
next	qa checklist	t14-055	prioritize the assay list for the max-impact packet	0.779	MAX-996FB107	ready	backlog	next / claim-safe	v10-v13 reviewer packets	important	increases granularity
next	dependency crosswalk	t14-056	surface the readout list for the max-impact packet	0.775	MAX-9CF86FDB	ready	backlog	next / claim-safe	v10-v13 reviewer packets	important	increases granularity
next	do-not-overcall	t14-057	package the figure captions for the max-impact packet	0.771	MAX-56F73866	ready	backlog	next / claim-safe	v10-v13 reviewer packets	important	increases granularity
next	summary pack	t14-058	route the supplement captions for the max-impact packet	0.767	MAX-FEED1188	ready	backlog	next / claim-safe	v10-v13 reviewer packets	important	increases granularity
next	version timeline	t14-059	catalog the deck captions for the max-impact packet	0.763	MAX-99CD8444	ready	backlog	next / claim-safe	v10-v13 reviewer packets	important	increases granularity
next	owner map	t14-060	annotate the objection responses for the max-impact packet	0.759	MAX-3C652EF6	ready	backlog	next / claim-safe	v10-v13 reviewer packets	important	increases granularity
analysis	external validation	t14-061	split the failure actions for the max-impact packet	0.755	MAX-AED00451	ready	analysis	analysis / claim-safe	v10-v13 reviewer packets	important	bridges to prospective work
analysis	figure caption	t14-062	expand the control manifest for the max-impact packet	0.751	MAX-414180B2	ready	analysis	analysis / claim-safe	v10-v13 reviewer packets	important	increases granularity
analysis	rebuttal	t14-063	crosswalk the claim ledger for the max-impact packet	0.747	MAX-83B427E6	ready	analysis	analysis / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
analysis	claim boundary	t14-064	bundle the task graph for the max-impact packet	0.743	MAX-B48E9AB4	ready	analysis	analysis / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
analysis	failure registry	t14-065	map the owner map for the max-impact packet	0.739	MAX-E44E2970	ready	analysis	analysis / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
execution	bench printout	t14-066	queue the deliverable map for the max-impact packet	0.735	MAX-5FF34E19	ready	bench	execution / claim-safe	v10-v13 reviewer packets	reserve	improves operational traceability
execution	result entry	t14-067	draft the bench printout for the max-impact packet	0.731	MAX-CDD07DCF	ready	bench	execution / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
execution	control sequence	t14-068	prepare the result-entry template for the max-impact packet	0.727	MAX-5498152F	ready	bench	execution / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
execution	handoff packaging	t14-069	index the well map for the max-impact packet	0.723	MAX-1B1EEDB8	ready	bench	execution / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
reviewer	objection response	t14-070	tag the reagent list for the max-impact packet	0.719	MAX-AF04DEC1	ready	review	reviewer / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
reviewer	control board	t14-071	lock the one-page checklist for the max-impact packet	0.715	MAX-AEA12BB9	ready	review	reviewer / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
reviewer	claim safety	t14-072	mirror the what-is-not-claimed list for the max-impact packet	0.711	MAX-630DE825	ready	review	reviewer / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
reviewer	mosaic visual	t14-073	compress the what-is-claimed-now list for the max-impact packet	0.707	MAX-1690B7A2	ready	review	reviewer / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
next	prospective pilot	t14-074	isolate the file-anchor table for the max-impact packet	0.703	MAX-B7B85A5F	ready	backlog	next / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
next	qa checklist	t14-075	prioritize the scoreboard comparison for the max-impact packet	0.699	MAX-72972877	ready	backlog	next / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
next	dependency crosswalk	t14-076	surface the timeline chart for the max-impact packet	0.695	MAX-2171DC7E	ready	backlog	next / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
next	do-not-overcall	t14-077	package the mosaic page for the max-impact packet	0.691	MAX-620E2D7B	ready	backlog	next / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
next	summary pack	t14-078	route the priority lanes for the max-impact packet	0.687	MAX-761A161C	ready	backlog	next / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
next	version timeline	t14-079	catalog the cohort list for the max-impact packet	0.683	MAX-CC627347	ready	backlog	next / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
next	owner map	t14-080	annotate the sample list for the max-impact packet	0.679	MAX-B3CD7E84	ready	backlog	next / claim-safe	v10-v13 reviewer packets	reserve	increases granularity
analysis	external validation	t14-081	split the assay list for the max-impact packet	0.675	MAX-055887B5	ready	analysis	analysis / claim-safe	v7-v9 visuals	reserve	bridges to prospective work
analysis	figure caption	t14-082	expand the readout list for the max-impact packet	0.671	MAX-4EAFA136	ready	analysis	analysis / claim-safe	v7-v9 visuals	reserve	increases granularity
analysis	rebuttal	t14-083	crosswalk the figure captions for the max-impact packet	0.667	MAX-0C2F6B16	ready	analysis	analysis / claim-safe	v7-v9 visuals	reserve	increases granularity
analysis	claim boundary	t14-084	bundle the supplement captions for the max-impact packet	0.663	MAX-5E421D5E	ready	analysis	analysis / claim-safe	v7-v9 visuals	reserve	increases granularity
analysis	failure registry	t14-085	map the deck captions for the max-impact packet	0.659	MAX-313DAD9B	ready	analysis	analysis / claim-safe	v7-v9 visuals	reserve	increases granularity
execution	bench printout	t14-086	queue the objection responses for the max-impact packet	0.655	MAX-35A90013	ready	bench	execution / claim-safe	v7-v9 visuals	reserve	improves operational traceability
execution	result entry	t14-087	draft the failure actions for the max-impact packet	0.651	MAX-13B72AED	ready	bench	execution / claim-safe	v7-v9 visuals	reserve	increases granularity
execution	control sequence	t14-088	prepare the control manifest for the max-impact packet	0.647	MAX-EE07AF16	ready	bench	execution / claim-safe	v7-v9 visuals	reserve	increases granularity
execution	handoff packaging	t14-089	index the claim ledger for the max-impact packet	0.643	MAX-B8EB94B2	ready	bench	execution / claim-safe	v7-v9 visuals	reserve	increases granularity
reviewer	objection response	t14-090	tag the task graph for the max-impact packet	0.639	MAX-D4985788	ready	review	reviewer / claim-safe	v7-v9 visuals	reserve	increases granularity
reviewer	control board	t14-091	lock the owner map for the max-impact packet	0.635	MAX-658208A6	ready	review	reviewer / claim-safe	v7-v9 visuals	reserve	increases granularity
reviewer	claim safety	t14-092	mirror the deliverable map for the max-impact packet	0.631	MAX-42C8BE83	ready	review	reviewer / claim-safe	v7-v9 visuals	reserve	increases granularity
reviewer	mosaic visual	t14-093	compress the bench printout for the max-impact packet	0.627	MAX-3B93A3CA	ready	review	reviewer / claim-safe	v7-v9 visuals	reserve	increases granularity
next	prospective pilot	t14-094	isolate the result-entry template for the max-impact packet	0.623	MAX-4BFEF06B	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	qa checklist	t14-095	prioritize the well map for the max-impact packet	0.619	MAX-C4040E1F	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	dependency crosswalk	t14-096	surface the reagent list for the max-impact packet	0.615	MAX-6E4326FE	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	do-not-overcall	t14-097	package the one-page checklist for the max-impact packet	0.611	MAX-1DD32836	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	summary pack	t14-098	route the what-is-not-claimed list for the max-impact packet	0.607	MAX-75B49200	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	version timeline	t14-099	catalog the what-is-claimed-now list for the max-impact packet	0.603	MAX-47B5CD59	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	owner map	t14-100	annotate the file-anchor table for the max-impact packet	0.599	MAX-C16B24A8	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
analysis	external validation	t14-101	split the scoreboard comparison for the max-impact packet	0.595	MAX-511D9334	ready	analysis	analysis / claim-safe	v7-v9 visuals	reserve	bridges to prospective work
analysis	figure caption	t14-102	expand the timeline chart for the max-impact packet	0.591	MAX-5AC9DBE4	ready	analysis	analysis / claim-safe	v7-v9 visuals	reserve	increases granularity
analysis	rebuttal	t14-103	crosswalk the mosaic page for the max-impact packet	0.587	MAX-809C1AD8	ready	analysis	analysis / claim-safe	v7-v9 visuals	reserve	increases granularity
analysis	claim boundary	t14-104	bundle the priority lanes for the max-impact packet	0.583	MAX-17636A89	ready	analysis	analysis / claim-safe	v7-v9 visuals	reserve	increases granularity
analysis	failure registry	t14-105	map the cohort list for the max-impact packet	0.579	MAX-F34CC5FD	ready	analysis	analysis / claim-safe	v7-v9 visuals	reserve	increases granularity
execution	bench printout	t14-106	queue the sample list for the max-impact packet	0.575	MAX-4CF187A5	ready	bench	execution / claim-safe	v7-v9 visuals	reserve	improves operational traceability
execution	result entry	t14-107	draft the assay list for the max-impact packet	0.571	MAX-22D1F051	ready	bench	execution / claim-safe	v7-v9 visuals	reserve	increases granularity
execution	control sequence	t14-108	prepare the readout list for the max-impact packet	0.567	MAX-63588CEC	ready	bench	execution / claim-safe	v7-v9 visuals	reserve	increases granularity
execution	handoff packaging	t14-109	index the figure captions for the max-impact packet	0.563	MAX-50823260	ready	bench	execution / claim-safe	v7-v9 visuals	reserve	increases granularity
reviewer	objection response	t14-110	tag the supplement captions for the max-impact packet	0.559	MAX-D765355F	ready	review	reviewer / claim-safe	v7-v9 visuals	reserve	increases granularity
reviewer	control board	t14-111	lock the deck captions for the max-impact packet	0.555	MAX-93064937	ready	review	reviewer / claim-safe	v7-v9 visuals	reserve	increases granularity
reviewer	claim safety	t14-112	mirror the objection responses for the max-impact packet	0.551	MAX-DEA5B574	ready	review	reviewer / claim-safe	v7-v9 visuals	reserve	increases granularity
reviewer	mosaic visual	t14-113	compress the failure actions for the max-impact packet	0.547	MAX-DEE5581B	ready	review	reviewer / claim-safe	v7-v9 visuals	reserve	increases granularity
next	prospective pilot	t14-114	isolate the control manifest for the max-impact packet	0.543	MAX-9AAD3783	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	qa checklist	t14-115	prioritize the claim ledger for the max-impact packet	0.539	MAX-F08AF54C	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	dependency crosswalk	t14-116	surface the task graph for the max-impact packet	0.535	MAX-1B1B71C7	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	do-not-overcall	t14-117	package the owner map for the max-impact packet	0.531	MAX-482C75D8	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	summary pack	t14-118	route the deliverable map for the max-impact packet	0.527	MAX-1FA4B37F	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	version timeline	t14-119	catalog the bench printout for the max-impact packet	0.523	MAX-BD4D1441	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
next	owner map	t14-120	annotate the result-entry template for the max-impact packet	0.519	MAX-AACC8B8F	ready	backlog	next / claim-safe	v7-v9 visuals	reserve	increases granularity
