dataset_id,local_path,source_url,assay_type,sample_count,phenotype_labels,allowed_analysis,forbidden_analysis,manual_review_required,notes
P2_HLA_LEE_KOREAN,data_registry/reference_population_hla/lee_korean/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,NEEDS_MANUAL_REVIEW,Healthy reference,Korean baseline candidate,Cancer claim,YES,[VERIFIED-MANUAL-NEEDED] Search PubMed for recent Lee+Korean+HLA refs
P2_DICE_HLA_EXPR,data_registry/reference_population_hla/dice_hla_expr/ (planned),https://dice-database.org/,Bulk RNA-seq,91,Healthy immune reference,HLA gene-expression reference (NOT germline allele typing),Stand-alone allele frequency claim,NO,Use for HLA module-score baselines only
P2_HLA_DICTIONARY,data_registry/reference_population_hla/hla_dictionary/ (planned),https://www.ebi.ac.uk/ipd/imgt/hla/dictionary.html,Nomenclature,N/A,Reference,Serotype mapping reference,Stand-alone allele frequency claim,NO,Reference cross-walk
P2_BMDW_KOREA_DETAIL,data_registry/reference_population_hla/bmdw_korea/ (planned),https://www.bmdw.org/,HLA typing,>200000 Korean donors,Healthy reference,Korean detailed allele frequencies,Direct individual-level claim,NO,Aggregate-only access
P2_BMDW_JAPAN,data_registry/reference_population_hla/bmdw_japan/ (planned),https://www.bmdw.org/,HLA typing,>500000 donors,Healthy reference,Japanese baseline (East Asian sensitivity),Direct individual-level claim,NO,Aggregate-only access
P2_BMDW_CHINA,data_registry/reference_population_hla/bmdw_china/ (planned),https://www.bmdw.org/,HLA typing,>2 million donors,Healthy reference,Chinese baseline (East Asian sensitivity),Direct individual-level claim,NO,Aggregate-only access
P2_NMDP_HAPLO_KOR,data_registry/reference_population_hla/nmdp_kor/ (planned),https://bioinformatics.bethematchclinical.org/,HLA haplotypes,NEEDS_MANUAL_REVIEW,Healthy reference,Korean-American baseline,Direct Korean-Korean transfer without ancestry caveat,YES,Diaspora ≠ home cohort
P2_HLA_AFR,data_registry/reference_population_hla/afnd_african/ (planned),http://www.allelefrequencies.net/,HLA typing aggregated,varies,Healthy reference,Sensitivity baseline,Cancer claim,NO,Ancestry caveat mandatory
P2_HLA_LATAM,data_registry/reference_population_hla/afnd_latam/ (planned),http://www.allelefrequencies.net/,HLA typing aggregated,varies,Healthy reference,Sensitivity baseline,Cancer claim,NO,Ancestry caveat mandatory
P2_KOR_HLA_HWGK,data_registry/reference_population_hla/hwgk/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,NEEDS_MANUAL_REVIEW,Healthy + multiple disease,Korean clinical-context HLA reference,Cancer claim,YES,[VERIFIED-MANUAL-NEEDED] Search for HWGK / Korean Society for HLA
P2_VDJDB,data_registry/reference_population_hla/vdjdb/ (planned),https://vdjdb.cdr3.net/,TCR + epitope + HLA,>100000 entries,Reference,TCR-HLA reference for Paper 4 hypothesis design,Stand-alone allele frequency claim,NO,Reference DB
P2_MCPAS_TCR,data_registry/reference_population_hla/mcpas_tcr/ (planned),http://friedmanlab.weizmann.ac.il/McPAS-TCR/,TCR + epitope + HLA,>9000 entries,Reference,Pathology-TCR reference,Stand-alone allele frequency claim,NO,Reference DB
P2_IEDB,data_registry/reference_population_hla/iedb/ (planned),https://www.iedb.org/,Epitope + assay + HLA,>1.6M epitopes,Reference,Epitope reference for HLA binding interpretations,Stand-alone allele frequency claim,NO,Reference DB
P2_DBSNP_HLA,data_registry/reference_population_hla/dbsnp_hla/ (planned),https://www.ncbi.nlm.nih.gov/snp/,SNP catalog,N/A,Reference,HLA-region SNP reference,Stand-alone allele frequency claim,NO,Reference DB
P2_GNOMAD_HLA,data_registry/reference_population_hla/gnomad_hla/ (planned),https://gnomad.broadinstitute.org/,WGS+WXS variant calls,~125000 exomes / 76000 genomes,Reference,HLA-region SNP frequencies (NOT classical-allele typing),Mistaken use as classical HLA-allele frequency,NO,gnomAD does NOT provide classical HLA-allele typing
P2_MHCFLURRY,data_registry/reference_population_hla/mhcflurry/ (planned),https://github.com/openvax/mhcflurry,Method,N/A,Reference,Predictive tool,Stand-alone allele frequency claim,NO,Methodology
P2_NETMHCIIPAN,data_registry/reference_population_hla/netmhciipan/ (planned),https://services.healthtech.dtu.dk/services/NetMHCIIpan-4.1/,Method,N/A,Reference,HLA-II binding prediction,Stand-alone allele frequency claim,NO,Methodology
P2_SYSTEMHC_ATLAS,data_registry/reference_population_hla/systemhc/ (planned),https://systemhc.sjtu.edu.cn/,MS-based,>700000 peptides,Reference,Immunopeptidomics reference for HLA-I/II presentation,Stand-alone allele frequency claim,NO,Reference DB
P2_TANTIGEN,data_registry/reference_population_hla/tantigen/ (planned),http://projects.met-hilab.org/tadb/,Antigen catalog,~4500 antigens,Reference,Tumor-antigen reference,Stand-alone allele frequency claim,NO,Reference DB; cross-link with neoantigen vaccine hub
P2_TSNADB,data_registry/reference_population_hla/tsnadb/ (planned),http://biopharm.zju.edu.cn/tsnadb,Predicted neoantigens,>100000 neoantigens,Reference,Neoantigen reference (per memory neoantigen_vaccine_hub),Stand-alone allele frequency claim,NO,Used by neoantigen vaccine hub work
P2_NEPDB,data_registry/reference_population_hla/nepdb/ (planned),http://nep.whu.edu.cn/,Validated peptides,~17000 neoantigens,Reference,Validated-neoantigen reference,Stand-alone allele frequency claim,NO,Use as benchmark
P2_DBPEPNEO,data_registry/reference_population_hla/dbpepneo/ (planned),http://www.biostatistics.online/dbPepNeo/,Predicted+validated,>180000 neoantigens,Reference,Neoantigen reference,Stand-alone allele frequency claim,NO,Reference DB
P2_TESLA,data_registry/reference_population_hla/tesla/ (planned),https://www.cell.com/cell/fulltext/S0092-8674(20)31235-6,MS validated,~600 validated peptides,Reference,Neoantigen prediction benchmark (per memory neoantigen_vaccine_hub),Stand-alone allele frequency claim,NO,TESLA platform reference for vaccine hub
P2_AFND_HLA_DPB1_KOR,data_registry/reference_population_hla/afnd_dpb1_kor/ (planned),http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DPB1&hla_population=Korea,HLA-DPB1 typing,multiple studies,Healthy reference,DPB1-specific Korean baseline,Cancer claim,NO,Critical for DPB1*05:01 K2 finding context
P2_HLAII_REGISTRY_KOR,data_registry/reference_population_hla/HLAII_registry_kor/ (planned),NEEDS_MANUAL_REVIEW,HLA class II typing,NEEDS_MANUAL_REVIEW,Class II reference,Korean HLA class II registry,Cancer claim,YES,[VERIFIED-MANUAL-NEEDED] Compile 2020-2025 Korean class II refs
P2_APBMDR,data_registry/reference_population_hla/apbmdr/ (planned),https://www.apbmdr.org/,HLA typing aggregated,>2 million donors,Healthy reference,Asia-Pacific HLA registry,Direct individual-level claim,NO,Aggregate-only access
P2_KSHI,data_registry/reference_population_hla/kshi/ (planned),https://www.kshi.or.kr/,HLA typing,NEEDS_MANUAL_REVIEW,Korean society reference,Korean professional society HLA refs,Cancer claim,YES,Search KSHI publications
P2_APHIA,data_registry/reference_population_hla/aphia/ (planned),NEEDS_MANUAL_REVIEW,HLA typing,NEEDS_MANUAL_REVIEW,Asia-Pacific reference,APHIA reference,Cancer claim,YES,Search APHIA publications
P2_IHW_17_18,data_registry/reference_population_hla/ihw/ (planned),NEEDS_MANUAL_REVIEW,HLA typing aggregated,NEEDS_MANUAL_REVIEW,Workshop reference,IHW workshop refs,Cancer claim,YES,Workshop summaries
