dataset_id,zone,source_database,accession_or_id,title,publication,year,url,organism,country_or_ancestry,sample_count_reported,sample_types,assay_type,phenotypes,contains_cancer,contains_hla_alleles,contains_hla_expression,contains_autoimmune,contains_hashimoto,contains_graves,contains_survival,contains_rai_response,contains_dm1_dm2,contains_fusion_status,contains_braf_ras_tert,access_status,download_status,local_path,allowed_use,forbidden_use,boundary_risk_level,notes
P1_GSE150082,PAPER1_CANCER_CORE,GEO,GSE150082,Thyroid cancer RNA-seq candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150082,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,RNA-seq (verify),Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse150082/ (planned),Expression validation,HLA allele claim,low,[VERIFIED-WRONG: 'Pre-existing tumoral B cell infiltration and impaired genome maintenance correla'] Verify subtype and platform
P1_GSE161656,PAPER1_CANCER_CORE,GEO,GSE161656,Thyroid cancer multi-omic candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161656,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse161656/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'ZMYND11-MBTD1 induces leukemogenesis through hijacking NuA4/TIP60 acetyltransfer'] Verify before any commitments
BR_GSE158285_BRIDGE,BRIDGE_QUARANTINE_HT_PTC,GEO,GSE158285,(secondary marker — see P1_GSE158285),N/A,N/A,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158285,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,scRNA-seq,ATC,YES,NO,YES,NO,NO,NO,NO,NO,partial,partial,partial,public_open,verified_wrong_subject,N/A,DUPLICATE,DUPLICATE,low,[VERIFIED-WRONG: 'RNA Helicase DDX5 Acts as a Critical Regulator for Gonocyte Survival in Neonatal'] Marked DUPLICATE — see P1_GSE158285 above
BR_GSE112079,BRIDGE_QUARANTINE_HT_PTC,GEO,GSE112079,HT-related candidate dataset,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112079,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,HT (verify),partial,NO,partial,YES,YES,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse112079/ (planned),Bridge expression hypothesis,Cancer susceptibility claim,medium,[VERIFIED-WRONG: 'Identification of genes associated resistance of everolimus in cutaneous squamou'] Verify exists and labels
BR_GSE36841,BRIDGE_QUARANTINE_HT_PTC,GEO,GSE36841,Hashimoto thyroiditis tissue expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36841,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,HT tissue,Microarray (verify),HT,NO,NO,partial,YES,YES,NO,NO,NO,NO,NO,NO,public_open,verified_wrong_subject,project/data/external/gse36841/ (planned),HT-only immune context,Cancer claim,medium,[VERIFIED-WRONG: 'Expression data from OE33 oesophageal adenocarcinoma tumour cells following 24 h'] Verify exists and labels
P1_GSE21091,PAPER1_CANCER_CORE,GEO,GSE21091,Thyroid cancer expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21091,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,Microarray,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse21091/ (planned),Expression validation,HLA allele claim,low,[VERIFIED-WRONG: 'SNP data from Down syndrome and non-Down syndrome pediatric acute lymphoblastic '] Verify subtype labels
P1_GSE29429,PAPER1_CANCER_CORE,GEO,GSE29429,Thyroid cancer expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29429,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,Microarray,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse29429/ (planned),Expression validation,HLA allele claim,low,[VERIFIED-WRONG: 'Whole Blood Transcriptional Response to Early Acute HIV'] Verify subtype labels
P1_GSE45498,PAPER1_CANCER_CORE,GEO,GSE45498,Thyroid cancer expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45498,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse45498/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'Integrated microRNA and mRNA Signatures Associated with Survival in Triple Negat'] Verify before any commitments
P1_GSE52571,PAPER1_CANCER_CORE,GEO,GSE52571,Thyroid cancer expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52571,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse52571/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'The long non-coding RNA Paupar regulates the expression of both local and distal'] Verify before any commitments
P1_GSE56878,PAPER1_CANCER_CORE,GEO,GSE56878,Thyroid cancer expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56878,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse56878/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'The conserved ubiquitin-like protein Hub1 plays a critical role in splicing in h'] Verify before any commitments
P1_GSE189898,PAPER1_CANCER_CORE,GEO,GSE189898,Korean PTC scRNA-seq candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189898,Homo sapiens,South Korean (verify),NEEDS_MANUAL_REVIEW,PTC primary,scRNA-seq,PTC,YES,NO,YES,NO,NO,NO,NO,NO,partial,partial,partial,public_open,verified_wrong_subject,project/data/external/gse189898/ (planned),Korean PTC scRNA validation if confirmed,HLA allele claim,medium,[VERIFIED-WRONG: 'Extra-hematopoietic immunomodulatory role of the guanine exchange factor DOCK-2'] Verify country and assay
P1_GSE218057,PAPER1_CANCER_CORE,GEO,GSE218057,Recent thyroid cancer candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218057,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse218057/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'Transcriptomic analysis of pea plant responses to chitooligosaccharides’ treatme'] Verify exists
P1_GSE219638,PAPER1_CANCER_CORE,GEO,GSE219638,Recent thyroid cancer candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE219638,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse219638/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'CRISPR RNA-seq from K562 (ENCSR688ZJS)'] Verify exists
P1_GSE221958,PAPER1_CANCER_CORE,GEO,GSE221958,Recent thyroid cancer candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221958,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse221958/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'Evidence for Existence of Multiple Functional Human Small RNAs Derived from Tran'] Verify exists
P1_GSE222870,PAPER1_CANCER_CORE,GEO,GSE222870,Recent thyroid cancer candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222870,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse222870/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'The active form of Mef2c promotes maturation of induced cardiomyocytes'] Verify exists
P1_GSE224033,PAPER1_CANCER_CORE,GEO,GSE224033,Recent thyroid cancer candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224033,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse224033/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'Real-time quantitative PCR analysis of human induced T regulatory cells (Tregs) '] Verify exists
P1_GSE233288,PAPER1_CANCER_CORE,GEO,GSE233288,Recent thyroid cancer candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233288,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse233288/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'Transcriptomic analysis of engineered myometrial tissues with varied tissue arch'] Verify exists
P1_GSE236005,PAPER1_CANCER_CORE,GEO,GSE236005,Recent thyroid cancer candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236005,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse236005/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'Molecular characterizations of cell types in the adult sea lamprey retina'] Verify exists
P1_GSE237357,PAPER1_CANCER_CORE,GEO,GSE237357,Recent thyroid cancer candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237357,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse237357/ (planned),Pending review,HLA allele claim,medium,"[VERIFIED-WRONG: 'intact Hi-C from activated CD8-positive, alpha-beta T cell (ENCSR351NAI)'] Verify exists"
P1_GSE269033,PAPER1_CANCER_CORE,GEO,GSE269033,Recent thyroid cancer candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269033,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse269033/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'AGO2 silences mobile transposons in the nucleus of quiescent cells [RIP-seq]'] Verify exists
P1_GSE247376,PAPER1_CANCER_CORE,GEO,GSE247376,Recent thyroid cancer candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247376,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse247376/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'Nasal cavity epithelial cells exhibit antiviral transcriptional signatures upon '] Verify exists
P1_GSE249377,PAPER1_CANCER_CORE,GEO,GSE249377,Recent thyroid cancer candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249377,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse249377/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'Exploring the Effects of Experimental Parameters and Data Modeling Approaches on'] Verify exists
P1_PRJEB12246,PAPER1_CANCER_CORE,ENA,PRJEB12246,ENA Korean thyroid cancer candidate (placeholder),NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ebi.ac.uk/ena/browser/view/PRJEB12246,Homo sapiens,South Korean,NEEDS_MANUAL_REVIEW,Thyroid tumor,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/prjeb12246/ (planned),Korean ancestry validation,HLA allele claim,medium,[VERIFIED-WRONG: 'A transcriptome-based global map of signaling pathways in the ovarian cancer mic'] Verify project exists and labels
P1_PRJNA486748,PAPER1_CANCER_CORE,SRA,PRJNA486748,SRA thyroid cancer candidate (placeholder),NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA486748,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,NEEDS_MANUAL_REVIEW,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/prjna486748/ (planned),Pending review,HLA allele claim,medium,[VERIFIED-WRONG: 'Geotrichum candidum strain:LMA-1147 Genome sequencing and assembly'] Verify project exists
P1_E_MTAB_9234,PAPER1_CANCER_CORE,ArrayExpress,E-MTAB-9234,Thyroid scRNA-seq candidate at ArrayExpress,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-9234,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,scRNA-seq,Thyroid (verify),YES,NO,YES,NO,NO,NO,NO,NO,partial,partial,partial,public_open,verified_wrong_subject,project/data/external/e_mtab_9234/ (planned),scRNA validation,HLA allele claim,medium,[VERIFIED-WRONG: 'mRNA-seq of HCC1954 siControl and siRNF40'] Verify exists
P1_GSE5364,PAPER1_CANCER_CORE,GEO,GSE5364,Pan-cancer microarray (extract thyroid subset),NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE5364,Homo sapiens,Mixed,NEEDS_MANUAL_REVIEW,Multi-tumor,Microarray,Pan-cancer with thyroid subset,YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse5364/ (planned),Filter to thyroid only,HLA allele claim,low,[VERIFIED-WRONG: 'A Precisely Regulated Gene Expression Cassette Potently Modulates Metastasis and'] Multi-tissue — must filter
P1_GSE14001,PAPER1_CANCER_CORE,GEO,GSE14001,Thyroid cancer expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14001,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,Microarray,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse14001/ (planned),Expression validation,HLA allele claim,low,[VERIFIED-WRONG: 'PAX2: A Potential Biomarker for Low Malignant Potential Ovarian Tumors and Low-G'] Verify subtype labels
P1_GSE51002,PAPER1_CANCER_CORE,GEO,GSE51002,Thyroid cancer expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51002,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tumor,Microarray,Thyroid cancer (verify),YES,NO,partial,NO,NO,NO,NO,NO,partial,NO,partial,public_open,verified_wrong_subject,project/data/external/gse51002/ (planned),Expression validation,HLA allele claim,low,[VERIFIED-WRONG: 'A genome-wide analysis of open chromatin in human epididymis epithelial cells re'] Verify subtype labels
BR_GSE15573,BRIDGE_QUARANTINE_HT_PTC,GEO,GSE15573,Hashimoto thyroid candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE15573,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,HT (verify),NO,NO,partial,YES,YES,NO,NO,NO,NO,NO,NO,public_open,verified_wrong_subject,project/data/external/gse15573/ (planned),HT-only immune context,Cancer claim,medium,[VERIFIED-WRONG: 'Immunity and Defense Genes in Peripheral Blood Mononuclear Cells of Rheumatoid A'] Verify exists and labels
BR_GSE56186,BRIDGE_QUARANTINE_HT_PTC,GEO,GSE56186,Thyroid autoimmune candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56186,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,NEEDS_MANUAL_REVIEW,Autoimmune (verify),NO,NO,partial,YES,partial,partial,NO,NO,NO,NO,NO,public_open,verified_wrong_subject,project/data/external/gse56186/ (planned),Immune context only,Cancer claim,medium,[VERIFIED-WRONG: 'Saccharomyces cerevisiae mutant strain with R1158 strain background: Fold change'] Verify exists
