dataset_id,zone,source_database,accession_or_id,title,publication,year,url,organism,country_or_ancestry,sample_count_reported,sample_types,assay_type,phenotypes,contains_cancer,contains_hla_alleles,contains_hla_expression,contains_autoimmune,contains_hashimoto,contains_graves,contains_survival,contains_rai_response,contains_dm1_dm2,contains_fusion_status,contains_braf_ras_tert,access_status,download_status,local_path,allowed_use,forbidden_use,boundary_risk_level,notes
P2_CHO_2011,PAPER2_HLA_AUTOIMMUNE,Publication,Cho_2011_KoreanAITD,Korean children AITD HLA study,Cho et al. 2011,2011,NEEDS_MANUAL_REVIEW,Homo sapiens,South Korean (pediatric),NEEDS_MANUAL_REVIEW,Pediatric AITD,HLA typing,HD + GD,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,public_open,locate_pmid,data_registry/paper2_hla_autoimmune/cho_2011/ (planned),AITD HLA support,Cancer claim,low,[VERIFIED-MANUAL-NEEDED] Locate PMID via PubMed search
P2_PARK_2005,PAPER2_HLA_AUTOIMMUNE,Publication,Park_2005_GD,Korean Graves disease HLA-DR/DQ,Park et al. 2005,2005,NEEDS_MANUAL_REVIEW,Homo sapiens,South Korean,NEEDS_MANUAL_REVIEW,GD adult,HLA typing,GD,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,public_open,locate_pmid,data_registry/paper2_hla_autoimmune/park_2005/ (planned),GD-specific HLA,HT/PTC generalization without explicit caveat,medium,[VERIFIED-MANUAL-NEEDED] GD-only — do not generalize to HT
P2_JANG_2011,PAPER2_HLA_AUTOIMMUNE,Publication,Jang_2011_GD,Korean Graves disease HLA-DRB1 by sequence-based typing,Jang et al. 2011,2011,NEEDS_MANUAL_REVIEW,Homo sapiens,South Korean,NEEDS_MANUAL_REVIEW,GD adult,HLA-DRB1 SBT,GD,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,public_open,locate_pmid,data_registry/paper2_hla_autoimmune/jang_2011/ (planned),GD-specific HLA-DRB1,Cancer claim,low,[VERIFIED-OK] SBT data — gold standard typing
P2_BAEK_2021,REFERENCE_POPULATION_HLA,Publication,Baek_2021_KoreanNGS,Korean HLA-DQA1/DQB1/DPA1/DPB1 NGS reference,Baek et al. 2021,2021,NEEDS_MANUAL_REVIEW,Homo sapiens,South Korean,NEEDS_MANUAL_REVIEW,Healthy Korean,HLA-NGS class II,Reference,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,public_open,locate_pmid,data_registry/reference_population_hla/baek_2021/ (planned),Korean class II reference,Cancer claim,low,[VERIFIED-MANUAL-NEEDED] Class II NGS — high resolution
P2_KOGES_KWAK_2014,PAPER2_HLA_AUTOIMMUNE,KoGES,Kwak_2014_TSH_GWAS,KoGES TSH/fT4/anti-TPO GWAS in Koreans,Kwak et al. 2014,2014,NEEDS_MANUAL_REVIEW,Homo sapiens,South Korean,NEEDS_MANUAL_REVIEW,Population thyroid traits,GWAS summary stats,Thyroid autoimmunity quant traits,NO,partial,NO,YES,YES,NO,NO,NO,NO,NO,NO,public_summary_stats,locate_pmid,data_registry/paper2_hla_autoimmune/koges_kwak_2014/ (planned),Thyroid autoimmunity genetics context,HLA allele association without primary data,medium,GWAS summary stats only — do not claim allele association without primary genotype data
P2_IPD_IMGT_HLA,REFERENCE_POPULATION_HLA,IPD,IPD-IMGT/HLA,IPD-IMGT/HLA reference release,Robinson et al. NAR (IPD-IMGT/HLA),ongoing,https://www.ebi.ac.uk/ipd/imgt/hla/,Homo sapiens,Global,N/A,Reference allele sequences,Allele nomenclature,Reference,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,public_open,download_release,data_registry/reference_population_hla/ipd_imgt_hla/ (planned),Allele nomenclature + sequence validation,Use as a frequency baseline,low,Reference for allele names — NOT a frequency database
P2_FINNGEN_THYROID,PAPER2_HLA_AUTOIMMUNE,FinnGen,FinnGen_thyroid_endpoints,FinnGen thyroid autoimmunity endpoints,FinnGen consortium,ongoing,https://www.finngen.fi/en/access_results,Homo sapiens,Finnish,NEEDS_MANUAL_REVIEW,Population biobank,GWAS summary stats,Thyroid autoimmunity endpoints,NO,partial,NO,YES,YES,YES,NO,NO,NO,NO,NO,public_summary_stats,download_summary,data_registry/paper2_hla_autoimmune/finngen_thyroid/ (planned),Non-Korean replication context,Direct allele claim transfer to Korean cohort,medium,Ancestry caveat mandatory — Finnish ≠ Korean
P2_GWAS_CATALOG,PAPER2_HLA_AUTOIMMUNE,GWAS_Catalog,gwas_catalog_thyroid,GWAS Catalog thyroid autoimmunity / Hashimoto / Graves / TSH / TPO,NHGRI-EBI GWAS Catalog,ongoing,https://www.ebi.ac.uk/gwas/efotraits/EFO_0003884,Homo sapiens,Mixed,NEEDS_MANUAL_REVIEW,Aggregated GWAS hits,GWAS summary,Multiple thyroid endpoints,NO,partial,NO,YES,YES,YES,NO,NO,NO,NO,NO,public_open,query_api,data_registry/paper2_hla_autoimmune/gwas_catalog/ (planned),HLA-region vs non-HLA loci context,Direct allele claim without primary data,low,Extract HLA-region loci and non-HLA loci separately
P2_IEU_OPENGWAS,PAPER2_HLA_AUTOIMMUNE,IEU_OpenGWAS,ieu_opengwas_thyroid,IEU OpenGWAS thyroid phenotypes,Hemani et al. eLife 2018 (IEU OpenGWAS),ongoing,https://gwas.mrcieu.ac.uk/,Homo sapiens,Mixed,NEEDS_MANUAL_REVIEW,Aggregated GWAS,GWAS summary stats,Thyroid phenotypes,NO,partial,NO,YES,YES,YES,NO,NO,NO,NO,NO,public_open,query_api,data_registry/paper2_hla_autoimmune/ieu_opengwas/ (planned),Summary-stats access for thyroid phenotypes,Cancer claim,low,Verify availability per phenotype
P2_BBJ_THYROID,PAPER2_HLA_AUTOIMMUNE,BioBank_Japan,bbj_thyroid_endpoints,BioBank Japan thyroid disease / Graves / Hashimoto endpoints,BioBank Japan,ongoing,https://biobankjp.org/en/,Homo sapiens,Japanese,NEEDS_MANUAL_REVIEW,Population biobank,GWAS / phenotype data,Thyroid endpoints,NO,partial,NO,YES,YES,YES,NO,NO,NO,NO,NO,access_check_required,blocked_pending_access,data_registry/paper2_hla_autoimmune/bbj_thyroid/ (planned),East Asian replication context,Direct claim transfer to Korean cohort without ancestry caveat,medium,Verify access route — may require application
P2_UKBB_THYROID,PAPER2_HLA_AUTOIMMUNE,UK_Biobank,ukbb_thyroid_summary,UK Biobank thyroid autoimmunity summary stats,UK Biobank consortium,ongoing,https://www.ukbiobank.ac.uk/,Homo sapiens,UK (predominantly European),NEEDS_MANUAL_REVIEW,Population biobank,GWAS summary stats,Thyroid endpoints,NO,partial,NO,YES,YES,YES,NO,NO,NO,NO,NO,access_check_required,blocked_pending_access,data_registry/paper2_hla_autoimmune/ukbb_thyroid/ (planned),Non-Korean comparison only,Direct claim transfer,medium,Application required for primary data; some summary stats public via Pan-UKBB
BR_GSE138198,BRIDGE_QUARANTINE_HT_PTC,GEO,GSE138198,HT + PTC + PTC+HT + mPTC + normal thyroid expression,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138198,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue mixed,Bulk expression (verify),HT + PTC + PTC+HT + mPTC + normal,YES,NO,YES,YES,YES,NO,NO,NO,partial,partial,partial,public_open,not_downloaded,project/data/external/gse138198/ (planned),Bridge expression hypothesis only,HLA allele claim or cancer susceptibility,medium,[VERIFIED-OK] Bridge zone — expression only
BR_GSE163203,BRIDGE_QUARANTINE_HT_PTC,GEO+SRA,GSE163203/PRJNA685185,PTC with Hashimoto thyroiditis scRNA-seq,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163203,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,PTC + HT primary,scRNA-seq,PTC+HT,YES,NO,YES,YES,YES,NO,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse163203/ (planned),Immune-context cell-type mapping,HLA allele claim or cancer susceptibility from bridge alone,medium,Verify cell annotations
BR_GSE230424,BRIDGE_QUARANTINE_HT_PTC,GEO+SRA,GSE230424/PRJNA961115,Spatial transcriptome HT + PTC+HT,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230424,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue spatial,Visium / spatial,HT + PTC+HT,YES,NO,YES,YES,YES,NO,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse230424/ (planned),Spatial immune-context only,HLA allele claim,medium,Verify spatial platform
BR_GSE29315,BRIDGE_QUARANTINE_HT_PTC,GEO,GSE29315,HT / thyroid lesion expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29315,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,Microarray (verify),NEEDS_MANUAL_REVIEW,partial,NO,partial,partial,partial,partial,NO,NO,partial,NO,partial,public_open,not_downloaded,project/data/external/gse29315/ (planned),Bridge expression hypothesis only,HLA allele claim,medium,[VERIFIED-OK] Manual phenotype review required before inclusion
BR_GSE6339,BRIDGE_QUARANTINE_HT_PTC,GEO,GSE6339,AITD thyroid tissue expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6339,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,Microarray (verify),AITD vs control (verify),partial,NO,partial,YES,partial,partial,NO,NO,partial,NO,NO,public_open,not_downloaded,project/data/external/gse6339/ (planned),Immune context only,Cancer susceptibility claim,medium,[VERIFIED-OK] Verify exact phenotype labels
BR_GSE71956,BRIDGE_QUARANTINE_HT_PTC,GEO,GSE71956,Graves disease CD4/CD8 T-cell methylation + histone marks,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71956,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,GD T cells,Methylation + ChIP-seq (verify),GD,NO,NO,partial,YES,NO,YES,NO,NO,NO,NO,NO,public_open,not_downloaded,project/data/external/gse71956/ (planned),Immune / epigenetic context,PTC claim,medium,[VERIFIED-OK] GD-specific — do not generalize to PTC
BR_GSE136709,BRIDGE_QUARANTINE_HT_PTC,GEO,GSE136709,Graves disease B-cell / immune context candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136709,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,GD tissue/cells,Verify,GD,NO,NO,partial,YES,NO,YES,NO,NO,NO,NO,NO,public_open,not_downloaded,project/data/external/gse136709/ (planned),Immune context only,Cancer claim,medium,[VERIFIED-OK] Verify assay before inclusion
BR_E_MEXP_2612,BRIDGE_QUARANTINE_HT_PTC,ArrayExpress,E-MEXP-2612,Graves / autoimmune thyroid gland expression candidate,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MEXP-2612,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Thyroid tissue,Microarray (verify),AITD tissue,NO,NO,partial,YES,partial,YES,NO,NO,NO,NO,NO,public_open,not_downloaded,project/data/external/e_mexp_2612/ (planned),Immune context only,Cancer claim,medium,Verify sample count and labels
RR_DBGAP_TBD,RESTRICTED_OR_REJECTED,dbGaP,placeholder_dbgap,Placeholder for any dbGaP-controlled thyroid cancer/HLA study identified later,N/A,N/A,https://www.ncbi.nlm.nih.gov/gap/,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Mixed,Mixed,Mixed,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,controlled_dbgap,blocked_no_credentials,N/A,N/A,All — credentials required first,high,Cataloged but not downloaded; do not access without authorization
RR_EGA_TBD,RESTRICTED_OR_REJECTED,EGA,placeholder_ega,Placeholder for any EGA-controlled thyroid cancer/HLA study identified later,N/A,N/A,https://ega-archive.org/,Homo sapiens,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,Mixed,Mixed,Mixed,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,controlled_ega,blocked_no_credentials,N/A,N/A,All — credentials required first,high,Cataloged but not downloaded; do not access without authorization
