figure_id	file_name	version_source	biological_axis	cohort	paper_role	recommended_tier	claim_strength	risk_level	include_reason	exclude_or_archive_reason	manuscript_usage_sentence_draft	needs_recalculation	notes
S_F13	S_F13_closure_battery_summary.png	v2	Closure_battery	GSE250521+TCGA_h&e	Paper2_Pillar2_support	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	LOW	Closure battery summary (NO-GO record)		[AUTHOR VOICE NEEDED: H&E → DM1 closure battery LOSO summary]	NO	
S_F14	S_F14_per_stage_violin.png	v2	TROP2_niche	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Per-stage violin; redundant with S_F11 heatmap		[AUTHOR VOICE NEEDED: TROP2 violin per stage]	NO	
S_F15	S_F15_GSE248205_baseline_maps.png	v2	Autoimmune_baseline	GSE248205	Paper2_neg_control	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	GSE248205 baseline maps; superseded by S_F36		[AUTHOR VOICE NEEDED: autoimmune-only baseline maps]	NO	
S_F16	S_F16_morans_summary.png	v2	Marker_x_condition	ALL_28_3cohort	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	Fixed (v7) 2-panel; redundant with S_F11 + S_F18	Redundant after main + supp pair	[AUTHOR VOICE NEEDED: marker × condition Moran summary]	NO	originally broken; fixed in v7; demoted to web
S_F17	S_F17_TROP2_high_spot_fraction.png	v2	TROP2_niche	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	TROP2 high-spot fraction; redundant with S_F11		[AUTHOR VOICE NEEDED: TROP2 high-fraction]	NO	
S_F18	S_F18_HT_TLS_heatmap.png	v2	HT_TLS	GSE230424	Paper2_Pillar2_main	MAIN_FIGURE	STRONG_SUPPORT	MEDIUM	HT TLS Moran I heatmap; quantitative companion to S_F8 (post-fix)		[AUTHOR VOICE NEEDED: HT TLS Moran's I 4 slides × 4 immune axes (post-fix hex 6-nbr); HLA_II 0.48-0.81, IGHV 0.40-0.85, TLS 0.28-0.61]	DONE_2026_05_07	REMADE 2026-05-07; n=4 risk shared with S_F8
S_F19	S_F19_DM1_maps_GSE250521.png	v3	DM1_axis	GSE250521	Paper2_Pillar2_main	MAIN_FIGURE	STRONG_SUPPORT	LOW	Spatial demonstration of DM1 region heterogeneity (signature-level)		[AUTHOR VOICE NEEDED: DM1 16-slide spatial maps demonstrate regional heterogeneity in GSE250521]	NO	
S_F20	S_F20_DM1_maps_GSE230424.png	v3	DM1_axis_HT	GSE230424	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	DM1 axis on PTC+HT cohort	Redundant with S_F19 main + S_F49 supp	[AUTHOR VOICE NEEDED: DM1 maps on GSE230424]	NO	
S_F21	S_F21_TROP2_microenv.png	v3	Microenv_TROP2	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	TROP2 microenvironment context	Redundant with S_F10 colocalization	[AUTHOR VOICE NEEDED: TROP2 microenv]	NO	
S_F22	S_F22_morans_per_condition_box.png	v3	Moran_per_condition	ALL_28_3cohort	Paper2_Pillar1_support	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	LOW	Moran's I distribution per condition (post-fix)		[AUTHOR VOICE NEEDED: TROP2 Moran's I per condition box (post-fix hex 6-nbr)]	DONE_2026_05_07	REMADE 2026-05-07
S_F23	S_F23_TROP2_distribution_hist.png	v3	TROP2_distribution	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	TROP2 distribution histogram		[AUTHOR VOICE NEEDED: TROP2 hist]	NO	
S_F24	S_F24_HT_immune_colocalization.png	v3	HT_immune_coloc	GSE230424	Paper2_Pillar2_support	SUPPLEMENTARY_FIGURE	MODERATE_SUPPORT	LOW	HT immune marker co-localization		[AUTHOR VOICE NEEDED: HT immune co-localization]	NO	
S_F25	S_F25_TROP2_niche_cluster_sizes.png	v3	TROP2_clusters	GSE250521	Paper2_Pillar1_support	SUPPLEMENTARY_FIGURE	TECHNICAL_QC	LOW	Niche cluster sizes — Visium hex 6-nbr fixed (v7)		[AUTHOR VOICE NEEDED: TROP2 niche cluster size distribution (hex 6-neighbor adjacency)]	NO	post-fix; original v3 version DEPRECATED
S_F26	S_F26_mega_summary.png	v3	Mega_summary	ALL_28_3cohort	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Mega summary (v3 era); superseded by S_F56/S_F64/S_F100		[AUTHOR VOICE NEEDED: mega summary v3]	NO	
S_F27	S_F27_RGB_overlay.png	v4	RGB_overlay	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	TROP2 + DM1 + Epithelial RGB overlay	Visually appealing but redundant with S_F10	[AUTHOR VOICE NEEDED: RGB tri-axis overlay]	NO	
S_F28	S_F28_driver_genes_maps.png	v4	Driver_genes_spatial	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	Driver gene spatial expression maps	Driver-orthogonal already captured in S_F2	[AUTHOR VOICE NEEDED: driver gene maps]	NO	
S_F29	S_F29_TROP2_maps_GSE230424.png	v4	TROP2_HT	GSE230424	Paper2_Pillar1_support	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	LOW	TROP2 niche on GSE230424 PTC+HT 4 slides		[AUTHOR VOICE NEEDED: TROP2 maps on GSE230424]	NO	
S_F30	S_F30_closure_LOSO_breakdown.png	v4	Closure_battery	GSE250521+TCGA_h&e	Paper2_Pillar2_main	MAIN_FIGURE	STRONG_SUPPORT	LOW	H&E → DM1 closure NO-GO LOSO ResNet50 ρ ≈ 0.06 (fixed v7)		[AUTHOR VOICE NEEDED: closure battery LOSO per-slide breakdown shows H&E → DM1 closure NO-GO]	NO	schema fix in v7; main NO-GO evidence
S_F31	S_F31_niche_cluster_spacing.png	v4	Niche_spacing	GSE250521	Paper2_Pillar1_support	SUPPLEMENTARY_FIGURE	TECHNICAL_QC	LOW	Niche cluster spacing — REMADE 2026-05-07 with hex 6-nbr union-find		[AUTHOR VOICE NEEDED: TROP2 niche cluster pairwise distance distribution (post-fix Visium hex union-find)]	DONE_2026_05_07	REMADE 2026-05-07; Bug A resolved (visium_hex_clusters union-find); promoted from web back to supp
S_F32	S_F32_ATC_degradation.png	v4	ATC_collapse	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	ATC niche degradation visual (n=4 ATC risk)	Subsumed by S_F91 (v12) which is the supp citation	[AUTHOR VOICE NEEDED: ATC niche degradation overview]	NO	n=4 ATC; reviewer risk
S_F33	S_F33_RAI8_individual_gene_maps.png	v5	RAI8_individual	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	RAI8 individual gene maps (dedifferentiation context)	Differentiation captured in S_F91 supp	[AUTHOR VOICE NEEDED: RAI8 per-gene maps]	NO	
S_F34	S_F34_Epithelial_maps_GSE250521.png	v5	Epithelial_axis	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Epithelial axis 16-slide; supplements TROP2-Epi colocalization		[AUTHOR VOICE NEEDED: epithelial maps]	NO	
S_F35	S_F35_Proliferation_maps_GSE250521.png	v5	Proliferation_axis	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Proliferation 16-slide		[AUTHOR VOICE NEEDED: proliferation maps]	NO	
S_F36	S_F36_GSE248205_full_maps.png	v5	Autoimmune_full	GSE248205	Paper2_neg_control	MAIN_FIGURE	STRONG_SUPPORT	LOW	Negative control: autoimmune-only cohort lacks TROP2/TLS niche signal		[AUTHOR VOICE NEEDED: GSE248205 full maps autoimmune-only negative control]	NO	
S_F37	S_F37_HT_combined_immune_density.png	v5	HT_combined_immune	GSE230424	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	HT combined immune density	Captured in S_F8 main + S_F18 supp	[AUTHOR VOICE NEEDED: HT combined immune density]	NO	
S_F38	S_F38_per_sample_QC.png	v5	Per_sample_QC	ALL_28_3cohort	Paper2_methods	SUPPLEMENTARY_FIGURE	TECHNICAL_QC	LOW	Per-sample technical QC (depth, n_spots, fraction expressed)		[AUTHOR VOICE NEEDED: per-sample QC supplementary]	NO	
S_F39	S_F39_microenv_trajectory.png	v5	Microenv_trajectory	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Microenvironment trajectory; redundant		[AUTHOR VOICE NEEDED: microenv trajectory]	NO	
S_F40	S_F40_morans_axis_correlation.png	v5	Moran_axis_corr	ALL_28_3cohort	Paper2_methods	SUPPLEMENTARY_FIGURE	TECHNICAL_QC	LOW	Cross-axis Spearman correlation of Moran's I (post-fix)		[AUTHOR VOICE NEEDED: cross-axis Moran's I Spearman correlation across 28 samples (post-fix)]	DONE_2026_05_07	REMADE 2026-05-07
S_F41	S_F41_TROP2_all_28_samples.png	v6	TROP2_28sample	ALL_28_3cohort	Paper2_Pillar1_main	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	LOW	All 28 samples TROP2 mega view		[AUTHOR VOICE NEEDED: TROP2 28-sample mega panel]	NO	
S_F42	S_F42_HT_individual_markers.png	v6	HT_individual	GSE230424	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	MEDIUM	HT individual marker maps (CXCL13, CD20, IgG)	Subsumed by S_F65 (v9) chemokine receptor supp	[AUTHOR VOICE NEEDED: HT individual immune markers]	NO	depends on n=4 PTC+HT cohort
S_F43	S_F43_Hypoxia_maps_GSE250521.png	v6	Hypoxia_v6	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Hypoxia 16-slide v6; superseded by v12 S_F89		[AUTHOR VOICE NEEDED: hypoxia spatial maps]	NO	
S_F44	S_F44_CAF_ECM_maps_GSE250521.png	v6	CAF_ECM	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	CAF/ECM 16-slide		[AUTHOR VOICE NEEDED: CAF ECM maps]	NO	
S_F45	S_F45_EMT_maps_GSE250521.png	v6	EMT_v6	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	EMT 16-slide v6; superseded by v12 S_F90		[AUTHOR VOICE NEEDED: EMT v6 maps]	NO	
S_F46	S_F46_niche_threshold_sensitivity.png	v6	Niche_threshold	GSE250521	Paper2_methods	SUPPLEMENTARY_FIGURE	TECHNICAL_QC	LOW	Niche threshold sensitivity sweep (Q3/Q4/percentile)		[AUTHOR VOICE NEEDED: threshold sensitivity supplementary]	NO	
S_F47	S_F47_per_axis_moran_summary.png	v6	Per_axis_moran_summary	ALL_28_3cohort	Paper2_Pillar1_support	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	LOW	Per-axis Moran summary across 8 conditions (post-fix)		[AUTHOR VOICE NEEDED: per-axis Moran's I summary by condition (post-fix hex 6-nbr)]	DONE_2026_05_07	REMADE 2026-05-07; mean ± SD per condition × 12 axes
S_F48	S_F48_depth_confounding.png	v6	Depth_confound	GSE250521	Paper2_methods	SUPPLEMENTARY_FIGURE	TECHNICAL_QC	LOW	Depth confounding control (Moran I vs sequencing depth)		[AUTHOR VOICE NEEDED: depth confounding QC]	NO	
S_F49	S_F49_DM1_all_28_samples.png	v7	DM1_28sample	ALL_28_3cohort	Paper2_Pillar2_main	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	LOW	All 28 samples DM1 mega view (companion to S_F19)		[AUTHOR VOICE NEEDED: DM1 28-sample mega panel]	NO	
S_F50	S_F50_niche_robustness.png	v7	Niche_robustness	GSE250521	Paper2_methods	SUPPLEMENTARY_FIGURE	TECHNICAL_QC	LOW	Niche robustness post-fix (uses Visium hex 6-nbr)		[AUTHOR VOICE NEEDED: niche robustness]	NO	
S_F51	S_F51_TROP2_DM1_moran_scatter.png	v7	TROP2_DM1_scatter	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	TROP2 vs DM1 Moran scatter; redundant with S_F71		[AUTHOR VOICE NEEDED: TROP2-DM1 scatter]	NO	
S_F52	S_F52_niche_progression.png	v7	Niche_progression	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Niche progression by stage; superseded by S_F97		[AUTHOR VOICE NEEDED: niche progression]	NO	
S_F53	S_F53_HT_full_axis_morans.png	v7	HT_full_axis_morans	GSE230424	Paper2_Pillar2_support	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	MEDIUM	HT cohort all-axis Moran I (TLS, IGHV, AICDA, HLA-II)		[AUTHOR VOICE NEEDED: HT full-axis Moran summary]	NO	n=4 risk
S_F54	S_F54_TROP2_niche_jaccard.png	v7	TROP2_jaccard	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	TROP2 niche Jaccard between samples; superseded by S_F66		[AUTHOR VOICE NEEDED: TROP2 Jaccard]	NO	
S_F55	S_F55_niche_vs_sample_size.png	v7	Niche_vs_n	ALL_28_3cohort	Paper2_methods	WEB_ONLY_ARCHIVE	TECHNICAL_QC	LOW	Niche detection sensitivity vs cohort size	QC; redundant with S_F46 + S_F48	[AUTHOR VOICE NEEDED: niche vs n_samples QC]	NO	
S_F56	S_F56_4_key_findings.png	v7	Four_key_collage	ALL_28_3cohort	Paper2_overview	MAIN_FIGURE	STRONG_SUPPORT	LOW	Graphical abstract — answers Q1+Q2+Pillar I+Pillar II in one figure		[AUTHOR VOICE NEEDED: four-key-finding collage as graphical abstract]	NO	
S_F57	S_F57_TROP2_per_sample_violin.png	v8	Per_sample_violin	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Per-sample violin; redundant with S_F22/S_F11		[AUTHOR VOICE NEEDED: per-sample violin]	NO	
S_F58	S_F58_GSE230424_RGB_overlay.png	v8	GSE230424_RGB	GSE230424	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	GSE230424 RGB overlay; redundant with S_F27 + S_F8		[AUTHOR VOICE NEEDED: GSE230424 RGB]	NO	
S_F59	S_F59_TROP2_CDF_density.png	v8	TROP2_CDF	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	TROP2 CDF / density; redundant with S_F23		[AUTHOR VOICE NEEDED: TROP2 CDF]	NO	
S_F60	S_F60_niche_cluster_IDs.png	v8	Niche_cluster_IDs	GSE250521	Paper2_Pillar1_support	WEB_ONLY_ARCHIVE	TECHNICAL_QC	LOW	Niche cluster ID color visualization (post-fix)		[AUTHOR VOICE NEEDED: cluster ID visualization]	NO	
S_F61	S_F61_closure_target_model_heatmap.png	v8	Closure_target_model	GSE250521+TCGA_h&e	Paper2_Pillar2_main	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	LOW	Closure target × model heatmap (extends S_F30)		[AUTHOR VOICE NEEDED: closure target × model heatmap]	NO	
S_F62	S_F62_GSE230424_joint_axes_P3.png	v8	GSE230424_joint_axes	GSE230424	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	MEDIUM	GSE230424 P3 joint 4-axis scatter	Single slide; case-like; web only	[AUTHOR VOICE NEEDED: GSE230424 P3 joint axis scatter]	NO	single slide P3
S_F63	S_F63_28_sample_summary_table.png	v8	Sample_table	ALL_28_3cohort	Paper2_methods	SUPPLEMENTARY_FIGURE	TECHNICAL_QC	LOW	28-sample comprehensive metadata table figure		[AUTHOR VOICE NEEDED: 28-sample summary table]	NO	
S_F64	S_F64_master_moran_matrix.png	v8	Master_moran_matrix	ALL_28_3cohort	Paper2_overview	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	LOW	Master 28-sample × 11-axis Moran I heatmap		[AUTHOR VOICE NEEDED: master 28-sample multiaxis Moran's I matrix]	NO	
S_F65	S_F65_TLS_individual_genes_P3.png	v9	TLS_individual_genes	GSE230424	Paper2_Pillar2_support	SUPPLEMENTARY_FIGURE	MODERATE_SUPPORT	MEDIUM	TLS individual gene maps on PTC+HT P3 (CXCL13/CCL19/CCL21/CXCR5/CCR7/SELL)		[AUTHOR VOICE NEEDED: TLS individual chemokine receptor maps]	NO	single slide; n=1 case-like; flag
S_F66	S_F66_28_sample_similarity.png	v9	Sample_similarity	ALL_28_3cohort	Paper2_overview	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	28-sample similarity matrix in axis-Moran space	Subsumed by S_F67 PCA + S_F64 master matrix	[AUTHOR VOICE NEEDED: 28-sample similarity matrix]	NO	
S_F67	S_F67_sample_PCA_morans.png	v9	Sample_PCA	ALL_28_3cohort	Paper2_overview	SUPPLEMENTARY_FIGURE	MODERATE_SUPPORT	LOW	Sample PCA in axis-Moran space		[AUTHOR VOICE NEEDED: sample PCA in axis-Moran space]	NO	
S_F68	S_F68_per_sample_axis_trajectory.png	v9	Per_sample_trajectory	ALL_28_3cohort	Paper2_overview	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Per-sample axis trajectory line plot		[AUTHOR VOICE NEEDED: per-sample axis trajectory]	NO	
S_F69	S_F69_stage_3axis_spatial.png	v9	Stage_3axis_spatial	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Stage representative DM1/Epi/Prol 3-axis spatial		[AUTHOR VOICE NEEDED: stage 3-axis spatial]	NO	
S_F70	S_F70_niche_compactness.png	v9	Niche_compactness	GSE250521	Paper2_methods	WEB_ONLY_ARCHIVE	TECHNICAL_QC	LOW	TROP2 niche compactness (size vs bbox)		[AUTHOR VOICE NEEDED: niche compactness]	NO	
S_F71	S_F71_within_slide_cross_axis_rho.png	v9	Within_slide_rho	ALL_28_3cohort	Paper2_overview	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	LOW	Within-slide cross-axis Spearman heatmap		[AUTHOR VOICE NEEDED: within-slide cross-axis Spearman summary]	NO	
S_F72	S_F72_ultimate_summary.png	v9	Ultimate_summary	GSE250521	Paper2_overview	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Ultimate summary infographic; superseded by S_F100		[AUTHOR VOICE NEEDED: ultimate summary v9]	NO	
S_F73	S_F73_thyroid_TF_maps.png	v10	Thyroid_TF	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	Thyroid TF (PAX8/NKX2-1/FOXE1) maps		[AUTHOR VOICE NEEDED: thyroid TF maps]	NO	signature-level, related to differentiation collapse
S_F74	S_F74_cell_cycle_maps.png	v10	Cell_cycle	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Cell-cycle marker maps		[AUTHOR VOICE NEEDED: cell cycle maps]	NO	
S_F75	S_F75_Tcell_markers.png	v10	Tcell_axis	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	T-cell marker maps		[AUTHOR VOICE NEEDED: T-cell maps]	NO	
S_F76	S_F76_macrophage_TAM.png	v10	Macrophage_TAM	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Macrophage/TAM maps		[AUTHOR VOICE NEEDED: macrophage TAM maps]	NO	
S_F77	S_F77_stromal_endothelial.png	v10	Stromal_endo	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Stromal/endothelial maps		[AUTHOR VOICE NEEDED: stromal endothelial maps]	NO	
S_F78	S_F78_immune_escape_maps.png	v10	Immune_escape	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	Immune escape (PD-L1/IDO1/B2M/HLA-A) — claim risk		[AUTHOR VOICE NEEDED: immune escape maps — keep as exploratory only]	NO	HIGH risk for biomarker drift; gate as supplementary at most
S_F79	S_F79_metabolism_maps.png	v10	Glycolysis_OxPhos	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	LOW	Glycolysis vs OxPhos maps		[AUTHOR VOICE NEEDED: metabolism maps]	NO	
S_F80	S_F80_deep_geneset_morans.png	v10	Deep_geneset_morans	GSE250521	Paper2_overview	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	16-sample × 8-deep-geneset Moran heatmap	Subsumed by S_F64 master + S_F97 stage gradient	[AUTHOR VOICE NEEDED: deep gene-set Moran summary]	NO	
S_F81	S_F81_WNT_signaling_maps.png	v11	Pathway_WNT	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	WNT pathway spatial maps; exploratory only		[AUTHOR VOICE NEEDED: WNT pathway spatial]	NO	signature-level; do not draw mechanistic claim
S_F82	S_F82_NOTCH_signaling_maps.png	v11	Pathway_NOTCH	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	NOTCH pathway spatial maps; exploratory only		[AUTHOR VOICE NEEDED: NOTCH pathway spatial]	NO	signature-level; do not draw mechanistic claim
S_F83	S_F83_Hippo_YAP_maps.png	v11	Pathway_Hippo_YAP	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	Hippo_YAP pathway spatial maps; exploratory only		[AUTHOR VOICE NEEDED: Hippo_YAP pathway spatial]	NO	signature-level; do not draw mechanistic claim
S_F84	S_F84_RAS_MAPK_maps.png	v11	Pathway_RAS_MAPK	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	RAS_MAPK pathway spatial maps; exploratory only		[AUTHOR VOICE NEEDED: RAS_MAPK pathway spatial]	NO	signature-level; do not draw mechanistic claim
S_F85	S_F85_PI3K_AKT_maps.png	v11	Pathway_PI3K_AKT	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	PI3K_AKT pathway spatial maps; exploratory only		[AUTHOR VOICE NEEDED: PI3K_AKT pathway spatial]	NO	signature-level; do not draw mechanistic claim
S_F86	S_F86_MYC_targets_maps.png	v11	Pathway_MYC	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	MYC pathway spatial maps; exploratory only		[AUTHOR VOICE NEEDED: MYC pathway spatial]	NO	signature-level; do not draw mechanistic claim
S_F87	S_F87_TGF_beta_maps.png	v11	Pathway_TGF_beta	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	TGF_beta pathway spatial maps; exploratory only		[AUTHOR VOICE NEEDED: TGF_beta pathway spatial]	NO	signature-level; do not draw mechanistic claim
S_F88	S_F88_Inflammation_NFkB_maps.png	v11	Pathway_NFkB	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	NFkB pathway spatial maps; exploratory only		[AUTHOR VOICE NEEDED: NFkB pathway spatial]	NO	signature-level; do not draw mechanistic claim
S_F89	S_F89_Hypoxia_maps.png	v12	Hypoxia_v12	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	Hypoxia signature spatial maps (v12 update)		[AUTHOR VOICE NEEDED: hypoxia maps v12]	NO	
