file	line	matched_phrase	context	classification	recommended_action
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	14	outperform	**Final overclaim sweep:** all banned phrases ("능가", "outperform", "더 정확", "decitabine candidate", "selpercatinib eligible", "low-cost", "8-gene superiority", "replace RAI") = 0 affirmative hits. Resi	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	14	능가	**Final overclaim sweep:** all banned phrases ("능가", "outperform", "더 정확", "decitabine candidate", "selpercatinib eligible", "low-cost", "8-gene superiority", "replace RAI") = 0 affirmative hits. Resi	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	14	더 정확	**Final overclaim sweep:** all banned phrases ("능가", "outperform", "더 정확", "decitabine candidate", "selpercatinib eligible", "low-cost", "8-gene superiority", "replace RAI") = 0 affirmative hits. Resi	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	22	능가	| "panel 더 작고 더 정확 / 능가" | "RAI_8 보다 좋은 compact panel 존재" / "6 개로 RAI_8 능가" / "4 개로 RAI_8 능가" | "panel-size sensitivity: 6/4-gene 부분집합도 비슷 within-cohort AUC 범위; cross-cohort validation 필요" |	needs_softening	verify wider context; soften if affirmative
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	22	더 정확	| "panel 더 작고 더 정확 / 능가" | "RAI_8 보다 좋은 compact panel 존재" / "6 개로 RAI_8 능가" / "4 개로 RAI_8 능가" | "panel-size sensitivity: 6/4-gene 부분집합도 비슷 within-cohort AUC 범위; cross-cohort validation 필요" |	needs_softening	verify wider context; soften if affirmative
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	23	treatment recommendation	| Decitabine + I-131 trial | "본 paper 는 그 trial 의 적격군 정의 도구가 될 수 있음 (DM1 high = decitabine + I-131 candidate)" | "임상 mechanism hypothesis (NOT therapeutic validation): mechanistic plausibility 와 방향 일치	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	23	decitabine \+ I-131 candidate	| Decitabine + I-131 trial | "본 paper 는 그 trial 의 적격군 정의 도구가 될 수 있음 (DM1 high = decitabine + I-131 candidate)" | "임상 mechanism hypothesis (NOT therapeutic validation): mechanistic plausibility 와 방향 일치	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	24	treatment selection	| Selpercatinib reflex | "selpercatinib reflex testing 81.8% RET 적격성 등" + "~48 selpercatinib-eligible per 1000 PTC" | "TCGA observation: DM1 captures 81.8% of RET-fusion+ — hypothesis-generating only;	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	26	validated predictor	| Hero conclude | "더 일찍 flag 할 수 있는 후보 triage scaffold" | "+ (NOT a validated predictor / NOT a treatment-selection tool / NOT proven prospective utility) 명시적 부정" |	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	31	validated predictor	- L131: NOT a validated predictor / NOT a treatment-selection tool / NOT proven prospective utility — explicit negation	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	32	treatment recommendation	- L547: "treatment recommendation 도구가 아님" — explicit denial	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	35	treatment selection	- L768: future-work only + "treatment selection tool 또는 selpercatinib eligibility predictor 가 아님"	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	36	treatment selection	- L792: IS NOT card — "treatment selection tool"	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	45	능가	- "Lineage TF + Effector minimal 6 ... RAI_8 (0.861, 0.220) 을 양 metric 모두에서 능가"	remove_or_rewrite	manual review required
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	46	더 정확	- "panel 더 작고 (6 vs 8) 더 정확"	remove_or_rewrite	manual review required
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	66	validated predictor	| Hero | "더 일찍 flag 할 수 있는 후보 triage scaffold" | "가설적 candidate triage scaffold; NOT validated predictor / NOT treatment-selection tool / NOT proven prospective utility" |	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	68	treatment recommendation	| §9 Mechanism implication | "decitabine + I-131 candidate" / "trial 의 적격군 정의 도구" | "mechanism hypothesis (NOT therapeutic validation); mechanistic rationale 강화 또는 후보군 식별 framework 가설; treatment recom	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	68	decitabine \+ I-131 candidate	| §9 Mechanism implication | "decitabine + I-131 candidate" / "trial 의 적격군 정의 도구" | "mechanism hypothesis (NOT therapeutic validation); mechanistic rationale 강화 또는 후보군 식별 framework 가설; treatment recom	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	82	skip RAI	- skip RAI	remove_or_rewrite	manual review required
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	83	direct hemato	- direct hemato-oncology referral	remove_or_rewrite	manual review required
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	94	decitabine \+ I-131 candidate	| Fig 13 (mechanism cascade) | "임상 implication: decitabine + I-131 candidate" | hardened to "mechanism hypothesis (NOT therapeutic validation)"; 후보군 식별 framework 가설 강조 |	safe_negation	OK — negation context
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	97	능가	| §10 panel scan tables | "능가" / "더 정확" | "panel-size sensitivity: 비슷 범위 (cross-cohort validation 필요)" |	remove_or_rewrite	manual review required
project/reports/2026_05_07_paper1_onepage_claim_hardening_report.md	97	더 정확	| §10 panel scan tables | "능가" / "더 정확" | "panel-size sensitivity: 비슷 범위 (cross-cohort validation 필요)" |	remove_or_rewrite	manual review required
project/manuscript_v8/p1_onepage_audit.html	131	validated predictor	<b>"수술 후 RAI 시도 → 실패 인지 지연 → 진행" 이라는 현재 임상 흐름의 *시간적 gap* 을 분자 수준에서 더 *일찍 인식*할 가능성에 대한 <em>가설적 candidate triage scaffold</em> 를 제시하는 것</b>입니다 (NOT a validated predictor / NOT a treatment-selection tool	safe_negation	OK — negation context
project/manuscript_v8/p1_onepage_audit.html	547	treatment recommendation	<p><span class="step">6</span> <b>임상 mechanism hypothesis (NOT therapeutic validation):</b> promoter methylation 이 분자 잠금장치 가능성과 일관됨. 이는 NCT00085293, NCT01065090 같은 *retrospective hypomethylating + I-1	safe_negation	OK — negation context
project/manuscript_v8/p1_onepage_audit.html	641	treatment selection	<tr><td>Clinical use</td><td class="do">candidate triage scaffold (hypothesis)</td><td class="dont">treatment selection / RAI predictor</td></tr>	future_work_only	OK — future-work context
project/manuscript_v8/p1_onepage_audit.html	642	TROP2 vulnerability	<tr><td>TROP2</td><td class="do">exploratory tumor-level (TCGA only)</td><td class="dont">TROP2 vulnerability (title) / spatial</td></tr>	needs_softening	verify wider context; soften if affirmative
project/manuscript_v8/p1_onepage_audit.html	643	H&E inferable	<tr><td>Pathology</td><td>—</td><td class="dont">H&E inferable / WSI pathology DM1</td></tr>	remove_or_rewrite	manual review required
project/manuscript_v8/p1_onepage_audit.html	721	predicts RAI response	<tr><td>1</td><td>Predicts RAI response?</td><td><span class="badge bd">VERY HIGH</span></td><td>"Hypothesis-generating compact readout for RAI-lineage failure biology; prospective trial required"</td	future_work_only	OK — future-work context
project/manuscript_v8/p1_onepage_audit.html	768	treatment selection	<tr><td>Selpercatinib reflex prospective (future-work only)</td><td>TCGA observation: DM1 captures 81.8% of RET-fusion+ — <i>hypothesis-generating only</i>; prospective reflex testing 효용 검증 필요</td><td	safe_negation	OK — negation context
project/manuscript_v8/p1_onepage_audit.html	792	treatment selection	<li>treatment selection tool</li>	remove_or_rewrite	manual review required
project/manuscript_v8/p1_onepage_audit.html	815	TROP2 vulnerability	<tr><td>—</td><td><s>"...identifies a tumor-population TROP2 vulnerability"</s></td><td><b>DEPRECATED</b> — TROP2 demoted</td></tr>	safe_negation	OK — negation context
project/manuscript_v8/p1_onepage_audit.html	815	tumor-population TROP2 vulnerability	<tr><td>—</td><td><s>"...identifies a tumor-population TROP2 vulnerability"</s></td><td><b>DEPRECATED</b> — TROP2 demoted</td></tr>	safe_negation	OK — negation context
project/reports/2026_05_04_paper1_final_strategy_after_external_validation.md	34	TROP2 vulnerability	**Deprecated old title:** “A transcriptional differentiation axis stratifies thyroid cancer orthogonally to canonical driver mutations and identifies a tumor-population TROP2 vulnerability”	remove_or_rewrite	manual review required
project/reports/2026_05_04_paper1_final_strategy_after_external_validation.md	34	tumor-population TROP2 vulnerability	**Deprecated old title:** “A transcriptional differentiation axis stratifies thyroid cancer orthogonally to canonical driver mutations and identifies a tumor-population TROP2 vulnerability”	remove_or_rewrite	manual review required
project/reports/2026_05_04_paper1_final_strategy_after_external_validation.md	82	TROP2-targetable	- **Not “TROP2-targetable” as a headline.**	needs_softening	verify wider context; soften if affirmative
project/reports/2026_05_04_paper1_final_strategy_after_external_validation.md	100	TROP2-targetable	- “TROP2-targetable” as headline	remove_or_rewrite	manual review required
project/reports/2026_05_04_paper1_final_strategy_after_external_validation.md	101	TROP2 vulnerability	- “TROP2 vulnerability” in the title or main claim	remove_or_rewrite	manual review required
project/reports/2026_05_04_paper1_final_strategy_after_external_validation.md	107	H&E-inferable	- “H&E-inferable”	remove_or_rewrite	manual review required
project/reports/2026_05_04_paper1_final_strategy_after_external_validation.md	108	all risks resolved	- “all risks resolved”	remove_or_rewrite	manual review required
project/reports/2026_05_04_paper1_final_strategy_after_external_validation.md	109	Cancer Cell-ready	- “Cancer Cell-ready” or venue-reach claims	remove_or_rewrite	manual review required
project/reports/2026_05_03_manuscript_v8_OUTLINE.md	22	TROP2 vulnerability	1. ★ **T1 (primary, recommended):** "A transcriptional differentiation axis stratifies thyroid cancer orthogonally to canonical driver mutations and identifies a tumor-population TROP2 vulnerability"	remove_or_rewrite	manual review required
project/reports/2026_05_03_manuscript_v8_OUTLINE.md	22	tumor-population TROP2 vulnerability	1. ★ **T1 (primary, recommended):** "A transcriptional differentiation axis stratifies thyroid cancer orthogonally to canonical driver mutations and identifies a tumor-population TROP2 vulnerability"	remove_or_rewrite	manual review required
project/reports/2026_05_03_manuscript_v8_OUTLINE.md	23	TROP2-targetable	2. **T2 (backup, BRAF/RAS-beyond hook):** "Beyond BRAF and RAS: a thyroid-lineage silencing axis defines a TROP2-targetable papillary thyroid cancer subtype"	remove_or_rewrite	manual review required
project/reports/2026_05_03_manuscript_v8_OUTLINE.md	24	TROP2 vulnerability	3. **T3 (mechanism-led):** "Lineage transcription-factor collapse defines a dedifferentiation subtype of papillary thyroid cancer with TROP2 vulnerability"	remove_or_rewrite	manual review required
project/reports/2026_05_03_manuscript_v8_OUTLINE.md	45	TROP2 vulnerability	**Conclusion.** A transcriptional differentiation axis, robust at the unrestricted transcriptome level and orthogonal to canonical driver mutations, stratifies papillary thyroid cancer along a thyroid	remove_or_rewrite	manual review required
project/reports/2026_05_03_manuscript_v8_OUTLINE.md	45	tumor-population TROP2 vulnerability	**Conclusion.** A transcriptional differentiation axis, robust at the unrestricted transcriptome level and orthogonal to canonical driver mutations, stratifies papillary thyroid cancer along a thyroid	remove_or_rewrite	manual review required
project/reports/2026_05_03_manuscript_v8_OUTLINE.md	230	TROP2 vulnerability	### R7 [PAPER 1 — NEW SCAFFOLD ROW] — Outcome and tumor-population TROP2 vulnerability	remove_or_rewrite	manual review required
project/reports/2026_05_03_manuscript_v8_OUTLINE.md	230	tumor-population TROP2 vulnerability	### R7 [PAPER 1 — NEW SCAFFOLD ROW] — Outcome and tumor-population TROP2 vulnerability	remove_or_rewrite	manual review required
project/reports/2026_05_03_manuscript_v8_OUTLINE.md	315	H&E-inferable	- H&E-DM1 / WSI-projection / `H&E-inferable` / `morphology-derived DM1` in any active-claim form	remove_or_rewrite	manual review required
