gene	modality	evidence_class	agent_count	representative_agent	rationale
PLEKHA6	ASO	preclinical	1		exploratory
PTPRE	SM	preclinical	5		broad PTP-family inhibitors (NSC-87877, suramin, ertiprotafib (discontinued)); no PTPRE-selective drug
PTPRE	mAb	hypothesis	0		receptor PTP with extracellular domain — mAb conceptually feasible
PTPRE	ADC	hypothesis	0		
PTPRE	bispecific	none	0		
PTPRE	siRNA	preclinical	2		PTPRE siRNA decreases proliferation in breast/lymphoma models
PTPRE	PROTAC	hypothesis	0		PTP PROTACs described (e.g., SHP2 degraders) — extensible
PTPRE	CAR_T	none	0		
PTPRE	radioligand	none	0		
PTPRE	mRNA	none	0		
PTPRE	ASO	preclinical	1		exploratory
B3GNT3	SM	preclinical	2		no selective B3GNT3 small molecule; pan-glycosyltransferase inhibitors non-selective
B3GNT3	mAb	none	0		Golgi-resident enzyme — inaccessible to mAbs
B3GNT3	ADC	none	0		
B3GNT3	bispecific	none	0		
B3GNT3	siRNA	preclinical	2		B3GNT3 knockdown disrupts PD-L1 glycosylation and sensitises to anti-PD-1 (Cell 2018)
B3GNT3	PROTAC	hypothesis	0		membrane-bound Golgi enzyme; PROTAC feasibility unclear
B3GNT3	CAR_T	none	0		
B3GNT3	radioligand	none	0		
B3GNT3	mRNA	none	0		
B3GNT3	ASO	preclinical	1		exploratory
