panel	asset	path	purpose
Fig. 2C	win/loss heatmap	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_winloss_heatmap.png	Pairwise win/loss heatmap across comparators.
Fig. 2D	family mean bars	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_algorithm_family_bars.png	Mean AUPRC by algorithm family.
Fig. 2E	comparator winbars	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_comparator_winbars.png	Pairwise comparator win fractions.
Fig. 2F	algorithm delta bars	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_algorithm_delta_bars.png	AUPRC delta bars relative to KG_GA_evolved.
Fig. 2G	precision profile	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_precision_profile.png	Top-k precision profile for top algorithms.
Fig. 2H	split generalization heatmap	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_split_generalization_heatmap.png	Cross-split generalization matrix for selected algorithms.
Fig. 3	open combo replay	project/results/p_neoprecis_vs_neoici_combo_reanalysis_2026_05_11/figures/Fig_combo_response_index.png	Sample-level response-like phenotype across open combo cohorts.
Fig. 3B	dataset comparison bars	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_dataset_comparison_bars.png	Dataset-level median comparison across replay cohorts.
Fig. 3A	proxy scatter	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_proxy_scatter.png	Same samples, two proxy families, easier to see by eye.
Fig. 4	proxy comparison	project/results/p_neoprecis_vs_neoici_combo_reanalysis_2026_05_11/proxy_compare/figures/Fig_combo_proxy_compare.png	NeoICI-style vs NeoPrecis-style proxy on the same samples.
Fig. 4A	proxy loo	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_proxy_loo.png	Leave-one-out robustness made human-readable.
Fig. 4B	proxy summary bars	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_proxy_summary_bars.png	Proxy family summary bars for quick reading.
Fig. 4C	proxy loo	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_proxy_loo.png	Leave-one-out robustness made human-readable.
Fig. 4D	sample rank profile	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_sample_rank_profile.png	Rank profile across the 9 replay samples.
Fig. 4E	sample rank heatmap	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_sample_rank_heatmap.png	Heatmap of response / NeoICI / NeoPrecis ranks.
Fig. 4F	proxy correlation heatmap	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_proxy_corr_heatmap.png	Correlation heatmap across replay state/proxy variables.
Fig. 4G	sample rank mismatch bars	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_sample_rank_mismatch_bars.png	Absolute rank mismatch bars vs response rank.
Fig. 4H	failure lanes	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_failure_lanes.png	Top-lane vs low-lane contrast for honest negative-control reading.
Fig. 5	CTMS1_followup4 case	project/results/p_neo_ici_nature_cancer_synthesis_2026_05_11/ctms1_followup4_case/figures/Fig_CTMS1_followup4_case_study.png	Best open combo lane explanation panel.
Fig. 5A	CTMS1 case profile	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_CTMS1_case_profile.png	CTMS1_followup4 versus cohort median, easy to read by eye.
Fig. 5B	attention heatmaps	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_attention_heatmaps.png	Five attention-style heatmaps from the replay signals.
Fig. 5C	replay sample heatmap	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_sample_heatmap.png	Replay sample heatmap across the 9 retained samples.
Fig. 5D	claim boundary	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_NeoICI_claim_boundary.png	Claim boundary diagram for allowed vs forbidden statements.
Fig. 5E	case delta strip	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_CTMS1_case_delta.png	CTMS1_followup4 minus cohort median deltas.
Fig. 5F	case radar	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_CTMS1_case_radar.png	Radar summary of CTMS1_followup4 versus cohort median.
Fig. 5G	case neighbor bars	project/results/p_neo_ici_nature_cancer_package_2026_05_11/figures/Fig_CTMS1_case_neighbor_bars.png	Nearest-neighbor style comparison for CTMS1_followup4.
