figure	image	title	role	data_used	how_to_read	paper_use	narration	boundary
PF10	PF10_marker_module_support_heatmap.png	Marker module cross-layer support matrix	CTC-EMT panel의 각 marker module이 어떤 public/published layer에서 얼마나 지지되는지 비교한다.	marker_module_cross_layer_support_matrix.tsv; TCGA, spatial, scRNA, proteomics, Yu 2024 support coding.	0은 현재 지지 없음, 1은 간접/context support, 2는 prior construction에 직접 유용한 support다. validation metric이 아니라 manuscript-planning score다.	Results 4-5 사이. marker panel이 임의적이지 않다는 보강 figure.	thyroid-lineage module은 가장 강한 public prior를 갖고, EMT module들은 plausible하지만 prospective serial blood validation이 필요하다.	support score를 assay validation score처럼 말하지 않는다.
PF11	PF11_manuscript_blueprint_board.png	Manuscript blueprint board	지금 논문으로 쓸 구조와 쓰면 안 되는 구조를 첫 페이지에서 고정한다.	manuscript_blueprint.tsv; submission_strategy_matrix.tsv; current evidence and claim-boundary outputs.	왼쪽은 논문 identity/title/thesis/boundary, 오른쪽은 Results 1-6 writing blocks다.	웹 첫 검토, 교수님 회의, writing control sheet.	지금 쓸 논문은 translational framework/prior paper이며, CTC transition discovery는 병원 serial data 이후 단계다.	blueprint는 manuscript planning tool이지 새 biological result가 아니다.
PF12	PF12_future_data_unlock_map.png	Future data unlock map	Yu/병원 데이터가 들어오면 어떤 future discovery figure와 claim이 가능해지는지 정의한다.	future_data_unlock_map.tsv; current missing-dataset logic; Samsung prospective study design.	왼쪽은 필요한 hospital/Yu data, 가운데는 통합 discovery dataset, 오른쪽은 그 데이터가 unlock하는 future figures다.	Discussion future work, professor data request, Samsung execution plan.	현재 논문은 public-data prior에서 멈추고, serial CTC-EMT transition과 residual-risk association은 이 future data가 들어온 뒤에야 열린다.	future unlock claim을 현재 Results로 끌어오지 않는다.
PF13	PF13_execution_board.png	Execution board	논문을 실제로 조립할 때 필요한 figure layout, reviewer risk, 72시간 실행 계획을 한 장에 묶는다.	main_supp_figure_layout.tsv; reviewer_risk_heatmap.tsv; next_72h_manuscript_execution.tsv.	왼쪽은 main figure 순서, 오른쪽 위는 risk severity, 오른쪽 아래는 다음 72시간 작업이다.	실행 회의, 교수님 보고, 다음 작업 분배.	이 보드는 논문 조립을 빠르게 하되 claim drift를 막는 작업판이다.	execution board는 manuscript management 도구이지 biological result가 아니다.
PF14	PF14_analysis_control_board.png	Analysis control board	논문 숫자, 통계분석계획, stage-gate kill criteria를 한 장에서 고정한다.	key_number_ledger.tsv; statistical_analysis_plan.tsv; stage_gate_kill_criteria.tsv.	왼쪽은 본문에 쓸 key numbers, 가운데는 현재/미래 분석계획, 오른쪽은 실패 시 downgrade/kill rule이다.	Methods planning, reviewer defense, final fact-check.	이 보드는 숫자 drift와 current/future claim 혼선을 막기 위한 분석 통제판이다.	future prospective analysis rows는 현재 Results가 아니라 planned validation이다.
F03	F03_tcga_braf_state_split.png	BRAF-mutant PTC is not one state	driver mutation 하나로 biological state를 설명할 수 없다는 핵심 public-data 근거.	TCGA-THCA BRAF-mutant subset; tcga_braf_only_label_distribution.tsv.	BRAF-mutant tumors가 여러 vulnerability/tissue-state label로 분산된다. largest label이 약 33.2%라 나머지 66.8%는 다른 state다.	Results 2: mutation alone is insufficient.	수술 후 혈액 신호를 mutation만으로 해석하면 state biology를 놓칠 수 있다.	BRAF split은 CTC transition이나 recurrence를 증명하지 않는다.
F05	F05_spatial_tissue_state_organization.png	Spatial tissue states are organized	tissue-state가 무작위 transcript noise가 아니라 공간적으로 조직화된 상태임을 보조한다.	GSE250521 spatial transcriptomics; spatial_coherence_statistics.tsv; 16 slides, 57,144 spots.	same-niche coherence z-score가 16/16 slides에서 2를 넘는다. tissue-state label이 주변 spot과 함께 모이는 경향을 뜻한다.	Results 3: tissue context supports marker/ROI logic.	공간 조직화는 CTC 후보 신호가 어떤 tissue context에서 나올 수 있는지 묻는 근거다.	이 그림은 CTC origin proof가 아니다.
F06	F06_scrna_marker_context.png	scRNA marker context	CTC-EMT panel이 임의의 gene list가 아니라 cell-state context를 가진다는 근거.	scrna_module_celltype_attribution.tsv.	각 module이 어느 cell type/context에서 상대적으로 강한지 본다. marker 선택의 biological plausibility를 설명한다.	Results 4: marker modules have cell context.	CTC panel은 epithelial/mesenchymal/thyroid-lineage/survival axis를 동시에 읽도록 구성해야 한다.	single-cell tissue context는 circulating CTC validation이 아니다.
F07	F07_proteomics_dediff_direction.png	Proteomics dedifferentiation direction	RNA 기반 prior가 protein 방향성과 완전히 동떨어진 것이 아님을 보조한다.	bulk_proteomics_kthyro_module_contrasts.tsv; bulk_proteomics_kthyro_dediff_trends.tsv.	dedifferentiation 방향에서 RAI/thyroid-lineage protein loss와 myeloid/TGFB/stress gain을 확인한다.	Results 4 supplement or orthogonal support.	protein proxy는 tissue-state prior의 방향성을 보강하지만, 혈액 CTC를 직접 읽은 것은 아니다.	bulk proteomics를 spatial proteomics나 CTC proteomics처럼 말하지 않는다.
F08	F08_ctc_emt_ngs_prior_panel.png	CTC-EMT-NGS prior panel	실제 제안서/논문에서 사용할 panel logic을 압축한다.	marker prior table, public tissue-state support, thyroid cancer driver logic.	E, E/M, M, thyroid identity, survival/stress, genetic anchor가 별도 module로 정의된다.	Results 5 and Samsung Aim 1-2 bridge.	핵심은 CTC count가 아니라 state와 genotype을 같이 읽는 것이다.	panel은 research-grade prior이며 clinical assay lock이 아니다.
F09	F09_publishability_decision.png	Publishability decision	지금 가능한 논문과 불가능한 논문을 최종 판정한다.	publishability_decision_table.tsv; no-Yu feasibility report.	YES_NOW는 framework/prior-map paper, NO_WITHOUT_YU는 transition discovery/residual-risk prediction paper다.	Internal strategy, professor-facing decision memo.	우리는 지금 논문을 낼 수 있지만, 논문 이름을 정확히 붙여야 한다.	strategy figure이며 scientific result figure로 과장하지 않는다.
