evidence_id	dataset	cohort_definition	n_total	n_event	n_control	molecular_measure	endpoint	endpoint_timing	comparison	effect_measure	effect_estimate	ci_low	ci_high	p_value	q_value	model	covariates	unit_of_analysis	independence_issue	missingness	power_or_mde	source_raw_file	source_script	source_output	reproduced	claim_supported	claim_not_supported	risk_level	notes
BR-01	TCGA-THCA	235 RAI-treated (mCi) TCGA-THCA patients with panel score; 167 with an evaluable best response (best-across-courses index, first-pass primary)	167	24	143	8-gene panel z-score	non-CR vs CR, treatment_best_response (best across courses)	best response across all recorded RAI courses	PRIMARY: panel z, non-CR vs CR (RAI-treated)	Cohen's d	-0.03	-0.505	0.459	0.7305		Mann-Whitney U / bootstrap CI (5,000 draws, seed 20260806)	none	patient	none	68/235 RAI-treated panel-scored patients lack an evaluable response	see POW-TCGA-BR-01	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_main_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/tcga_rai_best_response_brief_2026_08_06.md	exact	A genuine null, not merely non-significant: identical to IC-04.	Panel is not associated with, and must not be described as predicting, initial RAI response.	low	Identical row to IC-04 (same index rule); kept as separate evidence_id because it is the row the original brief and manuscript would cite directly.
BR-02	TCGA-THCA	RAI-only (mCi courses, no recorded external-beam Gy/cGy) subset of the panel-scored, response-evaluable cohort	165	23	142	8-gene panel z-score	non-CR vs CR, treatment_best_response	best response across all recorded RAI-only courses	sensitivity: RAI only, no external beam	Cohen's d	-0.08	-0.5615	0.4287	0.5361		Mann-Whitney U / bootstrap CI	none	patient	none			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_main_2026_08_06.tsv	exact	Removing the 6 patients who also received external beam does not change the null.		low	
BR-03	TCGA-THCA	167 RAI-treated, response-evaluable, panel-scored patients, split by DM1/DM2 lineage-state call	167	24	143	DM1/DM2 categorical lineage-state call (derived from panel score)	non-CR vs CR	best response across courses	DM1 vs DM2 x non-CR (Fisher exact); 2x2 = [[98,15],[45,9]]	odds ratio	1.3067			0.6384		Fisher exact test	none	patient	none			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_main_2026_08_06.tsv	exact	Categorical DM1/DM2 call also shows no association with initial RAI response.		low	No CI reported in source table for this Fisher OR; left blank rather than invented.
BR-ADJ-01	TCGA-THCA	167 RAI-treated, response-evaluable, panel-scored TCGA-THCA patients (n_used=167)	167	24	143	8-gene panel z-score	non-CR vs CR, treatment_best_response	best response across courses	adjusted logistic, term = 8-gene panel z	odds ratio	0.8493	0.3407	2.117	0.726		ordinary maximum-likelihood logistic regression, 6 covariates jointly (24 non-CR events / 6 covariates = 4 EPV — below conventional EPV>=10 threshold; NOT re-run with Firth in this dataset)	RAI_8 (panel z), stage_high, braf, AGE, purity, rai_dose_mci	patient	none	167/235; patients without stage/BRAF/purity data further excluded (n_used=167)		/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_adjusted_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/tcga_rai_best_response_brief_2026_08_06.md	exact	Panel z remains null after adjustment; no covariate reaches P<0.05 (closest is stage, P=0.10).		moderate	EPV (~4) is low for a 6-term model with 24 events; unlike the structural-outcome endpoints this model was NOT re-run with Firth penalisation as part of the 2026-08-06 audit (audit03 covered only the two rare-event structural endpoints). Treat these ORs, especially wide-interval ones (e.g. purity 0.14 [0.002-13.2]), as provisional pending the same rare-event correction applied elsewhere.
BR-ADJ-02	TCGA-THCA	167 RAI-treated, response-evaluable, panel-scored TCGA-THCA patients (n_used=167)	167	24	143	stage III/IV	non-CR vs CR, treatment_best_response	best response across courses	adjusted logistic, term = stage III/IV	odds ratio	2.7784	0.8092	9.5397	0.1045		ordinary maximum-likelihood logistic regression, 6 covariates jointly (24 non-CR events / 6 covariates = 4 EPV — below conventional EPV>=10 threshold; NOT re-run with Firth in this dataset)	RAI_8 (panel z), stage_high, braf, AGE, purity, rai_dose_mci	patient	none	167/235; patients without stage/BRAF/purity data further excluded (n_used=167)		/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_adjusted_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/tcga_rai_best_response_brief_2026_08_06.md	exact	Panel z remains null after adjustment; no covariate reaches P<0.05 (closest is stage, P=0.10).		low	EPV (~4) is low for a 6-term model with 24 events; unlike the structural-outcome endpoints this model was NOT re-run with Firth penalisation as part of the 2026-08-06 audit (audit03 covered only the two rare-event structural endpoints). Treat these ORs, especially wide-interval ones (e.g. purity 0.14 [0.002-13.2]), as provisional pending the same rare-event correction applied elsewhere.
BR-ADJ-03	TCGA-THCA	167 RAI-treated, response-evaluable, panel-scored TCGA-THCA patients (n_used=167)	167	24	143	BRAF V600E	non-CR vs CR, treatment_best_response	best response across courses	adjusted logistic, term = BRAF V600E	odds ratio	0.8679	0.3046	2.4725	0.7908		ordinary maximum-likelihood logistic regression, 6 covariates jointly (24 non-CR events / 6 covariates = 4 EPV — below conventional EPV>=10 threshold; NOT re-run with Firth in this dataset)	RAI_8 (panel z), stage_high, braf, AGE, purity, rai_dose_mci	patient	none	167/235; patients without stage/BRAF/purity data further excluded (n_used=167)		/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_adjusted_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/tcga_rai_best_response_brief_2026_08_06.md	exact	Panel z remains null after adjustment; no covariate reaches P<0.05 (closest is stage, P=0.10).		low	EPV (~4) is low for a 6-term model with 24 events; unlike the structural-outcome endpoints this model was NOT re-run with Firth penalisation as part of the 2026-08-06 audit (audit03 covered only the two rare-event structural endpoints). Treat these ORs, especially wide-interval ones (e.g. purity 0.14 [0.002-13.2]), as provisional pending the same rare-event correction applied elsewhere.
BR-ADJ-04	TCGA-THCA	167 RAI-treated, response-evaluable, panel-scored TCGA-THCA patients (n_used=167)	167	24	143	age (years, continuous)	non-CR vs CR, treatment_best_response	best response across courses	adjusted logistic, term = age (years, continuous)	odds ratio	0.9748	0.9351	1.0162	0.2287		ordinary maximum-likelihood logistic regression, 6 covariates jointly (24 non-CR events / 6 covariates = 4 EPV — below conventional EPV>=10 threshold; NOT re-run with Firth in this dataset)	RAI_8 (panel z), stage_high, braf, AGE, purity, rai_dose_mci	patient	none	167/235; patients without stage/BRAF/purity data further excluded (n_used=167)		/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_adjusted_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/tcga_rai_best_response_brief_2026_08_06.md	exact	Panel z remains null after adjustment; no covariate reaches P<0.05 (closest is stage, P=0.10).		low	EPV (~4) is low for a 6-term model with 24 events; unlike the structural-outcome endpoints this model was NOT re-run with Firth penalisation as part of the 2026-08-06 audit (audit03 covered only the two rare-event structural endpoints). Treat these ORs, especially wide-interval ones (e.g. purity 0.14 [0.002-13.2]), as provisional pending the same rare-event correction applied elsewhere.
BR-ADJ-05	TCGA-THCA	167 RAI-treated, response-evaluable, panel-scored TCGA-THCA patients (n_used=167)	167	24	143	tumour purity (1 - leukocyte fraction)	non-CR vs CR, treatment_best_response	best response across courses	adjusted logistic, term = tumour purity (1 - leukocyte fraction)	odds ratio	0.143	0.0015	13.2442	0.3999		ordinary maximum-likelihood logistic regression, 6 covariates jointly (24 non-CR events / 6 covariates = 4 EPV — below conventional EPV>=10 threshold; NOT re-run with Firth in this dataset)	RAI_8 (panel z), stage_high, braf, AGE, purity, rai_dose_mci	patient	none	167/235; patients without stage/BRAF/purity data further excluded (n_used=167)		/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_adjusted_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/tcga_rai_best_response_brief_2026_08_06.md	exact	Panel z remains null after adjustment; no covariate reaches P<0.05 (closest is stage, P=0.10).		low	EPV (~4) is low for a 6-term model with 24 events; unlike the structural-outcome endpoints this model was NOT re-run with Firth penalisation as part of the 2026-08-06 audit (audit03 covered only the two rare-event structural endpoints). Treat these ORs, especially wide-interval ones (e.g. purity 0.14 [0.002-13.2]), as provisional pending the same rare-event correction applied elsewhere.
BR-ADJ-06	TCGA-THCA	167 RAI-treated, response-evaluable, panel-scored TCGA-THCA patients (n_used=167)	167	24	143	cumulative RAI activity (mCi, continuous)	non-CR vs CR, treatment_best_response	best response across courses	adjusted logistic, term = cumulative RAI activity (mCi, continuous)	odds ratio	1.0044	0.9979	1.011	0.1827		ordinary maximum-likelihood logistic regression, 6 covariates jointly (24 non-CR events / 6 covariates = 4 EPV — below conventional EPV>=10 threshold; NOT re-run with Firth in this dataset)	RAI_8 (panel z), stage_high, braf, AGE, purity, rai_dose_mci	patient	none	167/235; patients without stage/BRAF/purity data further excluded (n_used=167)		/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_adjusted_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/tcga_rai_best_response_brief_2026_08_06.md	exact	Panel z remains null after adjustment; no covariate reaches P<0.05 (closest is stage, P=0.10).		low	EPV (~4) is low for a 6-term model with 24 events; unlike the structural-outcome endpoints this model was NOT re-run with Firth penalisation as part of the 2026-08-06 audit (audit03 covered only the two rare-event structural endpoints). Treat these ORs, especially wide-interval ones (e.g. purity 0.14 [0.002-13.2]), as provisional pending the same rare-event correction applied elsewhere.
DOSE-01	TCGA-THCA	235 RAI-treated (mCi) TCGA-THCA patients with an 8-gene panel score	235			8-gene panel z-score	cumulative radioiodine activity (mCi)	cumulative, all recorded courses	panel z vs cumulative RAI activity (dose is prescribed by stage/risk: confounded by indication)	Spearman rho	-0.0787			0.2296		Spearman rank correlation	none (unadjusted; dose itself is an indication-confounded exposure, not a covariate here)	patient	none			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_dose_2026_08_06.tsv	exact	No association between panel score and prescribed cumulative activity.	Cannot be used to argue panel score drives dosing decisions either way.	low	Dose is confounded by indication (higher stage/risk -> more RAI), so this is not a clean test of a dose-response relationship.
PFI-01	TCGA-THCA	235 RAI-treated (mCi) TCGA-THCA patients with panel score, progression-free interval follow-up	235	36		8-gene panel z-score	progression-free interval (PFI)	from RAI treatment to PFI event/censor	PFI ~ panel z (RAI-treated only)	hazard ratio	0.761	0.436	1.3281	0.3363		Cox proportional hazards (lifelines), continuous panel z per 1 SD unit	none (univariable)	patient	none			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv; /data/thca/repo_data/raw/TCGA_pancan/survival.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_pfi_2026_08_06.tsv	exact	No association between panel z and PFI among RAI-treated patients (univariable Cox).		low	Proportional-hazards assumption not reported as tested in the source table/brief; flag as unverified if PFI HR is used quantitatively in the manuscript.
PFI-02	TCGA-THCA	235 RAI-treated TCGA-THCA patients with panel score	235	5			overall survival (OS)	from RAI treatment	OS events available (not modelled)							none — descriptive count only		patient				/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_data/raw/TCGA_pancan/survival.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_pfi_2026_08_06.tsv	exact		With 5 OS events among 235 RAI-treated patients, OS cannot be used as an endpoint in this cohort; this is why PFI/structural endpoints are used instead.	low	No statistical test performed on this row by design; retained for traceability of why OS was not used.
POW-TCGA-BR-01	TCGA-THCA	167 RAI-treated, response-evaluable, panel-scored TCGA-THCA patients (best-response index)	167	24	143	8-gene panel z-score	non-CR vs CR power/design calculation	best response across courses	power to detect the observed effect; minimum detectable effect (MDE) at 80% power	Cohen's d (observed) / MDE	-0.03					two-sample t-test power calculation (24 vs 143, alpha=0.05, two-sided)		patient			observed d=-0.03; power at observed d=0.052; d detectable at 80% power=0.625	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_best_response_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_response_power_2026_08_06.tsv	exact	With 24 vs 143, this cohort could detect d>=0.625 at 80% power; the observed d=-0.03 is far below that.		moderate	AUDIT NOTE (00_EXECUTIVE_DECISION.md Q1): the first-pass framing 'detects d>=0.63 at 80% power, so clinically meaningful effects are excluded' is WITHDRAWN as an equivalence claim (no equivalence margin was pre-specified; P>0.05/CI exclusion of a bound is not proof of no effect). Report only: power to detect the observed effect, and the minimum detectable effect at 80% power.
