claim_id,file,section,line,original_text,claim_type,evidence_required,evidence_available,support_level,problem,recommended_action,replacement_text,priority
NCv2-011,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Introduction,44,"Most patients with differentiated thyroid cancer survive for many years, yet a clinically important subset receives repeated high-dose radioiodine without a reliable means of determining, before treatment, whether their tumours retain the molecular machinery required for iodine handling.",descriptive,background/motivation,field-standard background,supported,None.,No action needed.,n/a,P3 minor
NCv2-012,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Introduction,44,"For these patients, the absence of a pretreatment response biomarker can lead to additional exposure despite limited expected benefit, with cumulative risks that include salivary-gland injury, bone-marrow toxicity and secondary malignancy. A molecular state that identifies loss of thyroid-lineage and iodine-handling capacity could therefore help distinguish patients for whom repeated radioiodine is biologically plausible from those in whom further empiric treatment may add harm without commensurate benefit.",descriptive,"background/motivation, aspirational framing of the axis's future potential role","n/a (forward-looking motivation, correctly hedged with 'could')",not testable,None; explicitly hedged as aspirational ('could... help distinguish').,No action needed.,n/a,P3 minor
NCv2-013,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Introduction,46,"These frameworks have clarified tumour evolution and risk stratification, but they do not directly quantify whether a tumour retains the thyroid-cell functions required for radioiodine uptake, organification and hormone synthesis. This distinction is clinically important because radioiodine response is constrained by cellular differentiation state, not by driver identity alone.",mechanistic,general biological rationale that RAI response depends on differentiation state rather than driver identity alone,"supported by broader literature (Chakravarty 2011 etc.); consistent with GT5 (driver class alone does not consistently discriminate refractoriness, pooled OR 0.75, P=0.53)",supported,"None; this general mechanistic claim ('not by driver identity alone') is actually reinforced, not contradicted, by GT5.","No action needed; optionally cite the new cross-cohort driver-class result (pooled OR 0.75, P=0.53, I2=63%) here as direct evidence for 'not by driver identity alone.'",n/a,P3 minor
NCv2-014,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Introduction,50,The premise is that a coordinated decrease across this circuit reports a tumour state in which radioiodine uptake and processing are biologically compromised.,mechanistic,"biological premise, not an outcome claim",panel gene selection rationale (Yoo 2016 RAI-uptake biology),supported,"None; framed as premise/hypothesis, not as a demonstrated result.",No action needed.,n/a,P3 minor
NCv2-015,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Introduction,50,"In this study we test whether the axis (i) exists as a robust cross-platform biology, (ii) associates with survival outcome, and (iii) modifies clinical trajectory in a driver-specific way that supports treatment-selection biomarker status rather than pure prognostic risk stratification.",predictive,a study aim statement claiming the axis was tested for 'treatment-selection biomarker status',DM1xBRAF PFI interaction only; no RAI-treatment x score interaction test in main draft,unsupported,"States the study explicitly aims to test 'treatment-selection biomarker status,' but the only interaction tested is genotype (BRAF), not treatment (RAI). Per project CLAUDE.md: 'A genotype interaction on PFI is not automatically a treatment-predictive biomarker.' The new RAI-treatment interaction test (GT4) is not estimable, so this aim is not actually achievable with current data.","Rewrite the aim as testing whether the axis modifies clinical trajectory in a driver-specific way, and separately, as future work, whether it predicts differential radioiodine benefit (treatment-selection), clearly distinguishing the two.","In this study we test whether the axis (i) exists as a robust cross-platform biology, (ii) associates with survival outcome, and (iii) modifies progression-free interval in a BRAF-genotype-dependent way; whether it functions as a radioiodine treatment-selection biomarker is a separate, not-yet-testable question that requires a treatment x score interaction.",P1 major
NCv2-016,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Introduction,52,"In this study, we defined and validated an eight-gene thyroid-lineage state axis across transcriptomic, epigenomic, proteomic and single-cell datasets.",descriptive,cross-platform reproducibility,"multiple cohorts (TCGA, Lee 2024, GPL570, Mun 2025, single-cell)",supported,"Uses 'validated', which CLAIM_LANGUAGE_MATRIX flags as requiring independence/endpoint/threshold justification rather than free use; borderline but not primarily an RAI claim.",Consider 'reproduced' per CLAIM_LANGUAGE_MATRIX preferred wording; not RAI-specific so lower priority in this registry.,"...we defined and reproduced an eight-gene thyroid-lineage state axis across transcriptomic, epigenomic, proteomic and single-cell datasets.",P3 minor
NCv2-017,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Introduction,52,"We then examined their association with kinase fusions, promoter methylation, external thyroid-cancer cohorts and post-radioiodine refractory tumours.",descriptive,study scope statement,GSE151179 post-RAI cohort comparison,supported,None.,No action needed.,n/a,P3 minor
NCv2-018,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Introduction,52,"Finally, we assessed whether this lineage state stratified clinical outcomes within molecularly defined subgroups and explored a three-marker expression proxy as a potential path toward tissue-based validation.",descriptive,study scope statement,PFI stratification by BRAF subgroup,supported,None.,No action needed.,n/a,P3 minor
NCv2-019,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Introduction,52,"Together, these analyses establish a reproducible lineage-state framework and generate a testable hypothesis for avoiding repeated radioiodine in tumours with diminished iodine-handling biology.",treatment-effect,framework supports a testable hypothesis for avoiding repeated RAI in DM1-low tumours,GSE151179 anchor + BRAF-PFI interaction only; no RAI-response or RAI-treatment-interaction evidence,partially supported,"Framed as 'testable hypothesis' (appropriately hedged) rather than an established treatment recommendation, so this is acceptable, but should be read alongside GT2/GT4 showing the RAI-specific predictive claim underneath the hypothesis is currently null/non-estimable.","Keep hedged 'testable hypothesis' framing; ensure Limitations section (see NCv2-036/037) explicitly states that direct RAI-response association was tested and not found, so the hypothesis is clearly flagged as unconfirmed rather than merely 'untested.'",n/a (hedging already adequate; pair with corrected Limitations text),P2 moderate
NCv2-020,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results heading,58,"We first assembled a thyroid-relevant candidate space designed to separate lineage-state information from canonical driver identity. The 67-gene TIERA67 candidate pool included thyroid differentiation, iodine-handling, MAPK-output, driver-anchor, aggressive-disease, dedifferentiation and immune-context categories.",methodological,panel curation description,TIERA67 pool documentation,supported,None.,No action needed.,n/a,P3 minor
NCv2-021,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,62,"Head-to-head comparison of the eight-gene DM1 score against six alternative scores (Landa 5-overlap, RAI-machinery 5, TF-only 3, BRAF binary, age > 55, stage III/IV) showed that only Landa-5 and RAI-machinery-5 produced comparable DM1 classification performance, while all clinical variables failed both classification and progression-free interval stratification tasks [EDITORIAL DECISION: Fig.7/Fig.8 content...].",methodological,head-to-head score comparison for DM1 classification and PFI stratification,internal head-to-head analysis,supported,"None identified against RAI ground truth (this concerns DM1 classification / PFI, not RAI response).",No action needed.,n/a,P3 minor
NCv2-022,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,68,"Canonical driver frameworks leave a clinically important BRAF- and RAS-negative compartment incompletely stratified. Applying the eight-gene axis to this dark-matter space recovered 131 of 180 BRAF/TERT-negative TCGA tumours into a defined DM1 or DM2 state, corresponding to 73% molecular recovery of the previously unresolved compartment (Fig. 2a).",descriptive,clustering recovery statistic within driver-negative compartment,TCGA dark-matter recovery analysis,supported,Does not claim driver-negative tumours are intrinsically more RAI-refractory (consistent with GT5); simply claims DM1/DM2 sub-stratification recovers structure within that compartment.,No action needed.,n/a,P3 minor
NCv2-023,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,74,### A predictive interaction between DM1 and BRAF V600E status,predictive,section header implying a treatment-predictive finding,DM1 x BRAF genotype interaction on PFI only,unsupported,"Section header labels a driver-genotype interaction as 'predictive,' which in a companion-diagnostic / treatment-selection sense implies differential treatment benefit. No radioiodine-treatment x score interaction was tested in this section; the analogous test performed in today's audit is not estimable (GT4). Per project CLAUDE.md, a genotype interaction on PFI is not automatically a treatment-predictive biomarker.","Rename section to reflect a prognostic, genotype-stratified finding rather than a predictive/treatment-selection one.",### A BRAF V600E-genotype-dependent prognostic association of DM1 with progression-free interval,P0 fatal
NCv2-024,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,76,"To determine whether the DM1 axis functions as a driver-agnostic prognostic biomarker or as a predictive biomarker whose effect depends on driver context, we formally tested interaction between DM1 score and canonical driver status in Cox proportional-hazards models on TCGA-THCA progression-free interval (n = 472; 49 events; ref. Liu 2018 pan-cancer clinical resource).",predictive,clarification of whether DM1xdriver-genotype interaction constitutes a 'predictive biomarker',DM1xBRAF genotype interaction Cox model,unsupported,"Uses 'predictive biomarker' for a genotype interaction rather than a treatment interaction; predictive biomarker status in the clinical-trial sense requires a treatment x biomarker interaction, which was not tested here and, when tested for RAI specifically (today's audit), is not estimable (GT4, P=0.077).",Replace 'predictive biomarker' with 'genotype-context-dependent prognostic biomarker' and reserve 'predictive' for an explicit treatment x score interaction once available.,"To determine whether the DM1 axis functions as a driver-agnostic prognostic biomarker or as a genotype-context-dependent prognostic biomarker whose effect depends on driver status, we formally tested interaction between DM1 score and canonical driver status...",P0 fatal
NCv2-025,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,76,"Standardized DM1 score interacted with BRAF V600E status (interaction p = 0.022, HR_interaction = 0.47), whereas the DM1 x RAS interaction was not significant (p = 0.41) [EDITORIAL DECISION: interaction panel currently in dm1_story_web/public/figures/fig_deep2_prognostic_predictive.png; promote to Supplementary Figure or rebuild as main figure before submission].",prognostic,DM1 x BRAF/RAS genotype interaction Cox model results,TCGA-THCA n=472 Cox interaction model,supported,"Numeric result itself is not in conflict with the RAI ground truth (different interaction term: genotype, not treatment); flagged only for downstream framing (see NCv2-023/024/026).",Retain numbers; ensure downstream text does not relabel this as a 'predictive'/treatment-selection finding.,n/a,P2 moderate
NCv2-026,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,78,"Stratified analysis clarified the interaction structure. Within the BRAF V600E+ subset (n = 287, 33 events), DM1-low tumours had shorter progression-free interval than DM1-high tumours (continuous score HR per +1 SD = 0.66, 95% CI 0.48-0.92, p = 0.013; higher score = more differentiated...). In the BRAF V600E-wild-type subset, DM1 showed no significant association (HR = 1.19, 95% CI 0.71-1.99, p = 0.52), and in the smaller RAS-mutant subset, the effect was flat (HR = 1.04, 95% CI 0.50-2.17, p = 0.92)... This pattern is consistent with a treatment-selection biomarker whose informative range is confined to a specific molecular subset, rather than with a driver-independent prognostic score.",treatment-effect,claim that BRAF-genotype-restricted PFI association is 'consistent with a treatment-selection biomarker',"Only a genotype (BRAF) interaction was tested; a radioiodine-treatment x score interaction is not estimable (GT4, P=0.077, 2 events among non-RAI patients)",unsupported,"A subgroup-restricted prognostic effect (present in BRAF+, absent in BRAF- and RAS+) is not evidence of a treatment-selection biomarker; treatment-selection specifically requires evidence that treatment benefit (here, radioiodine benefit) differs by score, which was not tested here. Per today's audit the actual RAI-treatment interaction is not estimable.","Replace the closing sentence: describe the finding as a genotype-restricted prognostic association, and explicitly state that treatment-selection (radioiodine-benefit) status has not been demonstrated and requires an estimable treatment x score interaction.","This pattern is consistent with a BRAF-genotype-restricted prognostic association rather than a driver-independent prognostic score; it does not by itself establish treatment-selection (i.e., differential radioiodine-benefit) status, which was not testable in the available RAI-treatment-annotated data.",P0 fatal
NCv2-027,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,80,"Directionally, the BRAF+ finding aligns with a growing body of clinical evidence that BRAF V600E-mutant papillary thyroid cancers include a subset in which lineage-programme silencing predicts radioiodine failure and in which BRAF or MEK inhibition can restore radioiodine uptake in selected patients (Chakravarty et al. 2011; Ho et al. 2013; Rothenberg et al. 2015). The DM1 axis offers a pre-treatment classifier for this subset, quantified from routine transcriptomic or methylation data at the time of surgical pathology.",predictive,"claim that DM1 axis is a pre-treatment classifier that predicts radioiodine failure, by analogy to cited literature",cited external literature describes MAPK-driven redifferentiation in a subset of patients; no direct test in this study that DM1 predicts RAI failure,unsupported,"""Lineage-programme silencing predicts radioiodine failure"" is attributed to prior literature, but the sentence then asserts 'The DM1 axis offers a pre-treatment classifier for this subset' — extending the cited literature's claim to this study's own axis without a direct RAI-response test. Per GT2, the panel shows no detectable association with initial RAI response (d=-0.03 to -0.00, P=0.73-0.91).","Separate the literature citation from the study's own claim; state explicitly that this study has not directly tested DM1 against RAI response/failure, only against PFI within BRAF+ tumours.","Directionally, the BRAF+ finding is consistent with prior clinical literature describing MAPK-driven redifferentiation in a BRAF V600E-mutant subset (Chakravarty et al. 2011; Ho et al. 2013; Rothenberg et al. 2015). Whether the DM1 axis itself predicts radioiodine failure has not been directly tested in this study; in a direct comparison against initial recorded radioiodine response in TCGA-THCA, the panel showed no detectable association.",P0 fatal
NCv2-028,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,82,"We interpret the interaction result as a hypothesis-generating observation with clinical translation potential rather than as an established treatment-selection rule, because it derives from a single cohort with 33 events in the informative subset. The findings therefore motivate a prespecified prospective replication (see Prospective simulation section below).",predictive,hedge disclaiming treatment-selection-rule status,n/a (self-aware hedge),partially supported,"This hedge is good practice but still frames the eventual goal as validating a 'treatment-selection rule.' Given GT4 (RAI-treatment interaction not estimable) the more accurate framing is that a treatment-selection claim requires evidence not yet collected, not merely more events in the same design.","Retain hedge; add that a genuine treatment-selection claim additionally requires a radioiodine-treatment x score interaction, distinct from the BRAF-genotype interaction reported here.","...The findings therefore motivate a prespecified prospective study that directly tests a radioiodine-treatment x score interaction, which is a separate requirement from the genotype interaction reported here.",P2 moderate
NCv2-029,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,94,"Direct DM1 x BRAF interaction testing was not feasible in the external cohorts because BRAF genotype and progression-free interval annotations were not simultaneously available in any of the reproducible expression cohorts. The A2 interaction result therefore remains, at present, a single-cohort observation whose confirmatory replication depends on a prospective clinical study.",external-validation,acknowledgement that DM1xBRAF interaction is unreplicated externally,n/a (limitation statement),supported,None; appropriately hedged.,No action needed.,n/a,P3 minor
NCv2-030,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,96,### A routine IHC 3-plex reproduces the BRAF+ progression-free stratification,descriptive,section header describing IHC-3plex proxy reproducing PFI stratification,existing IHC-3plex proxy analysis,supported,"None identified against RAI ground truth (PFI stratification, not RAI response).",No action needed.,n/a,P3 minor
NCv2-031,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,108,"To evaluate whether the DM1 axis is an assay-specific artifact of any single measurement modality, we compared per-gene effect sizes across five orthogonal modalities: TCGA HM450 promoter beta methylation, TCGA RNA-seq expression, the Landa 2016 poorly differentiated / anaplastic transcriptomic dataset, the Mun 2025 proteogenomic proteome, and the GSE151179 post-radioiodine expression cohort.",external-validation,cross-modality convergence analysis including GSE151179 post-RAI cohort,existing 5-modality convergence analysis,supported,None.,No action needed.,n/a,P3 minor
NCv2-032,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results / translational pathway,120,### A translational pathway for radioiodine harm avoidance,descriptive,section header,n/a,not testable,None (header only).,No action needed.,n/a,P3 minor
NCv2-033,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,124,"In the harm-avoidance framing, an iodine-handling-low tumour state identifies patients in whom repeated high-dose radioiodine may be biologically less plausible and in whom additional molecular work-up may be valuable. The axis aligns with external radioiodine-refractory biology: in GSE151179, post-RAI refractory tumours shifted toward a DM1-like thyroid-differentiation state (Cohen's d ~ -1.0; Mann-Whitney p ~ 10^-4), indicating that the DM1 programme resembles the transcriptional state observed after clinical RAI failure (Fig. 6d). Because this comparison is retrospective and public-cohort based, we interpret it as a biological anchor rather than as a validated response-prediction model.",external-validation,GSE151179 post-RAI transcriptional-alignment anchor,GSE151179 pre/post-RAI comparison (existing),supported,"Appropriately hedged already ('biological anchor rather than ... validated response-prediction model'), consistent with project CLAUDE.md rule. No conflict with ground truth.",No action needed; this is the correct model for how RAI-adjacent claims should be framed elsewhere in the manuscript.,n/a,P3 minor
NCv2-034,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Results,126,"In the treatment-selection framing, the BRAF+-restricted DM1 progression-free interval interaction (§3, above) suggests that within BRAF V600E+ patients the DM1 subset is a candidate group for reflex fusion testing followed by prospective evaluation of MAPK-inhibitor-based radioiodine re-differentiation strategies.",treatment-effect,labels the BRAF-genotype PFI interaction as a 'treatment-selection framing',genotype interaction only; RAI-treatment interaction not estimable (GT4),unsupported,Explicitly names this a 'treatment-selection framing' while the only supporting evidence is the genotype (not treatment) interaction on PFI. This directly parallels the P0 issues at NCv2-023/024/026/010.,Rename framing to 'genotype-stratified prioritization' and remove 'treatment-selection' label until a radioiodine-treatment interaction is demonstrated.,"In a genotype-stratified prioritization framing, the BRAF+-restricted DM1 progression-free interval association (§3, above) suggests that within BRAF V600E+ patients the DM1 subset is a candidate group for reflex fusion testing and, pending a demonstrated radioiodine-treatment interaction, prospective evaluation of MAPK-inhibitor-based re-differentiation strategies.",P1 major
NCv2-035,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Discussion / Clinical implications,138,The clinical value of the eight-gene axis lies in its ability to report thyroid-lineage function using a compact and clinically translatable assay surface... The DM1/DM2 framework adds a functional layer: whether the tumour retains the lineage programme required for radioiodine uptake and organification.,mechanistic,framing of clinical value as reporting iodine-handling machinery status,"panel gene selection rationale, cross-modality convergence",supported,"None; framed as mechanistic/functional readout, not RAI-response prediction.",No action needed.,n/a,P3 minor
NCv2-036,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Discussion / Clinical implications,140,"This distinction matters because differentiated thyroid cancer is often long-lived. For many patients, the harm of ineffective repeated high-dose radioiodine is not only treatment delay but cumulative toxicity. A lineage-state assay that identifies iodine-handling-low tumours, particularly within the BRAF V600E+ subset, could support earlier reflex molecular testing, more deliberate discussion of radioiodine benefit, and prioritization of prospective re-differentiation therapy where appropriate.",treatment-effect,"aspirational future-clinical-utility claim, hedged with 'could'",n/a (forward-looking),not testable,Adequately hedged with 'could support'; not an assertion of current predictive validity. Lower priority than the unhedged 'treatment-selection biomarker' claims elsewhere.,Keep hedge; ensure it is not read alongside unhedged claims (NCv2-010/023/024/026) as if already demonstrated.,n/a,P2 moderate
NCv2-037,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Discussion / Clinical implications,142,"The A2 predictive interaction result strengthens the near-term clinical position of the axis beyond a pure prognostic risk-stratification tool. Because the DM1 effect on progression-free interval is confined to BRAF V600E+ patients in the current analysis (interaction p = 0.022), the axis functions as a candidate treatment-selection biomarker for a defined driver subset.",treatment-effect,explicit unhedged claim that the axis 'functions as a candidate treatment-selection biomarker',"genotype (BRAF) interaction on PFI only; RAI-treatment x score interaction not estimable (GT4, P=0.077); initial RAI response not associated with score (GT2)",unsupported,"This is the single strongest overclaim in the manuscript: it directly asserts treatment-selection-biomarker status from a genotype interaction, contradicting the project's own CLAUDE.md rule ('A genotype interaction on PFI is not automatically a treatment-predictive biomarker') and now directly contradicted by the new audit finding that the actual radioiodine-treatment x score interaction cannot be estimated and that the panel is not associated with initial RAI response.","Delete or substantially rewrite: state that the BRAF-restricted PFI interaction is a genotype-context-dependent prognostic finding, and that treatment-selection status is an unproven hypothesis pending a radioiodine-treatment interaction test.","Because the DM1 effect on progression-free interval is confined to BRAF V600E+ patients in the current analysis (interaction p = 0.022), the axis is a candidate genotype-context-dependent prognostic marker for a defined driver subset. A radioiodine treatment-selection role has not been demonstrated: a direct test of the DM1-score x radioiodine-treatment interaction was not estimable in the available data, and the score showed no detectable association with initial recorded radioiodine response.",P0 fatal
