figure_id	panel	question	dataset	analysis_population	visual_type	primary_or_supplement	source_script	source_data	main_message	required_caveat	recommended_action
figure_gse138042_rair_panel_2026_08_06	c	Which of the 8 individual panel genes drives the primary (clean, 13-vs-10) GSE138042 contrast?	GSE138042	23 carcinomas with documented RAI outcome, 8 genes	horizontal bar plot of per-gene Cohen's d	supplement	rai-response-genomics-atlas/scripts/gse138042_rair_panel_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse138042_rair_panel_main_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/gse138042_rair_adjusted_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/gse138042_rair_per_gene_2026_08_06.tsv	TG (d=-1.18, P=0.014) and TSHR (d=-1.10, P=0.012) are nominally significant but do not survive BH correction (q=0.057, 0.096); SLC5A5/NIS is not significant here (q=0.36) despite being significant on the broad, confounded contrast (q=0.006).	Reporting only the broad-contrast NIS result would overstate mechanistic specificity -- this per-gene panel on the clean contrast is the corrective figure.	Pair with panel a in any manuscript use; do not show panel c figures computed on the broad contrast without the clean-contrast values alongside.
figure_siraj2022_driver_rai_2026_08_06	a	Does driver mutation class (BRAF V600E / RAS hotspot / BRAF-RAS-negative) predict radioiodine refractoriness in an independent advanced-disease cohort?	Siraj 2022 (KFSHRC)	158 PTC (66 refractory / 92 avid)	grouped bar chart, % refractory by driver class	supplement (Discussion-level external evidence)	rai-response-genomics-atlas/scripts/siraj2022_driver_vs_rai_refractory_2026_08_06.py	rai-response-genomics-atlas/results/tables/siraj2022_driver_vs_rai_2026_08_06.tsv	No significant difference in refractory fraction across driver classes (chi-square P=0.67); the negative premise the manuscript's differentiation-axis argument rests on.	This tests driver class, NOT the eight-gene panel (Siraj 2022 has no transcriptome); must not be described as testing the panel.	Cite as an independent replication of 'driver class alone does not identify refractory disease', paired with Zhang 2026 (figure figure_zhang2026_driver_rai panel a).
figure_siraj2022_driver_rai_2026_08_06	b	Do the refractory and avid groups differ as clinically expected on treatment intensity and thyroglobulin, confirming the refractoriness label is real?	Siraj 2022 (KFSHRC)	158 PTC (cumulative dose); 74 PTC (6-month thyroglobulin)	box plot with overlaid patient-level scatter	supplement (internal validity check)	rai-response-genomics-atlas/scripts/siraj2022_driver_vs_rai_refractory_2026_08_06.py	rai-response-genomics-atlas/results/tables/siraj2022_driver_vs_rai_2026_08_06.tsv	Refractory patients received ~50% more cumulative radioiodine (P=4.7e-10) and retained ~7x higher post-treatment thyroglobulin (P=6.1e-5) -- the label behaves as expected.	Descriptive validity check, not a test of the manuscript's molecular hypothesis.	Useful supporting evidence that the Siraj refractory label is trustworthy; keep as a validity-check panel, not a headline result.
figure_siraj2022_driver_rai_2026_08_06	c	Is progression-free survival associated with refractoriness status?	Siraj 2022 (KFSHRC)	158 PTC	Kaplan-Meier-style / Cox summary panel, explicitly titled as non-independent in the source script	excluded from manuscript use — circular	rai-response-genomics-atlas/scripts/siraj2022_driver_vs_rai_refractory_2026_08_06.py	rai-response-genomics-atlas/results/tables/siraj2022_driver_vs_rai_2026_08_06.tsv	HR=116 (95% CI 16-844) for refractoriness predicting PFS, but this is circular: the refractoriness definition itself includes structural progression among its 7 criteria.	DO NOT present as an independent outcome association; the source script's own panel title states 'NOT an independent test'.	Do not use this panel in the manuscript, or, if retained for completeness, keep the circularity warning verbatim in the caption.
figure_zhang2026_driver_rai_2026_08_06	a	Does driver mutation class predict radioiodine refractoriness in advanced differentiated thyroid cancer?	Zhang 2026 (Fudan, Cell Rep Med)	113 advanced DTC (58 refractory / 55 avid)	grouped bar chart, % refractory by driver class	supplement (Discussion-level external evidence)	rai-response-genomics-atlas/scripts/zhang2026_extract_and_test_2026_08_06.py	rai-response-genomics-atlas/results/tables/zhang2026_driver_vs_rai_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/zhang2026_patient_table_2026_08_06.tsv	Driver class does not significantly discriminate refractoriness (P=0.109), replicating Siraj 2022 in a second independent cohort.	BRAF V600E is numerically MORE refractory here (61%), the opposite numerical direction to the manuscript's BRAF/RAS-negative framing (though not significant).	Pair with figure_siraj2022_driver_rai panel a as the two-cohort driver-null replication.
figure_zhang2026_driver_rai_2026_08_06	b	Does an expression-derived (whole-proteome consensus) molecular subtype discriminate refractoriness more strongly than driver class, in the same 113 patients and the same endpoint?	Zhang 2026 (Fudan, Cell Rep Med)	113 advanced DTC, CC1(43)/CC2(40)/CC3(30)	grouped bar chart, % refractory by proteomic consensus subtype	supplement (strongest external supporting evidence in the set)	rai-response-genomics-atlas/scripts/zhang2026_extract_and_test_2026_08_06.py	rai-response-genomics-atlas/results/tables/zhang2026_driver_vs_rai_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/zhang2026_patient_table_2026_08_06.tsv	CC1 21% -> CC2 57% -> CC3 87% refractory (P=1.4e-7); CC1 vs CC3 alone OR=24.6 (95% CI 6.8-88.6, P=2.0e-8, independently re-verified from the raw patient table).	Proteomic CC subtypes are whole-proteome consensus clusters, NOT the eight-gene transcriptomic score -- this is conceptual/orthogonal support, not validation. 'Cannot be explained by confounding' is a withdrawn framing (disease burden, metastatic site, stage, prior treatment, cellularity and proteomic batch are all unadjusted in this within-cohort comparison).	Caption must include the required wording from audit/05_EXTERNAL_COHORT_AUDIT.md section 3 verbatim and avoid the listed prohibited phrasings ('directly validates the eight-gene panel', 'demonstrates superiority of our panel').
figure_zhang2026_driver_rai_2026_08_06	c	Does histological subtype discriminate refractoriness?	Zhang 2026 (Fudan, Cell Rep Med)	113 advanced DTC, FTC(16)/cPTC(79)/fvPTC(18)	grouped bar chart, % refractory by histology	supplement	rai-response-genomics-atlas/scripts/zhang2026_extract_and_test_2026_08_06.py	rai-response-genomics-atlas/results/tables/zhang2026_driver_vs_rai_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/zhang2026_patient_table_2026_08_06.tsv	No significant association (P=0.248).	Small FTC/fvPTC cell counts limit power for this 3-class comparison.	Use only as a tertiary negative-control axis alongside panels a and b.
figure_pooled_driver_vs_rai_2026_08_06	a	Across three independent cohorts with different refractoriness definitions, does refractory fraction vary by driver class, and how consistent is that pattern across cohorts?	Siraj 2022 + Zhang 2026 + Boucai 2023 (pooled)	294 patients total (158 + 113 + 23)	grouped bar chart, % refractory by driver class, grouped by cohort (3 cohorts side by side)	supplement	rai-response-genomics-atlas/scripts/pooled_driver_vs_rai_2026_08_06.py	rai-response-genomics-atlas/results/tables/pooled_driver_vs_rai_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/pooled_driver_patient_level_2026_08_06.tsv	Each cohort individually null-to-borderline (Siraj P=0.67, Zhang P=0.11, Boucai P=0.034 -- the only nominal significance, and the smallest cohort).	Endpoint definitions differ across cohorts (7-criterion refractoriness / scan-based avidity / RECIST exceptional response) -- stated explicitly in the source script docstring, not hidden.	Caption should name the three different endpoint definitions rather than implying one harmonised outcome.
figure_pooled_driver_vs_rai_2026_08_06	b	What is the pooled, random-effects estimate of the BRAF/RAS-negative-vs-rest odds ratio for refractoriness across the three cohorts?	Siraj 2022 + Zhang 2026 + Boucai 2023 (pooled)	294 patients total	forest plot (log-scale OR with 95% CI per cohort, pooled diamond)	supplement	rai-response-genomics-atlas/scripts/pooled_driver_vs_rai_2026_08_06.py	rai-response-genomics-atlas/results/tables/pooled_driver_vs_rai_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/pooled_driver_patient_level_2026_08_06.tsv	Pooled OR=0.75 (95% CI 0.30-1.87), P=0.53, I^2=63% -- a null pooled estimate with substantial heterogeneity on only 3 studies.	REQUIRED WORDING (audit05 section 2): 'driver class did not consistently discriminate radioiodine-refractory disease, with substantial between-study heterogeneity'. PROHIBITED: 'the driver axis is dead', 'all three cohorts were consistent', any implication of a head-to-head comparison against the eight-gene score (none exists). Boucai (n=23, the smallest study) is the only nominally significant cohort and points in the OPPOSITE direction.	Use the required wording verbatim; do not overstate the pooled null as disproof of driver-axis relevance.
figure_meraiode_redifferentiation_2026_08_06	(single panel, no letter)	Does a partial (5 of 8 gene) differentiation score track clinical response to a redifferentiation trial (dabrafenib+trametinib+I-131)?	MERAIODE (E-MTAB-12837 + E-MTAB-12900)	21 patients, clinical-history responder (9) vs non-responder (12)	box plot with overlaid patient-level scatter	excluded from main text — one-sentence limitation only, per source brief verdict	rai-response-genomics-atlas/scripts/meraiode_redifferentiation_panel_2026_08_06.py	rai-response-genomics-atlas/results/tables/meraiode_response_test_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/meraiode_panel_per_sample_2026_08_06.tsv	Directionally correct (responders score higher) but null (d=0.34, P=0.80); detects only d~1.3 at 80% power with 9 vs 12.	This is a 5-GENE score, not the 8-gene panel: the trial's HTG EdgeSeq assay does not measure SLC5A5/NIS, TG or DIO1 (all zero counts across 21 libraries) -- must not be presented as a validation attempt of the manuscript's score.	Do not put in the manuscript as a validation figure. Use only, if at all, to support one Limitations-section sentence that no public redifferentiation-trial transcriptome currently permits testing the full eight-gene score against restored iodine uptake.
figure_synthesis_effects_2026_08_06	(single panel, no letter)	Across every dataset and endpoint tested on 2026-08-06, which associations between the 8-gene panel and a radioiodine-related endpoint are real, null, or confounded?	TCGA-THCA + GSE151179 + GSE138042 + MERAIODE (cross-dataset synthesis)	8 endpoint rows spanning n=9 to n=235 (see evidence ledger IC/BR/STR/UP/G138/MER rows)	forest-style dot-and-whisker plot, one row per endpoint, color-coded by verdict (significant / null / confounded comparator)	supplement (internal synthesis / planning aid, not yet assigned a manuscript figure slot)	rai-response-genomics-atlas/scripts/synthesis_figures_2026_08_06.py	values hardcoded in the EFFECTS list inside synthesis_figures_2026_08_06.py, manually transcribed from the individual result tables (NOT auto-read at plot time) — see script docstring	Only post-treatment structural events (TCGA new tumour event, persistent disease) move; the initial response to radioiodine does not, across every cohort tested.	EVIDENCE-LOCK FLAG: the script docstring claims 'all numbers are read from the result tables ... not retyped', but the EFFECTS list is a Python literal hardcoded in the script, not programmatically loaded from the TSVs -- this is a manual-transcription step that should be spot-checked against the underlying tables (IC-04/BR-01, STR-D-01, STR-D-02, STR-D-03, UP-01, G138-01, G138-03, MER-03 in 02_EVIDENCE_LEDGER.tsv) before publication. A first check against those rows found the transcribed d/CI/P values consistent.	Before manuscript use, regenerate this figure by reading directly from the saved result tables rather than the hardcoded EFFECTS list, or add an automated consistency test comparing the two.
figure_synthesis_power_2026_08_06	a	What true effect size would each available cohort size actually be powered to detect?	cross-dataset synthesis (design/power planning)	hypothetical n per group: 10, 16, 25, 57, 113	line plot, power curves vs true effect size, for 5 illustrative sample sizes	supplement (internal planning aid)	rai-response-genomics-atlas/scripts/synthesis_figures_2026_08_06.py	analytic power-curve function (power_curve()) in synthesis_figures_2026_08_06.py; not derived from a saved data table (a closed-form t-distribution calculation)	Every public cohort tested is too small for the effect sizes actually observed (d~0.37-0.42); only much larger n approaches 80% power at those effect sizes.	Illustrative/generic power curves (n=10/16/25/57/113 per group), not cohort-specific post-hoc power for every dataset in the ledger.	Useful for a Methods/Discussion design-target argument; not a substitute for the dataset-specific power rows in the evidence ledger (POW-TCGA-BR-01, POW-GSE151179-01).
figure_synthesis_power_2026_08_06	b	How many patients would a study need, at minimum, to reliably detect the effect sizes seen in the smaller cohorts?	cross-dataset synthesis (design/power planning)	GSE138042 (13v10), GSE151179 (16v16), TCGA (24v143), Zhang 2026 (58v55), 'Required' (113v113)	horizontal bar chart, minimum detectable effect at 80% power per cohort	supplement (internal planning aid)	rai-response-genomics-atlas/scripts/synthesis_figures_2026_08_06.py	detectable=[1.24,1.02,0.63,0.53,0.37] hardcoded in fig_power(), sourced from the individual power-calculation tables (gse138042 report brief, gse151179_uptake_power_2026_08_06.tsv, tcga_rai_response_power_2026_08_06.tsv)	Design target: approximately 226 patients (113 per arm) needed to reach 80% power at the smallest plausible true effect (d~0.37) seen in adequately-sized cohorts.	The GSE138042 detectable-effect value (d>=1.24) is transcribed from report prose (gse138042_rair_panel_brief_2026_08_06.md), not from a saved power table for that dataset (no gse138042_*power*.tsv file exists) -- flagged as source unavailable in the evidence ledger notation.	Cite the 226-patient design target with the GSE151179 power table as the primary source (POW-GSE151179-01) since that is the only fully table-backed calculation of the group.
figure_synthesis_landscape_2026_08_06	(single panel, no letter)	Across the whole public radioiodine-labelled data landscape identified during this audit, which cohorts are large enough AND directly enough labelled to test the panel, and which are gated vs open?	11 cohorts: TCGA-THCA, GSE151179, GSE138042, GSE299988, E-MTAB-12837/900, Siraj 2022, Zhang 2026, Boucai 2023, Mu 2024 (HRA004166), EGAS00001001788, Rodriguez-Lloveras 2025	n ranges from 10 (GSE299988) to 235 (TCGA-THCA); see script LANDSCAPE list	scatter plot, cohort size (log x-axis) vs label directness (categorical y-axis), marker shape/color encoding open/supp-open/gated access status	supplement (internal planning / data-availability aid)	rai-response-genomics-atlas/scripts/synthesis_figures_2026_08_06.py	hardcoded LANDSCAPE list in synthesis_figures_2026_08_06.py, cross-referenced against audit/16_SCREENED_EXCLUSIONS.tsv for the gated/excluded cohorts	Nothing sits in the upper-right (large AND directly labelled) -- that empty corner is the design gap the field needs filled.	Rodriguez-Lloveras 2025 (n=127) is plotted as a landscape entry despite audit/16_SCREENED_EXCLUSIONS.tsv (row EXC-01) confirming, after full-text review, that it has NO patient-level radioiodine treatment/uptake/response/refractoriness variable and no public molecular-data accession -- verify this point is labelled as excluded/inaccessible in the figure, not implied as a usable future cohort.	Cross-check every 'gated' marker against audit/16_SCREENED_EXCLUSIONS.tsv before using this figure in a grant or manuscript data-availability section; Rodriguez-Lloveras 2025 in particular should probably be removed or explicitly marked EXCLUDED rather than plotted as gated-but-obtainable.
