cluster_1,,Epithelial cell,Epithelial cell,Epithelial cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell
VEGFA,CSF1,0.004,,0.046,0.486,,0.404,0.998,,0.998
CSF2,FLT1,,,,,,,,,
IFNG,CD74,,,,,,,,,
CCL1,CCR7,,,,,,,,,
IL6,IL17A,,,,,,,,,
IL10,PTGS2,,,,,,,,,
CXCL1,CXCR6,,,,,,,,,
VWF,THBS1,0.092,,,0.836,,,0.804,,
XCL2,CCR7,,,,,,,,,
XCL1,CCR4,,,,,,,,,
CSF2,PLAU,,,,,,,,,
STC1,TNF,,,,,,,,,
CSF2,CD1A,,,,,,,,,
CSF2,MMP9,,,,,,,,,
IFNG,PTGS2,,,,,,,,,
CXCL8,CCR6,,,,,,,,,
CTSG,THBD,,,,,,,,,
CCL2,TNF,,,,,,,,,
IL13,CXCL12,,,,,,,,,
IL10,VEGFA,,,,,,,,,
PPBP,CCR4,,,,,,,,,
CXCL2,CXCR6,,,,,,,,,
CXCL13,CCR6,,,,,,,,,
IL2,CXCL12,,,,,,,,,
IL6,VEGFA,,,,,,,,,
CCL8,CCR4,,,,,,,,,
CD40LG,C3,,,,,,,,,
CXCL14,CCR7,,,,,,,,,
CXCL11,CCR6,,,,,,,,,
CXCL11,CXCR6,,,,,,,,,
CXCL12,CCR6,,,,,,,,,
CXCL9,CCR4,,,,,,,,,
IL2,IDO1,,,,,,,,,
CCL1,CXCR6,,,,,,,,,
CCL11,PIK3C2G,,,,,,,,,
IL1B,PLAUR,,,,,,,,,
CCL7,CCR7,,,,,,,,,
XCL1,CCR7,,,,,,,,,
CSF3,MMP9,,,,,,,,,
IL1B,CSF1,,,,,,,,,
CSF2,CDH11,,,,,,,,,
ADIPOQ,TNF,,,,,,,,,
TNF,CDK6,,,,,,,,,
CCL4,CCR7,,,,,,,,,
CXCL1,CCR7,,,,,,,,,
CCL13,CCR6,,,,,,,,,
CXCL8,CCR7,,,,,,,,,
IFNG,PIGR,,,,,,,,,
CALCA,CDH11,,,,,,,,,
CCL15,CCR6,,,,,,,,,
CSF3,TNF,,,,,,,,,
CXCL2,CCR7,,,,,,,,,
CXCL12,MMP13,,,,,,,,,
CXCL12,CXCR6,,,,,,,,,
PPBP,CXCR6,,,,,,,,,
IL22,MMP1,,,,,,,,,
CD40LG,PTGS2,,,,,,,,,
CCL5,MMP9,,,,,,,,,
RELN,ITGB6,,,,,,,,,
IFNG,CTSL,,,,,,,,,
CCL17,CCR6,,,,,,,,,
IFNG,CTSK,,,,,,,,,
CCL13,CXCR6,,,,,,,,,
IFNG,CD40LG,,,,,,,,,
TNF,PTGS2,,,,,,,,,
IL1A,ITGA6,,,,,,,,,
IL6,NOTCH3,,,,,,,,,
IL1B,PTGS2,,,,,,,,,
IFNG,TPO,,,,,,,,,
IGF1,HMOX1,0.498,,,0.032,,,,,
SAA1,MMP9,,,,,,,,,
CXCL11,CCR7,,,,,,,,,
CCL4,CXCR6,,,,,,,,,
CCL2,CXCR6,,,,,,,,,
COMP,ITGA6,0.912,,0.17,0.008,,0.004,,,
CXCL3,CXCR6,,,,,,,,,
CCL20,CXCR6,,,,,,,,,
CCL18,CCR6,,,,,,,,,
IFNG,KLRD1,,,,,,,,,
FLT4,FLT1,0.058,0.108,,,,,,,
CCL3,CXCR6,,,,,,,,,
CXCL2,CCR6,,,,,,,,,
CSF2,CEACAM5,,,,,,,,,
FGF7,SFTPA1,,,,,,,,,
VEGFA,PDGFRB,0.0,0.13,,0.482,0.312,,0.998,0.914,
CCL1,CCR4,,,,,,,,,
IL1B,MMP9,,,,,,,,,
CCL3L1,CCR6,,,,,,,,,
CCL14,CCR6,,,,,,,,,
CCL2,VEGFA,0.016,0.486,0.998,0.018,0.228,0.864,0.108,0.42,0.996
XCL1,CXCR6,,,,,,,,,
XCL2,CCR4,,,,,,,,,
IL17A,TNF,,,,,,,,,
CCL18,CXCR6,,,,,,,,,
TPSAB1,MMP2,,,,,,,,,
CCL13,CCR7,,,,,,,,,
IFNG,LOX,,,,,,,,,
IL17A,MMP9,,,,,,,,,
CXCL10,CXCR6,,,,,,,,,
CCL20,CCR4,,,,,,,,,
CCL7,CXCR6,,,,,,,,,
CD40LG,VEGFA,,,,,,,,,
CSF3,BIRC3,,,,,,,,,
XCL2,CXCR6,,,,,,,,,
IL20,PTGS2,,,,,,,,,
IL6,MMP9,,,,,,,,,
CCL8,CXCR6,,,,,,,,,
CCL21,CCR4,,,,,,,,,
IL12B,CXCL9,,,,,,,,,
NPPA,TNF,,,,,,,,,
IL1B,MMP3,,,,,,,,,
CCL7,CCR4,,,,,,,,,
CCL14,CCR7,,,,,,,,,
PPBP,CCR6,,,,,,,,,
TNF,CXCL10,,,,,,,,,
IL6,HMOX1,,,,,,,,,
CCL22,CCR6,,,,,,,,,
CCL2,F3,0.81,0.094,,0.018,0.016,,0.118,0.056,
MDK,VEGFA,0.0,0.48,0.998,0.442,0.496,0.988,,,
IL2,FCER2,,,,,,,,,
LEP,FLT1,,,,,,,,,
CXCL14,CCR6,,,,,,,,,
SPARC,MMP14,0.004,,,0.412,,,0.998,,
IL10,CD14,,,,,,,,,
IL1A,CSF1,,,,,,,,,
IL2,HSP90AA1,,,,,,,,,
CCL5,CCR6,,,,,,,,,
CCL2,CCR6,,,,,,,,,
CSF2,MMP14,,,,,,,,,
PI3,TNF,,,,,,,,,
OSM,PTGS2,,,,,,,,,
FGF7,PDGFRA,0.328,,0.194,,,,,,
CCL13,CCR4,,,,,,,,,
COL6A3,ITGA6,0.472,,0.168,0.114,,0.102,,,
CCL3,CCR7,,,,,,,,,
COMP,ITGB6,0.984,,0.094,0.008,,0.0,,,
IGFBP2,CD24,0.0,0.992,1.0,,,,0.838,0.996,1.0
IL6,PTGS2,,,,,,,,,
IFNG,CXCL9,,,,,,,,,
CSF3,CXCL12,,,,,,,,,
IGF1,FLT4,0.29,,,0.032,,,,,
IL1B,PTGDS,,,,,,,,,
FGFR4,MMP9,,,,,,,,,
CXCL9,CCR7,,,,,,,,,
IGF1,PDGFRB,0.318,0.138,,0.034,0.028,,,,
S100B,BIRC3,,,,,,,,,
VEGFA,PDGFRA,0.004,,0.188,0.484,,0.432,0.998,,0.998
IL17A,CXCL12,,,,,,,,,
COL6A3,ITGB6,0.472,,0.092,0.116,,0.09,,,
OLR1,MMP3,,,,,,,,,
CD160,KLRD1,,,,,,,,,
CCL22,CXCR6,,,,,,,,,
CXCL1,CCR4,,,,,,,,,
LAMA3,ITGB6,,,,,,,0.016,,0.01
IL2,TNFRSF9,,,,,,,,,
TNF,INSR,,,,,,,,,
IL6,TSHR,,,,,,,,,
CXCL6,CXCR6,,,,,,,,,
LEP,F3,,,,,,,,,
CCL1,CCR6,,,,,,,,,
CCL2,CCR7,,,,,,,,,
CCL26,CCR4,,,,,,,,,
CXCL9,CCR6,,,,,,,,,
CCL8,CCR7,,,,,,,,,
CD40LG,F3,,,,,,,,,
CXCL10,CCR7,,,,,,,,,
FGF7,PDGFRB,0.102,0.138,,,,,,,
CCL17,CXCR6,,,,,,,,,
CXCL12,MMP9,,,,,,,,,
CXCL3,CCR4,,,,,,,,,
IGF1,FLT1,0.188,0.11,,0.034,0.024,,,,
IL13,MUC5AC,,,,,,,,,
CXCL14,CCR4,,,,,,,,,
OSM,F3,,,,,,,,,
CCL4,CCR6,,,,,,,,,
HLA-G,KLRC2,,,,,,,,,
CSF2,TNF,,,,,,,,,
IGF1,FGFR2,0.102,,,0.032,,,,,
CCL3,CCR6,,,,,,,,,
IFNG,CCR6,,,,,,,,,
CXCL6,CCR7,,,,,,,,,
CCL4,CCR4,,,,,,,,,
CCL23,CCR6,,,,,,,,,
CCL14,CCR4,,,,,,,,,
OSM,ADAMTS4,,,,,,,,,
ADM,HMOX1,0.86,,,,,,0.034,,
CCL8,CCR6,,,,,,,,,
IL6,INSR,,,,,,,,,
CCL3L1,CCR7,,,,,,,,,
DKK1,LRP1,,,,,,,,,
IGF1,KDR,0.08,,,0.032,,,,,
CXCL6,CCR4,,,,,,,,,
CCL21,CXCL10,,,,,,,,,
CCL26,CCR6,,,,,,,,,
CCL7,CCR6,,,,,,,,,
IL10,CSF1,,,,,,,,,
THBS1,ITGB6,0.702,,0.092,,,,,,
PRSS1,PRSS2,,,,,,,,,
IL17F,CXCL10,,,,,,,,,
VEGFA,CDH5,0.002,,,0.48,,,0.998,,
THBS4,ITGB6,0.706,,0.092,,,,,,
TNF,MUC5AC,,,,,,,,,
CCL5,CXCR6,,,,,,,,,
CCL18,CCR7,,,,,,,,,
IL2,C3,,,,,,,,,
CSF2,CD1C,,,,,,,,,
IL1A,PLAU,,,,,,,,,
CXCL5,CCR6,,,,,,,,,
CCN1,IL17A,,,,,,,,,
CCL21,CCR6,,,,,,,,,
CXCL10,CCR6,,,,,,,,,
CSF2,CPE,,,,,,,,,
IL1B,LDLR,,,,,,,,,
SPP1,ITGA6,,,,,,,,,
CXCL2,CCR4,,,,,,,,,
VWF,ITGB6,0.198,,0.094,0.836,,0.754,0.804,,0.686
EDN1,MMP1,,,,,,,,,
VEGFA,VCAM1,,,,,,,,,
S100B,TNF,,,,,,,,,
IL13,PTGS2,,,,,,,,,
CCL26,CCR7,,,,,,,,,
CD40LG,VCAM1,,,,,,,,,
TNF,F3,,,,,,,,,
IL17A,PTGS2,,,,,,,,,
CXCL1,CCR6,,,,,,,,,
CXCL14,CXCR6,,,,,,,,,
IFNG,VCAM1,,,,,,,,,
TNF,PIGR,,,,,,,,,
CCL5,CXCL12,0.09,,0.632,,,,,,
IL10,DCN,,,,,,,,,
CXCL8,CXCR6,,,,,,,,,
EDN1,MCAM,,,,,,,,,
IL1B,VEGFA,,,,,,,,,
CSF3,PLAUR,,,,,,,,,
ADIPOQ,WIF1,,,,,,,,,
IL1B,MMP1,,,,,,,,,
CSF2,MMP1,,,,,,,,,
CCL15,CCR7,,,,,,,,,
CCL23,CCR4,,,,,,,,,
VEGFD,PDGFRB,,,,,,,,,
CSF2,FCER2,,,,,,,,,
IL12B,TNF,,,,,,,,,
IGFBP3,MMP14,0.392,,,,,,0.164,,
THBS2,ITGB6,0.716,,0.092,,,,,,
CCL23,CCR7,,,,,,,,,
SPP1,PLAU,,,,,,,,,
VEGFA,FLT4,0.0,,,0.48,,,0.998,,
LAMA4,ITGB6,0.478,,0.092,,,,,,
CCL11,CXCR6,,,,,,,,,
CCL19,CCR6,,,,,,,,,
IL1A,CXCL12,,,,,,,,,
TNF,MMP13,,,,,,,,,
PPBP,CCR7,,,,,,,,,
CXCL12,GZMB,,,,,,,,,
IGF1,PDGFRA,0.712,,0.198,0.036,,0.024,,,
IFNG,CSF1,,,,,,,,,
VEGFD,PDGFRA,,,,,,,,,
SST,F3,,,,,,,,,
IL12B,GZMB,,,,,,,,,
TNF,CHI3L1,,,,,,,,,
CCL5,CCR7,,,,,,,,,
IFNG,IDO1,,,,,,,,,
IL2,GZMB,,,,,,,,,
IGF1,VEGFA,0.0,0.484,0.998,0.032,0.23,0.874,,,
CCL11,CCR4,,,,,,,,,
CXCL13,CCR7,,,,,,,,,
FGF7,PLAU,,0.022,,,,,,,
CCL5,TNFRSF4,0.0,,,,,,,,
IL6,KDR,,,,,,,,,
IFNG,CXCL12,,,,,,,,,
DCN,VEGFA,0.09,0.486,0.998,0.016,0.054,0.234,0.666,0.586,0.994
IL1B,CXCL10,,,,,,,,,
XCL1,CCR6,,,,,,,,,
THBS4,ITGA6,0.644,,0.166,,,,,,
TNF,CDH11,,,,,,,,,
IL6,CCR7,,,,,,,,,
CXCL3,CCR7,,,,,,,,,
IFNG,CXCL10,,,,,,,,,
S100A8,MMP1,,,,,,,,,
FGF7,SFTPA2,,,,,,,,,
ADIPOQ,CXCL12,,,,,,,,,
SAA1,F3,,,,,,,,,
IL6,CXCL12,,,,,,,,,
CCL21,CXCR6,,,,,,,,,
CCL14,CXCR6,,,,,,,,,
CCL11,CCR7,,,,,,,,,
CXCL12,CCR7,,,,,,,,,
CCL17,CCR7,,,,,,,,,
CCL3L1,CXCR6,,,,,,,,,
CXCL6,CCR6,,,,,,,,,
IL1A,C3,,,,,,,,,
IL6,CSF1,,,,,,,,,
IL6,GZMB,,,,,,,,,
IL1A,MMP9,,,,,,,,,
SAA1,PTGS2,,,,,,,,,
FGFR4,PLAU,,,,,,,,,
TNF,PLAU,,,,,,,,,
CSF2,CSF1,,,,,,,,,
CXCL5,CCR4,,,,,,,,,
VWF,ITGA6,0.186,,0.166,0.836,,0.76,0.808,,0.686
CXCL8,CCR4,,,,,,,,,
IL2,PRF1,,,,,,,,,
RELN,ITGA6,,,,,,,,,
FGF7,VEGFA,0.0,0.48,0.998,,,,,,
CCL2,PTGS2,,,,,,,,,
NR0B2,TNF,,,,,,,,,
CXCL13,CCR4,,,,,,,,,
IL13,VEGFA,,,,,,,,,
S100A9,MMP1,,,,,,,,,
IL2,CES1,,,,,,,,,
CXCL3,CCR6,,,,,,,,,
CXCL11,CCR4,,,,,,,,,
TNF,MMP9,,,,,,,,,
CXCL9,CXCR6,,,,,,,,,
CXCL10,CCR4,,,,,,,,,
IL10,F3,,,,,,,,,
OSM,PLAT,,,,,,,,,
CCL23,KDR,,,,,,,,,
IFNG,HSP90AA1,,,,,,,,,
CCL19,CCR4,,,,,,,,,
XCL2,CCR6,,,,,,,,,
IL2,TNFRSF4,,,,,,,,,
CXCL5,CCR7,,,,,,,,,
SAA1,HMOX1,,,,,,,,,
IFNG,IL17A,,,,,,,,,
CCL20,CCR7,,,,,,,,,
CXCL5,CXCR6,,,,,,,,,
CCL15,CCR4,,,,,,,,,
CCL15,CXCR6,,,,,,,,,
CCL19,CXCR6,,,,,,,,,
IL6,DCN,,,,,,,,,
CXCL13,CXCR6,,,,,,,,,
IL2,TNFRSF18,,,,,,,,,
CCL18,CCR4,,,,,,,,,
ADIPOQ,F3,,,,,,,,,
CCL11,CCR6,,,,,,,,,
IFNG,MMP13,,,,,,,,,
CCL23,CXCR6,,,,,,,,,
CSF2,HDC,,,,,,,,,
TNF,VCAM1,,,,,,,,,
OSM,LDLR,,,,,,,,,
CSF3,MPL,,,,,,,,,
IL11,LIFR,,,,,,,,,
IL6,LIFR,,,,,,,,,
OSM,IL13RA2,,,,,,,,,
LEP,MPL,,,,,,,,,
IL11,IL13RA2,,,,,,,,,
IL6,IL13RA2,,,,,,,,,
IL13,LIFR,,,,,,,,,
GAS1,PTCH1,0.0,,,,,,,,
LEP,KDR,,,,,,,,,
GDF15,TTN,,,,,,,,,
S100A8,MDM2,,,,,,,,,
VEGFA,MDM2,0.002,,,0.48,,,0.998,,
SHH,MDM2,,,,,,,,,
CSF3,ACE,,,,,,,,,
NTS,GRIA1,,,,,,,,,
IFNG,GRIA1,,,,,,,,,
TNF,GRIA1,,,,,,,,,
VCAM1,CDH5,,,,,,,,,
TNF,CDH5,,,,,,,,,
IL1B,CDH5,,,,,,,,,
ANGPT2,CDH5,0.0,,,,,,,,
CXCL8,CDH5,,,,,,,,,
ADM,NOS1,,,,,,,,,
IGF1,NOS1,,,,,,,,,
