query_label	query_term	pmid	year	journal	title	abstract_snippet
E_thyroid_TROP2_ADC	(thyroid) AND (TROP2) AND (ADC OR antibody-drug conjugate)	41384307	2025	Analytical chemistry	Integrated Biomimetic Platform for Enhancing the Efficient Capture and Visual Identification of Circulating Tumor Cells.	The nondestructive capture and direct identification of circulating tumor cells (CTCs) have emerged as the critical technologies in modern oncology for oncology research, clinical diagnosis, and personalized therapy optimization. However, technical challenges still exist due to the extreme rarity and significant phenotypic heterogeneity. Herein, we present an innovative biomimetic detection platform engineered by integrating platelet membrane-camouflaged magnetic beads (PM-MBs) with rolling circ
E_thyroid_TROP2_ADC	(thyroid) AND (TROP2) AND (ADC OR antibody-drug conjugate)	39413161	2024	Science translational medicine	Intraoperative evaluation of tumor margins using a TROP2 near-infrared imaging probe to enable human breast-conserving surgery.	Intraoperative surgical margin assessment remains a challenge during breast-conserving surgery. Here, we report a combined strategy of immuno-positron emission tomography (PET) for preoperative detection of breast cancer and guided assessment of margins in breast-conserving surgery through second near-infrared (NIR-II) fluorescence imaging of trophoblastic cell surface antigen 2 (TROP2). We demonstrated that the intensity of PET signals in the tumors was nearly five times higher than in normal b
E_thyroid_TROP2_ADC	(thyroid) AND (TROP2) AND (ADC OR antibody-drug conjugate)	37740463	2023	Clinical and translational medicine	Uncovering therapeutic opportunities in the clinical development of antibody-drug conjugates.	Antibody-drug conjugates (ADCs) are a family of therapeutic agents that have demonstrated clinical activity in several indications. In this article, we performed a deep analysis of their clinical landscape matched with public genomic human datasets from tumour antigen targets (TATs), to identify empty areas for clinical development. We observed that TATs used in haematological malignancies were more specific than the ones developed in solid cancers. Those included CD19, CD22, CD30, CD33 and CD79
E_thyroid_TROP2_ADC	(thyroid) AND (TROP2) AND (ADC OR antibody-drug conjugate)	35477165	2022	Pathobiology : journal of immunopathology, molecular and cellular biology	Trophoblast Cell Surface Antigen 2 Expression in Human Tumors: A Tissue Microarray Study on 18,563 Tumors.	Trophoblast cell surface antigen 2 (TROP2) is the target of sacituzumab govitecan, an antibody-drug conjugate approved for treatment of triple negative breast cancer and urothelial carcinoma. A tissue microarray containing 18,563 samples from 150 different tumor types and subtypes as well as 608 samples of 76 different normal tissue types was analyzed by TROP2 immunohistochemistry. TROP2 positivity was found in 109 tumor categories, including squamous cell carcinomas of various origins, urotheli
E_thyroid_TROP2_ADC	(thyroid) AND (TROP2) AND (ADC OR antibody-drug conjugate)	35158847	2022	Cancers	TROP-2, Nectin-4, GPNMB, and B7-H3 Are Potentially Therapeutic Targets for Anaplastic Thyroid Carcinoma.	Anaplastic thyroid carcinoma (ATC) is a highly aggressive thyroid tumor with a poor prognosis. However, there are limited choices for ATC treatment. Recently, the effectiveness of antibody-drug conjugates has been demonstrated in various carcinomas. Whether the targets of antibody-drug conjugates are expressed in anaplastic thyroid carcinoma remains unclear. Fifty-four patients with ATC were enrolled in this study. Tissue microarrays were constructed using the archives of formalin-fixed paraffin
E_thyroid_TROP2_ADC	(thyroid) AND (TROP2) AND (ADC OR antibody-drug conjugate)	33289434	2021	International journal of surgical pathology	TROP-2, 5hmC, and IDH1 Expression in Anaplastic Thyroid Carcinoma.	Anaplastic thyroid carcinoma (ATC), a highly aggressive malignancy, has no effective treatment to date. Trophoblast cell-surface antigen 2 (TROP-2), a transmembrane glycoprotein, has been suggested to be a promising novel target for sacituzumab govitecan, an antibody-drug conjugate. 5-Hydroxymethylcytosine (5hmC) has a role in tumor suppression and promoting modification. Additionally, isocitrate dehydrogenase 1 (IDH1) mutations are strongly associated with increased overall survival in gliomas 
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	41980919	2026	Signal transduction and targeted therapy	STRATEGIC-1: multiple-line, randomized, open-label GERCOR-PRODIGE-39 phase III trial in unresectable RAS/BRAF wild-type metastatic colorectal cancer.	Managing unresectable metastatic colorectal cancer (mCRC) requires a comprehensive strategy. While chemotherapy, anti-angiogenic, and anti-epidermal growth factor receptor (EGFR) agents are available, strategy trials are needed to optimize their use and sequencing. The STRATEGIC-1 phase III trial (NCT01910610) was designed to determine the optimal treatment sequence in patients with untreated, unresectable wild-type RAS/BRAFV600E mCRC. Patients were randomized (1:1) to FOLFIRI-cetuximab then mFO
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	41853747	2026	ESMO gastrointestinal oncology	Fruquintinib in combination with tislelizumab versus trifluridine/tipiracil and bevacizumab in third-line and beyond MSS mCRC without active liver metastases-the IKF-080/AIO-QUINTIS trial.	Patients with metastatic colorectal cancer (mCRC) who have progressed on fluoropyrimidines, oxaliplatin, irinotecan, anti-angiogenic agents, and anti-epidermal growth factor receptor (EGFR) therapies have limited treatment options and poor prognosis, with a median overall survival (mOS) of &#x223c;6 months on single-agent regorafenib or trifluridine/tipiracil. The addition of bevacizumab to trifluridine/tipiracil improved mOS to 10.8 months, and fruquintinib, a selective vascular endothelial gro
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	41852303	2026	Cancer medicine	A Randomized Trial of Encorafenib and Cetuximab Versus Irinotecan/Cetuximab or FOLFIRI/Cetuximab in Chinese Patients With BRAF(V600E) Mutant Metastatic Colorectal Cancer: The NAUTICAL Study.	Colorectal cancer (CRC) is a major health burden globally and in China, where 3%-5% of cases involve the BRAFV600E mutation, which is associated with aggressive disease and therefore a poor prognosis. Although the combination of encorafenib and cetuximab has demonstrated improved survival in BRAFV600E mutant metastatic CRC (mCRC), such treatments remain unavailable as chemotherapy-free options in China. The NAUTICAL CRC, a Phase II study in Chinese patients with BRAFV600E mutant metastatic CRC, 
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	41647985	2025	ESMO gastrointestinal oncology	Continuum of care and survival in patients with metastatic colorectal cancer: results of the real-world prospective, longitudinal cohort PROMETCO study.	PROMETCO is the first international, prospective study investigating the continuum of care, including prescribing patterns, efficacy and safety in patients with metastatic colorectal cancer (mCRC) at later therapy lines in a real-world setting. Adults with mCRC and two disease progressions since diagnosis of mCRC who were willing to receive subsequent treatment and gave informed consent were included. The study consisted of retrospective medical chart data collection pre-inclusion and a prospect
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	41517579	2026	Journal of clinical medicine	Retrospective Analysis of Regorafenib Efficiency in Treatment of Metastatic Colorectal Cancer-Experience of Two Polish Comprehensive Cancer Centers.	Objectives: Colorectal cancer is a major public health concern, ranking third in incidence among all malignant tumors both in Poland and globally. We conducted a retrospective study to evaluate the effectiveness of regorafenib in patients with metastatic colorectal cancer ineligible for local therapy treated at two Polish comprehensive cancer centers between 2021 and 2024. Methods: The analysis included 29 patients who had previously received all standard therapies: fluoropyrimidines, oxaliplati
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	41505697	2026	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Upfront Modified FOLFOXIRI Plus Panitumumab for RAS/BRAF Wild-Type Metastatic Colorectal Cancer: Final Results of the Phase III TRIPLETE Study.	We report 5-year results of the phase III randomized TRIPLETE study. Eligible patients with RAS/BRAF wild-type metastatic colorectal cancer (mCRC) received first-line modified fluorouracil, leucovorin, oxaliplatin (mFOLFOX)/panitumumab (control group, n = 217) versus modified fluorouracil, leucovorin, oxaliplatin, irinotecan (mFOLFOXIRI)/panitumumab (experimental group, n = 218). We present overall survival (OS) and updated outcomes in the intention-to-treat population. The median follow-up was 
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	41319450	2026	European journal of cancer (Oxford, England : 1990)	Impact of sex on efficacy and safety of 1st-line treatment with FOLFIRI plus cetuximab or bevacizumab in RAS/BRAF wildtype metastatic colorectal cancer - A subgroup analysis of the FIRE-3 (AIO KRK-0306) trial.	Clinical trials in metastatic colorectal cancer (mCRC) are usually conducted irrespectively of sex. However, differences relating to safety and efficacy in the treatment of mCRC between male and female patients are of growing interest. The randomized FIRE-3 study compared first-line treatment with folinic acid, 5-fluorouracil and irinotecan (FOLFIRI) plus cetuximab to FOLFIRI plus bevacizumab in patients with RAS wildtype (RAS WT) mCRC. The present analysis focusses on the impact of sex and prim
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	41252656	2026	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Individual Patient Data Meta-Analysis of Consensus Molecular Subtypes as Biomarkers of First-Line Treatment in RAS Wild-Type Metastatic Colorectal Cancer.	Consensus molecular subtypes (CMSs) of metastatic colorectal cancer (mCRC) are debatable biomarkers. An individual patient data (IPD) meta-analysis was performed to test for impact on objective response rates (ORRs), progression-free survival (PFS) and overall survival (OS), and treatment interaction. IPD (RAS wild-type [WT] tumors treated per protocol [fluorouracil/capecitabine, irinotecan/oxaliplatin, anti-vascular endothelial growth factor {VEGF}/anti-epidermal growth factor receptor {EGFR} a
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	41220768	2025	Journal of gastrointestinal oncology	Recent advancements in systemic therapy for biliary tract cancers: a literature review.	Biliary tract cancers (BTCs), including gallbladder cancer and cholangiocarcinoma, represent a rare yet aggressive class of malignancies with limited therapeutic options and poor survival outcomes. BTCs have been traditionally managed with gemcitabine and cisplatin (GC), but this standard of care has shown limited efficacy due to early recurrence, high resistance rates, and molecular heterogeneity. This review comprehensively summarizes the latest developments in systemic therapies for BTCs, emp
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	41024295	2025	Journal of medical case reports	Advanced-stage colorectal cancer in the context of coronavirus disease-19, highlighting socioeconomic disparities and outcomes: a case report.	This is a case report about how pre-coronavirus disease-19 pandemic health disparities in African Americans with colorectal cancer were compounded and exacerbated by the pandemic's associated delays in screening. A 69-year-old African American male patient presented with a primary concern of hematochezia for 1 week. His history revealed multiple risk factors for colorectal cancer, including obesity, diabetes mellitus, and a family history of colorectal cancer in his grandfather. Of note, his fat
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	40930024	2025	ESMO open	Impact of DNA damage repair alterations on real-world response to therapy in metastatic colorectal cancer.	Alterations in DNA damage repair (DDR) pathway genes can be exploited by cytotoxic chemotherapy regimens that induce DNA damage. Platinum chemotherapy has been shown to be particularly effective in DDR-mutated populations. However, the clinical impact of DDR mutations in metastatic colorectal cancer is still unknown. In this retrospective cohort study, we utilized a de-identified nationwide (USA-based) colorectal cancer clinicogenomic database. We included 5607 patients with metastatic colorecta
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	40782152	2025	Cancer chemotherapy and pharmacology	NSABP FC-11: A phase II study of neratinib plus trastuzumab or neratinib plus cetuximab in patients with "quadruple wild-type" (KRAS/NRAS/BRAF/PIK3CA) metastatic colorectal cancer based on HER2 status: amplified, non-amplified (wild-type), or mutated.	Patients with KRAS wild-type (wt) metastatic colorectal cancer (mCRC) treated with single-agent cetuximab (C) or panitumumab (P), have improved progression-free survival (PFS) and overall survival (OS) compared to best supportive care but an objective response rate (ORR) of only 13-17%. Preclinical and clinical data suggest that dual targeted therapy (e.g., neratinib [N]&#x2009;+&#x2009;C) may improve overall response rates in tumors that are wt for KRAS, NRAS, BRAF, and PIK3CA (quadruple-wt). N
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	40498011	2025	Cells	Strong Hsp90α/β Protein Expression in Advanced Primary CRC Indicates Short Survival and Predicts Response to the Hsp90α/β-Specific Inhibitor Pimitespib.	The prognosis of advanced (UICC IIb-IV) primary colorectal cancer (pCRC) remains poor. More effective targeted therapies are needed. Heat shock protein 90 alpha/beta (Hsp90&#x3b1;/&#x3b2;) expression was immunohistologically quantified in 89 pCRCs and multivariately correlated with survival. Pimitespib (Pim, TAS-116), a Hsp90&#x3b1;/&#x3b2;-specific inhibitor, was tested in pCRC cell lines and patient-derived cancer spheroids (PDCS) and referenced to the pan-Hsp90 inhibitor ganetespib (Gan, STA-
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	40460045	2025	Anti-cancer drugs	First-line treatment with a combination of immunotherapy, anti-EGFR monoclonal antibodies, and chemotherapeutics for unresectable left KRAS/BRAF wild-type microsatellite-stable colorectal cancer: a case report.	Immunotherapy shows limited efficacy in microsatellite-stable (MSS) colorectal cancer. This case report describes a 40-year-old male with left-sided kirsten rat sarcoma viral oncogene homolog (KRAS)/v-raf murine sarcoma viral oncogene homolog B (BRAF) wild-type, MSS colorectal cancer and liver metastases who achieved complete regression of metastases following first-line treatment with toripalimab, cetuximab, and FOLFIRI (irinotecan + fluorouracil + leucovorin), enabling curative-intent surgical
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	40371599	2025	Future oncology (London, England)	Biomarker testing, treatment patterns and outcomes in previously treated pMMR or non-MSI-H metastatic colorectal cancer patients.	To assess biomarker testing utilization, treatment patterns, and clinical outcomes in previously treated proficient mismatch repair deficient (pMMR) or non-microsatellite instability-high (MSI-H) metastatic colorectal cancer (mCRC) patients. Using the iKnowMed electronic health record database, this study included pMMR/non-MSI-H adult mCRC patients previously treated with standard-of-care (SoC) chemotherapies between 1 January 2016 and 31 December 2021. Patients were censored for overall surviva
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	40328753	2025	Signal transduction and targeted therapy	First-line treatment of anti-EGFR monoclonal antibody cetuximab β plus FOLFIRI versus FOLFIRI alone in Chinese patients with RAS/BRAF wild-type metastatic colorectal cancer: a randomized, phase 3 trial.	Cetuximab plus irinotecan, fluorouracil, and leucovorin (FOLFIRI) represents a first-line therapeutic standard for RAS/BRAF wild-type metastatic colorectal cancer (mCRC) patients. Despite this established approach, cetuximab &#x3b2; (CMAB009), as a modified antibody of cetuximab, prospectively selected for dual RAS/BRAF wild-type patients, has not yet been validated in the Chinese mCRC patients through phase 3 trial. In this study (ClinicalTrials.gov identifier: NCT03206151), patients with RAS/B
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	40258695	2025	Rozhledy v chirurgii : mesicnik Ceskoslovenske chirurgicke spolecnosti	Neoadjuvant therapy for oligometastatic colorectal cancer.	Every patient with oligometastatic disease should be discussed within a multidisciplinary team.The intention of treating oligometastatic disease is curative in most cases. Surgical treatment is essential, and can be combined with ablation methods. Oncological criteria that describe the risk of progression/relapse help select patients who benefit most from neoadjuvant/perioperative chemotherapy. For optimal selection of systemic treatment for metastatic colorectal cancer, knowledge of predictive 
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	39903881	2025	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Baseline Liquid Biopsy in Relation to Tissue-Based Parameters in Metastatic Colorectal Cancer: Results From the Randomized FIRE-4 (AIO-KRK-0114) Study.	The FIRE-4 study randomly assigned patients with first-line RAS wild-type (RASwt) metastatic colorectal cancer to either flourouracil (FU), folinic acid, and irinotecan (FOLFIRI) plus cetuximab until progression or intolerable toxicity (standard arm) or to FOLFIRI plus cetuximab followed by a switch maintenance treatment using FU plus bevacizumab (experimental arm). Here, we investigate the relevance of liquid biopsy (LB) RAS and BRAF testing compared with tissue-based analyses. LBs were taken a
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	39891883	2025	International journal of clinical oncology	A phase two trial evaluating FOLFIRI plus aflibercept after failure of FOLFOXIRI plus bevacizumab in patients with unresectable metastatic colorectal cancer.	FOLFOXIRI plus bevacizumab (BEV) is an option for first-line treatment of metastatic colorectal cancer (mCRC). However, there is no consensus on the optimal treatment strategy when disease progresses. The EFFORT open-label, multicenter, single-arm phase II study investigated whether FOLFIRI plus aflibercept retains activity after progression of FOLFOXIRI plus BEV treatment. The patients with unresectable mCRC who failed first-line FOLFOXIRI plus BEV received FOLFIRI plus aflibercept. The primary
F_BRAF_irinotecan_cancer	(BRAF) AND (irinotecan) AND (cancer)	39761503	2025	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Trastuzumab Plus Pertuzumab Versus Cetuximab Plus Irinotecan in Patients With RAS/BRAF Wild-Type, HER2-Positive, Metastatic Colorectal Cancer (S1613): A Randomized Phase II Trial.	ERBB2 overexpression/amplification in RAS/BRAF wild-type (WT) metastatic colorectal cancer (mCRC; human epidermal growth factor receptor 2 [HER2]-positive mCRC) appears to be associated with limited benefit from anti-EGFR antibodies and promising responses to dual-HER2 inhibition; however, comparative efficacy has not been investigated. We conducted a randomized phase II trial to evaluate efficacy and safety of dual-HER2 inhibition against standard-of-care anti-EGFR antibody-based therapy as sec
G_BRAF_topotecan	(BRAF) AND (topotecan)	36559089	2022	Pharmaceutics	Encorafenib Acts as a Dual-Activity Chemosensitizer through Its Inhibitory Effect on ABCC1 Transporter In Vitro and Ex Vivo.	Encorafenib (LGX818, trade name Braftovi), a novel BRAF inhibitor, has been approved for the treatment of melanoma and colorectal cancer. In the present work, we evaluated encorafenib's possible antagonistic effects on the pharmacokinetic mechanisms of multidrug resistance (MDR), as well as its perpetrator role in drug interactions. Firstly, encorafenib potently inhibited the efflux function of the ABCC1 transporter in drug accumulation assays, while moderate and null interaction levels were rec
G_BRAF_topotecan	(BRAF) AND (topotecan)	34560251	2021	Pharmacological research	TOP1 modulation during melanoma progression and in adaptative resistance to BRAF and MEK inhibitors.	In melanomas, therapy resistance can arise due to a combination of genetic, epigenetic and phenotypic mechanisms. Due to its crucial role in DNA supercoil relaxation, TOP1 is often considered an essential chemotherapeutic target in cancer. However, how TOP1 expression and activity might differ in therapy sensitive versus resistant cell types is unknown. Here we show that TOP1 expression is increased in metastatic melanoma and correlates with an invasive gene expression signature. More specifical
G_BRAF_topotecan	(BRAF) AND (topotecan)	32822286	2020	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	MILO/ENGOT-ov11: Binimetinib Versus Physician's Choice Chemotherapy in Recurrent or Persistent Low-Grade Serous Carcinomas of the Ovary, Fallopian Tube, or Primary Peritoneum.	Low-grade serous ovarian carcinomas (LGSOCs) have historically low chemotherapy responses. Alterations affecting the MAPK pathway, most commonly KRAS/BRAF, are present in 30%-60% of LGSOCs. The purpose of this study was to evaluate binimetinib, a potent MEK1/2 inhibitor with demonstrated activity across multiple cancers, in LGSOC. This was a 2:1 randomized study of binimetinib (45 mg twice daily) versus physician's choice chemotherapy (PCC). Eligible patients had recurrent measurable LGSOC after
G_BRAF_topotecan	(BRAF) AND (topotecan)	35172484	2017	JCO precision oncology	Combined Targeted Therapy for BRAF-Mutant, Treatment-Related Acute Myeloid Leukemia.	A 44-year-old woman with a prior history of myxoid liposarcoma who was previously treated with radiation, chemotherapy, and resection, was admitted with syncope and pancytopenia. She was diagnosed with a high-grade therapy-related myelodysplastic syndrome and treated with decitabine. Her disease soon progressed to overt acute myeloid leukemia (AML). She was treated with cytotoxic chemotherapy including cytarabine and topotecan, but she was not a candidate for further anthracycline exposure given
G_BRAF_topotecan	(BRAF) AND (topotecan)	28280620	2017	Journal of gastrointestinal oncology	Potential actionable targets in appendiceal cancer detected by immunohistochemistry, fluorescent in situ hybridization, and mutational analysis.	Appendiceal cancers are rare and consist of carcinoid, mucocele, pseudomyxoma peritonei (PMP), goblet cell carcinoma, lymphoma, and adenocarcinoma histologies. Current treatment involves surgical resection or debulking, but no standard exists for adjuvant chemotherapy or treatment for metastatic disease. Samples were identified from approximately 60,000 global tumors analyzed at a referral molecular profiling CLIA-certified laboratory. A total of 588 samples with appendix primary tumor sites wer
