gene	direction	cohens_d	fdr	druggable_with	note
PROS1	DM1_up_to_INDUCE	3.3330239698523245	1.3293462447070364e-08	none catalogued	not in H17 mini-druggability KB
MRC2	DM1_up_to_INDUCE	3.3083930981642706	4.961257577732071e-07	none catalogued	not in H17 mini-druggability KB
ALOX5	DM1_up_to_INDUCE	3.29978827015431	5.99811756302527e-10	zileuton (5-LO inhibitor)	leukotriene pathway; not direction-aligned.
PLXNC1	DM1_up_to_INDUCE	3.2962820569370312	1.2530755820225655e-09	none catalogued	not in H17 mini-druggability KB
CLIP3	DM1_up_to_INDUCE	3.296149698907927	9.652306163013434e-10	none catalogued	not in H17 mini-druggability KB
CHI3L1	DM1_up_to_INDUCE	3.2622737068370444	4.1872137723085157e-10	none direct	YKL-40, biomarker.
JAK3	DM1_up_to_INDUCE	3.262110986144186	9.652306163013434e-10	tofacitinib, decernotinib	JAK3i would BLOCK STAT activation — opposing direction.
ATP6V1B2	DM1_up_to_INDUCE	3.202166322733694	5.416555184962954e-07	none catalogued	not in H17 mini-druggability KB
TMEM116	DM2_up_to_REPRESS	-3.7073367275452314	8.968978038579987e-08	none catalogued	not in H17 mini-druggability KB
ACACB	DM2_up_to_REPRESS	-3.6348599279430616	3.6096517117144455e-11	none catalogued	not in H17 mini-druggability KB
FLRT1	DM2_up_to_REPRESS	-3.473554844340143	4.037962445655014e-07	none catalogued	not in H17 mini-druggability KB
ADAM1B	DM2_up_to_REPRESS	-3.3822338516865003	2.2116256227037088e-05	none catalogued	not in H17 mini-druggability KB
FAM234B	DM2_up_to_REPRESS	-3.0674254463275346	5.459357472557757e-06	none catalogued	not in H17 mini-druggability KB
OR2A1-AS1	DM2_up_to_REPRESS	-3.045790169895557	1.0974282766654337e-06	none catalogued	not in H17 mini-druggability KB
AL031710.1	DM2_up_to_REPRESS	-3.0427629859986602	4.534454690373673e-05	none catalogued	not in H17 mini-druggability KB
AC006058.3	DM2_up_to_REPRESS	-3.0152028471486907	1.3599189546568097e-06	none catalogued	not in H17 mini-druggability KB
VDAC3	DM2_up_to_REPRESS	-3.0072750009452007	5.74025252452844e-06	none catalogued	not in H17 mini-druggability KB
PLEKHJ1	DM2_up_to_REPRESS	-2.9573035174425515	4.572598322963599e-06	none catalogued	not in H17 mini-druggability KB
KATNAL2	DM2_up_to_REPRESS	-2.93220294936988	5.3407133692460786e-08	none catalogued	not in H17 mini-druggability KB
OTOS	DM2_up_to_REPRESS	-2.8742779260681446	9.804700105147272e-08	none catalogued	not in H17 mini-druggability KB
AF131216.3	DM2_up_to_REPRESS	-2.8712748879752965	1.9897943568247878e-05	none catalogued	not in H17 mini-druggability KB
ACSF2	DM2_up_to_REPRESS	-2.8438349729996055	9.57109619466434e-07	none catalogued	not in H17 mini-druggability KB
ECSIT	DM2_up_to_REPRESS	-2.808116715361957	6.345913703897684e-07	none catalogued	not in H17 mini-druggability KB
AL034548.2	DM2_up_to_REPRESS	-2.8016108311042696	1.168225335477492e-05	none catalogued	not in H17 mini-druggability KB
AC106795.2	DM2_up_to_REPRESS	-2.7882047697980052	2.58291647891724e-05	none catalogued	not in H17 mini-druggability KB
EIPR1-IT1	DM2_up_to_REPRESS	-2.7844513104543034	9.458620307627379e-05	none catalogued	not in H17 mini-druggability KB
MLYCD	DM2_up_to_REPRESS	-2.775699361574625	2.834479327525891e-05	none catalogued	not in H17 mini-druggability KB
PRPSAP1	DM2_up_to_REPRESS	-2.7539653077996387	2.1318527557323562e-06	none catalogued	not in H17 mini-druggability KB
RILPL1	DM2_up_to_REPRESS	-2.7399517275354963	1.2160018769419584e-06	none catalogued	not in H17 mini-druggability KB
PCBD2	DM2_up_to_REPRESS	-2.7122194485472986	1.6068310202055371e-07	none catalogued	not in H17 mini-druggability KB
AC092718.1	DM2_up_to_REPRESS	-2.6936813690574146	7.105577942812538e-05	none catalogued	not in H17 mini-druggability KB
ADIPOR2	DM2_up_to_REPRESS	-2.6922131116760113	2.359303189667808e-06	none catalogued	not in H17 mini-druggability KB
NT5C3B	DM2_up_to_REPRESS	-2.68323888265816	4.907304462815084e-06	none catalogued	not in H17 mini-druggability KB
SNTA1	DM2_up_to_REPRESS	-2.6531302417052287	5.207410838915663e-06	none catalogued	not in H17 mini-druggability KB
WWOX	DM2_up_to_REPRESS	-2.6445598971754913	1.9604079240617227e-06	none catalogued	not in H17 mini-druggability KB
HAP1	DM2_up_to_REPRESS	-2.6411419816054176	4.035592742698912e-05	none catalogued	not in H17 mini-druggability KB
SMAD9	DM2_up_to_REPRESS	-2.629358148970578	1.14994206363206e-06	none catalogued	not in H17 mini-druggability KB
LCA5L	DM2_up_to_REPRESS	-2.6092515141119055	8.471349367365505e-06	none catalogued	not in H17 mini-druggability KB
