figure	panel	description	cohort	n	source_data_path	script_path	asset_path	caption_file	cited_in_v2_draft	status
ED2	ALL	Pan-genome ARI ladder at fine resolution + hypergeometric enrichment	TCGA-THCA	504	project/results/d4p2_tcga_hashimoto_signature/tcga_with_clinical_mutations.tsv	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED2_pangenome_ari_ladder.png	05_figure_captions_NC.md	Yes	LOCKED
ED3	ALL	Immune residualization analysis (DM1/DM2 d before/after)	TCGA-THCA	504	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED3_immune_residualization.png	05_figure_captions_NC.md	Yes	LOCKED
ED4	ALL	SC per-patient summaries (GSE184362/GSE193581/GSE241184/GSE232237)	Multiple SC datasets	6+23+unlisted	project/results/v17_lu2023/GSE193581_hvg_adata.h5ad; GSE241184/GSE232237 SOURCE_MISSING	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED4_sc_per_patient_summary.png	05_figure_captions_NC.md	Yes	SOURCE_MISSING
ED5	ALL	SV missingness sensitivity analysis	TCGA-THCA	379 (SV-callable)	project/results/audit_2026_04_30/round3/cbio_sv_thca.tsv	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED5_sv_missingness_sensitivity.png	05_figure_captions_NC.md	Yes	LOCKED
ED6	ALL	DM1 sub-A vs sub-B phenotype detail	TCGA-THCA DM1	91	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED6_subA_subB_phenotype.png	05_figure_captions_NC.md	Yes	LOCKED
ED7	ALL	TERT × DM co-occurrence	TCGA-THCA + MSK	504+117	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED7_TERT_DM_cooccurrence.png	05_figure_captions_NC.md	Yes	LOCKED
ED8	ALL	DM1 × TERT joint stratification + 1-year ROC=0.83	TCGA-THCA	504	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED8_DM1_TERT_joint_strat.png	05_figure_captions_NC.md	Yes	LOCKED
ED9	ALL	Multi-method deconvolution composite	TCGA-THCA	504	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED9_multi_method_deconv.png	05_figure_captions_NC.md	Yes	LOCKED
ED10	ALL	PRISM/DepMap drug vulnerability overlays (prioritization only)	TCGA-THCA + DepMap	504 + DepMap	project/results/p3_p9_full_execution/paper9/raw/Repurposing_Public_24Q2_LFC_COLLAPSED.csv	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED10_PRISM_DepMap.png	05_figure_captions_NC.md	Yes	LOCKED
ED11	ALL	Mun 2025 proteogenomics (n=336; 7/7 sign-consistent)	Mun 2025 proteome	336	SOURCE_MISSING (Mun 2025 HRA004166 data not found in project)	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED11_Mun_proteome.png	05_figure_captions_NC.md	Yes	SOURCE_MISSING
ED12	ALL	Pan-cancer DM1-axis Cox HR (LGG HR=44.7, LUAD HR~19)	TCGA pan-cancer	11069 × 33	project/results/dm1_robustness_v2026_05_08/round5/pancan_cox_forest.png	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED12_pancancer_cameo.png	05_figure_captions_NC.md	Yes	LOCKED
ED13	ALL	Spatial stress-test (GSE250521 Visium; MAPK × Panel raw vs adj)	GSE250521 Visium	unlisted spots	project/data/processed/GSE250521/ (h5ad files present)	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED13_spatial_caveat.png	05_figure_captions_NC.md	Yes	LOCKED
ED14	ALL	K2/Lee portability detail + calibration mismatch caveat	K2 (PRJEB11591) + Lee	260+632	project/results/manuscript_v8_nc_main/master_tcga.tsv	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED14_K2_portability_detail.png	05_figure_captions_NC.md	Yes	LOCKED
ED15	ALL	Landa 2016 reference detail + reverse-causality control	GSE76039	84+33	SOURCE_MISSING (GSE76039 processed matrix not found in project)	project/results/manuscript_v8_nc_main/build_ed.py	project/results/manuscript_v8_nc_main/ED15_Landa_reverse_causality.png	05_figure_captions_NC.md	Yes	SOURCE_MISSING
