gene_name	chrom	bin	bin_index	bin_start	bin_end
MEGF6	1	chr01_bin000	0	28589	4594016
TPRG1L	1	chr01_bin000	0	28589	4594016
WRAP73	1	chr01_bin000	0	28589	4594016
TP73	1	chr01_bin000	0	28589	4594016
CCDC27	1	chr01_bin000	0	28589	4594016
SMIM1	1	chr01_bin000	0	28589	4594016
LRRC47	1	chr01_bin000	0	28589	4594016
CEP104	1	chr01_bin000	0	28589	4594016
DFFB	1	chr01_bin000	0	28589	4594016
C1orf174	1	chr01_bin000	0	28589	4594016
LINC01134	1	chr01_bin000	0	28589	4594016
LINC01346	1	chr01_bin000	0	28589	4594016
LINC01345	1	chr01_bin000	0	28589	4594016
LINC02780	1	chr01_bin000	0	28589	4594016
LINC01777	1	chr01_bin000	0	28589	4594016
LINC01646	1	chr01_bin000	0	28589	4594016
AJAP1	1	chr01_bin001	1	4654609	12728760
LINC02781	1	chr01_bin001	1	4654609	12728760
LINC02782	1	chr01_bin001	1	4654609	12728760
NPHP4	1	chr01_bin001	1	4654609	12728760
KCNAB2	1	chr01_bin001	1	4654609	12728760
CHD5	1	chr01_bin001	1	4654609	12728760
RPL22	1	chr01_bin001	1	4654609	12728760
RNF207	1	chr01_bin001	1	4654609	12728760
ICMT	1	chr01_bin001	1	4654609	12728760
HES3	1	chr01_bin001	1	4654609	12728760
GPR153	1	chr01_bin001	1	4654609	12728760
ACOT7	1	chr01_bin001	1	4654609	12728760
HES2	1	chr01_bin001	1	4654609	12728760
ESPN	1	chr01_bin001	1	4654609	12728760
TNFRSF25	1	chr01_bin001	1	4654609	12728760
PLEKHG5	1	chr01_bin001	1	4654609	12728760
NOL9	1	chr01_bin001	1	4654609	12728760
TAS1R1	1	chr01_bin001	1	4654609	12728760
ZBTB48	1	chr01_bin001	1	4654609	12728760
KLHL21	1	chr01_bin001	1	4654609	12728760
PHF13	1	chr01_bin001	1	4654609	12728760
THAP3	1	chr01_bin001	1	4654609	12728760
DNAJC11	1	chr01_bin001	1	4654609	12728760
LINC01672	1	chr01_bin001	1	4654609	12728760
CAMTA1-DT	1	chr01_bin001	1	4654609	12728760
CAMTA1	1	chr01_bin001	1	4654609	12728760
CAMTA1-IT1	1	chr01_bin001	1	4654609	12728760
VAMP3	1	chr01_bin001	1	4654609	12728760
PER3	1	chr01_bin001	1	4654609	12728760
UTS2	1	chr01_bin001	1	4654609	12728760
TNFRSF9	1	chr01_bin001	1	4654609	12728760
PARK7	1	chr01_bin001	1	4654609	12728760
ERRFI1	1	chr01_bin001	1	4654609	12728760
LINC01714	1	chr01_bin001	1	4654609	12728760
SLC45A1	1	chr01_bin001	1	4654609	12728760
RERE	1	chr01_bin001	1	4654609	12728760
RERE-AS1	1	chr01_bin001	1	4654609	12728760
ENO1	1	chr01_bin001	1	4654609	12728760
ENO1-AS1	1	chr01_bin001	1	4654609	12728760
CA6	1	chr01_bin001	1	4654609	12728760
SLC2A7	1	chr01_bin001	1	4654609	12728760
SLC2A5	1	chr01_bin001	1	4654609	12728760
GPR157	1	chr01_bin001	1	4654609	12728760
MIR34AHG	1	chr01_bin001	1	4654609	12728760
LNCTAM34A	1	chr01_bin001	1	4654609	12728760
H6PD	1	chr01_bin001	1	4654609	12728760
SPSB1	1	chr01_bin001	1	4654609	12728760
LINC02606	1	chr01_bin001	1	4654609	12728760
SLC25A33	1	chr01_bin001	1	4654609	12728760
TMEM201	1	chr01_bin001	1	4654609	12728760
PIK3CD	1	chr01_bin001	1	4654609	12728760
PIK3CD-AS1	1	chr01_bin001	1	4654609	12728760
PIK3CD-AS2	1	chr01_bin001	1	4654609	12728760
CLSTN1	1	chr01_bin001	1	4654609	12728760
CTNNBIP1	1	chr01_bin001	1	4654609	12728760
LZIC	1	chr01_bin001	1	4654609	12728760
NMNAT1	1	chr01_bin001	1	4654609	12728760
RBP7	1	chr01_bin001	1	4654609	12728760
UBE4B	1	chr01_bin001	1	4654609	12728760
KIF1B	1	chr01_bin001	1	4654609	12728760
PGD	1	chr01_bin001	1	4654609	12728760
CENPS	1	chr01_bin001	1	4654609	12728760
CORT	1	chr01_bin001	1	4654609	12728760
DFFA	1	chr01_bin001	1	4654609	12728760
PEX14	1	chr01_bin001	1	4654609	12728760
CASZ1	1	chr01_bin001	1	4654609	12728760
C1orf127	1	chr01_bin001	1	4654609	12728760
TARDBP	1	chr01_bin001	1	4654609	12728760
MASP2	1	chr01_bin001	1	4654609	12728760
SRM	1	chr01_bin001	1	4654609	12728760
EXOSC10-AS1	1	chr01_bin001	1	4654609	12728760
EXOSC10	1	chr01_bin001	1	4654609	12728760
MTOR	1	chr01_bin001	1	4654609	12728760
MTOR-AS1	1	chr01_bin001	1	4654609	12728760
ANGPTL7	1	chr01_bin001	1	4654609	12728760
UBIAD1	1	chr01_bin001	1	4654609	12728760
DISP3	1	chr01_bin001	1	4654609	12728760
LINC01647	1	chr01_bin001	1	4654609	12728760
FBXO2	1	chr01_bin001	1	4654609	12728760
FBXO44	1	chr01_bin001	1	4654609	12728760
MAD2L2	1	chr01_bin001	1	4654609	12728760
FBXO6	1	chr01_bin001	1	4654609	12728760
DRAXIN	1	chr01_bin001	1	4654609	12728760
AGTRAP	1	chr01_bin001	1	4654609	12728760
C1orf167	1	chr01_bin001	1	4654609	12728760
MTHFR	1	chr01_bin001	1	4654609	12728760
CLCN6	1	chr01_bin001	1	4654609	12728760
NPPA	1	chr01_bin001	1	4654609	12728760
NPPB	1	chr01_bin001	1	4654609	12728760
KIAA2013	1	chr01_bin001	1	4654609	12728760
PLOD1	1	chr01_bin001	1	4654609	12728760
MFN2	1	chr01_bin001	1	4654609	12728760
MIIP	1	chr01_bin001	1	4654609	12728760
TNFRSF8	1	chr01_bin001	1	4654609	12728760
TNFRSF1B	1	chr01_bin001	1	4654609	12728760
VPS13D	1	chr01_bin001	1	4654609	12728760
LINC02766	1	chr01_bin001	1	4654609	12728760
DHRS3	1	chr01_bin001	1	4654609	12728760
AADACL4	1	chr01_bin001	1	4654609	12728760
AADACL3	1	chr01_bin001	1	4654609	12728760
PRAMEF12	1	chr01_bin002	2	12773738	19658456
PRAMEF1	1	chr01_bin002	2	12773738	19658456
LINC01784	1	chr01_bin002	2	12773738	19658456
PRAMEF11	1	chr01_bin002	2	12773738	19658456
HNRNPCL1	1	chr01_bin002	2	12773738	19658456
PRAMEF2	1	chr01_bin002	2	12773738	19658456
PRAMEF4	1	chr01_bin002	2	12773738	19658456
PRAMEF10	1	chr01_bin002	2	12773738	19658456
PRAMEF7	1	chr01_bin002	2	12773738	19658456
PRAMEF6	1	chr01_bin002	2	12773738	19658456
PRAMEF27	1	chr01_bin002	2	12773738	19658456
HNRNPCL3	1	chr01_bin002	2	12773738	19658456
PRAMEF25	1	chr01_bin002	2	12773738	19658456
HNRNPCL2	1	chr01_bin002	2	12773738	19658456
PRAMEF26	1	chr01_bin002	2	12773738	19658456
HNRNPCL4	1	chr01_bin002	2	12773738	19658456
PRAMEF9	1	chr01_bin002	2	12773738	19658456
PRAMEF13	1	chr01_bin002	2	12773738	19658456
PRAMEF18	1	chr01_bin002	2	12773738	19658456
PRAMEF5	1	chr01_bin002	2	12773738	19658456
PRAMEF8	1	chr01_bin002	2	12773738	19658456
PRAMEF33	1	chr01_bin002	2	12773738	19658456
PRAMEF15	1	chr01_bin002	2	12773738	19658456
PRAMEF14	1	chr01_bin002	2	12773738	19658456
PRAMEF19	1	chr01_bin002	2	12773738	19658456
PRAMEF17	1	chr01_bin002	2	12773738	19658456
PRAMEF20	1	chr01_bin002	2	12773738	19658456
LRRC38	1	chr01_bin002	2	12773738	19658456
PDPN	1	chr01_bin002	2	12773738	19658456
PRDM2	1	chr01_bin002	2	12773738	19658456
KAZN	1	chr01_bin002	2	12773738	19658456
KAZN-AS1	1	chr01_bin002	2	12773738	19658456
TMEM51-AS1	1	chr01_bin002	2	12773738	19658456
TMEM51	1	chr01_bin002	2	12773738	19658456
FHAD1	1	chr01_bin002	2	12773738	19658456
EFHD2	1	chr01_bin002	2	12773738	19658456
CTRC	1	chr01_bin002	2	12773738	19658456
CELA2A	1	chr01_bin002	2	12773738	19658456
CELA2B	1	chr01_bin002	2	12773738	19658456
CASP9	1	chr01_bin002	2	12773738	19658456
DNAJC16	1	chr01_bin002	2	12773738	19658456
AGMAT	1	chr01_bin002	2	12773738	19658456
DDI2	1	chr01_bin002	2	12773738	19658456
RSC1A1	1	chr01_bin002	2	12773738	19658456
PLEKHM2	1	chr01_bin002	2	12773738	19658456
SLC25A34	1	chr01_bin002	2	12773738	19658456
SLC25A34-AS1	1	chr01_bin002	2	12773738	19658456
TMEM82	1	chr01_bin002	2	12773738	19658456
FBLIM1	1	chr01_bin002	2	12773738	19658456
UQCRHL	1	chr01_bin002	2	12773738	19658456
SPEN	1	chr01_bin002	2	12773738	19658456
ZBTB17	1	chr01_bin002	2	12773738	19658456
SRARP	1	chr01_bin002	2	12773738	19658456
HSPB7	1	chr01_bin002	2	12773738	19658456
CLCNKA	1	chr01_bin002	2	12773738	19658456
CLCNKB	1	chr01_bin002	2	12773738	19658456
FAM131C	1	chr01_bin002	2	12773738	19658456
EPHA2	1	chr01_bin002	2	12773738	19658456
ARHGEF19	1	chr01_bin002	2	12773738	19658456
CPLANE2	1	chr01_bin002	2	12773738	19658456
FBXO42	1	chr01_bin002	2	12773738	19658456
SZRD1	1	chr01_bin002	2	12773738	19658456
SPATA21	1	chr01_bin002	2	12773738	19658456
NECAP2	1	chr01_bin002	2	12773738	19658456
LINC01772	1	chr01_bin002	2	12773738	19658456
LINC01783	1	chr01_bin002	2	12773738	19658456
NBPF1	1	chr01_bin002	2	12773738	19658456
CROCC	1	chr01_bin002	2	12773738	19658456
MFAP2	1	chr01_bin002	2	12773738	19658456
ATP13A2	1	chr01_bin002	2	12773738	19658456
SDHB	1	chr01_bin002	2	12773738	19658456
PADI2	1	chr01_bin002	2	12773738	19658456
LINC02783	1	chr01_bin002	2	12773738	19658456
PADI1	1	chr01_bin002	2	12773738	19658456
PADI3	1	chr01_bin002	2	12773738	19658456
PADI4	1	chr01_bin002	2	12773738	19658456
PADI6	1	chr01_bin002	2	12773738	19658456
RCC2	1	chr01_bin002	2	12773738	19658456
RCC2-AS1	1	chr01_bin002	2	12773738	19658456
ARHGEF10L	1	chr01_bin002	2	12773738	19658456
LINC02810	1	chr01_bin002	2	12773738	19658456
ACTL8	1	chr01_bin002	2	12773738	19658456
LINC01654	1	chr01_bin002	2	12773738	19658456
IGSF21	1	chr01_bin002	2	12773738	19658456
IGSF21-AS1	1	chr01_bin002	2	12773738	19658456
KLHDC7A	1	chr01_bin002	2	12773738	19658456
PAX7	1	chr01_bin002	2	12773738	19658456
TAS1R2	1	chr01_bin002	2	12773738	19658456
ALDH4A1	1	chr01_bin002	2	12773738	19658456
IFFO2	1	chr01_bin002	2	12773738	19658456
UBR4	1	chr01_bin002	2	12773738	19658456
EMC1-AS1	1	chr01_bin002	2	12773738	19658456
EMC1	1	chr01_bin002	2	12773738	19658456
MRTO4	1	chr01_bin002	2	12773738	19658456
AKR7A3	1	chr01_bin002	2	12773738	19658456
AKR7A2	1	chr01_bin002	2	12773738	19658456
SLC66A1	1	chr01_bin002	2	12773738	19658456
CAPZB	1	chr01_bin002	2	12773738	19658456
MICOS10	1	chr01_bin002	2	12773738	19658456
NBL1	1	chr01_bin002	2	12773738	19658456
HTR6	1	chr01_bin003	3	19664875	25906991
TMCO4	1	chr01_bin003	3	19664875	25906991
RNF186	1	chr01_bin003	3	19664875	25906991
OTUD3	1	chr01_bin003	3	19664875	25906991
PLA2G2E	1	chr01_bin003	3	19664875	25906991
PLA2G2A	1	chr01_bin003	3	19664875	25906991
PLA2G5	1	chr01_bin003	3	19664875	25906991
PLA2G2D	1	chr01_bin003	3	19664875	25906991
PLA2G2F	1	chr01_bin003	3	19664875	25906991
PLA2G2C	1	chr01_bin003	3	19664875	25906991
UBXN10	1	chr01_bin003	3	19664875	25906991
LINC01757	1	chr01_bin003	3	19664875	25906991
VWA5B1	1	chr01_bin003	3	19664875	25906991
LINC01141	1	chr01_bin003	3	19664875	25906991
CAMK2N1	1	chr01_bin003	3	19664875	25906991
MUL1	1	chr01_bin003	3	19664875	25906991
FAM43B	1	chr01_bin003	3	19664875	25906991
CDA	1	chr01_bin003	3	19664875	25906991
PINK1	1	chr01_bin003	3	19664875	25906991
PINK1-AS	1	chr01_bin003	3	19664875	25906991
DDOST	1	chr01_bin003	3	19664875	25906991
KIF17	1	chr01_bin003	3	19664875	25906991
SH2D5	1	chr01_bin003	3	19664875	25906991
HP1BP3	1	chr01_bin003	3	19664875	25906991
EIF4G3	1	chr01_bin003	3	19664875	25906991
ECE1	1	chr01_bin003	3	19664875	25906991
NBPF3	1	chr01_bin003	3	19664875	25906991
ALPL	1	chr01_bin003	3	19664875	25906991
LINC02596	1	chr01_bin003	3	19664875	25906991
RAP1GAP	1	chr01_bin003	3	19664875	25906991
USP48	1	chr01_bin003	3	19664875	25906991
LDLRAD2	1	chr01_bin003	3	19664875	25906991
HSPG2	1	chr01_bin003	3	19664875	25906991
CELA3B	1	chr01_bin003	3	19664875	25906991
CELA3A	1	chr01_bin003	3	19664875	25906991
LINC01635	1	chr01_bin003	3	19664875	25906991
LINC00339	1	chr01_bin003	3	19664875	25906991
CDC42-AS1	1	chr01_bin003	3	19664875	25906991
CDC42	1	chr01_bin003	3	19664875	25906991
CDC42-IT1	1	chr01_bin003	3	19664875	25906991
WNT4	1	chr01_bin003	3	19664875	25906991
ZBTB40	1	chr01_bin003	3	19664875	25906991
ZBTB40-IT1	1	chr01_bin003	3	19664875	25906991
EPHA8	1	chr01_bin003	3	19664875	25906991
C1QA	1	chr01_bin003	3	19664875	25906991
C1QC	1	chr01_bin003	3	19664875	25906991
C1QB	1	chr01_bin003	3	19664875	25906991
EPHB2	1	chr01_bin003	3	19664875	25906991
LACTBL1	1	chr01_bin003	3	19664875	25906991
TEX46	1	chr01_bin003	3	19664875	25906991
KDM1A	1	chr01_bin003	3	19664875	25906991
LUZP1	1	chr01_bin003	3	19664875	25906991
HTR1D	1	chr01_bin003	3	19664875	25906991
LINC01355	1	chr01_bin003	3	19664875	25906991
HNRNPR	1	chr01_bin003	3	19664875	25906991
ZNF436	1	chr01_bin003	3	19664875	25906991
ZNF436-AS1	1	chr01_bin003	3	19664875	25906991
TCEA3	1	chr01_bin003	3	19664875	25906991
ASAP3	1	chr01_bin003	3	19664875	25906991
E2F2	1	chr01_bin003	3	19664875	25906991
ID3	1	chr01_bin003	3	19664875	25906991
MDS2	1	chr01_bin003	3	19664875	25906991
RPL11	1	chr01_bin003	3	19664875	25906991
ELOA-AS1	1	chr01_bin003	3	19664875	25906991
ELOA	1	chr01_bin003	3	19664875	25906991
PITHD1	1	chr01_bin003	3	19664875	25906991
LYPLA2	1	chr01_bin003	3	19664875	25906991
GALE	1	chr01_bin003	3	19664875	25906991
HMGCL	1	chr01_bin003	3	19664875	25906991
FUCA1	1	chr01_bin003	3	19664875	25906991
CNR2	1	chr01_bin003	3	19664875	25906991
PNRC2	1	chr01_bin003	3	19664875	25906991
SRSF10	1	chr01_bin003	3	19664875	25906991
MYOM3	1	chr01_bin003	3	19664875	25906991
IL22RA1	1	chr01_bin003	3	19664875	25906991
IFNLR1	1	chr01_bin003	3	19664875	25906991
GRHL3	1	chr01_bin003	3	19664875	25906991
LINC02800	1	chr01_bin003	3	19664875	25906991
STPG1	1	chr01_bin003	3	19664875	25906991
NIPAL3	1	chr01_bin003	3	19664875	25906991
NCMAP-DT	1	chr01_bin003	3	19664875	25906991
RCAN3	1	chr01_bin003	3	19664875	25906991
NCMAP	1	chr01_bin003	3	19664875	25906991
SRRM1	1	chr01_bin003	3	19664875	25906991
CLIC4	1	chr01_bin003	3	19664875	25906991
RUNX3	1	chr01_bin003	3	19664875	25906991
LINC02793	1	chr01_bin003	3	19664875	25906991
SYF2	1	chr01_bin003	3	19664875	25906991
RSRP1	1	chr01_bin003	3	19664875	25906991
RHD	1	chr01_bin003	3	19664875	25906991
TMEM50A	1	chr01_bin003	3	19664875	25906991
RHCE	1	chr01_bin003	3	19664875	25906991
MACO1	1	chr01_bin003	3	19664875	25906991
LDLRAP1	1	chr01_bin003	3	19664875	25906991
MAN1C1	1	chr01_bin003	3	19664875	25906991
SELENON	1	chr01_bin003	3	19664875	25906991
MTFR1L	1	chr01_bin003	3	19664875	25906991
AUNIP	1	chr01_bin003	3	19664875	25906991
PAQR7	1	chr01_bin003	3	19664875	25906991
STMN1	1	chr01_bin003	3	19664875	25906991
PAFAH2	1	chr01_bin004	4	25959767	32216192
EXTL1	1	chr01_bin004	4	25959767	32216192
SLC30A2	1	chr01_bin004	4	25959767	32216192
TRIM63	1	chr01_bin004	4	25959767	32216192
PDIK1L	1	chr01_bin004	4	25959767	32216192
FAM110D	1	chr01_bin004	4	25959767	32216192
C1orf232	1	chr01_bin004	4	25959767	32216192
ZNF593	1	chr01_bin004	4	25959767	32216192
CNKSR1	1	chr01_bin004	4	25959767	32216192
CATSPER4	1	chr01_bin004	4	25959767	32216192
CEP85	1	chr01_bin004	4	25959767	32216192
SH3BGRL3	1	chr01_bin004	4	25959767	32216192
UBXN11	1	chr01_bin004	4	25959767	32216192
CD52	1	chr01_bin004	4	25959767	32216192
CRYBG2	1	chr01_bin004	4	25959767	32216192
ZNF683	1	chr01_bin004	4	25959767	32216192
LIN28A	1	chr01_bin004	4	25959767	32216192
DHDDS	1	chr01_bin004	4	25959767	32216192
HMGN2	1	chr01_bin004	4	25959767	32216192
RPS6KA1	1	chr01_bin004	4	25959767	32216192
ARID1A	1	chr01_bin004	4	25959767	32216192
PIGV	1	chr01_bin004	4	25959767	32216192
ZDHHC18	1	chr01_bin004	4	25959767	32216192
SFN	1	chr01_bin004	4	25959767	32216192
GPN2	1	chr01_bin004	4	25959767	32216192
GPATCH3	1	chr01_bin004	4	25959767	32216192
NUDC	1	chr01_bin004	4	25959767	32216192
NR0B2	1	chr01_bin004	4	25959767	32216192
KDF1	1	chr01_bin004	4	25959767	32216192
TRNP1	1	chr01_bin004	4	25959767	32216192
TENT5B	1	chr01_bin004	4	25959767	32216192
SLC9A1	1	chr01_bin004	4	25959767	32216192
WDTC1	1	chr01_bin004	4	25959767	32216192
TMEM222	1	chr01_bin004	4	25959767	32216192
SYTL1	1	chr01_bin004	4	25959767	32216192
MAP3K6	1	chr01_bin004	4	25959767	32216192
FCN3	1	chr01_bin004	4	25959767	32216192
CD164L2	1	chr01_bin004	4	25959767	32216192
GPR3	1	chr01_bin004	4	25959767	32216192
WASF2	1	chr01_bin004	4	25959767	32216192
AHDC1	1	chr01_bin004	4	25959767	32216192
FGR	1	chr01_bin004	4	25959767	32216192
LINC02574	1	chr01_bin004	4	25959767	32216192
IFI6	1	chr01_bin004	4	25959767	32216192
FAM76A	1	chr01_bin004	4	25959767	32216192
STX12	1	chr01_bin004	4	25959767	32216192
PPP1R8	1	chr01_bin004	4	25959767	32216192
THEMIS2	1	chr01_bin004	4	25959767	32216192
RPA2	1	chr01_bin004	4	25959767	32216192
SMPDL3B	1	chr01_bin004	4	25959767	32216192
XKR8	1	chr01_bin004	4	25959767	32216192
EYA3	1	chr01_bin004	4	25959767	32216192
PTAFR	1	chr01_bin004	4	25959767	32216192
DNAJC8	1	chr01_bin004	4	25959767	32216192
ATP5IF1	1	chr01_bin004	4	25959767	32216192
SESN2	1	chr01_bin004	4	25959767	32216192
MED18	1	chr01_bin004	4	25959767	32216192
PHACTR4	1	chr01_bin004	4	25959767	32216192
RCC1	1	chr01_bin004	4	25959767	32216192
SNHG3	1	chr01_bin004	4	25959767	32216192
TRNAU1AP	1	chr01_bin004	4	25959767	32216192
SNHG12	1	chr01_bin004	4	25959767	32216192
TAF12	1	chr01_bin004	4	25959767	32216192
RAB42	1	chr01_bin004	4	25959767	32216192
GMEB1	1	chr01_bin004	4	25959767	32216192
YTHDF2	1	chr01_bin004	4	25959767	32216192
OPRD1	1	chr01_bin004	4	25959767	32216192
EPB41	1	chr01_bin004	4	25959767	32216192
TMEM200B	1	chr01_bin004	4	25959767	32216192
SRSF4	1	chr01_bin004	4	25959767	32216192
MECR	1	chr01_bin004	4	25959767	32216192
PTPRU	1	chr01_bin004	4	25959767	32216192
LINC01756	1	chr01_bin004	4	25959767	32216192
LINC01648	1	chr01_bin004	4	25959767	32216192
MATN1	1	chr01_bin004	4	25959767	32216192
MATN1-AS1	1	chr01_bin004	4	25959767	32216192
LAPTM5	1	chr01_bin004	4	25959767	32216192
LINC01778	1	chr01_bin004	4	25959767	32216192
SDC3	1	chr01_bin004	4	25959767	32216192
PUM1	1	chr01_bin004	4	25959767	32216192
NKAIN1	1	chr01_bin004	4	25959767	32216192
SNRNP40	1	chr01_bin004	4	25959767	32216192
ZCCHC17	1	chr01_bin004	4	25959767	32216192
FABP3	1	chr01_bin004	4	25959767	32216192
SERINC2	1	chr01_bin004	4	25959767	32216192
LINC01226	1	chr01_bin004	4	25959767	32216192
TINAGL1	1	chr01_bin004	4	25959767	32216192
HCRTR1	1	chr01_bin004	4	25959767	32216192
PEF1	1	chr01_bin004	4	25959767	32216192
COL16A1	1	chr01_bin004	4	25959767	32216192
ADGRB2	1	chr01_bin004	4	25959767	32216192
SPOCD1	1	chr01_bin004	4	25959767	32216192
PTP4A2	1	chr01_bin004	4	25959767	32216192
KHDRBS1	1	chr01_bin004	4	25959767	32216192
TMEM39B	1	chr01_bin004	4	25959767	32216192
KPNA6	1	chr01_bin004	4	25959767	32216192
TXLNA	1	chr01_bin004	4	25959767	32216192
CCDC28B	1	chr01_bin004	4	25959767	32216192
IQCC	1	chr01_bin004	4	25959767	32216192
DCDC2B	1	chr01_bin004	4	25959767	32216192
TMEM234	1	chr01_bin005	5	32214472	39788865
EIF3I	1	chr01_bin005	5	32214472	39788865
FAM167B	1	chr01_bin005	5	32214472	39788865
LCK	1	chr01_bin005	5	32214472	39788865
HDAC1	1	chr01_bin005	5	32214472	39788865
MARCKSL1	1	chr01_bin005	5	32214472	39788865
TSSK3	1	chr01_bin005	5	32214472	39788865
FAM229A	1	chr01_bin005	5	32214472	39788865
BSDC1	1	chr01_bin005	5	32214472	39788865
ZBTB8B	1	chr01_bin005	5	32214472	39788865
ZBTB8A	1	chr01_bin005	5	32214472	39788865
ZBTB8OS	1	chr01_bin005	5	32214472	39788865
RBBP4	1	chr01_bin005	5	32214472	39788865
SYNC	1	chr01_bin005	5	32214472	39788865
S100PBP	1	chr01_bin005	5	32214472	39788865
FNDC5	1	chr01_bin005	5	32214472	39788865
HPCA	1	chr01_bin005	5	32214472	39788865
TMEM54	1	chr01_bin005	5	32214472	39788865
RNF19B	1	chr01_bin005	5	32214472	39788865
AK2	1	chr01_bin005	5	32214472	39788865
AZIN2	1	chr01_bin005	5	32214472	39788865
TRIM62	1	chr01_bin005	5	32214472	39788865
ZNF362	1	chr01_bin005	5	32214472	39788865
A3GALT2	1	chr01_bin005	5	32214472	39788865
PHC2	1	chr01_bin005	5	32214472	39788865
ZSCAN20	1	chr01_bin005	5	32214472	39788865
CSMD2	1	chr01_bin005	5	32214472	39788865
HMGB4	1	chr01_bin005	5	32214472	39788865
CSMD2-AS1	1	chr01_bin005	5	32214472	39788865
C1orf94	1	chr01_bin005	5	32214472	39788865
SMIM12	1	chr01_bin005	5	32214472	39788865
GJB5	1	chr01_bin005	5	32214472	39788865
GJB4	1	chr01_bin005	5	32214472	39788865
