sample_short	BRAF	EGFR	MET	RAF1	RET
TCGA-DE-A4MB-01	-0.002	-0.002	-0.002	-0.003	0.001
TCGA-DE-A4MC-01	-0.002	-0.002	-0.002	0.0	0.0
TCGA-DE-A4MD-01	-0.001	-0.001	-0.001	-0.003	0.0
TCGA-DE-A69J-01	0.001	0.001	0.001	-0.001	0.0
TCGA-DE-A69K-01	0.008	0.008	0.008	-0.002	0.0
TCGA-DE-A7U5-01	0.019	0.016	0.016	-0.003	0.0
TCGA-DJ-A13L-01	0.006	0.006	0.006	0.0	0.002
TCGA-DJ-A13M-01	-0.001	-0.001	-0.001	-0.001	0.007
TCGA-DJ-A13O-01	-0.001	0.001	0.001	0.0	-0.001
TCGA-DJ-A13P-01	0.0	0.0	0.0	0.004	-0.004
TCGA-DJ-A13R-01	0.0	0.0	0.0	0.001	-0.001
TCGA-DJ-A13S-01	-0.001	-0.001	-0.001	0.0	0.0
TCGA-DJ-A13T-01	-0.002	-0.002	-0.002	-0.001	0.004
TCGA-DJ-A13U-01	-0.003	-0.003	-0.003	-0.001	0.0
TCGA-DJ-A13V-01	0.001	0.001	0.001	0.001	0.0
TCGA-DJ-A13W-01	0.002	0.002	0.002	-0.002	-0.001
TCGA-DJ-A13X-01	0.0	0.0	0.0	0.002	-0.002
TCGA-DJ-A1QD-01	-0.001	-0.001	-0.001	0.003	0.001
TCGA-DJ-A1QE-01	0.004	0.004	0.004	-0.001	0.0
TCGA-DJ-A1QF-01	0.001	0.001	0.001	-0.001	-0.004
TCGA-DJ-A1QG-01	-0.001	-0.003	-0.001	-0.002	0.004
TCGA-DJ-A1QH-01	-0.005	-0.005	-0.005	0.001	-0.001
TCGA-DJ-A1QI-01	0.029	0.029	0.029	-0.004	0.014
TCGA-DJ-A1QL-01	-0.001	-0.001	-0.001	-0.001	0.004
TCGA-DJ-A1QM-01	0.0	0.0	0.0	0.001	-0.001
TCGA-DJ-A1QN-01	-0.004	0.0	-0.004	-0.003	0.0
TCGA-DJ-A1QO-01	0.001	0.001	0.001	0.001	-0.005
TCGA-DJ-A1QQ-01	0.0	0.0	0.0	-0.003	-0.009
TCGA-DJ-A2PN-01	0.001	-0.005	0.001	0.002	0.001
TCGA-DJ-A2PO-01	0.002	0.002	0.002	0.0	0.001
TCGA-DJ-A2PP-01	-0.001	-0.001	-0.001	-0.029	0.0
TCGA-DJ-A2PQ-01	0.0	0.0	0.0	0.0	-0.001
TCGA-DJ-A2PR-01	-0.003	-0.003	-0.003	0.0	0.002
TCGA-DJ-A2PS-01	-0.002	0.0	-0.002	-0.003	0.0
TCGA-DJ-A2PT-01	0.01	0.01	0.01	0.0	-0.002
TCGA-DJ-A2PU-01	0.021	0.021	0.021	0.016	-0.003
TCGA-DJ-A2PV-01	0.1	0.1	0.1	-0.002	-0.013
TCGA-DJ-A2PW-01	0.001	0.001	0.001	0.001	-0.002
TCGA-DJ-A2PX-01	-0.001	-0.001	-0.001	0.0	0.002
TCGA-DJ-A2PY-01	0.002	0.002	0.002	0.001	0.0
TCGA-DJ-A2PZ-01	0.0	0.003	0.0	-0.003	-0.001
TCGA-DJ-A2Q0-01	0.462	0.462	0.462	0.003	-0.006
TCGA-DJ-A2Q1-01	0.003	0.003	0.003	-0.002	0.005
TCGA-DJ-A2Q2-01	0.002	0.002	0.002	-0.001	-0.005
TCGA-DJ-A2Q3-01	0.009	0.009	0.009	-0.003	-0.009
TCGA-DJ-A2Q4-01	-0.003	0.0	-0.003	0.0	0.0
TCGA-DJ-A2Q5-01	0.0	0.0	0.0	0.002	0.0
TCGA-DJ-A2Q6-01	0.008	0.008	0.008	0.001	-0.004
TCGA-DJ-A2Q7-01	0.001	-0.001	0.001	0.0	-0.001
TCGA-DJ-A2Q9-01	0.014	0.014	0.014	0.012	-0.001
TCGA-DJ-A2QA-01	0.012	0.012	0.012	0.0	-0.002
TCGA-DJ-A2QB-01	-0.001	-0.001	-0.001	-0.001	0.0
TCGA-DJ-A2QC-01	0.002	0.002	0.002	-0.001	0.0
TCGA-DJ-A3UK-01	-0.003	0.0	-0.003	-0.004	0.003
TCGA-DJ-A3UM-01	-0.002	-0.002	-0.002	-0.002	0.0
TCGA-DJ-A3UN-01	0.009	0.009	0.009	-0.011	0.005
TCGA-DJ-A3UO-01	0.003	0.003	0.003	-0.005	0.003
TCGA-DJ-A3UP-01	0.0	0.0	0.0	-0.003	0.0
TCGA-DJ-A3UQ-01	0.009	0.009	0.009	-0.001	0.002
TCGA-DJ-A3UR-01	-0.002	-0.002	-0.002	-0.007	-0.002
TCGA-DJ-A3US-01	0.003	0.003	0.003	-0.002	0.0
TCGA-DJ-A3UT-01	-0.003	-0.003	-0.003	-0.001	-0.001
TCGA-DJ-A3UU-01	-0.001	-0.001	-0.001	-0.005	-0.002
TCGA-DJ-A3UW-01	0.003	0.003	0.003	0.0	-0.002
TCGA-DJ-A3UX-01	-0.001	-0.002	-0.002	0.001	-0.002
TCGA-DJ-A3UY-01	0.004	0.001	0.004	-0.002	-0.002
TCGA-DJ-A3UZ-01	0.006	0.006	0.006	-0.003	0.001
TCGA-DJ-A3V0-01	0.0	0.0	0.0	0.005	-0.003
TCGA-DJ-A3V2-01	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A3V3-01	0.0	0.0	0.0	-0.002	0.0
TCGA-DJ-A3V4-01	-0.001	-0.001	-0.001	0.0	0.001
TCGA-DJ-A3V5-01	0.003	0.001	0.003	0.008	-0.002
TCGA-DJ-A3V7-01	-0.004	-0.004	-0.004	-0.002	0.004
TCGA-DJ-A3V8-01	-0.001	-0.001	-0.001	-0.002	0.003
TCGA-DJ-A3V9-01	0.003	0.003	0.003	-0.003	-0.001
TCGA-DJ-A3VA-01	0.001	0.001	0.001	-0.002	0.001
TCGA-DJ-A3VB-01	0.018	0.018	0.018	0.002	0.001
TCGA-DJ-A3VD-01	-0.008	-0.001	0.002	-0.001	-0.002
TCGA-DJ-A3VE-01	0.001	0.001	0.001	0.001	0.001
TCGA-DJ-A3VF-01	0.005	0.005	0.005	0.001	-0.002
TCGA-DJ-A3VG-01	0.0	0.0	0.0	-0.002	-0.002
TCGA-DJ-A3VI-01	-0.001	-0.001	-0.001	-0.001	0.0
TCGA-DJ-A3VJ-01	-0.002	-0.002	-0.002	-0.001	0.0
TCGA-DJ-A3VK-01	-0.002	-0.002	-0.002	-0.008	0.002
TCGA-DJ-A3VL-01	-0.001	-0.001	-0.001	-0.004	0.0
TCGA-DJ-A3VM-01	-0.767	-0.002	-0.002	-0.005	0.007
TCGA-DJ-A4UL-01	0.005	0.005	0.005	0.0	-0.009
TCGA-DJ-A4UP-01	0.001	0.001	0.001	-0.001	-0.001
TCGA-DJ-A4UQ-01	0.004	0.001	0.004	-0.002	0.001
TCGA-DJ-A4UR-01	0.002	0.002	0.002	-0.006	0.009
TCGA-DJ-A4UT-01	-0.001	-0.001	-0.001	0.0	0.0
TCGA-DJ-A4UW-01	-0.001	-0.001	-0.001	-0.006	-0.002
TCGA-DJ-A4V0-01	0.001	0.001	0.001	-0.001	-0.003
TCGA-DJ-A4V2-01	-0.001	-0.001	-0.001	0.0	0.0
TCGA-DJ-A4V4-01	-0.001	-0.001	-0.001	-0.002	0.017
TCGA-DJ-A4V5-01	0.004	0.004	0.004	0.0	-0.003
TCGA-DO-A1JZ-01	-0.008	-0.007	-0.007	0.002	0.0
TCGA-DO-A1K0-01	0.0	0.0	0.0	0.002	0.0
TCGA-DO-A2HM-01	0.0	0.0	0.0	0.0	-0.001
TCGA-E3-A3DY-01	0.0	0.0	0.0	0.0	-0.002
TCGA-E3-A3DZ-01	0.001	0.001	0.001	-0.002	0.0
TCGA-E3-A3E0-01	0.001	0.003	0.001	0.001	0.0
TCGA-E3-A3E1-01	0.004	0.004	0.004	0.0	0.001
TCGA-E3-A3E2-01	0.0	0.0	0.0	-0.001	0.003
TCGA-E3-A3E3-01	0.002	0.004	0.002	0.001	-0.004
TCGA-E3-A3E5-01	-0.002	-0.002	-0.002	-0.002	0.01
TCGA-E8-A242-01	0.006	0.006	0.006	0.0	-0.002
TCGA-E8-A2EA-01	0.005	0.005	0.005	0.0	-0.005
TCGA-E8-A3X7-01	0.001	0.001	0.001	-0.004	-0.001
TCGA-E8-A413-01	-0.002	0.0	-0.002	-0.003	-0.003
TCGA-E8-A414-01	-0.002	-0.002	-0.002	-0.003	-0.001
TCGA-E8-A415-01	0.002	0.002	0.002	-0.004	-0.002
TCGA-E8-A416-01	0.001	0.0	0.001	-0.005	0.001
TCGA-E8-A417-01	0.0	0.0	0.0	-0.001	0.0
TCGA-E8-A418-01	0.003	0.003	0.003	-0.002	0.0
TCGA-E8-A419-01	0.002	0.002	0.002	0.0	0.0
TCGA-E8-A432-01	0.028	0.013	0.013	0.0	-0.393
TCGA-E8-A433-01	0.0	0.0	0.0	-0.001	-0.002
TCGA-E8-A434-01	0.004	0.004	0.004	0.003	-0.001
TCGA-E8-A436-01	0.003	0.003	0.003	0.0	-0.002
TCGA-E8-A437-01	-0.001	-0.001	-0.001	-0.001	0.003
TCGA-E8-A438-01	0.003	0.003	0.003	0.003	-0.001
TCGA-E8-A44K-01	0.001	0.008	0.001	0.002	-0.003
TCGA-E8-A44M-01	0.001	0.001	0.001	0.001	0.0
TCGA-EL-A3CL-01	-0.003	-0.001	-0.001	-0.004	0.005
TCGA-EL-A3CM-01	-0.001	-0.001	-0.001	0.003	-0.002
TCGA-EL-A3CN-01	0.003	0.003	0.003	0.0	0.0
TCGA-EL-A3CO-01	0.001	0.001	0.001	-0.002	-0.002
TCGA-EL-A3CP-01	-0.001	-0.001	-0.001	-0.003	0.002
TCGA-EL-A3CR-01	0.02	0.029	0.02	-0.003	-0.002
TCGA-EL-A3CS-01	-0.001	-0.001	-0.001	0.001	-0.002
TCGA-EL-A3CT-01	0.004	0.004	0.004	0.0	-0.002
TCGA-EL-A3CU-01	0.003	0.003	0.003	-0.002	-0.001
TCGA-EL-A3CV-01	0.001	0.001	0.001	0.001	0.001
TCGA-EL-A3CW-01	-0.001	-0.001	-0.001	0.001	-0.001
TCGA-EL-A3CX-01	0.0	0.0	0.0	-0.001	0.001
TCGA-EL-A3CY-01	0.001	0.001	0.001	-0.001	0.001
TCGA-EL-A3CZ-01	-0.001	0.0	-0.001	0.0	-0.003
TCGA-EL-A3D1-01	0.008	0.008	0.008	-0.004	0.009
TCGA-EL-A3D4-01	0.005	0.0	0.0	-0.002	0.004
TCGA-EL-A3D6-01	0.005	0.005	0.005	-0.003	-0.001
TCGA-EL-A3GO-01	-0.003	-0.003	-0.003	0.0	0.008
TCGA-EL-A3GP-01	0.018	0.0	0.0	-0.006	0.016
TCGA-EL-A3GQ-01	0.003	0.005	0.003	0.0	0.0
TCGA-EL-A3GR-01	-0.002	-0.001	-0.001	0.002	-0.002
TCGA-EL-A3GS-01	0.0	0.0	0.0	-0.001	-0.003
TCGA-EL-A3GU-01	0.0	0.0	0.0	0.0	-0.002
TCGA-EL-A3GV-01	0.0	0.0	0.0	-0.001	0.0
TCGA-EL-A3GW-01	-0.001	-0.001	-0.001	-0.007	0.009
TCGA-EL-A3GX-01	0.0	0.0	0.0	0.0	0.001
TCGA-EL-A3GY-01	-0.003	0.0	0.0	0.001	0.001
TCGA-EL-A3GZ-01	-0.001	-0.001	-0.001	0.0	-0.002
TCGA-EL-A3H1-01	0.002	0.002	0.002	0.0	0.005
TCGA-EL-A3H2-01	0.004	0.004	0.004	0.003	-0.003
TCGA-EL-A3H3-01	0.002	0.002	0.002	0.001	-0.61
TCGA-EL-A3H4-01	-0.001	-0.001	-0.001	0.0	0.001
TCGA-EL-A3H5-01	0.006	0.006	0.006	0.0	0.003
TCGA-EL-A3H7-01	-0.001	-0.001	-0.001	0.0	-0.001
TCGA-EL-A3H8-01	0.0	0.0	0.0	-0.002	-0.003
TCGA-EL-A3MW-01	0.0	0.0	0.0	0.001	-0.002
TCGA-EL-A3MX-01	0.044	0.044	0.044	0.476	0.003
TCGA-EL-A3MY-01	0.001	0.001	0.001	-0.002	-0.001
TCGA-EL-A3MZ-01	0.003	0.003	0.003	-0.003	-0.001
TCGA-EL-A3N2-01	-0.001	-0.001	-0.001	0.0	-0.003
TCGA-EL-A3N3-01	0.008	0.006	0.006	0.0	0.002
TCGA-EL-A3T0-01	0.003	0.003	0.003	0.002	0.0
TCGA-EL-A3T1-01	0.002	0.002	0.002	0.0	0.0
TCGA-EL-A3T2-01	0.0	0.0	0.0	0.002	0.007
TCGA-EL-A3T3-01	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3T6-01	-0.003	-0.003	-0.003	0.003	0.0
TCGA-EL-A3T7-01	0.0	0.0	0.0	0.001	0.0
TCGA-EL-A3T8-01	0.002	0.003	0.002	0.0	0.001
TCGA-EL-A3T9-01	1.07	1.07	1.07	-0.01	-0.494
TCGA-EL-A3TA-01	0.0	0.0	0.0	-0.005	0.0
TCGA-EL-A3TB-01	0.0	0.0	0.0	0.001	0.0
TCGA-EL-A3ZG-01	0.001	0.001	0.001	0.001	-0.002
TCGA-EL-A3ZH-01	0.002	0.002	0.002	-0.011	-0.004
TCGA-EL-A3ZK-01	0.001	0.001	0.001	0.004	0.0
TCGA-EL-A3ZL-01	-0.007	0.004	-0.007	-0.003	0.005
TCGA-EL-A3ZM-01	0.802	0.802	0.802	-0.013	0.0
TCGA-EL-A3ZN-01	0.0	0.0	0.0	-0.001	-0.001
TCGA-EL-A3ZO-01	0.027	0.022	0.022	-0.006	-0.037
TCGA-EL-A3ZP-01	-0.001	-0.001	-0.001	-0.003	-0.002
TCGA-EL-A3ZQ-01	0.001	0.0	0.0	0.0	0.001
TCGA-EL-A3ZR-01	0.0	0.0	0.0	-0.003	-0.005
TCGA-EL-A3ZS-01	0.001	0.001	0.001	-0.001	0.001
TCGA-EL-A3ZT-01	-0.001	-0.001	-0.001	-0.008	-0.002
TCGA-EL-A4JV-01	0.002	0.002	0.002	-0.006	0.002
TCGA-EL-A4JW-01	0.0	0.0	0.0	0.002	0.002
TCGA-EL-A4JX-01	0.006	0.0	0.006	0.003	-0.001
TCGA-EL-A4JZ-01	0.007	0.007	0.007	-0.005	0.003
TCGA-EL-A4K0-01	0.001	0.001	0.001	-0.001	-0.001
TCGA-EL-A4K1-01	0.001	0.001	0.001	0.002	0.0
TCGA-EL-A4K2-01	0.0	0.0	0.0	-0.002	-0.001
TCGA-EL-A4K4-01	-0.002	-0.002	-0.002	0.003	0.002
TCGA-EL-A4K6-01	-0.009	-0.009	-0.009	-0.001	-0.003
TCGA-EL-A4K7-01	0.002	0.004	0.002	0.001	-0.002
TCGA-EL-A4K9-01	-0.001	-0.001	-0.001	-0.004	0.003
TCGA-EL-A4KD-01	0.004	0.004	0.004	0.001	-0.001
TCGA-EL-A4KG-01	0.003	-0.003	-0.003	-0.001	-0.002
TCGA-EL-A4KH-01	0.001	0.001	0.001	0.0	-0.005
TCGA-EL-A4KI-01	0.0	0.0	0.0	0.0	-0.357
TCGA-EM-A1CS-01	0.001	0.001	0.001	-0.002	0.0
TCGA-EM-A1CT-01	0.004	0.0	0.0	0.002	0.0
TCGA-EM-A1CU-01	0.002	-0.001	0.003	0.0	0.001
TCGA-EM-A1CV-01	-0.002	-0.002	-0.002	0.001	0.0
TCGA-EM-A1CW-01	0.0	0.0	0.0	0.001	0.0
TCGA-EM-A1YA-01	0.0	0.0	0.0	0.004	0.0
TCGA-EM-A1YB-01	0.0	-0.004	0.0	-0.001	0.001
TCGA-EM-A1YC-01	1.32	1.32	1.32	-0.004	0.658
TCGA-EM-A1YD-01	0.438	0.438	0.438	-0.022	-0.021
TCGA-EM-A1YE-01	0.025	0.025	0.025	0.025	0.023
TCGA-EM-A22I-01	0.012	0.008	0.012	-0.002	-0.004
TCGA-EM-A22J-01	-0.009	-0.002	-0.009	-0.002	-0.028
TCGA-EM-A22K-01	-0.002	-0.002	-0.002	-0.002	0.006
TCGA-EM-A22L-01	-0.001	-0.001	-0.001	0.0	0.007
TCGA-EM-A22M-01	0.001	0.001	0.001	-0.003	-0.001
TCGA-EM-A22N-01	0.396	0.386	0.396	0.384	0.382
TCGA-EM-A22O-01	0.001	0.001	0.001	0.0	-0.008
TCGA-EM-A22P-01	-0.001	-0.001	-0.001	0.0	0.002
TCGA-EM-A22Q-01	0.002	0.002	0.002	0.0	-0.006
TCGA-EM-A2CJ-01	0.697	-0.001	0.697	-0.801	0.002
TCGA-EM-A2CK-01	-0.001	-0.001	-0.001	0.0	0.0
TCGA-EM-A2CL-01	0.0	0.0	0.0	-0.002	-0.002
TCGA-EM-A2CN-01	-0.001	-0.001	-0.001	-0.003	-0.002
TCGA-EM-A2CO-01	0.27	0.27	0.27	0.254	-0.008
TCGA-EM-A2CP-01	0.0	0.0	0.0	-0.002	0.0
TCGA-EM-A2CQ-01	0.003	0.003	0.003	0.005	-0.003
TCGA-EM-A2CT-01	0.0	0.0	0.0	-0.002	0.0
TCGA-EM-A2CU-01	0.001	0.001	0.001	0.0	-0.002
TCGA-EM-A2OV-01	0.0	0.0	0.0	0.001	0.0
TCGA-EM-A2OW-01	-0.003	0.002	-0.003	0.002	-0.006
TCGA-EM-A2OX-01	0.006	0.005	0.005	-0.004	-0.004
TCGA-EM-A2OY-01	1.01	1.01	1.01	-0.008	0.002
TCGA-EM-A2OZ-01	0.001	0.001	0.001	-0.002	-0.001
TCGA-EM-A2P0-01	0.0	0.0	0.0	-0.002	0.0
TCGA-EM-A2P1-01	0.002	0.002	0.002	0.0	0.001
TCGA-EM-A2P2-01	-0.002	-0.002	-0.002	0.001	-0.007
TCGA-EM-A2P3-01	-0.003	-0.003	-0.003	0.001	-0.005
TCGA-EM-A3AI-01	1.48	1.48	1.48	-0.003	-0.016
TCGA-EM-A3AJ-01	-0.002	-0.002	-0.002	0.002	-0.002
TCGA-EM-A3AK-01	0.001	0.001	0.001	0.002	0.002
TCGA-EM-A3AL-01	-0.002	-0.002	-0.002	0.001	0.002
TCGA-EM-A3AN-01	0.0	0.0	0.0	0.001	0.0
TCGA-EM-A3AO-01	0.005	0.005	0.005	-0.001	-0.001
TCGA-EM-A3AP-01	0.009	-0.009	-0.007	-0.002	-0.005
TCGA-EM-A3AQ-01	-0.002	-0.002	-0.002	0.0	0.0
TCGA-EM-A3AR-01	-0.001	-0.001	-0.001	0.001	-0.003
TCGA-EM-A3FJ-01	0.0	0.0	0.0	-0.002	0.002
TCGA-EM-A3FK-01	0.003	0.003	0.003	-0.004	0.001
TCGA-EM-A3FL-01	-0.002	-0.002	-0.002	0.0	-0.003
TCGA-EM-A3FM-01	0.002	0.002	0.002	-0.002	-0.003
TCGA-EM-A3FN-01	-0.021	0.004	-0.021	-0.008	-0.013
TCGA-EM-A3FO-01	0.003	0.003	0.003	0.0	0.0
TCGA-EM-A3FP-01	-0.001	0.001	-0.001	0.001	0.0
TCGA-EM-A3FQ-01	0.0	0.0	0.0	0.001	0.002
TCGA-EM-A3FR-01	-0.001	-0.001	-0.001	0.003	-0.001
TCGA-EM-A3O3-01	-0.002	-0.002	-0.002	-0.003	0.007
TCGA-EM-A3O6-01	0.004	0.003	0.004	-0.002	0.003
TCGA-EM-A3O7-01	0.0	0.0	0.0	0.0	0.001
TCGA-EM-A3O8-01	0.004	0.004	0.004	0.002	0.002
TCGA-EM-A3O9-01	0.318	0.318	0.318	-0.012	-0.32
TCGA-EM-A3OA-01	-0.003	-0.003	-0.003	0.001	0.0
TCGA-EM-A3OB-01	0.0	0.0	0.0	0.003	-0.003
TCGA-EM-A3ST-01	0.002	0.002	0.002	-0.004	0.001
TCGA-EM-A3SU-01	-0.002	-0.002	-0.002	-0.006	-0.001
TCGA-EM-A3SX-01	0.001	0.001	0.001	-0.004	0.003
TCGA-EM-A3SY-01	0.439	0.439	0.439	0.004	-0.015
TCGA-EM-A3SZ-01	-0.001	-0.001	-0.001	-0.003	0.0
TCGA-EM-A4FF-01	0.002	0.002	0.002	-0.002	-0.005
TCGA-EM-A4FH-01	0.004	0.004	0.004	-0.001	0.002
TCGA-EM-A4FK-01	0.001	0.001	0.001	0.0	-0.001
TCGA-EM-A4FM-01	0.002	0.002	0.002	0.002	0.0
TCGA-EM-A4FN-01	0.001	0.001	0.001	-0.002	0.002
TCGA-EM-A4FO-01	0.013	0.005	0.005	0.002	-0.004
TCGA-EM-A4FQ-01	0.0	0.0	0.0	-0.001	-0.002
TCGA-EM-A4FR-01	0.001	0.001	0.001	-0.005	0.007
TCGA-EM-A4FU-01	0.0	0.0	0.0	-0.005	0.005
TCGA-EM-A4FV-01	-0.002	-0.002	-0.002	-0.001	-0.004
TCGA-EM-A4G1-01	-0.001	-0.001	-0.001	0.0	-0.002
TCGA-ET-A25G-01	0.003	0.003	0.003	-0.001	-0.003
TCGA-ET-A25I-01	0.001	0.001	0.001	0.0	0.0
TCGA-ET-A25J-01	0.0	-0.001	-0.001	0.0	-0.003
TCGA-ET-A25K-01	0.0	0.0	0.0	-0.001	-0.002
TCGA-ET-A25L-01	-0.001	-0.005	-0.001	0.002	0.0
TCGA-ET-A25M-01	0.002	0.002	0.002	0.001	-0.002
TCGA-ET-A25N-01	0.0	0.001	0.0	-0.006	-0.003
TCGA-ET-A25O-01	0.0	0.0	0.0	-0.002	0.01
TCGA-ET-A25P-01	0.0	0.0	0.0	0.001	-0.009
TCGA-ET-A25R-01	-0.001	-0.001	-0.001	-0.001	-0.003
TCGA-ET-A2MX-01	-0.884	-0.004	0.001	-0.002	-0.002
TCGA-ET-A2MY-01	0.005	0.005	0.005	-0.006	0.002
TCGA-ET-A2MZ-01	0.333	0.333	0.333	-0.038	-0.044
TCGA-ET-A2N0-01	-0.002	-0.002	-0.002	-0.001	-0.003
TCGA-ET-A2N3-01	-0.001	-0.001	-0.001	0.001	-0.003
TCGA-ET-A2N4-01	0.001	-0.002	0.001	-0.002	0.015
TCGA-ET-A2N5-01	0.001	-0.002	-0.002	-0.002	-0.004
TCGA-ET-A39I-01	0.0	0.0	0.0	-0.003	-0.004
TCGA-ET-A39J-01	0.0	0.0	0.0	-0.001	0.0
TCGA-ET-A39K-01	-0.001	-0.001	-0.001	-0.003	0.002
TCGA-ET-A39L-01	-0.001	-0.001	-0.001	0.007	0.003
TCGA-ET-A39M-01	0.075	0.075	0.075	0.041	-0.012
TCGA-ET-A39N-01	0.694	0.694	0.694	-0.244	-0.25
TCGA-ET-A39O-01	0.002	0.002	0.002	0.0	0.0
TCGA-ET-A39P-01	0.005	0.005	0.005	0.001	0.0
TCGA-ET-A39R-01	0.0	0.0	0.0	-0.002	-0.001
TCGA-ET-A39S-01	0.0	0.0	0.0	0.0	0.004
TCGA-ET-A39T-01	0.0	0.0	0.0	-0.001	0.002
TCGA-ET-A3BN-01	0.0	0.0	0.0	0.004	0.0
