clean_rank	compound	perturbation_class	proposed_use	evidence_level	thyroid_specific_support	mechanism_rationale	major_caveat	required_validation_assay	proposal_wording_allowed	proposal_wording_forbidden	source	target	drug_id	drug_label	rank_score	n_thyroid_models	spearman_lineage_sensitivity_thyroid	p_lineage_sensitivity_thyroid
11	BELINOSTAT	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	B	thyroid lines n=4, rho=-1.00, p=0; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	CTRP_AUC	HDAC1,HDAC2	DPC-000965	BELINOSTAT DPC-000965	1.8125730522354724	4.0	-1.0	0.0
12	JQ-1:VORINOSTAT (2:1 MOL/MOL)	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	B	thyroid lines n=9, rho=0.72, p=0.0298; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	CTRP_AUC	HDAC1,HDAC2	DPC-003577	JQ-1:VORINOSTAT (2:1 MOL/MOL) DPC-003577	1.7822133549872303	9.0	0.7166666666666667	0.0298180356958452
13	MITOMYCIN	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=11, rho=-0.44, p=0.18; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-004225	MITOMYCIN DPC-004225	1.1894144754673068	11.0	-0.4363636363636364	0.1796648765800111
14	BLEOMYCIN A2	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=9, rho=-0.38, p=0.308; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-001134	BLEOMYCIN A2 DPC-001134	1.006600989750587	9.0	-0.3833333333333333	0.3084952723803716
15	SNS-032	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=11, rho=-0.33, p=0.326; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	CDK7,CDK9	DPC-006008	SNS-032 DPC-006008	0.9417646709163447	11.0	-0.3272727272727273	0.3258949410128415
16	SNX-2112:BORTEZOMIB (250:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=11, rho=0.34, p=0.312; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-006011	SNX-2112:BORTEZOMIB (250:1 MOL/MOL) DPC-006011	0.9148550052604044	11.0	0.3363636363636363	0.3118243139003863
17	TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=11, rho=0.29, p=0.385; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-006266	TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL) DPC-006266	0.8060024123621217	11.0	0.2909090909090909	0.3854569696913654
18	DECITABINE	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	B	thyroid lines n=10, rho=-0.25, p=0.489; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	CTRP_AUC	DNMT1,DNMT3B	DPC-002110	DECITABINE DPC-002110	0.7419760261394348	10.0	-0.2484848484848484	0.4887763045192432
19	DECITABINE:NAVITOCLAX (2:1 MOL/MOL)	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	B	thyroid lines n=10, rho=-0.25, p=0.489; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	CTRP_AUC	BCL2L1,DNMT1,DNMT3B	DPC-002112	DECITABINE:NAVITOCLAX (2:1 MOL/MOL) DPC-002112	0.7223090158211607	10.0	-0.2484848484848484	0.4887763045192432
20	TRETINOIN:NAVITOCLAX (4:1 MOL/MOL)	RAI redifferentiation / MAPK-axis modulation	Test RAI redifferentiation and iodide uptake restoration.	B	thyroid lines n=11, rho=-0.23, p=0.501; exploratory small-N	MAPK-axis attenuation is mechanistically linked to thyroid differentiation and RAI redifferentiation hypotheses.	Public screen does not prove NIS induction or iodide uptake restoration.	NIS/SLC5A5, TG/TPO/PAX8 protein/RNA plus iodide uptake after perturbation.	MAPK-axis perturbation class nominated for RAI-restoration testing.	This drug restores RAI sensitivity in patients.	CTRP_AUC	BCL2L1	DPC-006611	TRETINOIN:NAVITOCLAX (4:1 MOL/MOL) DPC-006611	0.7123613149539759	11.0	-0.2277910237891026	0.5005338307078093
21	BLEOMYCIN	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=12, rho=0.20, p=0.542; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC1_AUC	MYC	DPC-001132	BLEOMYCIN DPC-001132	0.67893971575257	12.0	0.1958041958041958	0.5419358857313173
22	FEDRATINIB	HLA/APM restoration / immune visibility modulation	Use as JAK/IFN pathway-control hypothesis; do not frame as HLA/APM restoration unless rescue is observed.	B	thyroid lines n=12, rho=0.23, p=0.471; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibition can oppose IFN-driven HLA/APM induction; treat as pathway-control hypothesis, not restoration therapy.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC1_AUC	JAK1,JAK2	DPC-006431	FEDRATINIB DPC-006431	0.6723225938081838	12.0	0.2307692307692307	0.470531995381542
23	AZD5991	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=11, rho=-0.19, p=0.584; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC2_AUC	MCL1	DPC-000850	AZD5991 DPC-000850	0.6683822741459652	11.0	-0.1860968420796941	0.5837844345326316
24	MANUMYCIN A	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=10, rho=-0.21, p=0.556; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-004005	MANUMYCIN A DPC-004005	0.6155853873354618	10.0	-0.2121212121212121	0.5563057751029299
25	ISOX:BORTEZOMIB (250:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=10, rho=0.20, p=0.58; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-003508	ISOX:BORTEZOMIB (250:1 MOL/MOL) DPC-003508	0.6100489263161941	10.0	0.1999999999999999	0.5795840000000002
26	BRD-A02303741:NAVITOCLAX (2:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=10, rho=0.21, p=0.556; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-001207	BRD-A02303741:NAVITOCLAX (2:1 MOL/MOL) DPC-001207	0.6098001383610877	10.0	0.2121212121212121	0.5563057751029299
27	ALISERTIB:NAVITOCLAX (2:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=11, rho=-0.19, p=0.574; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	AURKA,BCL2L1	DPC-000429	ALISERTIB:NAVITOCLAX (2:1 MOL/MOL) DPC-000429	0.5875410992077924	11.0	-0.1909090909090909	0.5739131682855213
28	JQ-1:NAVITOCLAX (2:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=11, rho=-0.18, p=0.593; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-003575	JQ-1:NAVITOCLAX (2:1 MOL/MOL) DPC-003575	0.5837111698306956	11.0	-0.1818181818181818	0.5926152128455
29	OLIGOMYCIN A	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=10, rho=-0.19, p=0.603; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-004751	OLIGOMYCIN A DPC-004751	0.5519193541409598	10.0	-0.1878787878787878	0.6032176100292089
30	DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=10, rho=0.19, p=0.603; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-002314	DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL) DPC-002314	0.5337486113068126	10.0	0.1878787878787878	0.6032176100292089
31	MITOMYCIN-C	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=12, rho=-0.16, p=0.618; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC1_AUC	MYC	DPC-004226	MITOMYCIN-C DPC-004226	0.5010632465620116	12.0	-0.1608391608391608	0.6175234895401425
32	DINACICLIB	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=4, rho=-0.20, p=0.8; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	CDK9	DPC-002267	DINACICLIB DPC-002267	0.4764988937112399	4.0	-0.1999999999999999	0.8
33	SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=10, rho=0.13, p=0.726; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-005968	SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL) DPC-005968	0.4701886936172144	10.0	0.1272727272727272	0.7260570147627894
34	RAPAMYCIN	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=10, rho=0.13, p=0.726; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-007474	RAPAMYCIN DPC-007474	0.4575088525608451	10.0	0.1272727272727272	0.7260570147627894
35	NAVITOCLAX:PIPERLONGUMINE (1:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=10, rho=-0.13, p=0.726; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-004481	NAVITOCLAX:PIPERLONGUMINE (1:1 MOL/MOL) DPC-004481	0.4353890321613967	10.0	-0.1272727272727272	0.7260570147627894
36	VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL)	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	B	thyroid lines n=10, rho=0.09, p=0.803; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	CTRP_AUC	HDAC1,HDAC2	DPC-006875	VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL) DPC-006875	0.3871588914549699	10.0	0.0909090909090908	0.8027717312071619
37	VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL)	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	B	thyroid lines n=11, rho=0.08, p=0.811; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	CTRP_AUC	BCL2L1,HDAC1,HDAC2	DPC-006876	VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL) DPC-006876	0.3165012600255023	11.0	0.0818181818181818	0.8109903943000459
38	LEPTOMYCIN B	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=11, rho=0.08, p=0.811; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-003773	LEPTOMYCIN B DPC-003773	0.2925345211991251	11.0	0.0818181818181818	0.8109903943000459
