doi	title	abstract	year	pmid	pmcid	matched_via
10.1016/j.ando.2026.102523	HOW GENETICS CHANGED OR WILL CHANGE THE THERAPY IN THYROID NODULES WITH INDETERMINATE CYTOLOGY.		2026	41866067		europepmc
10.1530/etj-24-0371	Personalized treatment of 95 poorly differentiated thyroid cancer/anaplastic thyroid cancer in 2019-2023.		2025	41104970	PMC12598928	europepmc
10.1158/1078-0432.ccr-25-0270	Clinical Implications and Application of Molecular Testing in the Diagnosis and Management of Thyroid Nodules in the Chinese Population.		2025	40577541	PMC12666309	europepmc
10.1007/s00428-025-04334-9	The actual and future role of molecular tests in thyroid pathology.		2026	41242985	PMC12876085	europepmc
10.1097/md.0000000000044540	Prognostic significance of BRAF V600E and TERT promoter mutations in radioiodine resistance and recurrence of differentiated thyroid cancer.		2025	40988283	PMC12459508	europepmc
10.5603/fhc.106400	Genetic alterations in papillary thyroid cancer: clinicopathological correlations and diagnostic implications.		2025	41031922		europepmc
10.1530/erc-25-0273	TERT promoter mutations and recurrence patterns in differentiated thyroid carcinoma.		2026	41604294	PMC12921681	europepmc
10.21203/rs.3.rs-8731958/v1	Prognostic Value and Therapeutic Response Prediction of BRAF, RAS, and TERT Gene Mutations in Thyroid Cancer: A Large-Scale Analysis Based on the Cosmic Database		2026			europepmc
10.1016/j.arcmed.2025.103366	Decoding the Mutational Hierarchy of Thyroid Cancer and Associated Signaling Pathways.		2026	41494277		europepmc
10.1530/ec-25-0751	Prognostic factors evaluated in differentiated thyroid carcinomas.		2026	41400051	PMC12766567	europepmc
10.3389/fendo.2026.1709736	Association between clinical and pathological factors and risk of radioiodine refractory in patients with differentiated thyroid carcinoma.		2026	41890185	PMC13012975	europepmc
10.3389/fmed.2026.1790226	Development and validation of a machine learning model for predicting high-risk distant metastatic recurrence in differentiated thyroid cancer.		2026	41877795	PMC13006264	europepmc
10.1038/s41698-026-01371-8	Impact of BRAF, TERT, and novel mutations on the efficacy of lenvatinib for advanced papillary thyroid cancer: A national genomic database analysis.		2026	41851192		europepmc
10.1007/s11060-026-05507-5	A differentiated thyroid carcinoma-specific graded prognostic assessment for brain metastases: derivation in a 10,306-patient cohort and external validation.		2026	41981321	PMC13079536	europepmc
10.1007/s13304-025-02448-y	Evaluation of BRAF V600E and TERT mutation analysis in differential thyroid cancers.		2025	41125874		europepmc
10.3389/fonc.2026.1692528	Case Report: Diagnosis and treatment strategy for a case of multiple chest wall implantations and neck lymph node metastasis following total areola endoscopic surgery for papillary thyroid carcinoma.		2026	41815551	PMC12971521	europepmc
10.3390/biomedicines14010168	State of the Art on Thyroid Cancer Biology and Oncology.		2026	41595702	PMC12838939	europepmc
10.1210/jcemcr/luaf207	Telomerase Reverse Transcriptase-mutated Follicular Variant Papillary Thyroid Cancer With Tibial Metastasis.		2025	40979820	PMC12448883	europepmc
10.1111/pin.70058	Malignant Potential of Thyroid Follicular Nodular Disease With Solid/Trabecular Components: A Case Report.		2025	41090246	PMC12747683	europepmc
10.3390/cancers17172851	High &lt;i&gt;RAS&lt;/i&gt; Allele Frequency Signals Increased Risk of &lt;i&gt;TERT&lt;/i&gt; Promoter Mutations in Thyroid Tumors.		2025	40940948	PMC12427226	europepmc
10.3390/genes17010036	Review of Genomic Drivers of Thyroid Cancer and Their Clinical Implications.		2025	41595456	PMC12840629	europepmc
10.1530/etj-25-0104	Somatic genetic alterations in the development and progression in thyroid tumors of follicular cells.		2025	41175860	PMC12579491	europepmc
10.25259/cytojournal_125_2025	Reclassifying uncertainty: Molecular advances in the evaluation of thyroid nodules.		2025	41216234	PMC12596783	europepmc
10.1186/s13044-026-00292-9	Assessing the clinical diagnostic utility of multiplex ddPCR assays in thyroid nodules.		2026	41862948	PMC13005521	europepmc
10.1530/etj-25-0080	Nuclear STAT3 expression is associated with favorable prognosis in papillary thyroid carcinoma.		2025	41104968	PMC12586974	europepmc
10.1002/mco2.70449	Thyroid Cancer: Pathogenesis, Clinicopathology, Diagnosis, and Management.		2025	41164799	PMC12559858	europepmc
10.1158/1078-0432.ccr-25-3932	Molecular Profiling and Real-world Outcomes of BRAF V600E-Mutated Papillary Thyroid Cancer.		2026	41543354		europepmc
10.1097/rlu.0000000000006422	Dual-targeted 68Ga-NOTA-3P-TATE-RGD PET/CT in Radioactive-iodine Negative Differentiated Thyroid Cancer: An Exploratory Comparative Study With 18F-FDG.		2026	41941241		europepmc
10.3892/mco.2025.2869	Role of &lt;i&gt;TERT&lt;/i&gt; gene mutation in the pathogenesis of anaplastic thyroid carcinoma (Review).		2025	40630941	PMC12235244	europepmc
10.1097/js9.0000000000004679	"Comment on ""Multicenter analysis of radioactive iodine therapy outcomes after total thyroidectomy for T1-T2 stage papillary thyroid carcinoma with cervical lymph node metastasis in China""."		2026	41537352	PMC13105695	europepmc
10.3803/enm.2025.2725	Diagnostic Challenges, Prognostic Assessment, and Treatment Strategies in High-Grade Differentiated Thyroid Carcinoma.		2025	41376300	PMC12765880	europepmc
10.1016/j.prp.2025.156112	Clinicopathological and molecular characteristics of papillary thyroid carcinoma with BRAF V600E and TERT promoter co-mutations.		2025	40645017		europepmc
10.1097/js9.0000000000004667	"A commentary on ""Long-term outcomes of robotic vs. open thyroidectomy for differentiated thyroid cancer: efficacy, safety and quality of life""."		2026	41537366	PMC13105533	europepmc
10.3803/enm.2025.2694	From Classification to Personalization: Advances in Thyroid Cancer Risk Stratification Systems.		2025	41208264	PMC12602013	europepmc
10.1016/j.ecoenv.2026.119941	Exposure to per- and polyfluoroalkyl substance (PFAS) mixtures increases papillary thyroid cancer risk and clinicopathological aggressiveness: Findings from a case-control study and risk assessment.		2026	41740556		europepmc
